county,age_band,sex,count
0,0-15,male,990.846
0,0-15,female,940.671
0,16-24,male,378.502
0,16-24,female,354.838
0,25-44,male,894.469
0,25-44,female,774.193
0,45-64,male,1030.745
0,45-64,female,1047.287
0,65+,male,333.841
0,65+,female,306.056
1,0-15,male,768.47
1,0-15,female,766.67
1,16-24,male,235.993
1,16-24,female,265.51
1,25-44,male,630.393
1,25-44,female,646.765
1,45-64,male,769.261
1,45-64,female,733.719
1,65+,male,210.143
1,65+,female,249.832
2,0-15,male,570.274
2,0-15,female,539.424
2,16-24,male,189.91
2,16-24,female,200.282
2,25-44,male,480.814
2,25-44,female,454.398
2,45-64,male,590.76
2,45-64,female,607.0
2,65+,male,197.549
2,65+,female,188.314
3,0-15,male,973.94
3,0-15,female,1041.003
3,16-24,male,453.92
3,16-24,female,475.131
3,25-44,male,890.475
3,25-44,female,835.403
3,45-64,male,1010.837
3,45-64,female,972.737
3,65+,male,300.738
3,65+,female,304.97
4,0-15,male,876.509
4,0-15,female,805.404
4,16-24,male,345.367
4,16-24,female,373.899
4,25-44,male,739.268
4,25-44,female,753.619
4,45-64,male,897.687
4,45-64,female,888.599
4,65+,male,283.808
4,65+,female,280.74
5,0-15,male,642.169
5,0-15,female,664.469
5,16-24,male,270.823
5,16-24,female,242.169
5,25-44,male,512.565
5,25-44,female,532.493
5,45-64,male,660.652
5,45-64,female,656.338
5,65+,male,203.184
5,65+,female,237.332
6,0-15,male,513.739
6,0-15,female,529.827
6,16-24,male,209.787
6,16-24,female,200.283
6,25-44,male,428.657
6,25-44,female,458.305
6,45-64,male,531.443
6,45-64,female,536.812
6,65+,male,150.277
6,65+,female,167.155
7,0-15,male,318.617
7,0-15,female,302.706
7,16-24,male,119.323
7,16-24,female,95.592
7,25-44,male,252.226
7,25-44,female,269.578
7,45-64,male,281.694
7,45-64,female,341.107
7,65+,male,103.839
7,65+,female,84.415
8,0-15,male,490.365
8,0-15,female,431.68
8,16-24,male,193.774
8,16-24,female,187.674
8,25-44,male,396.288
8,25-44,female,355.735
8,45-64,male,502.323
8,45-64,female,472.946
8,65+,male,154.787
8,65+,female,144.616
9,0-15,male,489.08
9,0-15,female,482.041
9,16-24,male,203.823
9,16-24,female,204.862
9,25-44,male,358.284
9,25-44,female,391.701
9,45-64,male,448.223
9,45-64,female,471.225
9,65+,male,155.531
9,65+,female,151.354
10,0-15,male,271.612
10,0-15,female,239.238
10,16-24,male,114.831
10,16-24,female,102.592
10,25-44,male,211.912
10,25-44,female,225.257
10,45-64,male,272.389
10,45-64,female,264.324
10,65+,male,80.824
10,65+,female,81.832
11,0-15,male,108.821
11,0-15,female,135.42
11,16-24,male,41.191
11,16-24,female,30.22
11,25-44,male,93.988
11,25-44,female,79.83
11,45-64,male,128.297
11,45-64,female,95.495
11,65+,male,39.72
11,65+,female,28.74
12,0-15,male,242.715
12,0-15,female,218.997
12,16-24,male,90.991
12,16-24,female,109.276
12,25-44,male,162.08
12,25-44,female,202.189
12,45-64,male,266.446
12,45-64,female,264.263
12,65+,male,63.158
12,65+,female,73.433
13,0-15,male,229.673
13,0-15,female,233.474
13,16-24,male,95.458
13,16-24,female,82.586
13,25-44,male,192.773
13,25-44,female,192.878
13,45-64,male,269.166
13,45-64,female,234.178
13,65+,male,75.162
13,65+,female,79.829
14,0-15,male,108.371
14,0-15,female,77.437
14,16-24,male,42.172
14,16-24,female,42.169
14,25-44,male,81.83
14,25-44,female,77.765
14,45-64,male,82.121
14,45-64,female,91.575
14,65+,male,36.619
14,65+,female,24.128
15,0-15,male,392.472
15,0-15,female,383.488
15,16-24,male,155.62
15,16-24,female,177.161
15,25-44,male,320.062
15,25-44,female,309.892
15,45-64,male,448.658
15,45-64,female,427.204
15,65+,male,139.856
15,65+,female,137.793
16,0-15,male,234.85
16,0-15,female,196.457
16,16-24,male,82.765
16,16-24,female,80.417
16,25-44,male,190.838
16,25-44,female,196.805
16,45-64,male,266.222
16,45-64,female,267.499
16,65+,male,80.011
16,65+,female,79.998
