estimand,level,unit,sex,age_band,estimate,lower,upper
children_under_16,county,0,,,1827.689264442267,1267.8986628654768,2387.479866019057
children_under_16,county,1,,,1608.7408324003788,1212.9773480120764,2004.5043167886813
children_under_16,county,2,,,1186.1244070450373,683.5417828002957,1688.707031289779
children_under_16,county,3,,,2019.8355443027342,1334.2823685304375,2705.388720075031
children_under_16,county,4,,,1679.4041817371412,1146.7039919519907,2212.104371522292
children_under_16,county,5,,,1376.6945222119336,911.6050145996281,1841.784029824239
children_under_16,county,6,,,1099.5185812575724,749.7336049982791,1449.3035575168656
children_under_16,county,7,,,654.6364889381719,430.13103011295374,879.1419477633899
children_under_16,county,8,,,966.2509974542567,728.3853725800984,1204.116622328415
children_under_16,county,9,,,973.4793432077292,634.6259788211516,1312.3327075943068
children_under_16,county,10,,,535.3418575731266,403.7617607944732,666.92195435178
children_under_16,county,11,,,244.83412712820194,146.3282990380028,343.3399552184011
children_under_16,county,12,,,493.51074808124866,302.30358563774183,684.7179105247556
children_under_16,county,13,,,495.0448645193242,275.3955084506365,714.694220588012
children_under_16,county,14,,,185.53127020290148,124.07301091924113,246.98952948656182
children_under_16,county,15,,,734.2480324621768,510.25904236080135,958.2370225635522
children_under_16,county,16,,,461.011879479548,238.82075274406552,683.2030062150304
children_under_16,nation,0,,,16541.89694244375,14531.746849791429,18552.047035096068
children_under_16,state,0,,,2561.9372969044434,1887.579058419934,3236.295535388953
children_under_16,state,1,,,3110.333687427762,2527.0225825400516,3693.6447923154724
children_under_16,state,2,,,2635.691899125158,1886.6919899059426,3384.691808344374
children_under_16,state,3,,,3238.1490146386654,2245.59778554153,4230.700243735801
children_under_16,state,4,,,1864.9354519400426,1355.4334491448228,2374.4374547352627
children_under_16,state,5,,,3130.849592407678,2315.4633521998285,3946.235832615527
elders_65_plus,county,0,,,608.3780585278527,422.04205163920244,794.7140654165029
elders_65_plus,county,1,,,477.1545608016923,359.770611957128,594.5385096462567
elders_65_plus,county,2,,,439.6571137253764,253.3663463559984,625.9478810947544
elders_65_plus,county,3,,,651.2790042225239,430.22814148374505,872.3298669613027
elders_65_plus,county,4,,,525.8508208613432,359.05307490017526,692.6485668225112
