estimand,level,unit,estimate,lower,upper
children_under_16,county,0,3555.1384349579935,2174.928620071975,4935.348249844012
children_under_16,county,1,1699.1920112880757,1073.4558563420524,2324.928166234099
children_under_16,county,2,1481.5686412858122,1026.3580923224015,1936.779190249223
children_under_16,county,3,2062.776966583251,1320.1344623243403,2805.419470842162
children_under_16,county,4,792.0895776099618,445.2236903830962,1138.9554648368273
children_under_16,county,5,590.0092264955096,258.7910795523845,921.2273734386347
children_under_16,county,6,440.3443885876001,258.3963486391881,622.2924285360122
children_under_16,county,7,633.2271325172986,385.71818655169545,880.7360784829018
children_under_16,county,8,147.30295300293207,77.57219864463188,217.03370736123225
children_under_16,county,9,555.5305905445605,383.32916516765727,727.7320159214637
children_under_16,county,10,567.1634161876073,352.92079063834467,781.4060417368698
children_under_16,county,11,897.1961799842974,528.8764147095935,1265.5159452590012
children_under_16,county,12,759.7327850481009,423.15063989596126,1096.3149302002407
children_under_16,county,13,316.1311306956497,190.58640598945584,441.67585540184353
children_under_16,county,14,510.1901316805221,351.54812387423135,668.8321394868128
children_under_16,county,15,439.3845794181105,282.5416402224051,596.2275186138158
children_under_16,county,16,960.2333156642746,522.3747349918823,1398.091896336667
children_under_16,county,17,2255.5595543703794,1207.1611837437072,3303.9579249970516
children_under_16,nation,0,18662.771015921935,15656.899538994681,21668.642492849187
children_under_16,state,0,3555.1384349579935,2296.4326298269116,4813.844240089075
children_under_16,state,1,6888.044977050778,5090.291365813538,8685.798588288018
children_under_16,state,2,1481.5686412858122,1092.2993702491838,1870.8379123224406
children_under_16,state,3,2720.270051266705,1974.469415520888,3466.0706870125223
children_under_16,state,4,3427.7396848651388,2417.992483077443,4437.486886652834
children_under_16,state,5,590.0092264955096,272.40217178404316,907.6162812069759
elders_65_plus,county,0,1333.32690652063,819.2582801264952,1847.3955329147648
elders_65_plus,county,1,811.0903529774414,510.9347430850685,1111.2459628698143
elders_65_plus,county,2,569.1078831357917,396.44930660964746,741.7664596619359
elders_65_plus,county,3,1097.2440528570428,699.9900752544277,1494.498030459658
elders_65_plus,county,4,320.8510204260759,184.64122941094868,457.0608114412031
elders_65_plus,county,5,341.5404463076744,149.24727936718654,533.8336132481622
elders_65_plus,county,6,194.06478707369268,116.72080724334577,271.40876690403957
elders_65_plus,county,7,306.2533091105786,180.52564121773588,431.9809770034213
elders_65_plus,county,8,83.04972989905995,49.38213364039137,116.71732615772854
elders_65_plus,county,9,256.4585754608052,172.68622388724174,340.2309270343687
elders_65_plus,county,10,275.4296086568474,171.80124130274743,379.05797601094736
elders_65_plus,county,11,373.43558672621486,220.77474568793258,526.0964277644971
elders_65_plus,county,12,308.8083411653784,170.14466580101376,447.4720165297431
elders_65_plus,county,13,157.92094747262965,99.50923580019483,216.33265914506447
elders_65_plus,county,14,291.0048752470418,201.8496104199271,380.1601400741565
elders_65_plus,county,15,195.51476898854554,124.89450151364974,266.13503646344134
elders_65_plus,county,16,485.0430665428391,266.43526291082867,703.6508701748495
elders_65_plus,county,17,934.2182551142637,517.7036327178268,1350.7328775107005
elders_65_plus,nation,0,8334.362513682552,7037.651918946747,9631.073108418357
elders_65_plus,state,0,1333.32690652063,865.1746121196154,1801.4792009216446
elders_65_plus,state,1,3070.516549998767,2299.545726282697,3841.487373714837
elders_65_plus,state,2,569.1078831357917,422.15761458639736,716.058151685186
elders_65_plus,state,3,1471.2986580031445,1082.0844823126176,1860.5128336936714
elders_65_plus,state,4,1548.5720697165452,1095.7897669240617,2001.3543725090287
elders_65_plus,state,5,341.5404463076744,157.10245358751848,525.9784390278303
households,county,0,5347.496850993008,3257.7820598931576,7437.211642092858
households,county,1,2613.300353175026,1652.6880557469792,3573.9126506030725
households,county,2,2186.3701344060605,1526.8044058305427,2845.9358629815783
households,county,3,3734.8920084810015,2376.816099923497,5092.967917038506
households,county,4,1220.940371870798,688.5408454167782,1753.3398983248176
households,county,5,982.4317672372833,426.58414839085765,1538.2793860837091
households,county,6,717.3615723318426,429.69275833055235,1005.0303863331328
households,county,7,991.6874907875356,593.7885463294708,1389.5864352456003
households,county,8,278.6711259955569,159.32180888871162,398.02044310240217
households,county,9,954.6846923343675,652.5242248536248,1256.84515981511
households,county,10,919.161768663643,566.4744851781076,1271.8490521491785
households,county,11,1353.826469956399,794.3784872939463,1913.2744526188517
households,county,12,1273.3767918713736,710.5240969163889,1836.2294868263584
households,county,13,585.3157364052595,363.8168839110069,806.814588899512
households,county,14,1055.0493402202446,739.1301657345136,1370.9685147059756
households,county,15,719.5569028755625,462.0654695268302,977.0483362242949
households,county,16,1737.7273195800362,957.8656602549108,2517.5889789051616
households,county,17,3355.5592322425086,1855.4265749607637,4855.691889524253
households,nation,0,30027.409929427507,25482.236750762022,34572.58310809299
households,state,0,5347.496850993008,3439.23495360148,7255.7587483845355
households,state,1,10919.105903230604,8180.505799949682,13657.706006511526
households,state,2,2186.3701344060605,1626.2292889162068,2746.5109798959143
households,state,3,5068.6124746968035,3733.885182670274,6403.339766723333
households,state,4,5523.392798863749,3911.0070761988936,7135.778521528604
households,state,5,982.4317672372833,449.06403528050555,1515.7994991940611
low_income_household_share,county,0,0.2506576161377034,0.12672255434816965,0.3745926779272371
low_income_household_share,county,1,0.2292822967593708,0.10550355729733656,0.35306103622140506
low_income_household_share,county,2,0.3175854733864,0.19060734205016105,0.4445636047226389
low_income_household_share,county,3,0.24873481203885578,0.12458188047957433,0.37288774359813726
low_income_household_share,county,4,0.2869602840273292,0.16311642797091927,0.4108041400837391
low_income_household_share,county,5,0.2773977304347548,0.15079889006899058,0.403996570800519
low_income_household_share,county,6,0.2862397955093269,0.1625567259984242,0.40992286502022957
low_income_household_share,county,7,0.27033758464769736,0.1463964153561732,0.3942787539392215
low_income_household_share,county,8,0.2628790801146104,0.1384272220482235,0.38733093818099734
low_income_household_share,county,9,0.29271035027371367,0.16885252741705525,0.4165681731303721
low_income_household_share,county,10,0.2651187123572014,0.1412990610345716,0.38893836367983126
low_income_household_share,county,11,0.2680528572514475,0.1437502663596037,0.3923554481432913
low_income_household_share,county,12,0.29093616822715246,0.16633576300141373,0.4155365734528912
low_income_household_share,county,13,0.30452298170909126,0.17970755524533977,0.42933840817284274
low_income_household_share,county,14,0.30694698792452096,0.1820564399602792,0.4318375358887627
low_income_household_share,county,15,0.28063615930094304,0.15689439179561476,0.4043779268062713
low_income_household_share,county,16,0.31029984044069986,0.18480772752264704,0.43579195335875265
low_income_household_share,county,17,0.2599702366910591,0.13578930393211935,0.3841511694499989
low_income_household_share,nation,0,0.26901687111930195,0.17669445659382632,0.3613392856447776
low_income_household_share,state,0,0.2506576161377034,0.15794927217247257,0.3433659601029342
low_income_household_share,state,1,0.26633124353255455,0.17318709409532207,0.35947539296978703
low_income_household_share,state,2,0.3175854733864,0.220846735862887,0.41432421090991295
low_income_household_share,state,3,0.2607242216428211,0.1675722140793417,0.3538762292063005
low_income_household_share,state,4,0.2802060008669757,0.1876758308956008,0.37273617083835064
low_income_household_share,state,5,0.2773977304347548,0.1811573860777428,0.3736380747917668
mean_income_adults,county,0,19484.947874247162,14590.769104868104,24379.12664362622
mean_income_adults,county,1,21464.955447670658,16086.551221589316,26843.359673752
mean_income_adults,county,2,9496.412604360257,6986.965995222547,12005.859213497968
mean_income_adults,county,3,20337.428280541404,15192.503418907676,25482.353142175132
mean_income_adults,county,4,19477.505229770017,14616.193174433232,24338.8172851068
mean_income_adults,county,5,18850.747319624843,13815.150260573555,23886.34437867613
mean_income_adults,county,6,19691.147296468338,14795.431363459698,24586.863229476978
mean_income_adults,county,7,21705.218003348582,16265.84011896831,27144.595887728854
mean_income_adults,county,8,16832.650562200066,12549.496479332036,21115.804645068096
mean_income_adults,county,9,19811.99011294575,14867.766115901832,24756.21410998967
mean_income_adults,county,10,21865.87818172249,16401.62407395047,27330.132289494515
mean_income_adults,county,11,18152.724371848515,13557.431061818024,22748.017681879006
mean_income_adults,county,12,17520.47406405442,13071.668963803246,21969.27916430559
mean_income_adults,county,13,17577.72380248399,13105.214882678381,22050.2327222896
mean_income_adults,county,14,17964.62602992598,13388.788044119892,22540.46401573207
mean_income_adults,county,15,20840.542204926653,15649.76687972538,26031.317530127926
mean_income_adults,county,16,14901.348514261088,11062.765997155762,18739.931031366414
mean_income_adults,county,17,18603.593363262025,13903.18940272192,23303.99732380213
mean_income_adults,nation,0,18623.037451203883,15156.166802496313,22089.908099911452
mean_income_adults,state,0,19484.947874247162,15786.406960542803,23183.48878795152
mean_income_adults,state,1,18544.97814358513,14992.32161245597,22097.63467471429
mean_income_adults,state,2,9496.412604360257,7532.493356020927,11460.331852699586
mean_income_adults,state,3,19693.274678928206,15908.893250708663,23477.65610714775
mean_income_adults,state,4,20548.477896211236,16691.64464822217,24405.311144200303
mean_income_adults,state,5,18850.747319624843,14883.20908398532,22818.285555264363
median_household_income,county,0,31652.090000000004,23701.799966675477,39602.38003332453
median_household_income,county,1,28496.478698288956,21356.208510775177,35636.748885802735
median_household_income,county,2,24779.499999999985,18231.466037935534,31327.533962064437
median_household_income,county,3,26054.087117336177,19462.972512870296,32645.20172180206
median_household_income,county,4,21441.38239450743,16089.914150094302,26792.850638920558
median_household_income,county,5,19867.27,14560.129403020801,25174.4105969792
median_household_income,county,6,22048.475261939162,16566.668132408304,27530.28239147002
median_household_income,county,7,24530.064363354966,18382.77344096603,30677.355285743903
median_household_income,county,8,23899.2526222348,17817.96547924071,29980.53976522889
median_household_income,county,9,20847.048194649036,15644.518041751158,26049.578347546914
median_household_income,county,10,24911.55629485798,18686.191245081205,31136.921344634753
median_household_income,county,11,23232.935869092093,17351.60629097243,29114.265447211754
median_household_income,county,12,20679.60612047158,15428.633067825212,25930.57917311795
median_household_income,county,13,17687.694541038883,13187.204460837816,22188.18462123995
median_household_income,county,14,17091.619306741,12738.148172277064,21445.090441204935
median_household_income,county,15,22276.114334963622,16727.779579836337,27824.449090090908
median_household_income,county,16,18192.24233492594,13505.926642963019,22878.558026888863
median_household_income,county,17,24390.15306984241,18227.710693840883,30552.595445843937
median_household_income,nation,0,24931.63987925165,20277.707568391612,29585.572190111685
median_household_income,state,0,31652.090000000004,25644.039548708985,37660.14045129102
median_household_income,state,1,23612.87157801216,19089.779464370513,28135.963691653807
median_household_income,state,2,24779.499999999985,19654.939911711488,29904.060088288483
median_household_income,state,3,24209.506784319714,19534.67086377536,28884.342704864066
median_household_income,state,4,22688.692212916114,18430.034811177553,26947.349614654675
median_household_income,state,5,19867.27,15685.78307928185,24048.75692071815
persons,county,0,12280.607562799114,7481.545874168389,17079.66925142984
persons,county,1,5941.405156848294,3757.428542473792,8125.381771222796
persons,county,2,4539.836531989205,3170.296881444794,5909.376182533615
persons,county,3,7755.381482108468,4935.381137089635,10575.381827127301
persons,county,4,2733.2600245962485,1541.403013151029,3925.117036041468
persons,county,5,2149.0908814680183,933.1621126866194,3365.0196502494173
persons,county,6,1583.7011454414446,948.6219220580111,2218.780368824878
persons,county,7,2182.7743238985618,1306.9705978883876,3058.578049908736
persons,county,8,539.6114901719973,308.5065896375162,770.7163907064784
persons,county,9,1874.7761423326767,1281.4040686652581,2468.148216000095
persons,county,10,2009.661517333996,1238.5436516459622,2780.77938302203
persons,county,11,3006.655589444736,1764.2013743710581,4249.1098045184135
persons,county,12,2566.8947686891124,1432.2866562707582,3701.5028811074667
persons,county,13,1188.5310119993244,738.7596511121315,1638.3023728865173
persons,county,14,1952.8370054961679,1368.0883770076189,2537.585633984717
persons,county,15,1548.4579053183784,994.34655717173,2102.569253465027
persons,county,16,3519.3230509734476,1939.912355573544,5098.733746373351
persons,county,17,7581.406565371072,4192.071199878879,10970.741930863265
persons,nation,0,64954.212156280264,55184.90896923578,74723.51534332475
persons,state,0,12280.607562799114,7898.255194596022,16662.959931002206
persons,state,1,23804.216143325986,17883.200409385376,29725.231877266597
persons,state,2,4539.836531989205,3376.7453273497104,5702.927736628699
persons,state,3,10247.829977776633,7525.018987960984,12970.640967592282
persons,state,4,11932.631058921308,8409.927755583036,15455.33436225958
persons,state,5,2149.0908814680183,982.3373547157244,3315.8444082203123
tertiary_share_25_plus,county,0,0.49731412576999334,0.45963112298499065,0.534997128554996
tertiary_share_25_plus,county,1,0.4442175932457129,0.4046989812524949,0.4837362052389309
tertiary_share_25_plus,county,2,0.4265725580779031,0.3866376375592252,0.46650747859658104
tertiary_share_25_plus,county,3,0.4048032188238128,0.3662049424616572,0.44340149518596844
tertiary_share_25_plus,county,4,0.40090807912646476,0.35765241830060074,0.4441637399523288
tertiary_share_25_plus,county,5,0.395732565113755,0.351778970931358,0.43968615929615196
tertiary_share_25_plus,county,6,0.40557391848037205,0.358124736848183,0.4530231001125611
tertiary_share_25_plus,county,7,0.3926451972286876,0.34813937713843723,0.437151017318938
tertiary_share_25_plus,county,8,0.3659020194363682,0.30334154104858435,0.428462497824152
tertiary_share_25_plus,county,9,0.3694154070563242,0.32428710095574687,0.4145437131569015
tertiary_share_25_plus,county,10,0.4044596720956821,0.3594937600187242,0.44942558417264006
tertiary_share_25_plus,county,11,0.4130566557915713,0.3704559469708712,0.4556573646122714
tertiary_share_25_plus,county,12,0.41493238452543807,0.37084175417938736,0.4590230148714888
tertiary_share_25_plus,county,13,0.4051464966153107,0.35432779686851185,0.4559651963621096
tertiary_share_25_plus,county,14,0.3663654624730784,0.32179407769809365,0.4109368472480631
tertiary_share_25_plus,county,15,0.4113242039738708,0.36390364647224294,0.4587447614754987
tertiary_share_25_plus,county,16,0.3775298537036963,0.33595617140509254,0.41910353600230005
tertiary_share_25_plus,county,17,0.41863046637983553,0.37988126738760175,0.4573796653720693
tertiary_share_25_plus,nation,0,0.42442027800697707,0.3877496460644054,0.46109090994954877
tertiary_share_25_plus,state,0,0.49731412576999334,0.45963112298499065,0.534997128554996
tertiary_share_25_plus,state,1,0.4171522284942747,0.38006429023356264,0.45424016675498674
tertiary_share_25_plus,state,2,0.42657255807790323,0.3866376375592253,0.46650747859658115
tertiary_share_25_plus,state,3,0.39530850166553244,0.3572877568988573,0.4333292464322076
tertiary_share_25_plus,state,4,0.3969915662157245,0.3592155741767256,0.4347675582547234
tertiary_share_25_plus,state,5,0.395732565113755,0.351778970931358,0.43968615929615196
