estimand,level,unit,sex,age_band,estimate,lower,upper
children_under_16,county,0,,,913.5666727200239,679.9184777592715,1147.2148676807765
children_under_16,county,1,,,1684.6232145759427,1266.501136061444,2102.7452930904415
children_under_16,county,2,,,1428.0637061091434,1038.9011513467578,1817.226260871529
children_under_16,county,3,,,650.3208616366256,477.0414195783338,823.6003036949176
children_under_16,county,4,,,1045.35289783678,757.1887690029193,1333.5170266706405
children_under_16,county,5,,,734.0054539064558,538.5789584952162,929.4319493176955
children_under_16,county,6,,,1061.0995856326788,789.7192800020925,1332.479891263265
children_under_16,county,7,,,797.6784347352232,599.6953117247524,995.6615577456939
children_under_16,county,8,,,829.8038459946399,617.5783165640628,1042.029375425217
children_under_16,county,9,,,996.0935593246916,721.5083610114641,1270.678757637919
children_under_16,county,10,,,283.4998412493504,206.24311802099896,360.7565644777019
children_under_16,county,11,,,583.0300373713793,424.1481486460915,741.9119260966671
children_under_16,county,12,,,141.72919115903784,105.48140467952257,177.9769776385531
children_under_16,county,13,,,311.881418167002,228.8440344365642,394.9188018974398
children_under_16,county,14,,,116.54639855272485,85.51631001490415,147.57648709054556
children_under_16,county,15,,,686.6235786955018,503.8123489736496,869.434808417354
children_under_16,county,16,,,226.28289445888,170.11966855483695,282.44612036292307
children_under_16,nation,0,,,12490.201592126079,11919.52004333944,13060.883140912718
children_under_16,state,0,,,2946.199295506381,2713.9211303435295,3178.4774606692326
children_under_16,state,1,,,2708.584543770046,2575.655956039121,2841.5131315009708
children_under_16,state,2,,,2294.593584729873,2012.9304497783817,2576.2567196813643
children_under_16,state,3,,,650.3208616366256,579.6704732194594,720.9712500537919
children_under_16,state,4,,,2041.4464571614712,1776.8819892879096,2306.010925035033
children_under_16,state,5,,,1849.0568493216842,1649.110752833086,2049.0029458102827
elders_65_plus,county,0,,,362.2786994550214,269.6245268281094,454.9328720819334
elders_65_plus,county,1,,,677.1608929597633,509.09012342312127,845.2316624964053
elders_65_plus,county,2,,,613.4969543274449,446.3125065583032,780.6814020965866
elders_65_plus,county,3,,,199.87931003212904,146.62102267809925,253.13759738615883
elders_65_plus,county,4,,,388.52921887274294,281.42645566746444,495.63198207802145
elders_65_plus,county,5,,,400.2921050445211,293.71567184051366,506.8685382485286
elders_65_plus,county,6,,,500.7163905069058,372.65624522941323,628.7765357843983
elders_65_plus,county,7,,,396.60596143373124,298.1686921909137,495.0432306765488
elders_65_plus,county,8,,,434.6592450829099,323.4934691530025,545.8250210128173
elders_65_plus,county,9,,,411.3652712554927,297.9674749044727,524.7630676065128
elders_65_plus,county,10,,,167.09934631727208,121.56299647953998,212.63569615500418
elders_65_plus,county,11,,,279.9859444162764,203.68679546341463,356.2850933691382
elders_65_plus,county,12,,,60.5959850317376,45.09832848699931,76.09364157647589
elders_65_plus,county,13,,,185.93930446187284,136.4335869814435,235.44502194230216
elders_65_plus,county,14,,,85.44053940495242,62.69228175497078,108.18879705493406
elders_65_plus,county,15,,,286.4836840924073,210.20836205397597,362.75900613083866
elders_65_plus,county,16,,,109.15876285048785,82.06564884362295,136.25187685735273
elders_65_plus,nation,0,,,5559.687615545668,5303.5787430528435,5815.796488038493
elders_65_plus,state,0,,,1358.2503200765748,1251.1659511880073,1465.3346889651423
elders_65_plus,state,1,,,1182.9256172439825,1124.8714457200954,1240.9797887678696
elders_65_plus,state,2,,,1060.5822450609935,930.3949552482151,1190.769534873772
elders_65_plus,state,3,,,199.87931003212904,178.16456624429145,221.59405381996663
elders_65_plus,state,4,,,799.8944901282356,696.2309042460847,903.5580760103865
elders_65_plus,state,5,,,958.1556330037537,854.5463368818188,1061.7649291256885
households,county,0,,,1897.863970046065,1402.3463335363945,2393.3816065557357
households,county,1,,,3549.4562971765445,2655.8228890220525,4443.089705331036
households,county,2,,,2898.8174177258584,2097.421896759473,3700.212938692244
households,county,3,,,1237.9233766152818,914.7187960353331,1561.1279571952305
households,county,4,,,2101.090078389727,1518.2319732104793,2683.9481835689744
households,county,5,,,1707.2682763833545,1241.967315574335,2172.5692371923737
households,county,6,,,2315.854101613006,1711.2024674367958,2920.5057357892165
households,county,7,,,1899.6210682860983,1421.360538411444,2377.8815981607527
households,county,8,,,2048.109032865204,1513.3635699146425,2582.8544958157654
households,county,9,,,2338.4571517248896,1689.7516447521366,2987.1626586976427
households,county,10,,,800.494371585308,579.1928849775251,1021.795858193091
households,county,11,,,1497.8740199812644,1083.7777325625789,1911.97030739995
households,county,12,,,390.7136351240665,288.70132018240076,492.72595006573226
households,county,13,,,912.9197146871136,664.1114715647959,1161.7279578094312
households,county,14,,,317.56253435907075,231.01365718597674,404.11141153216477
households,county,15,,,1591.5625743063665,1157.7961854754278,2025.3289631373052
households,county,16,,,556.8889809769147,416.68311383327716,697.0948481205522
households,nation,0,,,28062.476601846138,26451.202517106496,29673.75068658578
households,state,0,,,6652.5407396483415,6022.306567013479,7282.774912283204
households,state,1,,,6005.966346439558,5617.10783494958,6394.824857929536
households,state,2,,,5197.185809292431,4514.915195638791,5879.456422946071
households,state,3,,,1237.9233766152818,1120.6687522583973,1355.1780009721663
households,state,4,,,4439.5472301146165,3847.8934258044264,5031.2010344248065
households,state,5,,,4529.313099735905,3973.0291055913976,5085.597093880412
low_income_household_share,county,0,,,0.31981187921511467,0.16828356738708505,0.4713401910431443
low_income_household_share,county,1,,,0.3672101437291628,0.23914621410242082,0.49527407335590473
low_income_household_share,county,2,,,0.3494077100752089,0.07832519344680833,0.6204902267036094
low_income_household_share,county,3,,,0.3342054037793396,0.1326314794321934,0.5357793281264858
low_income_household_share,county,4,,,0.3337557865494258,0.17349105414176974,0.4940205189570818
low_income_household_share,county,5,,,0.2365225354016449,0.08678515189283986,0.3862599189104499
low_income_household_share,county,6,,,0.3605626312808073,0.20683952358033939,0.5142857389812752
low_income_household_share,county,7,,,0.370355719762897,0.24210100799637424,0.49861043152941975
