estimand,level,unit,sex,age_band,estimate,lower,upper
children_under_16,county,0,,,907.8091690188336,489.2528226544037,1326.3655153832635
children_under_16,county,1,,,1677.576324806225,1227.4406565519355,2127.711993060515
children_under_16,county,2,,,1471.017715649697,814.2128866815248,2127.8225446178694
children_under_16,county,3,,,675.7263017253347,356.01572271860715,995.4368807320623
children_under_16,county,4,,,1027.514211557643,549.8760429930165,1505.1523801222693
children_under_16,county,5,,,731.7311783357965,413.62305368406794,1049.8393029875251
children_under_16,county,6,,,1059.452783410787,581.3598136796868,1537.5457531418874
children_under_16,county,7,,,807.4761030196667,568.19284545232,1046.7593605870134
children_under_16,county,8,,,823.7143965213985,445.25710973676314,1202.1716833060339
children_under_16,county,9,,,1019.1085641303624,513.668575951529,1524.5485523091959
children_under_16,county,10,,,283.9805650337903,168.68513542461739,399.2759946429632
children_under_16,county,11,,,572.867004737643,354.1034602934428,791.6305491818432
children_under_16,county,12,,,141.13623570577076,70.22841191552536,212.04405949601616
children_under_16,county,13,,,308.1713541914701,186.01715566986854,430.3255527130716
children_under_16,county,14,,,119.05798164978007,61.86238710132761,176.25357619823254
children_under_16,county,15,,,692.7755941289389,348.2271624702592,1037.3240257876187
children_under_16,county,16,,,232.73770301777128,164.75969765453115,300.7157083810114
children_under_16,nation,0,,,12551.85318664091,10712.577250704358,14391.129122577462
children_under_16,state,0,,,2932.1125846567897,1960.0158767617759,3904.2092925518036
children_under_16,state,1,,,2717.790130843663,2281.1893562091495,3154.3909054781766
children_under_16,state,2,,,2327.8652854211305,1475.3396584257985,3180.3909124164625
children_under_16,state,3,,,675.7263017253347,374.67610165009125,976.7765018005781
children_under_16,state,4,,,2046.6227756880053,1291.0028118036198,2802.2427395723907
children_under_16,state,5,,,1851.7361083059855,1239.5988478347545,2463.8733687772165
elders_65_plus,county,0,,,365.4075313149339,196.93198991174748,533.8830727181204
elders_65_plus,county,1,,,670.1941869842243,490.36433140186756,850.0240425665811
elders_65_plus,county,2,,,632.4173540183591,350.044974934484,914.7897331022342
elders_65_plus,county,3,,,197.42262629879704,104.01483382149154,290.83041877610253
elders_65_plus,county,4,,,376.17359142563214,201.30996107394884,551.0372217773154
elders_65_plus,county,5,,,404.9589695271868,228.90970147471472,581.008237579659
elders_65_plus,county,6,,,507.45512915900184,278.4588647631042,736.4513935548995
elders_65_plus,county,7,,,399.0160319927666,280.7737018485389,517.2583621369943
elders_65_plus,county,8,,,437.9560314894335,236.73622507543755,639.1758379034294
elders_65_plus,county,9,,,414.56024498588624,208.9537642829361,620.1667256888363
elders_65_plus,county,10,,,167.50647383812816,99.49924643794786,235.51370123830844
elders_65_plus,county,11,,,275.3088393329661,170.17529697284883,380.44238169308335
elders_65_plus,county,12,,,61.249627012170485,30.47738955182522,92.02186447251574
elders_65_plus,county,13,,,186.44712595746927,112.54246568252297,260.3517862324156
elders_65_plus,county,14,,,88.57381775147118,46.02285142798803,131.12478407495433
elders_65_plus,county,15,,,293.3293258044263,147.44347182527676,439.21517978357576
elders_65_plus,county,16,,,111.58425127932955,78.99273416127926,144.17576839737984
elders_65_plus,nation,0,,,5589.561158172182,4771.452764258581,6407.669552085784
elders_65_plus,state,0,,,1372.0683189755398,914.1027973585105,1830.033840592569
elders_65_plus,state,1,,,1180.7944702563204,992.183845770904,1369.405094741737
elders_65_plus,state,2,,,1075.2326671894534,691.9049381284779,1458.560396250429
elders_65_plus,state,3,,,197.42262629879704,109.46671723490613,285.37853536268796
elders_65_plus,state,4,,,790.7338364115184,505.3125185869148,1076.155154236122
elders_65_plus,state,5,,,973.3092390405536,663.7683357485835,1282.8501423325238
households,county,0,,,1922.5926013162255,1036.1581366545124,2809.0270659779385
households,county,1,,,3495.765951687515,2557.7645508241512,4433.767352550879
households,county,2,,,2968.3185972464476,1642.9735875662445,4293.663606926651
households,county,3,,,1256.7328417191957,662.1270324486075,1851.338650989784
households,county,4,,,2064.8920901143397,1105.030644781457,3024.753535447222
households,county,5,,,1706.0253261859566,964.3588054895828,2447.6918468823305
households,county,6,,,2357.243927074788,1293.5044503162317,3420.9834038333447
households,county,7,,,1901.821761296611,1338.2458181154932,2465.3977044777284
households,county,8,,,2072.6317886732954,1120.35681744848,3024.906759898111
households,county,9,,,2392.0899953753715,1205.7022232178872,3578.477767532856
households,county,10,,,797.1011051934288,473.4799645907695,1120.7222457960881
households,county,11,,,1463.0443690470934,904.3444104093122,2021.7443276848744
households,county,12,,,396.6483551303771,197.3694702172984,595.9272400434559
households,county,13,,,904.2047462892174,545.7924390448452,1262.6170535335896
households,county,14,,,325.17739485218686,168.96179154221701,481.3929981621567
households,county,15,,,1609.6409591700215,809.0941836836121,2410.1877346564306
households,county,16,,,566.4800903554027,401.02264138587367,731.9375393249318
households,nation,0,,,28200.411900727475,24138.344585607538,32262.479215847412
households,state,0,,,6749.1166721946865,4522.228293308601,8976.005051080772
households,state,1,,,5964.067803339529,5010.870954973461,6917.264651705596
households,state,2,,,5228.464071486969,3426.4505585849447,7030.477584388994
households,state,3,,,1256.7328417191957,696.8320764616097,1816.6336069767817
households,state,4,,,4456.982085489712,2847.1477810340666,6066.816389945357
households,state,5,,,4545.048426497382,3084.0260573052537,6006.07079568951
low_income_household_share,county,0,,,0.3199154251375168,0.21337569176523938,0.4264551585097942
low_income_household_share,county,1,,,0.3673136896515651,0.26025261978440345,0.4743747595187267
low_income_household_share,county,2,,,0.349511255997611,0.24081438868363086,0.45820812331159116
low_income_household_share,county,3,,,0.33430894970174196,0.20618492503127528,0.46243297437220865
low_income_household_share,county,4,,,0.3338593324718278,0.22445290614035873,0.4432657588032969
low_income_household_share,county,5,,,0.236626081324047,0.12717702032916772,0.3460751423189263
low_income_household_share,county,6,,,0.36066617720320965,0.250470046268117,0.4708623081383023
low_income_household_share,county,7,,,0.37045926568529924,0.2632108626064706,0.4777076687641279
low_income_household_share,county,8,,,0.3428970058017708,0.2358247128999931,0.4499692987035485
low_income_household_share,county,9,,,0.3567554951180342,0.24770101706133013,0.4658099731747383
low_income_household_share,county,10,,,0.28134375538950207,0.1567900101745292,0.40589750060447494
low_income_household_share,county,11,,,0.3423842878336306,0.23021096057254103,0.4545576150947202
low_income_household_share,county,12,,,0.32276407622359066,0.21050738222523285,0.43502077022194846
low_income_household_share,county,13,,,0.29877739357381,0.18913943199073346,0.40841535515688654
low_income_household_share,county,14,,,0.26774798730130317,0.1590491025582655,0.37644687204434085
low_income_household_share,county,15,,,0.2939794193703421,0.18466656164845632,0.4032922770922279
low_income_household_share,county,16,,,0.384981852503932,0.27406996670235795,0.4958937383055061
low_income_household_share,nation,0,,,0.33596844045165075,0.26915732470832165,0.40277955619497985
low_income_household_share,state,0,,,0.34132076730591215,0.27240423833054667,0.41023729628127764
low_income_household_share,state,1,,,0.3698268088756485,0.30090267997094944,0.43875093778034757
low_income_household_share,state,2,,,0.33850874551435217,0.26443652002521,0.41258097100349433
low_income_household_share,state,3,,,0.33430894970174196,0.2360709570626497,0.43254694234083424
low_income_household_share,state,4,,,0.34542760875389344,0.273892436973915,0.41696278053387187
low_income_household_share,state,5,,,0.2700650869110452,0.19935992581355666,0.3407702480085337
mean_income_adults,county,0,,,30898.15971959392,23723.770126904557,38072.549312283285
mean_income_adults,county,1,,,23854.09244094656,18306.216597414852,29401.968284478266
mean_income_adults,county,2,,,30334.04385333604,23067.32068980285,37600.76701686923
mean_income_adults,county,3,,,28144.148139431785,19218.928513869265,37069.367764994306
mean_income_adults,county,4,,,27378.223804141577,20703.773643863555,34052.6739644196
mean_income_adults,county,5,,,32274.795170800666,23856.328914921207,40693.261426680125
mean_income_adults,county,6,,,27994.97468761438,21160.18379465238,34829.76558057638
mean_income_adults,county,7,,,23853.083541554734,18292.56840384326,29413.598679266208
mean_income_adults,county,8,,,29726.95797830836,22783.81209820472,36670.103858412
mean_income_adults,county,9,,,27722.204744108414,21059.365071719374,34385.044416497454
mean_income_adults,county,10,,,38855.49464214653,25997.50398856838,51713.48529572468
mean_income_adults,county,11,,,32231.959645840736,24050.799992276905,40413.11929940457
mean_income_adults,county,12,,,27073.701137068543,20102.37155130267,34045.03072283442
mean_income_adults,county,13,,,27514.84797795327,20657.05461164957,34372.641344256976
mean_income_adults,county,14,,,29996.73606858209,22534.57857480603,37458.89356235815
mean_income_adults,county,15,,,27715.299936125914,20834.75610609857,34595.84376615325
mean_income_adults,county,16,,,25148.55646538672,19006.030024902262,31291.082905871175
mean_income_adults,nation,0,,,28361.058994640825,23820.74167754731,32901.37631173434
mean_income_adults,state,0,,,29324.886840046744,24455.018346754827,34194.75533333866
mean_income_adults,state,1,,,23966.559553403607,19997.94113934921,27935.177967458007
mean_income_adults,state,2,,,31973.333983095523,25878.538050921743,38068.1299152693
mean_income_adults,state,3,,,28144.148139431785,20513.59712751643,35774.69915134714
mean_income_adults,state,4,,,27551.176671189223,22680.179449116877,32422.17389326157
mean_income_adults,state,5,,,29660.58721326859,24180.0055215453,35141.168904991886
median_household_income,county,0,,,36901.853570966734,26635.474229667994,47168.23291226548
median_household_income,county,1,,,26588.93138790267,19183.23570199831,33994.62707380703
median_household_income,county,2,,,30891.28022008621,22106.38795461216,39676.17248556026
median_household_income,county,3,,,32832.42389989212,21268.43851160238,44396.409288181865
median_household_income,county,4,,,29558.531317119734,21047.05263037238,38070.01000386709
median_household_income,county,5,,,33187.9253404633,23147.760153807783,43228.09052711881
median_household_income,county,6,,,29734.35031399681,21163.2633791262,38305.43724886741
median_household_income,county,7,,,26018.282570446834,18759.79717330374,33276.76796758993
median_household_income,county,8,,,31620.95546738167,22787.594738356467,40454.31619640687
median_household_income,county,9,,,25726.280139740073,18393.165752670713,33059.39452680943
median_household_income,county,10,,,47014.67405308039,29869.33135957212,64160.016746588655
median_household_income,county,11,,,28239.46075211244,19866.54833153609,36612.37317268879
median_household_income,county,12,,,35083.53235785481,24570.84367072073,45596.221044988895
median_household_income,county,13,,,23930.852367178097,16929.060656958558,30932.644077397636
median_household_income,county,14,,,25999.63954637412,18403.050450734736,33596.228642013506
median_household_income,county,15,,,18614.676144448054,13183.873699701011,24045.478589195096
median_household_income,county,16,,,24716.669623444992,17589.733488279064,31843.60575861092
median_household_income,nation,0,,,29364.363986309127,22848.59493093318,35880.133041685076
median_household_income,state,0,,,32725.558841367656,25303.520817190893,40147.596865544416
median_household_income,state,1,,,26247.788797303896,20325.079247164133,32170.49834744366
median_household_income,state,2,,,32356.094573629132,24359.855116638926,40352.33403061934
median_household_income,state,3,,,32832.42389989212,22607.177062373936,43057.670737410306
median_household_income,state,4,,,27622.103449025562,21167.139881267452,34077.06701678367
median_household_income,state,5,,,25932.958450578433,19568.205803201876,32297.71109795499
persons,county,0,,,3986.038874424927,2148.22766400382,5823.850084846034
persons,county,1,,,6833.868093941513,5000.17043396568,8667.565753917344
persons,county,2,,,6416.784069621922,3551.7099657983067,9281.858173445537
persons,county,3,,,2707.509987666328,1426.4889831366693,3988.530992195987
persons,county,4,,,4317.168136484288,2310.3401443244566,6323.996128644119
persons,county,5,,,3665.038004210026,2071.7228622364855,5258.353146183566
persons,county,6,,,4688.478196313818,2572.736466721263,6804.219925906375
persons,county,7,,,3591.778164039523,2527.409353202147,4656.146974876899
persons,county,8,,,3737.337898331486,2020.2102546079716,5454.465542055001
persons,county,9,,,4454.337257387817,2245.1514552453073,6663.5230595303265
persons,county,10,,,1391.1680741151104,826.3571662116691,1955.9789820185515
persons,county,11,,,2726.193897886173,1685.1288077142228,3767.2589880581236
persons,county,12,,,643.4191370340799,320.16089960172894,966.6773744664308
persons,county,13,,,1623.7013413417706,980.0920853470641,2267.3105973364773
persons,county,14,,,551.7394916081811,286.68319029090515,816.795792925457
persons,county,15,,,3176.439556060375,1596.6534368982452,4756.225675222504
persons,county,16,,,982.6220600935164,695.6179056098972,1269.6262145771357
persons,nation,0,,,55493.62224056086,47415.66790933797,63571.57657178374
persons,state,0,,,13055.27410610431,8719.812183780079,17390.736028428542
persons,state,1,,,11408.268318074552,9573.780547254612,13242.756088894492
persons,state,2,,,10534.146041623206,6715.811030502109,14352.481052744302
persons,state,3,,,2707.509987666328,1501.2576612266455,3913.7623141060103
persons,state,4,,,8771.505393872105,5551.8244880937755,11991.186299650435
persons,state,5,,,9016.918393220352,6071.681363152594,11962.15542328811
tertiary_share_25_plus,county,0,,,0.5432324640085301,0.5156080460339549,0.5708568819831052
tertiary_share_25_plus,county,1,,,0.42331322931779336,0.3993487557068588,0.4472777029287279
tertiary_share_25_plus,county,2,,,0.4381586649303239,0.41305876451953866,0.46325856534110915
tertiary_share_25_plus,county,3,,,0.4501727740218402,0.4208441726286985,0.4795013754149819
tertiary_share_25_plus,county,4,,,0.46816126857449947,0.4416284961571809,0.494694040991818
tertiary_share_25_plus,county,5,,,0.4480151520351105,0.4203726396828356,0.4756576643873854
tertiary_share_25_plus,county,6,,,0.4898057876492425,0.46349201612434426,0.5161195591741408
tertiary_share_25_plus,county,7,,,0.4157325950631444,0.38877564206605747,0.44268954806023136
tertiary_share_25_plus,county,8,,,0.4960268211385998,0.468530855722071,0.5235227865551286
tertiary_share_25_plus,county,9,,,0.45784391534695856,0.4313671008708507,0.48432072982306645
tertiary_share_25_plus,county,10,,,0.4037123371029193,0.36715527932181063,0.440269394884028
tertiary_share_25_plus,county,11,,,0.4387423098895238,0.40893052012570485,0.4685540996533427
tertiary_share_25_plus,county,12,,,0.4693673765117037,0.4196473567960349,0.5190873962273724
tertiary_share_25_plus,county,13,,,0.39621339126122196,0.3621020510204304,0.4303247315020135
tertiary_share_25_plus,county,14,,,0.42438330571246,0.37161232146132384,0.4771542899635962
tertiary_share_25_plus,county,15,,,0.41831429476148113,0.3895013018685008,0.44712728765446147
tertiary_share_25_plus,county,16,,,0.4213295913511677,0.3803126180777041,0.4623465646246313
tertiary_share_25_plus,nation,0,,,0.45307557565516066,0.43193902378003457,0.47421212753028674
tertiary_share_25_plus,state,0,,,0.5069192970083474,0.48391215254526254,0.5299264414714322
tertiary_share_25_plus,state,1,,,0.4207538756214328,0.39828961866355206,0.44321813257931353
tertiary_share_25_plus,state,2,,,0.4336929085851899,0.41053058402904347,0.4568552331413363
tertiary_share_25_plus,state,3,,,0.4501727740218402,0.4208441726286985,0.4795013754149819
tertiary_share_25_plus,state,4,,,0.46295143861337335,0.43944122848613637,0.4864616487406103
tertiary_share_25_plus,state,5,,,0.42667522183009376,0.40302179849834685,0.4503286451618407
person_years_exposure,county,0,male,0-17,2708.7510708577765,1876.753607869321,4231.166407202287
person_years_exposure,county,0,male,18-44,4030.2860748715575,2800.268005451921,6289.1062985469025
person_years_exposure,county,0,male,45-64,2571.5321378030058,1774.3777122600804,3990.4150802410995
person_years_exposure,county,0,male,65-74,764.3454730720927,507.5073216792919,1177.453812813275
person_years_exposure,county,0,male,75-84,183.94408766266662,100.90421217677111,299.0737981805114
person_years_exposure,county,0,male,85+,11.647667313500683,3.7003718844032853,22.995558659919894
person_years_exposure,county,0,male,18-64,6601.818212674563,4589.024081195939,10312.025771607368
person_years_exposure,county,0,male,65+,959.9372280482601,620.0646428565103,1492.0131128208452
mortality_rate,county,0,male,0-17,0.0007736787435164194,0.0,0.0020980124804158085
mortality_rate,county,0,male,18-44,0.002902947039962383,0.0007536585362603913,0.006321187302140219
mortality_rate,county,0,male,45-64,0.012463121084549776,0.003902703700919934,0.026116556230017962
mortality_rate,county,0,male,65-74,0.06525659395573023,0.023203509002467412,0.14625939951428385
mortality_rate,county,0,male,75-84,0.17050056973088978,0.06290272605612011,0.4117323191209844
mortality_rate,county,0,male,85+,0.2658113361660346,0.0656397559811615,0.8831765508153354
qualifying_event_rate,county,0,male,0-17,0.017074289512086498,0.011610624125741235,0.023514706374575783
qualifying_event_rate,county,0,male,18-44,0.018883754696290504,0.01332409831328143,0.025527001460837584
