estimand,level,unit,sex,age_band,estimate,lower,upper
children_under_16,county,0,,,913.4255115016178,680.7766387455397,1146.074384257696
children_under_16,county,1,,,1684.4021600143044,1266.6526109797715,2102.1517090488373
children_under_16,county,2,,,1428.987317160551,1037.6915614860202,1820.2830728350816
children_under_16,county,3,,,649.9284174469901,476.29092851203995,823.5659063819403
children_under_16,county,4,,,1045.3547608377646,757.1901184452227,1333.5194032303066
children_under_16,county,5,,,733.8924842876569,541.7603204417838,926.0246481335299
children_under_16,county,6,,,1060.9356281298158,790.7160263744447,1331.1552298851868
children_under_16,county,7,,,797.5737641743565,599.7670359386346,995.3804924100783
children_under_16,county,8,,,829.6756275236335,618.3577947435457,1040.9934603037213
children_under_16,county,9,,,996.0953345369531,721.5096468650643,1270.681022208842
children_under_16,county,10,,,283.6831969255223,206.0029897045737,361.3634041464709
children_under_16,county,11,,,583.407116477525,423.6543140792629,743.1599188757872
children_under_16,county,12,,,141.70729164594795,105.6145383260313,177.8000449658646
children_under_16,county,13,,,311.83341699107984,230.1958059667585,393.4710280154012
children_under_16,county,14,,,116.52846108080715,86.02145105355973,147.03547110805457
children_under_16,county,15,,,686.5179015461962,506.7883461045326,866.2474569878598
children_under_16,county,16,,,226.25320184535786,170.14001505289093,282.3663886378248
children_under_16,nation,0,,,12490.201592126079,11929.070410020828,13051.33277423133
children_under_16,state,0,,,2945.7440588010154,2723.7855041446837,3167.702613457347
children_under_16,state,1,,,2708.2291260340185,2577.9256241376115,2838.5326279304254
children_under_16,state,2,,,2296.0776305635977,2007.582993040019,2584.572268087177
children_under_16,state,3,,,649.9284174469901,578.1935215232186,721.6633133707617
children_under_16,state,4,,,2041.4500953747176,1776.8851560011817,2306.0150347482536
children_under_16,state,5,,,1848.77226390574,1670.0589051017228,2027.485622709757
elders_65_plus,county,0,,,362.28328272905435,270.009970582641,454.5565948754677
elders_65_plus,county,1,,,677.1101961336832,509.17970673136125,845.0406855360052
elders_65_plus,county,2,,,613.9826726383515,445.8574478893489,782.107897387354
elders_65_plus,county,3,,,199.89160099265,146.48775724030065,253.29544474499937
elders_65_plus,county,4,,,388.33574422297886,281.2863146373958,495.38517380856194
elders_65_plus,county,5,,,400.1323998670221,295.37822203140365,504.8865777026406
elders_65_plus,county,6,,,500.72272518911024,373.1889787459098,628.2564716323106
elders_65_plus,county,7,,,396.57626883975814,298.22116018554,494.9313774939763
elders_65_plus,county,8,,,434.6647440604489,323.9559216560579,545.37356646484
elders_65_plus,county,9,,,411.16042500992035,297.8190969960737,524.5017530237669
elders_65_plus,county,10,,,167.23164234853078,121.4390512739739,213.02423342308765
elders_65_plus,county,11,,,280.2076151173943,203.47911711995545,356.9361131148332
elders_65_plus,county,12,,,60.596751645963366,45.162799139056155,76.03070415287058
elders_65_plus,county,13,,,185.86511996198163,137.20585658714222,234.52438333682105
elders_65_plus,county,14,,,85.40645105712012,63.04714557393531,107.76575654030493
elders_65_plus,county,15,,,286.3693852415382,211.39822689935363,361.3405435837228
elders_65_plus,county,16,,,109.15059049016273,82.08008972938762,136.22109125093783
elders_65_plus,nation,0,,,5559.687615545668,5308.7215643514355,5810.653666739901
elders_65_plus,state,0,,,1358.2675036245769,1255.9235504761543,1460.6114567729994
elders_65_plus,state,1,,,1182.8370554636042,1125.9261356975762,1239.7479752296322
elders_65_plus,state,2,,,1061.4219301042765,928.0577394040486,1194.7861208045044
elders_65_plus,state,3,,,199.89160099265,177.82885868393515,221.95434330136487
elders_65_plus,state,4,,,799.4961692328992,695.8842043743358,903.1081340914626
elders_65_plus,state,5,,,957.773356127662,865.1892684126283,1050.3574438426958
households,county,0,,,1897.49418320572,1400.7095339585517,2394.2788324528883
households,county,1,,,3549.015065062525,2650.7120572193344,4447.318072905716
households,county,2,,,2899.643638149314,2082.660107232262,3716.627169066366
households,county,3,,,1237.9633348694995,914.8872682238961,1561.0394015151028
households,county,4,,,2101.5659161166304,1515.2026468203294,2687.9291854129315
households,county,5,,,1707.0858817014716,1241.4959908914243,2172.675772511519
households,county,6,,,2315.402872028351,1709.2051751778708,2921.600568878831
households,county,7,,,1899.3849268183299,1418.6252902618521,2380.1445633748076
households,county,8,,,2047.7099717207284,1511.5971925276015,2583.822750913855
households,county,9,,,2338.9867464086124,1686.3800853721673,2991.5934074450574
households,county,10,,,800.7225283483456,575.1164883894537,1026.3285683072374
households,county,11,,,1498.3009437673245,1076.1500355279074,1920.4518520067415
households,county,12,,,390.6375070332799,288.3643519259177,492.91066214064216
households,county,13,,,912.8221836175984,663.8594422844537,1161.784924950743
households,county,14,,,317.52860781206374,230.92598785896962,404.13122776515786
households,county,15,,,1591.3925409534056,1157.3568036067172,2025.428278300094
households,county,16,,,556.8197542329353,415.8812541465347,697.758254319336
households,nation,0,,,28062.476601846138,26484.272209071627,29640.68099462065
households,state,0,,,6651.244533988079,6008.07752546144,7294.411542514717
households,state,1,,,6005.21974611379,5586.054589483239,6424.384902744341
households,state,2,,,5198.667110264984,4459.971413113691,5937.362807416278
households,state,3,,,1237.9633348694995,1121.0884673928656,1354.8382023461334
households,state,4,,,4440.552662525243,3834.0683059061284,5047.037019144358
households,state,5,,,4528.82921408454,3970.6138923748867,5087.044535794193
low_income_household_share,county,0,,,0.31981187921511467,0.16826708408204405,0.4713566743481853
low_income_household_share,county,1,,,0.3672101437291628,0.23703540868314643,0.4973848787751791
low_income_household_share,county,2,,,0.3494077100752089,0.07819395396971862,0.6206214661806991
low_income_household_share,county,3,,,0.3342054037793396,0.13279909770938472,0.5356117098492945
low_income_household_share,county,4,,,0.3337557865494258,0.17175328254455874,0.4957582905542928
low_income_household_share,county,5,,,0.2365225354016449,0.09149493921344862,0.3815501315898412
low_income_household_share,county,6,,,0.3605626312808073,0.2068188866338102,0.5143063759278044
low_income_household_share,county,7,,,0.370355719762897,0.2399570909637318,0.5007543485620622
low_income_household_share,county,8,,,0.34279345987936893,0.19003627831925748,0.49555064143948035
low_income_household_share,county,9,,,0.35665194919563203,0.19200698718805084,0.5212969112032132
