county,age_band,sex,count
0,0-15,male,391.569
0,0-15,female,397.58
0,16-24,male,248.519
0,16-24,female,282.107
0,25-44,male,462.218
0,25-44,female,453.062
0,45-64,male,442.499
0,45-64,female,407.002
0,65+,male,157.439
0,65+,female,127.873
1,0-15,male,726.961
1,0-15,female,730.942
1,16-24,male,316.941
1,16-24,female,343.402
1,25-44,male,785.43
1,25-44,female,782.384
1,45-64,male,957.248
1,45-64,female,940.072
1,65+,male,280.815
1,65+,female,312.351
2,0-15,male,552.676
2,0-15,female,618.773
2,16-24,male,326.026
2,16-24,female,312.771
2,25-44,male,648.807
2,25-44,female,628.449
2,45-64,male,729.955
2,45-64,female,698.526
2,65+,male,260.383
2,65+,female,232.855
3,0-15,male,315.073
3,0-15,female,262.019
3,16-24,male,149.676
3,16-24,female,121.145
3,25-44,male,342.938
3,25-44,female,327.673
3,45-64,male,333.373
3,45-64,female,356.942
3,65+,male,107.488
3,65+,female,111.527
4,0-15,male,432.349
4,0-15,female,432.251
4,16-24,male,262.801
4,16-24,female,222.051
4,25-44,male,471.435
4,25-44,female,479.591
4,45-64,male,550.506
4,45-64,female,536.392
4,65+,male,176.808
4,65+,female,169.646
5,0-15,male,312.087
5,0-15,female,304.859
5,16-24,male,164.988
5,16-24,female,209.777
5,25-44,male,367.455
5,25-44,female,358.299
5,45-64,male,453.63
5,45-64,female,490.436
5,65+,male,151.307
5,65+,female,153.309
6,0-15,male,445.614
6,0-15,female,470.975
6,16-24,male,257.724
6,16-24,female,226.139
6,25-44,male,496.923
6,25-44,female,474.529
6,45-64,male,611.643
6,45-64,female,566.979
6,65+,male,195.15
6,65+,female,199.19
7,0-15,male,340.63
7,0-15,female,349.695
7,16-24,male,151.765
7,16-24,female,171.097
7,25-44,male,350.176
7,25-44,female,392.955
7,45-64,male,534.118
7,45-64,female,555.648
7,65+,male,171.686
7,65+,female,175.725
8,0-15,male,356.919
8,0-15,female,359.875
8,16-24,male,214.9
8,16-24,female,183.315
8,25-44,male,372.575
8,25-44,female,375.639
8,45-64,male,491.343
8,45-64,female,466.03
8,65+,male,168.629
8,65+,female,173.687
9,0-15,male,410.96
9,0-15,female,412.898
9,16-24,male,214.937
9,16-24,female,200.664
9,25-44,male,488.742
9,25-44,female,463.293
9,45-64,male,590.215
9,45-64,female,552.68
9,65+,male,180.879
9,65+,female,185.937
10,0-15,male,102.074
10,0-15,female,130.482
10,16-24,male,54.881
10,16-24,female,72.174
10,25-44,male,117.7
10,25-44,female,132.984
10,45-64,male,185.485
10,45-64,female,186.655
10,65+,male,67.699
10,65+,female,66.645
11,0-15,male,230.526
11,0-15,female,247.736
11,16-24,male,143.552
11,16-24,female,133.351
11,25-44,male,284.865
11,25-44,female,267.563
11,45-64,male,356.76
11,45-64,female,341.633
11,65+,male,107.477
11,65+,female,117.625
12,0-15,male,71.449
12,0-15,female,50.979
12,16-24,male,23.273
12,16-24,female,40.565
12,25-44,male,67.719
12,25-44,female,63.656
12,45-64,male,89.661
12,45-64,female,87.778
12,65+,male,
12,65+,female,27.916
13,0-15,male,129.596
13,0-15,female,132.547
13,16-24,male,73.225
13,16-24,female,89.5
13,25-44,male,157.444
13,25-44,female,162.546
13,45-64,male,235.419
13,45-64,female,204.003
13,65+,male,68.73
13,65+,female,72.767
14,0-15,male,53.105
14,0-15,female,44.854
14,16-24,male,21.229
14,16-24,female,21.21
14,25-44,male,46.319
14,25-44,female,43.275
14,45-64,male,70.294
14,45-64,female,70.448
14,65+,male,31.0
14,65+,female,34.019
15,0-15,male,281.482
15,0-15,female,295.638
15,16-24,male,156.812
15,16-24,female,167.996
15,25-44,male,310.367
15,25-44,female,337.872
15,45-64,male,362.924
15,45-64,female,408.896
15,65+,male,104.439
15,65+,female,113.57
16,0-15,male,95.93
16,0-15,female,99.899
16,16-24,male,48.753
16,16-24,female,48.735
16,25-44,male,74.894
16,25-44,female,93.233
16,45-64,male,156.925
16,45-64,female,145.877
16,65+,male,44.263
16,65+,female,51.355
