estimand,level,unit,estimate,lower,upper
children_under_16,county,0,826.1739450000002,817.9122055500002,834.4356844500003
children_under_16,county,1,1565.4961979999998,1549.8412360199998,1581.1511599799999
children_under_16,county,2,1180.756568,1168.94900232,1192.56413368
children_under_16,county,3,437.950255,433.57075245000004,442.32975755
children_under_16,county,4,909.2755280000005,900.1827727200005,918.3682832800005
children_under_16,county,5,716.6309420000001,709.4646325800002,723.7972514200001
children_under_16,county,6,933.4359250000003,924.1015657500003,942.7702842500004
children_under_16,county,7,500.55738700000006,495.5518131300001,505.56296087000004
children_under_16,county,8,826.5250159999998,818.2597658399998,834.7902661599999
children_under_16,county,9,820.5986109999998,812.3926248899998,828.8045971099998
children_under_16,county,10,132.054992,130.73444208,133.37554192
children_under_16,county,11,345.11723400000005,341.66606166,348.5684063400001
children_under_16,county,12,134.658334,133.31175066,136.00491734
children_under_16,county,13,41.321428,40.90821372,41.734642279999996
children_under_16,county,14,77.133332,76.36199868,77.90466531999999
children_under_16,county,15,767.1313549999998,759.4600414499997,774.8026685499998
children_under_16,county,16,184.19088299999999,182.34897417,186.03279182999998
children_under_16,nation,0,10399.007933,10295.01785367,10502.998012330001
children_under_16,state,0,2720.793220000001,2693.585287800001,2748.001152200001
children_under_16,state,1,2250.244468,2227.74202332,2272.7469126799997
children_under_16,state,2,1657.9287940000002,1641.34950606,1674.5080819400002
children_under_16,state,3,437.950255,433.57075245000004,442.32975755
children_under_16,state,4,1729.8741390000002,1712.5753976100002,1747.1728803900003
children_under_16,state,5,1602.2170569999998,1586.1948864299998,1618.23922757
elders_65_plus,county,0,379.9005739999999,376.1015682599999,383.6995797399999
elders_65_plus,county,1,537.873117,532.4943858299999,543.25184817
elders_65_plus,county,2,746.5493349999999,739.08384165,754.0148283499999
elders_65_plus,county,3,148.70532999999998,147.21827669999996,150.1923833
elders_65_plus,county,4,338.845404,335.45694996,342.23385804
elders_65_plus,county,5,432.77508,428.4473292,437.1028308
elders_65_plus,county,6,344.04907199999985,340.60858127999984,347.48956271999987
elders_65_plus,county,7,291.4062559999999,288.49219343999994,294.3203185599999
elders_65_plus,county,8,353.882499,350.34367401,357.42132399
elders_65_plus,county,9,494.837756,489.88937844000003,499.78613356
elders_65_plus,county,10,29.809253,29.511160469999997,30.10734553
elders_65_plus,county,11,384.70136599999995,380.85435233999993,388.54837965999997
elders_65_plus,county,12,0.0,0.0,0.0
elders_65_plus,county,13,113.63392900000001,112.49758971000001,114.77026829
elders_65_plus,county,14,192.833334,190.90500066,194.76166734
elders_65_plus,county,15,180.46391200000002,178.65927288000003,182.26855112
elders_65_plus,county,16,129.835649,128.53729251,131.13400549
elders_65_plus,nation,0,5100.101866,5049.10084734,5151.10288466
elders_65_plus,state,0,1077.8321449999999,1067.0538235499998,1088.6104664499999
elders_65_plus,state,1,959.1150219999998,949.5238717799998,968.7061722199999
elders_65_plus,state,2,1161.0599539999998,1149.4493544599998,1172.67055354
