estimand,level,unit,estimate,lower,upper,sex,age_band
low_income_household_share,county,0,0.274058744583911,0.07381993667202141,0.4742975524958006,,
low_income_household_share,county,1,0.31988841456705985,0.17599475023395403,0.46378207890016565,,
low_income_household_share,county,2,0.2540183468539026,0.13071619892931224,0.377320494778493,,
low_income_household_share,county,3,0.2953617959197721,0.1396949031780167,0.45102868866152745,,
low_income_household_share,county,4,0.3068087036561522,0.18810033231201645,0.42551707500028796,,
low_income_household_share,county,5,0.3164214691794163,0.162485445200166,0.47035749315866665,,
low_income_household_share,county,6,0.2982429847709117,0.14562356713632613,0.4508624024054973,,
low_income_household_share,county,7,0.29326512928641824,0.17544712578572413,0.41108313278711234,,
low_income_household_share,county,8,0.33148499678015153,0.21106909657348552,0.45190089698681757,,
low_income_household_share,county,9,0.27338494884630715,0.07321230267258994,0.47355759502002437,,
low_income_household_share,county,10,0.3203224124116124,0.20069235742431651,0.4399524673989083,,
low_income_household_share,county,11,0.32119501979640463,0.20150432569250876,0.4408857139003005,,
low_income_household_share,county,12,0.2721212503359194,0.14704165956631635,0.39720084110552245,,
low_income_household_share,county,13,0.27716086620736463,0.07661580356917447,0.4777059288455548,,
low_income_household_share,county,14,0.35251043232166446,0.2305557372867946,0.47446512735653434,,
low_income_household_share,county,15,0.30596716946180336,0.17731255819587116,0.43462178072773555,,
low_income_household_share,county,16,0.33772551057063677,0.1821667046686377,0.4932843164726358,,
low_income_household_share,county,17,0.30311551617018795,0.18465328249354612,0.4215777498468298,,
low_income_household_share,nation,0,0.302931544686829,0.22837428514815572,0.37748880422550224,,
low_income_household_share,state,0,0.2745450324833009,0.10699012834858099,0.44209993661802083,,
low_income_household_share,state,1,0.31988841456705985,0.2087808822804978,0.4309959468536219,,
low_income_household_share,state,2,0.276205412037343,0.18320163005431872,0.3692091940203673,,
low_income_household_share,state,3,0.2953617959197721,0.16490005167342006,0.4258235401661241,,
low_income_household_share,state,4,0.3133110832119862,0.22811280447145604,0.39850936195251635,,
low_income_household_share,state,5,0.31565779649411535,0.19528287689926457,0.4360327160889661,,
mean_income_adults,county,0,19450.91633322847,9836.05305382948,29065.77961262746,,
mean_income_adults,county,1,17912.126590056396,11614.113808005477,24210.139372107315,,
mean_income_adults,county,2,19445.34928563493,12933.332380329499,25957.36619094036,,
mean_income_adults,county,3,18203.97959075851,10979.83814633367,25428.12103518335,,
mean_income_adults,county,4,17073.556700774763,12069.307365099714,22077.806036449812,,
mean_income_adults,county,5,18586.39801843045,12016.409510261496,25156.386526599403,,
mean_income_adults,county,6,18360.91948522629,11925.489842645002,24796.34912780758,,
mean_income_adults,county,7,18042.49359873058,12822.80111272543,23262.18608473573,,
mean_income_adults,county,8,18304.4569255075,13009.46270718725,23599.45114382775,,
mean_income_adults,county,9,21387.365784913676,11320.672798040356,31454.058771786997,,
mean_income_adults,county,10,16426.08388924407,11567.54530811198,21284.62247037616,,
mean_income_adults,county,11,18418.698629562372,13092.627322988477,23744.76993613627,,
mean_income_adults,county,12,18428.69046703385,12034.806739108244,24822.57419495946,,
mean_income_adults,county,13,21086.88944362393,11105.370829168227,31068.408058079636,,
mean_income_adults,county,14,19505.10997120051,13868.615220128297,25141.60472227272,,
mean_income_adults,county,15,17330.347742780763,11464.727312201983,23195.968173359543,,
mean_income_adults,county,16,19050.986259355843,12253.597491560704,25848.37502715098,,
mean_income_adults,county,17,17632.967902262655,12525.589255623301,22740.34654890201,,
mean_income_adults,nation,0,18527.828633257915,13510.753345737656,23544.903920778175,,
mean_income_adults,state,0,20353.127781256106,11635.117342380232,29071.13822013198,,
mean_income_adults,state,1,17912.126590056396,12538.067178152589,23286.186001960203,,
mean_income_adults,state,2,18410.211034941938,13144.949486334954,23675.472583548923,,
mean_income_adults,state,3,18203.97959075851,11916.272253601874,24491.686927915147,,
mean_income_adults,state,4,17800.064059515407,13648.33325569484,21951.794863335974,,
mean_income_adults,state,5,18649.60465220503,13061.728265488133,24237.481038921927,,
median_household_income,county,0,25943.78596923222,14821.657892836782,37065.91404562766,,
median_household_income,county,1,23341.24882260509,12962.75428322996,33719.74336198022,,
median_household_income,county,2,30397.297629475488,20765.775489622996,40028.81976932798,,
median_household_income,county,3,25297.441119483363,15358.688035561525,35236.194203405204,,
median_household_income,county,4,25767.18689453015,18269.769687021566,33264.604102038735,,
median_household_income,county,5,27295.2667329065,19114.35836915391,35476.17509665909,,
median_household_income,county,6,29723.72693798246,20835.927953638835,38611.52592232609,,
median_household_income,county,7,29201.214384704544,20264.62706273327,38137.80170667582,,
median_household_income,county,8,15217.957002549292,10814.037854448605,19621.87615064998,,
median_household_income,county,9,25370.933270730286,14411.16537706471,36330.70116439586,,
median_household_income,county,10,25609.66029748426,18190.821004419056,33028.499590549465,,
median_household_income,county,11,21305.88498980783,15140.182533287054,27471.587446328605,,
median_household_income,county,12,25894.526339048803,17126.643800901446,34662.40887719616,,
median_household_income,county,13,24328.900691576593,13671.02312924521,34986.77825390798,,
median_household_income,county,14,24238.9777209438,17223.088629975657,31254.866811911943,,
median_household_income,county,15,15576.490500823153,9456.014659354423,21696.966342291882,,
median_household_income,county,16,21920.9589314625,15216.088678769276,28625.829184155726,,
median_household_income,county,17,28455.631194379795,20220.866234324538,36690.39615443505,,
median_household_income,nation,0,25261.24181998621,18694.15574204967,31828.327897922754,,
median_household_income,state,0,25665.143169590516,15935.005800057335,35395.2805391237,,
median_household_income,state,1,23341.24882260509,14026.360697373679,32656.136947836498,,
median_household_income,state,2,25334.795959198345,18043.91136606434,32625.68055233235,,
median_household_income,state,3,25297.441119483363,16572.74516657434,34022.13707239239,,
median_household_income,state,4,24238.9777209438,18467.956800606706,30009.998641280894,,
median_household_income,state,5,27292.212442247986,20502.41855503017,34082.0063294658,,
tertiary_share_25_plus,county,0,0.5398631434696112,0.5150740891416699,0.5646521977975525,,
tertiary_share_25_plus,county,1,0.4552527358568992,0.428790257115688,0.48171521459811034,,
tertiary_share_25_plus,county,2,0.43696737891941123,0.3999921114190111,0.4739426464198114,,
tertiary_share_25_plus,county,3,0.37905409318007216,0.3526776920212155,0.4054304943389288,,
tertiary_share_25_plus,county,4,0.384352314614133,0.3587096980039244,0.4099949312243416,,
tertiary_share_25_plus,county,5,0.40663122353280645,0.37287058568966375,0.44039186137594916,,
tertiary_share_25_plus,county,6,0.42302788694047927,0.39733740960591624,0.4487183642750423,,
tertiary_share_25_plus,county,7,0.3823276933788387,0.35563158232363307,0.40902380443404435,,
tertiary_share_25_plus,county,8,0.4138268453255368,0.3750860712126989,0.45256761943837476,,
tertiary_share_25_plus,county,9,0.44914920768558725,0.42121136888606947,0.477087046485105,,
tertiary_share_25_plus,county,10,0.4089389115242094,0.37451917465716555,0.4433586483912533,,
tertiary_share_25_plus,county,11,0.4188569033323445,0.38609916616799755,0.4516146404966914,,
tertiary_share_25_plus,county,12,0.4232008894406885,0.3918391725749653,0.4545626063064117,,
tertiary_share_25_plus,county,13,0.4599871240753325,0.4300098911601021,0.4899643569905629,,
tertiary_share_25_plus,county,14,0.4008742057792258,0.36824342036811086,0.4335049911903407,,
tertiary_share_25_plus,county,15,0.3726417545881002,0.3370415719632564,0.40824193721294405,,
tertiary_share_25_plus,county,16,0.400963077388859,0.3738948830027245,0.4280312717749935,,
tertiary_share_25_plus,county,17,0.37013603214447777,0.3358770796319276,0.40439498465702794,,
tertiary_share_25_plus,nation,0,0.4211011821259474,0.40044688719675925,0.4417554770551355,,
tertiary_share_25_plus,state,0,0.4968928308841124,0.47434539321590996,0.5194402685523148,,
tertiary_share_25_plus,state,1,0.4552527358568991,0.42879025711568797,0.4817152145981103,,
tertiary_share_25_plus,state,2,0.4135720147988262,0.38793206020393906,0.4392119693937134,,
tertiary_share_25_plus,state,3,0.37905409318007216,0.3526776920212155,0.4054304943389288,,
tertiary_share_25_plus,state,4,0.39291716449207803,0.3711473358997446,0.4146869930844115,,
tertiary_share_25_plus,state,5,0.41223481448954047,0.3893886160396514,0.4350810129394295,,
person_years_exposure,county,0,5028.611227245186,4595.318567986797,5569.873291891378,male,0-17
person_years_exposure,county,0,4896.540367030088,4487.6005153051765,5417.611315826893,male,18-44
person_years_exposure,county,0,4188.896221351296,3822.1047457381164,4637.520493722958,male,45-64
person_years_exposure,county,0,1033.0627833764438,909.2768299615415,1162.1616372456472,male,65-74
person_years_exposure,county,0,469.96200726089694,364.40083963698277,559.7749231937081,male,75-84
person_years_exposure,county,0,89.19425389517063,53.693558215723264,120.10821479124733,male,85+
person_years_exposure,county,0,9085.436588381384,8311.765585071493,10046.474539857038,male,18-64
person_years_exposure,county,0,1592.2190445325114,1346.7941449424163,1827.0340273954355,male,65+
