estimand,level,unit,sex,age_band,estimate,lower,upper
children_under_16,county,0,,,1196.264263011492,1172.338977751262,1220.1895482717218
children_under_16,county,1,,,1103.8706886951431,1081.7932749212403,1125.948102469046
children_under_16,county,2,,,345.15560842165866,338.2524962532255,352.0587205900918
children_under_16,county,3,,,1034.6516168231333,1013.9585844866706,1055.344649159596
children_under_16,county,4,,,1699.7058797133225,1665.711762119056,1733.699997307589
children_under_16,county,5,,,366.6714595174714,359.338030327122,374.00488870782084
children_under_16,county,6,,,880.0115028419317,862.411272785093,897.6117328987704
children_under_16,county,7,,,1573.7411513803813,1542.2663283527736,1605.215974407989
children_under_16,county,8,,,407.34048512860176,399.1936754260297,415.4872948311738
children_under_16,county,9,,,842.3399248424116,825.4931263455634,859.1867233392599
children_under_16,county,10,,,253.5653622286477,248.49405498407475,258.63666947322065
children_under_16,county,11,,,426.97135188178737,418.43192484415164,435.5107789194231
children_under_16,county,12,,,498.2596526242621,488.2944595717769,508.22484567674735
children_under_16,county,13,,,1033.459067453715,1012.7898861046408,1054.1282488027894
children_under_16,county,14,,,628.1877361019402,615.6239813799015,640.751490823979
children_under_16,county,15,,,600.3290154259977,588.3224351174778,612.3355957345176
children_under_16,county,16,,,1549.4219622687,1518.4335230233262,1580.410401514074
children_under_16,county,17,,,227.39087322440028,222.84305575991226,231.9386906888883
children_under_16,nation,0,,,14667.337601584997,14373.990849553296,14960.684353616698
children_under_16,state,0,,,3072.0632553076184,3010.621990201466,3133.504520413771
children_under_16,state,1,,,1103.8706886951431,1081.7932749212403,1125.948102469046
children_under_16,state,2,,,1443.7442764719185,1414.86939094248,1472.619162001357
children_under_16,state,3,,,1034.6516168231333,1013.9585844866706,1055.344649159596
children_under_16,state,4,,,5216.902839659081,5112.564782865899,5321.240896452263
children_under_16,state,5,,,2796.104924628103,2740.1828261355413,2852.027023120665
elders_65_plus,county,0,,,534.3883060931463,523.7005399712833,545.0760722150093
elders_65_plus,county,1,,,530.605749950895,519.9936349518771,541.2178649499128
elders_65_plus,county,2,,,150.87123987486365,147.85381507736636,153.88866467236093
elders_65_plus,county,3,,,672.7777157321376,659.3221614174948,686.2332700467804
elders_65_plus,county,4,,,901.1954216467446,883.1715132138097,919.2193300796796
elders_65_plus,county,5,,,206.8219904094713,202.68555060128188,210.95843021766075
elders_65_plus,county,6,,,496.37277698273164,486.445321443077,506.3002325223863
elders_65_plus,county,7,,,834.4080804852457,817.7199188755408,851.0962420949506
elders_65_plus,county,8,,,215.97464869108742,211.65515571726567,220.29414166490918
elders_65_plus,county,9,,,376.28525695316165,368.7595518140984,383.8109620922249
elders_65_plus,county,10,,,134.44205039003427,131.7532093822336,137.13089139783494
elders_65_plus,county,11,,,226.38306549547696,221.8554041855674,230.9107268053865
elders_65_plus,county,12,,,217.79466923569808,213.43877585098411,222.15056262041205
elders_65_plus,county,13,,,461.66090348875275,452.4276854189777,470.8941215585278
elders_65_plus,county,14,,,333.0693377404718,326.40795098566235,339.7307244952812
elders_65_plus,county,15,,,262.41028880958777,257.162083033396,267.6584945857795
elders_65_plus,county,16,,,873.9554876789975,856.4763779254176,891.4345974325774
elders_65_plus,county,17,,,120.56416131751466,118.15287809116437,122.97544454386495
