county,age_band,sex,count
0,0-15,male,784.684
0,0-15,female,816.532
0,16-24,male,267.562
0,16-24,female,256.646
0,25-44,male,633.056
0,25-44,female,644.007
0,45-64,male,750.958
0,45-64,female,761.669
0,65+,male,290.281
0,65+,female,303.182
1,0-15,male,796.193
1,0-15,female,730.512
1,16-24,male,286.943
1,16-24,female,261.148
1,25-44,male,615.987
1,25-44,female,565.72
1,45-64,male,691.741
1,45-64,female,752.088
1,65+,male,264.86
1,65+,female,289.364
2,0-15,male,210.764
2,0-15,female,186.252
2,16-24,male,112.864
2,16-24,female,83.564
2,25-44,male,169.013
2,25-44,female,160.848
2,45-64,male,207.282
2,45-64,female,189.428
2,65+,male,85.757
2,65+,female,79.89
3,0-15,male,691.813
3,0-15,female,667.519
3,16-24,male,277.207
3,16-24,female,265.008
3,25-44,male,585.107
3,25-44,female,518.706
3,45-64,male,735.243
3,45-64,female,786.475
3,65+,male,327.218
3,65+,female,302.803
4,0-15,male,902.178
4,0-15,female,802.416
4,16-24,male,363.087
4,16-24,female,358.812
4,25-44,male,745.637
4,25-44,female,698.596
4,45-64,male,883.667
4,45-64,female,953.276
4,65+,male,322.967
4,65+,female,351.497
5,0-15,male,334.389
5,0-15,female,376.705
5,16-24,male,112.462
5,16-24,female,112.468
5,25-44,male,257.827
5,25-44,female,300.064
5,45-64,male,303.882
5,45-64,female,338.462
5,65+,male,142.83
5,65+,female,126.82
6,0-15,male,941.656
6,0-15,female,896.678
6,16-24,male,333.823
6,16-24,female,336.738
6,25-44,male,792.234
6,25-44,female,745.728
6,45-64,male,911.145
6,45-64,female,944.291
6,65+,male,343.836
6,65+,female,362.741
7,0-15,male,680.828
7,0-15,female,716.62
7,16-24,male,223.184
7,16-24,female,275.983
7,25-44,male,569.982
7,25-44,female,582.87
7,45-64,male,700.843
7,45-64,female,764.738
7,65+,male,290.076
7,65+,female,332.874
8,0-15,male,222.279
8,0-15,female,239.527
8,16-24,male,101.701
8,16-24,female,93.146
8,25-44,male,178.597
8,25-44,female,171.511
8,45-64,male,229.454
8,45-64,female,212.002
8,65+,male,85.827
8,65+,female,92.953
9,0-15,male,460.698
9,0-15,female,431.002
9,16-24,male,152.272
9,16-24,female,149.297
9,25-44,male,341.899
9,25-44,female,368.735
9,45-64,male,433.923
9,45-64,female,461.498
9,65+,male,168.035
9,65+,female,135.27
10,0-15,male,292.278
10,0-15,female,302.392
10,16-24,male,124.563
10,16-24,female,108.873
10,25-44,male,228.604
10,25-44,female,222.945
10,45-64,male,306.587
10,45-64,female,326.235
10,65+,male,130.092
10,65+,female,137.219
11,0-15,male,329.423
11,0-15,female,336.683
11,16-24,male,131.715
11,16-24,female,133.148
11,25-44,male,267.167
11,25-44,female,280.057
11,45-64,male,380.83
11,45-64,female,343.406
11,65+,male,131.537
11,65+,female,158.64
12,0-15,male,379.735
12,0-15,female,418.52
12,16-24,male,158.646
12,16-24,female,170.373
12,25-44,male,280.513
12,25-44,female,316.89
12,45-64,male,350.463
12,45-64,female,357.231
12,65+,male,115.13
12,65+,female,88.164
13,0-15,male,350.402
13,0-15,female,336.59
13,16-24,male,94.654
13,16-24,female,132.381
13,25-44,male,290.193
13,25-44,female,288.24
13,45-64,male,348.444
13,45-64,female,320.424
13,65+,male,132.256
13,65+,female,106.44
14,0-15,male,366.53
14,0-15,female,343.826
14,16-24,male,160.255
14,16-24,female,148.846
14,25-44,male,255.76
14,25-44,female,275.784
14,45-64,male,379.413
14,45-64,female,356.257
14,65+,male,124.407
14,65+,female,141.522
15,0-15,male,177.941
15,0-15,female,208.521
15,16-24,male,60.115
15,16-24,female,78.875
15,25-44,male,133.845
15,25-44,female,164.362
15,45-64,male,226.034
15,45-64,female,242.174
15,65+,male,77.55
15,65+,female,99.816
16,0-15,male,663.574
16,0-15,female,650.605
16,16-24,male,298.825
16,16-24,female,282.829
16,25-44,male,563.657
16,25-44,female,553.521
16,45-64,male,721.805
16,45-64,female,704.027
16,65+,male,365.57
16,65+,female,327.739
17,0-15,male,245.16
17,0-15,female,252.421
17,16-24,male,101.721
17,16-24,female,100.3
17,25-44,male,247.127
17,25-44,female,231.48
17,45-64,male,262.323
17,45-64,female,310.507
17,65+,male,114.384
17,65+,female,102.962
