estimand,level,unit,estimate,lower,upper
children_under_16,county,0,1642.5377489334894,1626.1123714441544,1658.9631264228244
children_under_16,county,1,1205.224462903322,1193.172218274289,1217.2767075323552
children_under_16,county,2,344.8994793976577,341.4504846036811,348.34847419163424
children_under_16,county,3,1020.8237576213559,1010.6155200451423,1031.0319951975694
children_under_16,county,4,1216.5469756055675,1204.3815058495118,1228.7124453616232
children_under_16,county,5,497.76591748569695,492.78825831084,502.7435766605539
children_under_16,county,6,1286.8334851703148,1273.9651503186117,1299.701820022018
children_under_16,county,7,997.3408038214361,987.3673957832217,1007.3142118596505
children_under_16,county,8,329.58529107290593,326.28943816217685,332.881143983635
children_under_16,county,9,914.7114633923442,905.5643487584207,923.8585780262677
children_under_16,county,10,424.40827645560466,420.16419369104864,428.6523592201607
children_under_16,county,11,475.39162611119946,470.63770985008745,480.14554237231147
children_under_16,county,12,693.4664910617611,686.5318261511435,700.4011559723787
children_under_16,county,13,704.7198361455097,697.6726377840546,711.7670345069648
children_under_16,county,14,506.97243096158286,501.90270665196704,512.0421552711987
children_under_16,county,15,335.73037476910827,332.37307102141716,339.0876785167994
children_under_16,county,16,919.925217605902,910.725965429843,929.1244697819611
children_under_16,county,17,355.1173045007109,351.5661314557038,358.66847754571796
children_under_16,nation,0,13872.000943015468,13733.280933585313,14010.720952445623
children_under_16,state,0,3261.9690484713433,3229.34935798663,3294.5887389560567
children_under_16,state,1,1205.224462903322,1193.172218274289,1217.2767075323552
children_under_16,state,2,1374.096345228527,1360.3553817762418,1387.8373086808124
children_under_16,state,3,1020.8237576213559,1010.6155200451423,1031.0319951975694
children_under_16,state,4,4305.362708529007,4262.309081443717,4348.416335614297
children_under_16,state,5,2704.5246202619137,2677.4793740592945,2731.569866464533
elders_65_plus,county,0,608.7781237094434,602.690342472349,614.8659049465379
elders_65_plus,county,1,437.52007248686664,433.144871761998,441.8952732117353
elders_65_plus,county,2,143.9014478261913,142.46243334792936,145.3404623044532
elders_65_plus,county,3,473.12930099603426,468.39800798607394,477.8605940059946
elders_65_plus,county,4,481.35658265822804,476.54301683164573,486.17014848481034
elders_65_plus,county,5,188.7547418765328,186.86719445776745,190.64228929529813
elders_65_plus,county,6,494.6033953537587,489.6573614002211,499.5494293072963
elders_65_plus,county,7,444.59151486735146,440.14559971867794,449.037430016025
elders_65_plus,county,8,127.59282786092848,126.3168995823192,128.86875613953777
elders_65_plus,county,9,311.1324228381615,308.0210986097799,314.2437470665431
elders_65_plus,county,10,190.775861588439,188.8681029725546,192.6836202043234
elders_65_plus,county,11,207.095865984617,205.02490732477082,209.1668246444632
elders_65_plus,county,12,176.60714415968482,174.841072718088,178.37321560128166
elders_65_plus,county,13,244.8554687109625,242.40691402385286,247.30402339807213
elders_65_plus,county,14,189.78959313633575,187.8916972049724,191.68748906769912
elders_65_plus,county,15,154.08276538297662,152.54193772914684,155.6235930368064
elders_65_plus,county,16,485.31608019134336,480.46291938942994,490.1692409932568
elders_65_plus,county,17,155.11668392748282,153.565517088208,156.66785076675765
elders_65_plus,nation,0,5514.9998935553385,5459.849894619785,5570.149892490892
elders_65_plus,state,0,1164.7660152585674,1153.1183551059817,1176.4136754111532
elders_65_plus,state,1,437.52007248686664,433.144871761998,441.8952732117353
elders_65_plus,state,2,474.59135736885275,469.8454437951642,479.3372709425413
elders_65_plus,state,3,473.12930099603426,468.39800798607394,477.8605940059946
elders_65_plus,state,4,1796.3189300233826,1778.3557407231488,1814.2821193236164
elders_65_plus,state,5,1168.674217421635,1156.9874752474186,1180.3609595958512
households,county,0,2671.0415718222116,2644.3311561039895,2697.7519875404337
households,county,1,2111.4074517790823,2090.2933772612914,2132.521526296873
households,county,2,768.2629687312807,760.5803390439679,775.9455984185935
households,county,3,2039.8332334970648,2019.434901162094,2060.2315658320354
households,county,4,2602.672696777285,2576.6459698095123,2628.699423745058
households,county,5,862.3655205463041,853.7418653408411,870.9891757517671
households,county,6,2335.9457290044325,2312.586271714388,2359.3051862944767
households,county,7,2024.3404816101595,2004.0970767940578,2044.5838864262612
households,county,8,726.3745058104709,719.1107607523661,733.6382508685756
households,county,9,1704.0727207379898,1687.03199353061,1721.1134479453697
households,county,10,871.3946328022045,862.6806864741824,880.1085791302265
households,county,11,982.6287288846293,972.802441595783,992.4550161734755
households,county,12,1200.0731999520785,1188.0724679525576,1212.0739319515994
households,county,13,1298.0150952438003,1285.0349442913623,1310.9952461962382
households,county,14,1172.0833832514677,1160.362549418953,1183.8042170839824
households,county,15,741.7712950760753,734.3535821253145,749.1890080268361
households,county,16,2057.8666586797654,2037.2879920929677,2078.445325266563
households,county,17,842.7218162213969,834.2945980591829,851.1490343836109
households,nation,0,27012.871690427703,26742.742973523425,27283.00040733198
households,state,0,5673.129387804001,5616.398093925962,5729.860681682041
households,state,1,2111.4074517790823,2090.2933772612914,2132.521526296873
households,state,2,2710.1074637594343,2683.00638912184,2737.2085383970284
households,state,3,2039.8332334970648,2019.434901162094,2060.2315658320354
households,state,4,9222.216245357615,9129.994082904039,9314.43840781119
households,state,5,5256.177908230502,5203.616129148197,5308.739687312807
low_income_household_share,county,0,0.30082142241351256,0.29082142241351255,0.31082142241351257
low_income_household_share,county,1,0.33387254817637474,0.32387254817637473,0.34387254817637475
low_income_household_share,county,2,0.2857703806967934,0.2757703806967934,0.2957703806967934
low_income_household_share,county,3,0.30043381112304185,0.29043381112304184,0.31043381112304186
low_income_household_share,county,4,0.30879846264791116,0.29879846264791116,0.3187984626479112
low_income_household_share,county,5,0.29800408293523983,0.2880040829352398,0.30800408293523984
low_income_household_share,county,6,0.26906890547369355,0.25906890547369354,0.27906890547369356
low_income_household_share,county,7,0.289392937111373,0.279392937111373,0.299392937111373
low_income_household_share,county,8,0.3290473555909802,0.3190473555909802,0.3390473555909802
low_income_household_share,county,9,0.31240386457766334,0.30240386457766333,0.32240386457766335
low_income_household_share,county,10,0.30993929065016546,0.29993929065016545,0.31993929065016546
low_income_household_share,county,11,0.2982791863281047,0.2882791863281047,0.3082791863281047
low_income_household_share,county,12,0.2855310706519462,0.2755310706519462,0.2955310706519462
low_income_household_share,county,13,0.3057229693987259,0.2957229693987259,0.3157229693987259
low_income_household_share,county,14,0.32900943222944956,0.31900943222944955,0.33900943222944957
low_income_household_share,county,15,0.3076071676331179,0.2976071676331179,0.3176071676331179
low_income_household_share,county,16,0.2955202836565405,0.2855202836565405,0.3055202836565405
low_income_household_share,county,17,0.30509209157330375,0.29509209157330374,0.31509209157330376
low_income_household_share,nation,0,0.30206666094444345,0.29206666094444345,0.31206666094444346
low_income_household_share,state,0,0.3051533494646444,0.2951533494646444,0.3151533494646444
low_income_household_share,state,1,0.33387254817637474,0.32387254817637473,0.34387254817637475
low_income_household_share,state,2,0.2913963976061272,0.28139639760612717,0.3013963976061272
low_income_household_share,state,3,0.30043381112304185,0.29043381112304184,0.31043381112304186
low_income_household_share,state,4,0.3067304989880742,0.2967304989880742,0.3167304989880742
low_income_household_share,state,5,0.2835856869727016,0.2735856869727016,0.2935856869727016
mean_income_adults,county,0,15774.324135658953,15616.580894302364,15932.067377015543
mean_income_adults,county,1,15709.215784773834,15552.123626926095,15866.307942621574
mean_income_adults,county,2,17403.801400371445,17229.76338636773,17577.83941437516
mean_income_adults,county,3,15797.001892635568,15639.031873709213,15954.971911561923
mean_income_adults,county,4,15647.822693118345,15491.344466187162,15804.300920049529
mean_income_adults,county,5,16043.778755925723,15883.340968366465,16204.216543484981
mean_income_adults,county,6,15946.496242644613,15787.031280218167,16105.961205071058
mean_income_adults,county,7,16503.62285871269,16338.586630125563,16668.659087299817
mean_income_adults,county,8,16367.254600364671,16203.582054361024,16530.927146368318
mean_income_adults,county,9,17294.97603284215,17122.02627251373,17467.925793170572
mean_income_adults,county,10,15452.868523573417,15298.339838337683,15607.397208809152
mean_income_adults,county,11,16909.47865623244,16740.383869670117,17078.573442794765
mean_income_adults,county,12,16299.46987902591,16136.475180235651,16462.46457781617
mean_income_adults,county,13,17024.806091397473,16854.5580304835,17195.054152311448
mean_income_adults,county,14,17425.915858515815,17251.656699930656,17600.175017100973
mean_income_adults,county,15,16044.735998986946,15884.288638997075,16205.183358976816
mean_income_adults,county,16,16609.053238142445,16442.96270576102,16775.14377052387
mean_income_adults,county,17,16226.597340704706,16064.331367297658,16388.863314111753
mean_income_adults,nation,0,16245.85316194543,16083.394630325976,16408.311693564883
mean_income_adults,state,0,16475.354306776404,16310.60076370864,16640.107849844168
mean_income_adults,state,1,15709.215784773834,15552.123626926095,15866.307942621574
mean_income_adults,state,2,16525.994498906257,16360.734553917195,16691.25444389532
mean_income_adults,state,3,15797.001892635568,15639.031873709213,15954.971911561923
mean_income_adults,state,4,16272.9418193811,16110.21240118729,16435.671237574912
mean_income_adults,state,5,16203.399799861769,16041.36580186315,16365.433797860387
median_household_income,county,0,22453.74808434292,22229.21060349949,22678.285565186347
median_household_income,county,1,18811.195,18623.08305,18999.30695
median_household_income,county,2,21324.337641033762,21111.094264623425,21537.5810174441
median_household_income,county,3,21011.405,20801.29095,21221.51905
median_household_income,county,4,25352.642410354903,25099.115986251356,25606.16883445845
median_household_income,county,5,18796.877419195032,18608.90864500308,18984.846193386984
median_household_income,county,6,28325.02886082181,28041.778572213592,28608.27914943003
median_household_income,county,7,33182.08597438238,32850.26511463856,33513.9068341262
median_household_income,county,8,21186.08,20974.219200000003,21397.9408
median_household_income,county,9,15852.443318794081,15693.918885606141,16010.967751982022
median_household_income,county,10,20759.44501959996,20551.85056940396,20967.03946979596
median_household_income,county,11,21718.190679080544,21501.008772289737,21935.37258587135
median_household_income,county,12,30392.038079179627,30088.117698387832,30695.95845997142
median_household_income,county,13,19737.63014266165,19540.253841235033,19935.006444088263
median_household_income,county,14,21186.08,20974.219200000003,21397.9408
median_household_income,county,15,20195.63,19993.6737,20397.586300000003
median_household_income,county,16,17883.616673745866,17704.780507008407,18062.452840483325
median_household_income,county,17,20835.801437612037,20627.443423235916,21044.15945198816
median_household_income,nation,0,21435.2,21220.848,21649.552
median_household_income,state,0,20627.88,20421.6012,20834.1588
median_household_income,state,1,18811.195,18623.08305,18999.30695
median_household_income,state,2,20195.63,19993.6737,20397.586300000003
median_household_income,state,3,21011.405,20801.29095,21221.51905
median_household_income,state,4,21186.08,20974.219200000003,21397.9408
median_household_income,state,5,23736.94,23499.5706,23974.3094
persons,county,0,5650.733988966179,5594.226649076517,5707.241328855841
persons,county,1,4148.095466538738,4106.61451187335,4189.576421204126
persons,county,2,1290.6356440393379,1277.7292875989444,1303.5420004797313
persons,county,3,3872.849604221636,3834.12110817942,3911.5781002638523
persons,county,4,4554.847685296234,4509.299208443272,4600.396162149196
persons,county,5,1684.135284240825,1667.2939313984168,1700.9766370832333
persons,county,6,4626.207723674742,4579.945646437995,4672.469800911489
persons,county,7,3666.9249220436554,3630.255672823219,3703.594171264092
persons,county,8,1161.1681458383305,1149.556464379947,1172.7798272967138
persons,county,9,3182.696090189494,3150.869129287599,3214.523051091389
persons,county,10,1555.6872151595107,1540.1303430079156,1571.244087311106
persons,county,11,1778.9421923722716,1761.1527704485488,1796.7316142959944
persons,county,12,2289.6761813384505,2266.779419525066,2312.5729431518353
persons,county,13,2461.9597025665626,2437.3401055408967,2486.5792995922284
persons,county,14,1821.7582153993765,1803.5406332453827,1839.9757975533703
persons,county,15,1276.3636363636363,1263.6,1289.1272727272726
persons,county,16,3592.506596306069,3556.581530343008,3628.4316622691294
persons,county,17,1404.8117054449508,1390.7635883905014,1418.8598224994003
persons,nation,0,50020.0,49519.8,50520.2
persons,state,0,11295.389781722235,11182.435883905013,11408.343679539457
persons,state,1,4148.095466538738,4106.61451187335,4189.576421204126
persons,state,2,4856.675461741424,4808.10870712401,4905.242216358839
persons,state,3,3872.849604221636,3834.12110817942,3911.5781002638523
persons,state,4,15944.14008155433,15784.698680738786,16103.581482369873
persons,state,5,9902.849604221636,9803.82110817942,10001.878100263852
tertiary_share_25_plus,county,0,0.5398631434696112,0.5298631434696112,0.5498631434696112
tertiary_share_25_plus,county,1,0.4552527358568992,0.4452527358568992,0.4652527358568992
tertiary_share_25_plus,county,2,0.43696737891941123,0.4269673789194112,0.44696737891941124
tertiary_share_25_plus,county,3,0.37905409318007216,0.36905409318007215,0.38905409318007217
tertiary_share_25_plus,county,4,0.384352314614133,0.374352314614133,0.394352314614133
tertiary_share_25_plus,county,5,0.40663122353280645,0.39663122353280644,0.41663122353280646
tertiary_share_25_plus,county,6,0.42302788694047927,0.41302788694047926,0.4330278869404793
tertiary_share_25_plus,county,7,0.3823276933788387,0.3723276933788387,0.3923276933788387
tertiary_share_25_plus,county,8,0.4138268453255368,0.4038268453255368,0.4238268453255368
