estimand,level,unit,estimate,lower,upper
children_under_16,county,0,1420.4544971777734,788.9522261267231,2051.956768228824
children_under_16,county,1,1410.936277852451,811.6215066508028,2010.2510490540992
children_under_16,county,2,501.69271061167433,294.1118209502675,709.2736002730812
children_under_16,county,3,373.71890560345724,190.18300484740715,557.2548063595074
children_under_16,county,4,552.3588264431261,305.5352310181306,799.1824218681215
children_under_16,county,5,290.36930746676035,197.69496246791607,383.0436524656046
children_under_16,county,6,703.9798496480998,306.021433673102,1101.9382656230978
children_under_16,county,7,380.5258380507017,187.53693149458132,573.514744606822
children_under_16,county,8,399.48667265364867,219.70360642800324,579.2697388792941
children_under_16,county,9,554.3494215095701,293.2622431169626,815.4365999021776
children_under_16,county,10,417.4468968038623,215.22462308433077,619.6691705233937
children_under_16,county,11,1064.0399600823237,660.420856180938,1467.6590639837093
children_under_16,county,12,639.0411902389959,361.1658716401016,916.9165088378902
children_under_16,county,13,407.1083231584909,254.13284536005744,560.0838009569244
children_under_16,county,14,382.0748342957597,165.45503519745532,598.694633394064
children_under_16,county,15,1083.8813254852723,565.0024531492356,1602.760197821309
children_under_16,county,16,1060.4795740812729,623.678060864541,1497.2810872980049
children_under_16,nation,0,11641.94441116324,9296.02078550743,13987.86803681905
children_under_16,state,0,3560.823909705904,2412.659906479121,4708.987912932687
children_under_16,state,1,2874.4629105884233,1935.1838182416168,3813.7420029352297
children_under_16,state,2,2225.7511276261966,1503.0285875360157,2948.4736677163773
children_under_16,state,3,1434.19847968473,907.7469002997951,1960.650059069665
children_under_16,state,4,1256.3386760912258,742.6274073010943,1770.0499448813573
children_under_16,state,5,290.36930746676035,210.0601225568328,370.6784923766879
elders_65_plus,county,0,879.6430259685069,491.7820150378985,1267.5040368991154
elders_65_plus,county,1,879.5357543375341,505.63585781317863,1253.4356508618894
elders_65_plus,county,2,446.80785784723366,265.31699205443357,628.2987236400338
elders_65_plus,county,3,313.8412672942536,159.9589881504115,467.7235464380957
elders_65_plus,county,4,579.3876775364007,307.9478191453843,850.8275359274171
elders_65_plus,county,5,283.7229637525629,192.2190516853967,375.2268758197291
elders_65_plus,county,6,596.0146890352167,264.6680996235081,927.3612784469253
elders_65_plus,county,7,276.1684365789901,135.27222750659539,417.0646456513848
elders_65_plus,county,8,343.782621350432,188.83082759765608,498.73441510320794
elders_65_plus,county,9,350.2040140550597,184.80131195588302,515.6067161542364
elders_65_plus,county,10,357.68741963141906,194.07672000167037,521.2981192611678
elders_65_plus,county,11,989.3220941881292,613.068915681336,1365.5752726949224
