estimand,level,unit,estimate,lower,upper
children_under_16,county,0,1435.3592644210428,861.2155586526256,2009.50297018946
children_under_16,county,1,1395.8269261879911,837.4961557127947,1954.1576966631876
children_under_16,county,2,505.06669462597813,303.0400167755869,707.0933724763694
children_under_16,county,3,354.7663783876169,212.85982703257014,496.67292974266365
children_under_16,county,4,566.0459168354231,339.62755010125386,792.4642835695923
children_under_16,county,5,287.6141600614362,172.56849603686175,402.6598240860107
children_under_16,county,6,705.7112841889793,423.42677051338757,987.9957978645712
children_under_16,county,7,375.8502635076887,225.5101581046132,526.1903689107642
children_under_16,county,8,410.9168167909843,246.55009007459057,575.283543507378
children_under_16,county,9,575.0318350610187,345.01910103661123,805.0445690854261
children_under_16,county,10,405.62568342685796,243.37541005611476,567.8759567976011
children_under_16,county,11,1112.0270709108931,667.2162425465358,1556.8378992752505
children_under_16,county,12,661.1317521825863,396.67905130955177,925.5844530556208
children_under_16,county,13,425.12034618540025,255.07220771124014,595.1684846595604
children_under_16,county,14,359.49192080593133,215.6951524835588,503.2886891283039
children_under_16,county,15,1043.1438085951645,625.8862851570987,1460.4013320332303
children_under_16,county,16,1115.6102152049082,669.3661291229448,1561.8543012868715
children_under_16,nation,0,11734.340337379901,7040.60420242794,16428.07647233186
children_under_16,state,0,3545.2605086256513,2127.1563051753906,4963.364712075912
children_under_16,state,1,2918.7708138898684,1751.262488333921,4086.2791394458154
children_under_16,state,2,2240.561060186017,1344.3366361116102,3136.785484260424
children_under_16,state,3,1470.3765935925248,882.2259561555148,2058.527231029535
children_under_16,state,4,1271.7572010244023,763.0543206146414,1780.4600814341634
children_under_16,state,5,287.6141600614362,172.56849603686175,402.6598240860107
elders_65_plus,county,0,581.7542351286138,349.05254107716826,814.4559291800593
elders_65_plus,county,1,564.5386030200799,338.7231618120479,790.3540442281119
elders_65_plus,county,2,325.3797550240868,195.22785301445208,455.53165703372156
elders_65_plus,county,3,200.39226771799466,120.23536063079679,280.54917480519254
elders_65_plus,county,4,405.17198975120664,243.10319385072398,567.2407856516893
elders_65_plus,county,5,200.47425247063623,120.28455148238173,280.6639534588907
elders_65_plus,county,6,373.48882679194037,224.0932960751642,522.8843575087166
elders_65_plus,county,7,172.27541541600775,103.36524924960464,241.18558158241086
elders_65_plus,county,8,228.7544199843841,137.25265199063045,320.25618797813775
elders_65_plus,county,9,233.58030515851885,140.1481830951113,327.0124272219264
elders_65_plus,county,10,239.1676431968836,143.50058591813016,334.8347004756371
elders_65_plus,county,11,627.028871523252,376.2173229139512,877.8404201325527
elders_65_plus,county,12,342.5333784534654,205.52002707207922,479.5467298348516
elders_65_plus,county,13,219.79428112369288,131.87656867421572,307.71199357317005
elders_65_plus,county,14,226.10760142822926,135.66456085693756,316.55064199952096
elders_65_plus,county,15,474.5843723176545,284.7506233905927,664.4181212447163
elders_65_plus,county,16,575.22226085958,345.133356515748,805.3111652034121
elders_65_plus,nation,0,5990.248479366227,3594.1490876197363,8386.347871112717
elders_65_plus,state,0,1638.0396290966175,982.8237774579704,2293.2554807352644
elders_65_plus,state,1,1420.321894527716,852.1931367166296,1988.4506523388025
elders_65_plus,state,2,1177.1373581505356,706.2824148903214,1647.9923014107499
elders_65_plus,state,3,775.6145285775749,465.3687171465449,1085.860340008605
elders_65_plus,state,4,778.660816543147,467.19648992588816,1090.125143160406
elders_65_plus,state,5,200.47425247063623,120.28455148238173,280.6639534588907
households,county,0,3024.950721646075,1814.9704329876452,4234.931010304505
households,county,1,3070.7703915146267,1842.462234908776,4299.0785481204775
households,county,2,1511.5199841291658,906.9119904774994,2116.127977780832
households,county,3,949.0251772315054,569.4151063389032,1328.6352481241074
households,county,4,1838.4437456125759,1103.0662473675454,2573.8212438576065
households,county,5,1030.2496438856142,618.1497863313684,1442.34950143986
households,county,6,1853.4900871865034,1112.094052311902,2594.8861220611047
households,county,7,1005.3434892071618,603.2060935242971,1407.4808848900266
households,county,8,1151.077270880987,690.6463625285921,1611.508179233382
households,county,9,1455.613132051688,873.3678792310127,2037.858384872363
households,county,10,1222.4205489087499,733.4523293452498,1711.38876847225
households,county,11,2839.3550298278046,1703.6130178966828,3975.0970417589265
households,county,12,1765.2434902967398,1059.1460941780438,2471.3408864154358
households,county,13,1175.4879567590162,705.2927740554097,1645.6831394626229
households,county,14,1119.4304095149303,671.6582457089581,1567.2025733209025
households,county,15,2325.308238169777,1395.1849429018662,3255.4315334376874
households,county,16,2444.2276371041357,1466.5365822624813,3421.91869194579
households,nation,0,29781.956953927052,17869.17417235623,41694.739735497875
households,state,0,8337.92299902134,5002.753799412804,11673.092198629878
households,state,1,7061.202692223418,4236.7216153340505,9885.683769112786
households,state,2,6267.394971661964,3760.436982997178,8774.352960326749
households,state,3,3393.2528143356412,2035.9516886013846,4750.553940069898
households,state,4,3691.9338327990795,2215.1602996794477,5168.707365918712
households,state,5,1030.2496438856142,618.1497863313684,1442.34950143986
low_income_household_share,county,0,0.3725730413256305,0.0,0.7725730413256305
low_income_household_share,county,1,0.34280601188049936,0.0,0.7428060118804993
low_income_household_share,county,2,0.3512523412607802,0.0,0.7512523412607802
low_income_household_share,county,3,0.4353780057827947,0.03537800578279465,0.8353780057827946
low_income_household_share,county,4,0.35809658811146017,0.0,0.7580965881114602
low_income_household_share,county,5,0.4547752751406082,0.054775275140608204,0.8547752751406082
low_income_household_share,county,6,0.34608742418815247,0.0,0.7460874241881525
low_income_household_share,county,7,0.34530215316010465,0.0,0.7453021531601047
low_income_household_share,county,8,0.3569584461333769,0.0,0.7569584461333769
low_income_household_share,county,9,0.3309755907135425,0.0,0.7309755907135425
low_income_household_share,county,10,0.4487612739721147,0.04876127397211466,0.8487612739721146
low_income_household_share,county,11,0.31749521459165797,0.0,0.717495214591658
low_income_household_share,county,12,0.42607194928580905,0.026071949285809026,0.8260719492858091
low_income_household_share,county,13,0.33697359721234166,0.0,0.7369735972123417
low_income_household_share,county,14,0.3348080290563754,0.0,0.7348080290563754
low_income_household_share,county,15,0.3852545559068366,0.0,0.7852545559068367
low_income_household_share,county,16,0.3796386061111584,0.0,0.7796386061111584
low_income_household_share,nation,0,0.36666822790543757,0.0,0.7666682279054375
low_income_household_share,state,0,0.39609833388930776,0.0,0.7960983338893077
low_income_household_share,state,1,0.3351068723678626,0.0,0.7351068723678627
low_income_household_share,state,2,0.3399146092255443,0.0,0.7399146092255443
low_income_household_share,state,3,0.3941184000132472,0.0,0.7941184000132473
low_income_household_share,state,4,0.3518056164574604,0.0,0.7518056164574605
low_income_household_share,state,5,0.4547752751406082,0.054775275140608204,0.8547752751406082
mean_income_adults,county,0,37001.18392298756,22200.710353792536,51801.65749218259
mean_income_adults,county,1,35068.39812298417,21041.0388737905,49095.75737217783
mean_income_adults,county,2,29517.036274091446,17710.221764454865,41323.85078372803
mean_income_adults,county,3,27640.867894321058,16584.520736592633,38697.21505204948
mean_income_adults,county,4,32396.853856896512,19438.112314137907,45355.59539965512
mean_income_adults,county,5,32614.273463792986,19568.56407827579,45659.98284931018
mean_income_adults,county,6,34155.16286362467,20493.097718174802,47817.22800907453
mean_income_adults,county,7,30075.10395164611,18045.062370987667,42105.14553230455
mean_income_adults,county,8,34931.2485436566,20958.749126193958,48903.74796111924
mean_income_adults,county,9,36412.58166708923,21847.549000253537,50977.614333924925
mean_income_adults,county,10,33436.77782134514,20062.066692807082,46811.48894988319
mean_income_adults,county,11,35948.29476406891,21568.976858441347,50327.61266969647
mean_income_adults,county,12,36108.96664691262,21665.37998814757,50552.55330567766
mean_income_adults,county,13,31408.280874165855,18844.968524499513,43971.5932238322
mean_income_adults,county,14,32203.716697990203,19322.230018794122,45085.203377186284
mean_income_adults,county,15,36016.95243219526,21610.171459317156,50423.73340507337
mean_income_adults,county,16,35401.23900515944,21240.743403095665,49561.73460722322
mean_income_adults,nation,0,34360.04425845306,20616.026555071836,48104.06196183429
mean_income_adults,state,0,36092.51238650201,21655.507431901206,50529.51734110281
mean_income_adults,state,1,35388.84723015461,21233.308338092767,49544.386122216456
mean_income_adults,state,2,32082.94435946513,19249.76661567908,44916.12210325118
mean_income_adults,state,3,33385.2758812178,20031.16552873068,46739.38623370492
mean_income_adults,state,4,33317.939803506924,19990.763882104155,46645.115724909694
mean_income_adults,state,5,32614.273463792986,19568.56407827579,45659.98284931018
median_household_income,county,0,35063.53763439495,21038.12258063697,49088.952688152924
median_household_income,county,1,34071.26764749373,20442.76058849624,47699.774706491226
median_household_income,county,2,26877.37479658466,16126.424877950794,37628.32471521852
median_household_income,county,3,26074.455610888825,15644.673366533294,36504.237855244355
median_household_income,county,4,36169.5682700032,21701.740962001917,50637.39557800448
median_household_income,county,5,20695.340035371755,12417.204021223053,28973.476049520457
median_household_income,county,6,39664.32665377097,23798.595992262584,55530.05731527936
median_household_income,county,7,25659.547227117037,15395.728336270222,35923.36611796385
median_household_income,county,8,32714.290384598142,19628.574230758884,45800.0065384374
median_household_income,county,9,33135.95865039032,19881.57519023419,46390.34211054645
median_household_income,county,10,25567.657425771602,15340.59445546296,35794.72039608024
median_household_income,county,11,38875.183076197514,23325.109845718507,54425.25630667652
median_household_income,county,12,30111.657242809993,18066.994345685995,42156.32013993399
median_household_income,county,13,28244.380525578323,16946.628315346992,39542.13273580965
median_household_income,county,14,29153.191931505688,17491.91515890341,40814.46870410796
median_household_income,county,15,34814.5368986945,20888.7221392167,48740.35165817231
median_household_income,county,16,36319.22844589119,21791.537067534715,50846.91982424766
median_household_income,nation,0,33031.345669138595,19818.807401483158,46243.88393679403
median_household_income,state,0,33728.504124136576,20237.102474481944,47219.90577379121
median_household_income,state,1,35491.53423936093,21294.920543616558,49688.147935105306
median_household_income,state,2,28574.932933808046,17144.959760284826,40004.90610733126
median_household_income,state,3,33131.76741761865,19879.06045057119,46384.47438466611
median_household_income,state,4,37468.44963706227,22481.069782237362,52455.82949188718
median_household_income,state,5,20695.340035371755,12417.204021223053,28973.476049520457
mortality_rate,county,0,0.1490596128017639,0.08943576768105835,0.20868345792246948
mortality_rate,county,1,0.1278655847554959,0.07671935085329754,0.17901181865769425
mortality_rate,county,2,0.1148760070517646,0.06892560423105876,0.16082640987247043
mortality_rate,county,3,0.13602118718828865,0.08161271231297318,0.19042966206360412
mortality_rate,county,4,0.14833292980750537,0.08899975788450322,0.20766610173050754
mortality_rate,county,5,0.13228049644076892,0.07936829786446134,0.1851926950170765
mortality_rate,county,6,0.1263506991576384,0.07581041949458305,0.17689097882069377
mortality_rate,county,7,0.12105897663384282,0.0726353859803057,0.16948256728737995
mortality_rate,county,8,0.15717812516515842,0.09430687509909505,0.22004937523122178
mortality_rate,county,9,0.12745096587146298,0.07647057952287778,0.1784313522200482
mortality_rate,county,10,0.13816143464618683,0.08289686078771209,0.19342600850466157
mortality_rate,county,11,0.14011886971344886,0.08407132182806931,0.1961664175988284
mortality_rate,county,12,0.15909389645577018,0.09545633787346211,0.22273145503807826
mortality_rate,county,13,0.11667718939482614,0.07000631363689569,0.1633480651527566
mortality_rate,county,14,0.1331765051162226,0.07990590306973355,0.18644710716271162
mortality_rate,county,15,0.15682263047499745,0.09409357828499847,0.21955168266499642
mortality_rate,county,16,0.13174257916942317,0.0790455475016539,0.18443961083719243
mortality_rate,state,0,0.15150380931007915,0.09090228558604749,0.2121053330341108
mortality_rate,state,1,0.1407733896559268,0.08446403379355608,0.19708274551829755
mortality_rate,state,2,0.12363296165178236,0.07417977699106942,0.1730861463124953
mortality_rate,state,3,0.13365741724212254,0.08019445034527353,0.18712038413897156
mortality_rate,state,4,0.13309665738442594,0.07985799443065555,0.18633532033819633
mortality_rate,state,5,0.13228049644076892,0.07936829786446134,0.1851926950170765
person_years_exposure,county,0,1396.6837312588948,838.0102387553369,1955.3572237624526
person_years_exposure,county,1,1367.9989303627697,820.7993582176617,1915.1985025078775
person_years_exposure,county,2,992.8662973450789,595.7197784070473,1390.0128162831106
person_years_exposure,county,3,505.53371575356334,303.320229452138,707.7472020549887
person_years_exposure,county,4,987.1713935954251,592.3028361572551,1382.0399510335951
person_years_exposure,county,5,573.938780517685,344.36326831061103,803.514292724759
person_years_exposure,county,6,1070.456298284428,642.2737789706567,1498.6388175981992
person_years_exposure,county,7,513.2697592970571,307.96185557823424,718.57766301588
person_years_exposure,county,8,548.0260453898513,328.8156272339108,767.2364635457918
person_years_exposure,county,9,681.1420577159041,408.68523462954244,953.5988808022657
person_years_exposure,county,10,710.0965501638476,426.05793009830853,994.1351702293866
person_years_exposure,county,11,1578.968484853122,947.3810909118731,2210.555878794371
person_years_exposure,county,12,806.1292488674018,483.677549320441,1128.5809484143624
person_years_exposure,county,13,648.0880075421102,388.8528045252661,907.3232105589543
person_years_exposure,county,14,733.2171527846115,439.93029167076685,1026.5040138984562
person_years_exposure,county,15,1180.910380627057,708.5462283762342,1653.27453287788
person_years_exposure,county,16,1391.444235658843,834.8665413953057,1948.02192992238
person_years_exposure,state,0,4093.819910917206,2456.2919465503237,5731.347875284088
person_years_exposure,state,1,3494.9934606057463,2096.9960763634476,4892.9908448480455
person_years_exposure,state,2,3568.583274684761,2141.1499648108565,4996.016584558665
person_years_exposure,state,3,1896.977951412408,1138.1867708474447,2655.769131977371
person_years_exposure,state,4,2057.627691879851,1234.5766151279108,2880.6787686317916
person_years_exposure,state,5,573.938780517685,344.36326831061103,803.514292724759
persons,county,0,6067.752171019934,3640.6513026119605,8494.853039427908
persons,county,1,6186.734726425759,3712.040835855455,8661.428616996061
persons,county,2,2666.515065926023,1599.9090395556138,3733.121092296432
persons,county,3,1814.8895157629436,1088.933709457766,2540.8453220681213
persons,county,4,3076.613120278997,1845.9678721673981,4307.258368390596
persons,county,5,1686.176075058866,1011.7056450353195,2360.6465050824127
persons,county,6,3384.791035076843,2030.8746210461056,4738.70744910758
persons,county,7,1750.6127707522278,1050.3676624513366,2450.857879053119
persons,county,8,1984.7145662041412,1190.8287397224847,2778.6003926857975
persons,county,9,2660.847353703413,1596.5084122220476,3725.186295184778
persons,county,10,1965.7604466981556,1179.4562680188933,2752.064625377418
persons,county,11,5167.126893430807,3100.276136058484,7233.97765080313
persons,county,12,2943.623504555758,1766.1741027334547,4121.072906378061
persons,county,13,2068.0046552183944,1240.8027931310367,2895.206517305752
persons,county,14,1918.377052541487,1151.0262315248922,2685.727873558082
persons,county,15,4519.468996078732,2711.681397647239,6327.256594510225
persons,county,16,5171.456613402616,3102.8739680415697,7240.039258763663
persons,nation,0,55033.4645621351,33020.07873728106,77046.85038698914
persons,state,0,15496.60511835258,9297.963071011547,21695.24716569361
persons,state,1,13338.576186060707,8003.145711636424,18674.006660484993
persons,state,2,11064.356898141543,6638.6141388849255,15490.099657398161
persons,state,3,6986.346129165559,4191.807677499335,9780.884580831784
persons,state,4,6461.404155355839,3876.842493213503,9045.965817498174
persons,state,5,1686.176075058866,1011.7056450353195,2360.6465050824127
qualifying_event_rate,county,0,0.020431008809322374,0.012258605285593424,0.028603412333051324
qualifying_event_rate,county,1,0.029529956828804018,0.01771797409728241,0.04134193956032563
qualifying_event_rate,county,2,0.030766686301609048,0.01846001178096543,0.04307336082225267
qualifying_event_rate,county,3,0.040494086373564504,0.024296451824138702,0.05669172092299031
qualifying_event_rate,county,4,0.029906787042903577,0.017944072225742146,0.04186950186006501
qualifying_event_rate,county,5,0.03511497380378444,0.021068984282270664,0.04916096332529822
qualifying_event_rate,county,6,0.036549784137846694,0.021929870482708017,0.05116969779298537
qualifying_event_rate,county,7,0.024923102880020292,0.014953861728012174,0.03489234403202841
qualifying_event_rate,county,8,0.035434657989509614,0.021260794793705767,0.04960852118531346
qualifying_event_rate,county,9,0.029116511576258924,0.017469906945755353,0.0407631162067625
qualifying_event_rate,county,10,0.035171193266965016,0.021102715960179007,0.049239670573751025
qualifying_event_rate,county,11,0.035677997218774016,0.02140679833126441,0.04994919610628362
qualifying_event_rate,county,12,0.03459242401625726,0.020755454409754355,0.04842939362276017
qualifying_event_rate,county,13,0.024966049073410143,0.014979629444046086,0.0349524687027742
qualifying_event_rate,county,14,0.027432666877976363,0.016459600126785816,0.03840573362916691
qualifying_event_rate,county,15,0.02670728558181205,0.01602437134908723,0.03739019981453687
qualifying_event_rate,county,16,0.03982764728844586,0.023896588373067514,0.0557587062038242
qualifying_event_rate,state,0,0.027081582273409167,0.0162489493640455,0.03791421518277283
qualifying_event_rate,state,1,0.03383396092022924,0.020300376552137546,0.04736754528832094
qualifying_event_rate,state,2,0.027326262783389264,0.016395757670033557,0.03825676789674497
qualifying_event_rate,state,3,0.04012590385406098,0.024075542312436585,0.056176265395685376
qualifying_event_rate,state,4,0.03451116569111359,0.020706699414668156,0.04831563196755903
qualifying_event_rate,state,5,0.03511497380378444,0.021068984282270664,0.04916096332529822
tertiary_share_25_plus,county,0,0.545358890371591,0.145358890371591,0.945358890371591
tertiary_share_25_plus,county,1,0.49102501723397085,0.09102501723397083,0.8910250172339709
tertiary_share_25_plus,county,2,0.42834140274307914,0.028341402743079114,0.8283414027430791
tertiary_share_25_plus,county,3,0.43601347457662737,0.03601347457662735,0.8360134745766274
tertiary_share_25_plus,county,4,0.42869809373185574,0.028698093731855723,0.8286980937318558
tertiary_share_25_plus,county,5,0.40321957405983044,0.0032195740598304212,0.8032195740598305
tertiary_share_25_plus,county,6,0.4435334892396534,0.04353348923965339,0.8435334892396534
tertiary_share_25_plus,county,7,0.45019201753204474,0.05019201753204472,0.8501920175320448
tertiary_share_25_plus,county,8,0.4411682239276566,0.041168223927656566,0.8411682239276566
tertiary_share_25_plus,county,9,0.47688046519429705,0.07688046519429703,0.8768804651942971
