estimand,level,unit,estimate,lower,upper
children_under_16,county,0,1175.3084419098207,1163.5553574907224,1187.061526328919
children_under_16,county,1,1290.466564732953,1277.5618990856235,1303.3712303802824
children_under_16,county,2,504.57008279600797,499.52438196804786,509.61578362396807
children_under_16,county,3,324.1080702644875,320.8669895618426,327.34915096713235
children_under_16,county,4,566.7849027860067,561.1170537581467,572.4527518138667
children_under_16,county,5,267.0665754912155,264.39590973630334,269.7372412461276
children_under_16,county,6,702.2918116295583,695.2688935132627,709.3147297458539
children_under_16,county,7,364.83222251243075,361.1839002873064,368.4805447375551
children_under_16,county,8,385.2569099667409,381.40434086707353,389.1094790664083
children_under_16,county,9,553.4305409895985,547.8962355797025,558.9648463994945
children_under_16,county,10,340.42719471822915,337.02292277104686,343.8314666654114
children_under_16,county,11,1059.1115889702332,1048.520473080531,1069.7027048599355
children_under_16,county,12,552.4453595957564,546.9209059997988,557.9698131917139
children_under_16,county,13,411.7479584109926,407.6304788268827,415.8654379951025
children_under_16,county,14,362.851942691517,359.2234232646019,366.4804621184322
children_under_16,county,15,860.3122577863231,851.7091352084599,868.9153803641864
children_under_16,county,16,1054.992126834729,1044.4422055663817,1065.5420481030765
children_under_16,nation,0,10776.0045520866,10668.244506565734,10883.764597607467
children_under_16,state,0,2928.4932540101295,2899.2083214700283,2957.7781865502307
children_under_16,state,1,2734.835063669927,2707.4867130332277,2762.183414306626
children_under_16,state,2,2197.4327474005468,2175.4584199265414,2219.407074874552
children_under_16,state,3,1379.1001970992165,1365.3091951282245,1392.8911990702086
children_under_16,state,4,1269.076714415565,1256.3859472714093,1281.7674815597206
children_under_16,state,5,267.0665754912155,264.39590973630334,269.7372412461276
elders_65_plus,county,0,489.29003010313806,484.3971298021067,494.18293040416944
elders_65_plus,county,1,478.1317524330692,473.3504349087385,482.9130699573999
elders_65_plus,county,2,331.10525114104325,327.79419862963283,334.4163036524537
elders_65_plus,county,3,183.33669560371462,181.50332864767748,185.17006255975176
elders_65_plus,county,4,400.4011075913672,396.3970965154535,404.4051186672809
