estimand,level,unit,sex,age_band,estimate,lower,upper
children_under_16,county,0,,,1135.0,1123.65,1146.35
children_under_16,county,1,,,1236.0,1223.64,1248.36
children_under_16,county,2,,,473.0,468.27,477.73
children_under_16,county,3,,,323.0,319.77,326.23
children_under_16,county,4,,,534.0,528.66,539.34
children_under_16,county,5,,,259.0,256.41,261.59
children_under_16,county,6,,,663.0,656.37,669.63
children_under_16,county,7,,,355.0,351.45,358.55
children_under_16,county,8,,,371.99999999999994,368.2799999999999,375.71999999999997
children_under_16,county,9,,,537.0,531.63,542.37
children_under_16,county,10,,,329.0,325.71,332.29
children_under_16,county,11,,,987.0,977.13,996.87
children_under_16,county,12,,,529.0,523.71,534.29
children_under_16,county,13,,,399.99999999999994,395.99999999999994,403.99999999999994
children_under_16,county,14,,,340.0,336.6,343.4
children_under_16,county,15,,,828.0,819.72,836.28
children_under_16,county,16,,,991.0,981.09,1000.91
children_under_16,nation,0,,,10291.0,10188.09,10393.91
children_under_16,state,0,,,2821.0,2792.79,2849.21
children_under_16,state,1,,,2595.0,2569.05,2620.95
children_under_16,state,2,,,2105.0,2083.95,2126.05
children_under_16,state,3,,,1314.0,1300.86,1327.14
children_under_16,state,4,,,1197.0,1185.03,1208.97
children_under_16,state,5,,,259.0,256.41,261.59
elders_65_plus,county,0,,,473.0,468.27,477.73
elders_65_plus,county,1,,,465.0,460.35,469.65
elders_65_plus,county,2,,,314.0,310.86,317.14
elders_65_plus,county,3,,,177.00000000000003,175.23000000000002,178.77000000000004
elders_65_plus,county,4,,,375.99999999999994,372.23999999999995,379.75999999999993
elders_65_plus,county,5,,,212.0,209.88,214.12
elders_65_plus,county,6,,,347.0,343.53,350.47
elders_65_plus,county,7,,,169.0,167.31,170.69
elders_65_plus,county,8,,,192.0,190.08,193.92
elders_65_plus,county,9,,,227.0,224.73,229.27
elders_65_plus,county,10,,,198.0,196.02,199.98
elders_65_plus,county,11,,,516.0,510.84,521.16
elders_65_plus,county,12,,,281.0,278.19,283.81
elders_65_plus,county,13,,,214.0,211.86,216.14
elders_65_plus,county,14,,,220.0,217.8,222.2
elders_65_plus,county,15,,,387.0,383.13,390.87
elders_65_plus,county,16,,,497.0,492.03,501.97
elders_65_plus,nation,0,,,5265.0,5212.35,5317.65
elders_65_plus,state,0,,,1339.0,1325.61,1352.39
elders_65_plus,state,1,,,1173.0,1161.27,1184.73
elders_65_plus,state,2,,,1144.0,1132.56,1155.44
elders_65_plus,state,3,,,674.0,667.26,680.74
elders_65_plus,state,4,,,723.0,715.77,730.23
elders_65_plus,state,5,,,212.0,209.88,214.12
households,county,0,,,2779.0,2751.21,2806.79
households,county,1,,,2928.0,2898.72,2957.28
households,county,2,,,1485.0,1470.15,1499.85
households,county,3,,,1019.0000000000001,1008.8100000000001,1029.19
households,county,4,,,1800.0,1782.0,1818.0
households,county,5,,,1040.0,1029.6,1050.4
households,county,6,,,1814.0000000000002,1795.8600000000001,1832.1400000000003
households,county,7,,,1006.0,995.94,1016.06
households,county,8,,,1132.0,1120.68,1143.32
households,county,9,,,1432.0,1417.68,1446.32
households,county,10,,,1156.0,1144.44,1167.56
households,county,11,,,2712.0,2684.88,2739.12
households,county,12,,,1645.0,1628.55,1661.45
households,county,13,,,1167.0,1155.33,1178.67
households,county,14,,,1114.0,1102.86,1125.14
households,county,15,,,2149.0,2127.51,2170.49
households,county,16,,,2538.0,2512.62,2563.38
households,nation,0,,,28916.0,28626.84,29205.16
households,state,0,,,7729.0,7651.71,7806.29
households,state,1,,,6772.0,6704.28,6839.72
households,state,2,,,6204.0,6141.96,6266.04
households,state,3,,,3557.0,3521.43,3592.57
households,state,4,,,3614.0,3577.86,3650.14
households,state,5,,,1040.0,1029.6,1050.4
low_income_household_share,county,0,,,0.0014353786689620632,0.0,0.011435378668962064
low_income_household_share,county,1,,,0.0010482319013661288,0.0,0.01104823190136613
