estimand,level,unit,estimate,lower,upper
children_under_16,county,0,2720.787619279959,1869.4195063699303,3572.1557321899877
children_under_16,county,1,1668.5925440904311,1164.1849949594412,2173.000093221421
children_under_16,county,2,409.51023691378833,255.77791717641173,563.2425566511649
children_under_16,county,3,469.43712197799056,315.5117556458492,623.362488310132
children_under_16,county,4,844.3743837676249,560.7290449772631,1128.0197225579866
children_under_16,county,5,2096.118043240345,1458.137664425733,2734.0984220549567
children_under_16,county,6,612.811361378885,423.6720888955605,801.9506338622094
children_under_16,county,7,536.1624867714804,374.32081605284344,698.0041574901174
children_under_16,county,8,1106.9948373686311,746.4671633672835,1467.5225113699787
children_under_16,county,9,156.62040758129265,97.85506117061917,215.38575399196614
children_under_16,county,10,1325.8614896613706,917.9265156385536,1733.7964636841875
children_under_16,county,11,447.09057320969225,279.164735888667,615.0164105307175
children_under_16,county,12,717.4411740144044,498.02272196311094,936.8596260656979
children_under_16,county,13,1006.191484269094,688.839330553438,1323.54363798475
children_under_16,county,14,451.91204643775075,313.8297913301898,589.9943015453117
children_under_16,county,15,959.7845549027778,665.4850245945374,1254.0840852110182
children_under_16,county,16,482.47366196282013,333.9312876639771,631.0160362616632
children_under_16,nation,0,16013.346167310281,13625.165678737201,18401.52665588336
children_under_16,state,0,3726.979103549053,2989.659126891376,4464.29908020673
children_under_16,state,1,2656.6670772996617,2177.893975117485,3135.4401794818386
children_under_16,state,2,1013.2212177047733,723.476269018714,1302.9661663908325
children_under_16,state,3,1576.4319593466219,1233.5682070127775,1919.2957116804662
children_under_16,state,4,844.3743837676249,648.7956711072558,1039.9530964279938
children_under_16,state,5,6194.490285160603,5041.990968756677,7346.989601564529
elders_65_plus,county,0,1499.8317886485488,1031.6530776740108,1968.0104996230868
elders_65_plus,county,1,949.1819948539156,662.9426647500056,1235.4213249578256
elders_65_plus,county,2,186.9287826105457,118.84202342692748,255.01554179416394
elders_65_plus,county,3,324.3290635148283,222.82481156122157,425.83331546843505
elders_65_plus,county,4,525.2353731352396,356.58374539902,693.8870008714591
elders_65_plus,county,5,1158.6475583980866,810.7275449558731,1506.5675718403002
elders_65_plus,county,6,326.1367678518509,228.32964081930473,423.9438948843971
elders_65_plus,county,7,297.70165110103466,208.28536423433746,387.11793796773185
elders_65_plus,county,8,588.4893435984234,403.65628058281834,773.3224066140284
elders_65_plus,county,9,73.11831493917741,46.543957061530335,99.69267281682448
elders_65_plus,county,10,724.0398200700045,506.8728687190153,941.2067714209936
elders_65_plus,county,11,219.10432202630957,139.49473657038732,298.71390748223183
elders_65_plus,county,12,427.06228124861326,298.78134012804594,555.3432223691806
elders_65_plus,county,13,586.7373027195159,403.4193626550406,770.0552427839913
elders_65_plus,county,14,225.30775907161996,157.76612450982196,292.84939363341795
elders_65_plus,county,15,545.2854182402416,381.1845086749198,709.3863278055634
elders_65_plus,county,16,249.21526089306045,174.5870313282432,323.8434904578777
elders_65_plus,nation,0,8910.284040688726,7717.702026206435,10102.866055171016
elders_65_plus,state,0,2086.569091368065,1678.1906789074155,2494.9475038287146
elders_65_plus,state,1,1472.1914050265705,1210.9610444771972,1733.4217655759437
elders_65_plus,state,2,479.1514195760326,349.6219501151321,608.6808890369331
elders_65_plus,state,3,912.8184071132515,732.1571763448859,1093.4796378816172
elders_65_plus,state,4,525.2353731352396,415.1748861387514,635.2958601317277
elders_65_plus,state,5,3430.387106701857,2827.527285877461,4033.2469275262533
households,county,0,4435.689590095246,3029.281641482956,5842.097538707536
households,county,1,3155.4252143704007,2221.657810088424,4089.1926186523774
households,county,2,640.781955345595,419.3085728207767,862.2553378704132
households,county,3,1155.7171172693547,799.2831933885248,1512.1510411501847
households,county,4,1699.5015555271311,1118.3938616939033,2280.609249360359
households,county,5,3780.119129264751,2588.3543471353196,4971.883911394182
households,county,6,1254.389752394139,859.2310778397555,1649.5484269485223
households,county,7,1120.6605700538125,789.2303755103692,1452.0907645972559
households,county,8,2073.623636679894,1434.6725987539598,2712.574674605828
households,county,9,257.95625115375185,168.85835076096308,347.05415154654065
households,county,10,2595.8901399186216,1778.1148387644753,3413.665441072768
households,county,11,802.9969437042381,525.6768080193427,1080.3170793891336
households,county,12,1681.3945567797148,1151.3161509722386,2211.472962587191
households,county,13,1912.9689009997765,1304.7527415251025,2521.1850604744504
households,county,14,1117.9234199452546,787.766575181146,1448.0802647093633
households,county,15,1921.865221948117,1316.1103254864026,2527.620118409832
households,county,16,1048.694027485651,718.2954568501061,1379.092598121196
households,nation,0,30654.48727459967,26525.925943191793,34783.04860600754
households,state,0,6348.658491095021,5055.275537847094,7642.041444342949
households,state,1,5394.009204369468,4486.8874567923285,6301.130951946607
households,state,2,1701.735150203585,1284.3680081012017,2119.102292305968
households,state,3,3229.340753949249,2618.215154107568,3840.46635379093
households,state,4,1699.5015555271311,1291.1941512406886,2107.808959813574
households,state,5,12282.352827790994,9821.809646535527,14742.89600904646
low_income_household_share,county,0,0.29481470230645307,0.09531751238560254,0.4943118922273036
low_income_household_share,county,1,0.36222386741097007,0.12389299775187054,0.6005547370700696
low_income_household_share,county,2,0.379262248904533,0.0,0.8631689043360125
low_income_household_share,county,3,0.3446241026781993,0.08340223472198338,0.6058459706344153
low_income_household_share,county,4,0.260749328984688,0.0,0.6133851779883124
low_income_household_share,county,5,0.35936907107648364,0.1959475471813866,0.5227905949715806
low_income_household_share,county,6,0.37733697927607995,0.21254567529124002,0.5421282832609199
low_income_household_share,county,7,0.3835204989102073,0.14163324210568687,0.6254077557147277
low_income_household_share,county,8,0.3195875752041047,0.06325505576835327,0.5759200946398562
low_income_household_share,county,9,0.41231534106404477,0.0,0.9164943295300881
low_income_household_share,county,10,0.37268370822766267,0.20825251607210396,0.5371149003832214
low_income_household_share,county,11,0.463787085255517,0.0,1.0
low_income_household_share,county,12,0.36768799125293455,0.20363925123139667,0.5317367312744724
low_income_household_share,county,13,0.3067218649737645,0.10515594188660118,0.5082877880609279
low_income_household_share,county,14,0.39743997083620697,0.1531572084662923,0.6417227332061216
low_income_household_share,county,15,0.3425805987920688,0.1803876087866935,0.5047735887974442
low_income_household_share,county,16,0.40764996403747894,0.2404230916436877,0.5748768364312702
