county,age_band,sex,count
0,0-15,male,1164.036
0,0-15,female,1174.237
0,16-24,male,643.213
0,16-24,female,641.072
0,25-44,male,1242.526
0,25-44,female,1222.302
0,45-64,male,1448.691
0,45-64,female,1454.061
0,65+,male,630.262
0,65+,female,591.972
1,0-15,male,477.72
1,0-15,female,461.319
1,16-24,male,278.85
1,16-24,female,264.689
1,25-44,male,569.436
1,25-44,female,531.533
1,45-64,male,571.762
1,45-64,female,611.021
1,65+,male,214.113
1,65+,female,224.917
2,0-15,male,136.816
2,0-15,female,144.769
2,16-24,male,79.109
2,16-24,female,82.129
2,25-44,male,160.076
2,25-44,female,163.064
2,45-64,male,185.622
2,45-64,female,183.533
2,65+,male,67.79
2,65+,female,72.101
3,0-15,male,301.425
3,0-15,female,319.866
3,16-24,male,177.789
3,16-24,female,185.447
3,25-44,male,366.673
3,25-44,female,376.225
3,45-64,male,447.752
3,45-64,female,431.007
3,65+,male,169.018
3,65+,female,186.732
4,0-15,male,327.067
4,0-15,female,291.667
4,16-24,male,193.155
4,16-24,female,171.482
4,25-44,male,398.829
4,25-44,female,352.593
4,45-64,male,425.32
4,45-64,female,471.835
4,65+,male,157.424
4,65+,female,164.807
5,0-15,male,580.311
5,0-15,female,564.523
5,16-24,male,325.085
5,16-24,female,325.109
5,25-44,male,637.128
5,25-44,female,655.268
5,45-64,male,712.52
5,45-64,female,702.712
5,65+,male,262.039
5,65+,female,267.956
6,0-15,male,742.101
6,0-15,female,721.911
6,16-24,male,415.718
6,16-24,female,415.749
6,25-44,male,814.759
6,25-44,female,837.956
6,45-64,male,911.169
6,45-64,female,898.627
6,65+,male,335.094
6,65+,female,342.662
7,0-15,male,360.647
7,0-15,female,348.265
7,16-24,male,210.514
7,16-24,female,199.823
7,25-44,male,429.887
7,25-44,female,401.272
7,45-64,male,431.643
7,45-64,female,461.281
7,65+,male,161.641
7,65+,female,169.798
8,0-15,male,275.234
8,0-15,female,292.074
8,16-24,male,162.342
8,16-24,female,169.334
8,25-44,male,334.813
8,25-44,female,343.535
8,45-64,male,408.847
8,45-64,female,393.558
8,65+,male,154.332
8,65+,female,170.508
9,0-15,male,
9,0-15,female,
9,16-24,male,
9,16-24,female,
9,25-44,male,
9,25-44,female,
9,45-64,male,20.713
9,45-64,female,20.48
9,65+,male,
9,65+,female,
10,0-15,male,194.729
10,0-15,female,189.431
10,16-24,male,109.085
10,16-24,female,109.093
10,25-44,male,213.794
10,25-44,female,219.881
10,45-64,male,239.093
10,45-64,female,235.802
10,65+,male,87.929
10,65+,female,89.915
11,0-15,male,203.756
11,0-15,female,215.601
11,16-24,male,117.815
11,16-24,female,122.312
11,25-44,male,238.396
11,25-44,female,242.846
11,45-64,male,276.441
11,45-64,female,273.33
11,65+,male,100.958
11,65+,female,107.378
12,0-15,male,844.793
12,0-15,female,821.809
12,16-24,male,473.246
12,16-24,female,473.281
12,25-44,male,927.506
12,25-44,female,953.913
12,45-64,male,1037.258
12,45-64,female,1022.98
12,65+,male,381.465
12,65+,female,390.08
13,0-15,male,300.653
13,0-15,female,303.287
13,16-24,male,166.132
13,16-24,female,165.579
13,25-44,male,320.925
13,25-44,female,315.702
13,45-64,male,374.174
13,45-64,female,375.561
13,65+,male,162.787
13,65+,female,152.897
14,0-15,male,341.004
14,0-15,female,329.297
14,16-24,male,199.048
14,16-24,female,188.939
14,25-44,male,406.473
14,25-44,female,379.417
14,45-64,male,408.133
14,45-64,female,436.157
14,65+,male,152.837
14,65+,female,160.549
15,0-15,male,249.95
15,0-15,female,243.15
15,16-24,male,140.02
15,16-24,female,140.03
15,25-44,male,274.423
15,25-44,female,282.236
15,45-64,male,306.895
15,45-64,female,302.671
15,65+,male,112.865
15,65+,female,115.414
16,0-15,male,65.878
16,0-15,female,64.086
16,16-24,male,36.905
16,16-24,female,36.907
16,25-44,male,72.328
16,25-44,female,74.388
16,45-64,male,80.887
16,45-64,female,79.774
16,65+,male,29.747
16,65+,female,30.419
