estimand,level,unit,sex,age_band,estimate,lower,upper
children_under_16,county,0,,,2652.0203329520546,1948.5135188272764,3355.527147076833
children_under_16,county,1,,,1574.9236318795004,1165.7848694384247,1984.062394320576
children_under_16,county,2,,,372.6306726550263,262.43247318652044,482.8288721235321
children_under_16,county,3,,,416.9041868643035,307.26700004726433,526.5413736813426
children_under_16,county,4,,,773.9209167085078,564.9330221525042,982.9088112645113
children_under_16,county,5,,,2022.3479613618908,1501.1689270252182,2543.5269956985635
children_under_16,county,6,,,545.5387086070397,404.94799782073994,686.1294193933394
children_under_16,county,7,,,511.5453555647351,378.65444614427815,644.436264985192
children_under_16,county,8,,,1022.3112228761428,753.464494876961,1291.1579508753246
children_under_16,county,9,,,147.93602109180523,104.186849707988,191.68519247562244
children_under_16,county,10,,,1188.7367077626784,882.3875229195845,1495.0858926057722
children_under_16,county,11,,,423.86682649126976,298.51654128538695,549.2171116971525
children_under_16,county,12,,,686.1993874986331,509.3590311545564,863.0397438427098
children_under_16,county,13,,,906.3808645740174,665.9433737685287,1146.818355379506
children_under_16,county,14,,,421.20311095684445,311.7816024691239,530.624619444565
children_under_16,county,15,,,890.8073971012803,661.2375367847792,1120.3772574177815
children_under_16,county,16,,,435.55031004081457,323.3046953745611,547.795924707068
children_under_16,nation,0,,,14992.823614986546,14177.833508624144,15807.813721348948
children_under_16,state,0,,,3558.401197526072,3182.2367450039937,3934.56565004815
children_under_16,state,1,,,2507.6720984010803,2279.3081819944355,2736.036014807725
children_under_16,state,2,,,944.4335202381012,785.6615110583707,1103.2055294178317
children_under_16,state,3,,,1439.2154097404464,1295.5543504735947,1582.876469007298
children_under_16,state,4,,,773.9209167085078,683.2495114738008,864.5923219432148
children_under_16,state,5,,,5769.180472372337,5278.967084401999,6259.393860342675
elders_65_plus,county,0,,,1023.1060784272931,751.7046533315479,1294.5075035230384
elders_65_plus,county,1,,,673.1864521578318,498.30389509107306,848.0690092245906
elders_65_plus,county,2,,,131.53764358215057,92.63797012853118,170.43731703576995
elders_65_plus,county,3,,,215.88585383557933,159.11233504184415,272.6593726293145
elders_65_plus,county,4,,,308.55113895435534,225.23067106058622,391.87160684812443
