estimand,level,unit,estimate,lower,upper
children_under_16,county,0,2130.385000683794,2087.7773006701177,2172.99270069747
children_under_16,county,1,1580.4036692486966,1548.7955958637226,1612.0117426336706
children_under_16,county,2,339.49361859986846,332.7037462278711,346.28349097186583
children_under_16,county,3,410.8362869487892,402.6195612098134,419.05301268776503
children_under_16,county,4,710.6209908183836,696.408571002016,724.8334106347512
children_under_16,county,5,1777.1947916341505,1741.6508958014674,1812.7386874668337
children_under_16,county,6,525.1884780865005,514.6847085247705,535.6922476482305
children_under_16,county,7,504.92794779258156,494.82938883672995,515.0265067484332
children_under_16,county,8,945.524417828251,926.613929471686,964.434906184816
children_under_16,county,9,128.78742821675766,126.2116796524225,131.36317678109282
children_under_16,county,10,1126.5018445810108,1103.9718076893905,1149.031881472631
children_under_16,county,11,375.3127643862676,367.8065090985422,382.81901967399295
children_under_16,county,12,625.9450803697828,613.4261787623872,638.4639819771784
children_under_16,county,13,797.6906261689087,781.7368136455306,813.6444386922868
children_under_16,county,14,425.6499371202116,417.1369383778073,434.1629358626158
children_under_16,county,15,811.0155862418786,794.7952745170411,827.2358979667162
children_under_16,county,16,404.34970116404986,396.26270714076884,412.4366951873309
children_under_16,nation,0,13619.828169889883,13347.431606492086,13892.22473328768
children_under_16,state,0,2928.0756268527025,2869.5141143156484,2986.6371393897566
children_under_16,state,1,2510.98155416149,2460.76192307826,2561.2011852447195
children_under_16,state,2,843.5938112028937,826.7219349788357,860.4656874269516
children_under_16,state,3,1356.3607047770402,1329.2334906814995,1383.4879188725808
children_under_16,state,4,710.6209908183836,696.408571002016,724.8334106347512
children_under_16,state,5,5270.1954820773735,5164.791572435826,5375.599391718921
elders_65_plus,county,0,980.8814789007808,961.2638493227653,1000.4991084787964
elders_65_plus,county,1,670.2702093349127,656.8648051482145,683.6756135216109
elders_65_plus,county,2,156.14087879608405,153.01806122016237,159.26369637200574
elders_65_plus,county,3,229.94751966982267,225.34856927642622,234.54647006321912
elders_65_plus,county,4,365.2185729371879,357.91420147844417,372.52294439593163
elders_65_plus,county,5,766.4029874764774,751.0749277269479,781.7310472260069
elders_65_plus,county,6,214.54838378278578,210.25741610713007,218.83935145844148
elders_65_plus,county,7,213.86337470132833,209.58610720730175,218.1406421953549
elders_65_plus,county,8,409.48916289266214,401.2993796348089,417.6789461505154
elders_65_plus,county,9,59.80917764845097,58.61299409548195,61.00536120141999
elders_65_plus,county,10,480.04005162119154,470.4392505887677,489.64085265361535
elders_65_plus,county,11,189.4170870104591,185.62874527024994,193.2054287506683
elders_65_plus,county,12,291.5412719847115,285.71044654501725,297.37209742440575
elders_65_plus,county,13,380.8992163596083,373.28123203241614,388.5172006868005
elders_65_plus,county,14,164.25119879036464,160.96617481455735,167.53622276617193
elders_65_plus,county,15,363.056982351961,355.79584270492177,370.3181219990002
elders_65_plus,county,16,157.66142792849706,154.50819936992713,160.814656487067
