county,age_band,sex,count
0,0-15,male,1300.525
0,0-15,female,1295.128
0,16-24,male,485.986
0,16-24,female,486.122
0,25-44,male,1181.732
0,25-44,female,1131.656
0,45-64,male,1467.439
0,45-64,female,1486.534
0,65+,male,517.605
0,65+,female,510.723
1,0-15,male,792.725
1,0-15,female,768.658
1,16-24,male,380.114
1,16-24,female,305.673
1,25-44,male,757.611
1,25-44,female,745.066
1,45-64,male,869.675
1,45-64,female,817.011
1,65+,male,286.442
1,65+,female,339.117
2,0-15,male,153.804
2,0-15,female,173.421
2,16-24,male,77.328
2,16-24,female,68.243
2,25-44,male,143.927
2,25-44,female,153.227
2,45-64,male,198.736
2,45-64,female,191.935
2,65+,male,59.322
2,65+,female,83.42
3,0-15,male,210.327
3,0-15,female,194.224
3,16-24,male,93.211
3,16-24,female,87.15
3,25-44,male,224.502
3,25-44,female,212.181
3,45-64,male,321.99
3,45-64,female,298.538
3,65+,male,99.876
3,65+,female,114.655
4,0-15,male,409.643
4,0-15,female,362.655
4,16-24,male,146.519
4,16-24,female,138.83
4,25-44,male,436.307
4,25-44,female,399.827
4,45-64,male,527.21
4,45-64,female,519.499
4,65+,male,148.3
4,65+,female,162.554
5,0-15,male,1100.451
5,0-15,female,1011.122
5,16-24,male,404.632
5,16-24,female,396.769
5,25-44,male,888.912
5,25-44,female,896.998
5,45-64,male,1147.254
5,45-64,female,1150.039
5,65+,male,371.739
5,65+,female,380.968
6,0-15,male,274.12
6,0-15,female,295.487
6,16-24,male,144.215
6,16-24,female,135.033
6,25-44,male,256.014
6,25-44,female,292.115
6,45-64,male,346.139
6,45-64,female,304.926
6,65+,male,122.037
6,65+,female,97.915
7,0-15,male,257.576
7,0-15,female,249.571
7,16-24,male,135.515
7,16-24,female,102.381
7,25-44,male,230.531
7,25-44,female,232.905
7,45-64,male,264.461
7,45-64,female,319.633
7,65+,male,86.615
7,65+,female,95.691
8,0-15,male,483.588
8,0-15,female,508.43
8,16-24,male,224.862
8,16-24,female,234.926
8,25-44,male,446.874
8,25-44,female,443.235
8,45-64,male,556.835
8,45-64,female,553.229
8,65+,male,194.287
8,65+,female,202.867
9,0-15,male,49.962
9,0-15,female,79.948
9,16-24,male,26.566
9,16-24,female,32.464
9,25-44,male,48.159
9,25-44,female,49.394
9,45-64,male,55.692
9,45-64,female,76.549
9,65+,male,27.005
9,65+,female,
10,0-15,male,618.577
10,0-15,female,622.606
10,16-24,male,328.426
10,16-24,female,299.232
10,25-44,male,561.771
10,25-44,female,613.872
10,45-64,male,670.649
10,45-64,female,641.434
10,65+,male,227.541
10,65+,female,254.102
11,0-15,male,193.011
11,0-15,female,179.207
11,16-24,male,58.9
11,16-24,female,78.625
11,25-44,male,176.217
11,25-44,female,172.841
11,45-64,male,235.642
11,45-64,female,224.231
11,65+,male,73.16
11,65+,female,74.21
12,0-15,male,355.556
12,0-15,female,360.919
12,16-24,male,149.587
12,16-24,female,129.734
12,25-44,male,338.778
12,25-44,female,340.203
12,45-64,male,424.92
12,45-64,female,455.722
12,65+,male,151.409
12,65+,female,127.288
13,0-15,male,436.088
13,0-15,female,451.028
13,16-24,male,228.017
13,16-24,female,228.169
13,25-44,male,436.649
13,25-44,female,434.03
13,45-64,male,544.57
13,45-64,female,490.475
13,65+,male,217.663
13,65+,female,201.279
14,0-15,male,189.852
14,0-15,female,227.73
14,16-24,male,103.376
14,16-24,female,104.656
14,25-44,male,205.252
14,25-44,female,212.214
14,45-64,male,233.436
14,45-64,female,256.49
14,65+,male,63.656
14,65+,female,64.702
15,0-15,male,470.375
15,0-15,female,459.734
15,16-24,male,222.993
15,16-24,female,240.48
15,25-44,male,468.259
15,25-44,female,399.0
15,45-64,male,567.765
15,45-64,female,525.216
15,65+,male,158.126
15,65+,female,183.352
16,0-15,male,215.366
16,0-15,female,239.4
16,16-24,male,110.841
16,16-24,female,128.332
16,25-44,male,209.268
16,25-44,female,198.692
16,45-64,male,239.362
16,45-64,female,239.494
16,65+,male,100.67
16,65+,female,83.215
