estimand,level,unit,estimate,lower,upper
children_under_16,county,0,2077.81021993398,2036.2540155353004,2119.36642433266
children_under_16,county,1,1528.0567478696921,1497.4956129122984,1558.6178828270859
children_under_16,county,2,331.1196933442824,324.4972994773967,337.74208721116804
children_under_16,county,3,389.1347187604414,381.35202438523254,396.91741313565024
children_under_16,county,4,683.2608444084301,669.5956275202615,696.9260612965987
children_under_16,county,5,1734.1327933051641,1699.4501374390609,1768.8154491712673
children_under_16,county,6,509.6922898075717,499.49844401142025,519.8861356037231
children_under_16,county,7,490.67476231272974,480.86126706647514,500.48825755898434
children_under_16,county,8,916.3675893468202,898.0402375598837,934.6949411337566
children_under_16,county,9,126.5107905760518,123.98057476453077,129.04100638757285
children_under_16,county,10,1101.394709298234,1079.3668151122693,1123.4226034841986
children_under_16,county,11,361.8614176406838,354.6241892878701,369.0986459934975
children_under_16,county,12,594.6385385110593,582.7457677408381,606.5313092812805
children_under_16,county,13,771.3469694890975,755.9200300993156,786.7739088788795
children_under_16,county,14,415.69631669032833,407.38239035652174,424.0102430241349
children_under_16,county,15,796.3149688555841,780.3886694784724,812.2412682326958
children_under_16,county,16,400.95138999254414,392.93236219269323,408.97041779239504
children_under_16,nation,0,13228.964760142695,12964.385464939842,13493.544055345548
children_under_16,state,0,2849.1571894230774,2792.174045634616,2906.1403332115387
children_under_16,state,1,2434.4278268727503,2385.7392703352953,2483.1163834102053
children_under_16,state,2,819.491901561018,803.1020635297976,835.8817395922384
children_under_16,state,3,1305.5023081072616,1279.3922619451164,1331.6123542694068
children_under_16,state,4,683.2608444084301,669.5956275202615,696.9260612965987
children_under_16,state,5,5137.124689770157,5034.382195974754,5239.86718356556
elders_65_plus,county,0,950.6919289657617,931.6780903864465,969.7057675450769
elders_65_plus,county,1,655.0878021727282,641.9860461292736,668.1895582161827
elders_65_plus,county,2,151.00729600808637,147.98715008792465,154.0274419282481
elders_65_plus,county,3,223.6029676681659,219.13090831480258,228.0750270215292
elders_65_plus,county,4,355.37864639362164,348.2710734657492,362.48621932149405
elders_65_plus,county,5,749.580592875079,734.5889810175775,764.5722047325805
elders_65_plus,county,6,209.47176312392028,205.28232786144187,213.6611983863987
elders_65_plus,county,7,209.88025067154348,205.68264565811262,214.07785568497434
elders_65_plus,county,8,402.00020045809777,393.9601964489358,410.04020446725974
elders_65_plus,county,9,59.97261726355792,58.77316491828676,61.172069608829084
elders_65_plus,county,10,466.02182107253867,456.7013846510879,475.34225749398945
elders_65_plus,county,11,180.2729451692659,176.6674862658806,183.87840407265122
elders_65_plus,county,12,277.6087464381187,272.05657150935633,283.1609213668811
elders_65_plus,county,13,368.46719955006137,361.0978555590601,375.8365435410626
elders_65_plus,county,14,159.96780447576572,156.7684483862504,163.16716056528102
elders_65_plus,county,15,356.25099750812507,349.1259775579626,363.37601745828755
elders_65_plus,county,16,156.2804272825354,153.1548187368847,159.40603582818613
elders_65_plus,nation,0,5931.544007096973,5812.9131269550335,6050.174887238912
elders_65_plus,state,0,1319.159128515823,1292.7759459455067,1345.5423110861395
elders_65_plus,state,1,1024.9358573200373,1004.4371401736365,1045.434574466438
elders_65_plus,state,2,391.25285844091025,383.42780127209204,399.07791560972845
elders_65_plus,state,3,625.6031681262637,613.0911047637384,638.1152314887889
elders_65_plus,state,4,355.37864639362164,348.2710734657492,362.48621932149405
