county,age_band,sex,count
0,0-15,male,965.0
0,0-15,female,961.0
0,16-24,male,361.0
0,16-24,female,361.0
0,25-44,male,877.0
0,25-44,female,840.0
0,45-64,male,1089.0
0,45-64,female,1103.0
0,65+,male,384.0
0,65+,female,379.0
1,0-15,male,697.0
1,0-15,female,676.0
1,16-24,male,334.0
1,16-24,female,269.0
1,25-44,male,666.0
1,25-44,female,655.0
1,45-64,male,765.0
1,45-64,female,719.0
1,65+,male,252.0
1,65+,female,298.0
2,0-15,male,140.0
2,0-15,female,157.0
2,16-24,male,70.0
2,16-24,female,62.0
2,25-44,male,131.0
2,25-44,female,139.0
2,45-64,male,180.0
2,45-64,female,174.0
2,65+,male,54.0
2,65+,female,75.0
3,0-15,male,176.0
3,0-15,female,163.0
3,16-24,male,78.0
3,16-24,female,73.0
3,25-44,male,187.0
3,25-44,female,177.0
3,45-64,male,267.0
3,45-64,female,248.0
3,65+,male,83.0
3,65+,female,95.0
4,0-15,male,320.0
4,0-15,female,284.0
4,16-24,male,115.0
4,16-24,female,109.0
4,25-44,male,340.0
4,25-44,female,312.0
4,45-64,male,411.0
4,45-64,female,405.0
4,65+,male,116.0
4,65+,female,127.0
5,0-15,male,831.0
5,0-15,female,764.0
5,16-24,male,306.0
5,16-24,female,300.0
5,25-44,male,672.0
5,25-44,female,678.0
5,45-64,male,867.0
5,45-64,female,869.0
5,65+,male,281.0
5,65+,female,288.0
6,0-15,male,212.0
6,0-15,female,228.0
6,16-24,male,111.0
6,16-24,female,104.0
6,25-44,male,198.0
6,25-44,female,225.0
6,45-64,male,267.0
6,45-64,female,236.0
6,65+,male,94.0
6,65+,female,76.0
7,0-15,male,231.0
7,0-15,female,224.0
7,16-24,male,121.0
7,16-24,female,92.0
7,25-44,male,207.0
7,25-44,female,209.0
7,45-64,male,238.0
7,45-64,female,286.0
7,65+,male,78.0
7,65+,female,86.0
8,0-15,male,396.0
8,0-15,female,416.0
8,16-24,male,184.0
8,16-24,female,192.0
8,25-44,male,366.0
8,25-44,female,363.0
8,45-64,male,456.0
8,45-64,female,453.0
8,65+,male,159.0
8,65+,female,166.0
9,0-15,male,50.0
9,0-15,female,76.0
9,16-24,male,26.0
9,16-24,female,31.0
9,25-44,male,48.0
9,25-44,female,49.0
9,45-64,male,56.0
9,45-64,female,74.0
9,65+,male,26.0
9,65+,female,20.0
10,0-15,male,470.0
10,0-15,female,473.0
10,16-24,male,249.0
10,16-24,female,227.0
10,25-44,male,427.0
10,25-44,female,466.0
10,45-64,male,510.0
10,45-64,female,488.0
10,65+,male,173.0
10,65+,female,193.0
11,0-15,male,174.0
11,0-15,female,162.0
11,16-24,male,54.0
11,16-24,female,71.0
11,25-44,male,159.0
11,25-44,female,156.0
11,45-64,male,212.0
11,45-64,female,202.0
11,65+,male,66.0
11,65+,female,67.0
12,0-15,male,273.0
12,0-15,female,277.0
12,16-24,male,115.0
12,16-24,female,100.0
12,25-44,male,260.0
12,25-44,female,261.0
12,45-64,male,326.0
12,45-64,female,349.0
12,65+,male,116.0
12,65+,female,98.0
13,0-15,male,328.0
13,0-15,female,339.0
13,16-24,male,171.0
13,16-24,female,171.0
13,25-44,male,328.0
13,25-44,female,326.0
13,45-64,male,409.0
13,45-64,female,369.0
13,65+,male,163.0
13,65+,female,151.0
14,0-15,male,172.0
14,0-15,female,205.0
14,16-24,male,93.0
14,16-24,female,94.0
14,25-44,male,185.0
14,25-44,female,191.0
14,45-64,male,211.0
14,45-64,female,231.0
14,65+,male,58.0
14,65+,female,59.0
15,0-15,male,359.0
15,0-15,female,351.0
15,16-24,male,170.0
15,16-24,female,183.0
15,25-44,male,357.0
15,25-44,female,305.0
15,45-64,male,433.0
15,45-64,female,401.0
15,65+,male,121.0
15,65+,female,140.0
16,0-15,male,168.0
16,0-15,female,186.0
16,16-24,male,86.0
16,16-24,female,99.0
16,25-44,male,163.0
16,25-44,female,155.0
16,45-64,male,187.0
16,45-64,female,187.0
16,65+,male,78.0
16,65+,female,65.0
