estimand,level,unit,estimate,lower,upper
children_under_16,county,0,2167.4768411388077,1433.1557052475337,2901.7979770300817
children_under_16,county,1,1762.5292801955275,1192.2703495046685,2332.7882108863864
children_under_16,county,2,1743.4067568582327,1226.4935392381867,2260.3199744782787
children_under_16,county,3,380.36817877779464,269.29405472811686,491.4423028274724
children_under_16,county,4,2801.5902777976257,1910.505161533943,3692.6753940613085
children_under_16,county,5,784.7416415985456,543.0260684467746,1026.4572147503166
children_under_16,county,6,840.8732980709912,597.4718179535031,1084.274778188479
children_under_16,county,7,658.3894080533398,463.2713078082927,853.5075082983869
children_under_16,county,8,207.21721117226355,145.67636123929606,268.75806110523104
children_under_16,county,9,439.6162968842622,297.31861732307993,581.9139764454445
children_under_16,county,10,953.8948401525535,644.703348049965,1263.0863322551418
children_under_16,county,11,730.8958759453521,505.4628001815406,956.3289517091637
children_under_16,county,12,424.91559863648496,287.3265302267714,562.5046670461985
children_under_16,county,13,798.5827430499066,540.2709949824457,1056.8944911173676
children_under_16,county,14,213.12055259047114,149.83937987256695,276.4017253083753
children_under_16,county,15,422.37032080729125,297.1079998527905,547.632641761792
children_under_16,county,16,266.4414170464456,187.60556379746947,345.2772702954218
children_under_16,county,17,815.0171034015508,564.3976532197371,1065.6365535833645
children_under_16,nation,0,16413.063606123324,13979.34015390373,18846.787058342918
children_under_16,state,0,2167.4768411388077,1656.462813034626,2678.4908692429894
children_under_16,state,1,4379.538758918734,3444.4677433445822,5314.609774492886
children_under_16,state,2,3510.945666528044,2916.066041860077,4105.825291196012
children_under_16,state,3,1221.241476848786,1027.3471211989531,1415.135832498619
children_under_16,state,4,2801.5902777976257,2227.637240416264,3375.5433151789875
children_under_16,state,5,2330.6546209454486,1890.6002090287752,2770.709032862122
elders_65_plus,county,0,967.5590086892685,640.1471764397571,1294.97084093878
elders_65_plus,county,1,835.7455482627192,576.2737897043563,1095.2173068210823
elders_65_plus,county,2,1099.6612362684923,777.5226860920759,1421.7997864449087
elders_65_plus,county,3,234.00921840207877,167.5774197132446,300.44101709091296
elders_65_plus,county,4,1332.9743438867524,904.3897283941649,1761.55895937934
elders_65_plus,county,5,485.2345072679935,335.91288662398966,634.5561279119972
