county,age_band,sex,count
0,0-15,male,961.385
0,0-15,female,859.83
0,16-24,male,414.626
0,16-24,female,394.266
0,25-44,male,887.787
0,25-44,female,913.558
0,45-64,male,988.197
0,45-64,female,982.922
0,65+,male,291.976
0,65+,female,296.311
1,0-15,male,775.33
1,0-15,female,769.053
1,16-24,male,351.37
1,16-24,female,357.823
1,25-44,male,756.24
1,25-44,female,714.288
1,45-64,male,815.213
1,45-64,female,802.365
1,65+,male,294.785
1,65+,female,279.753
2,0-15,male,884.764
2,0-15,female,887.399
2,16-24,male,350.601
2,16-24,female,383.328
2,25-44,male,869.34
2,25-44,female,847.591
2,45-64,male,1046.071
2,45-64,female,1038.886
2,65+,male,342.695
2,65+,female,340.329
3,0-15,male,182.403
3,0-15,female,153.342
3,16-24,male,69.632
3,16-24,female,72.996
3,25-44,male,166.986
3,25-44,female,164.814
3,45-64,male,227.358
3,45-64,female,191.42
3,65+,male,70.226
3,65+,female,73.664
4,0-15,male,1267.086
4,0-15,female,1184.249
4,16-24,male,606.555
4,16-24,female,542.099
4,25-44,male,1200.743
4,25-44,female,1184.425
4,45-64,male,1451.774
4,45-64,female,1455.128
4,65+,male,443.204
4,65+,female,418.131
5,0-15,male,353.529
5,0-15,female,405.783
5,16-24,male,176.565
5,16-24,female,163.24
5,25-44,male,353.892
5,25-44,female,361.237
5,45-64,male,440.592
5,45-64,female,406.81
5,65+,male,174.767
5,65+,female,190.56
6,0-15,male,348.142
6,0-15,female,376.5
6,16-24,male,138.416
6,16-24,female,132.773
6,25-44,male,339.472
6,25-44,female,309.148
6,45-64,male,483.21
6,45-64,female,526.088
6,65+,male,166.017
6,65+,female,150.312
7,0-15,male,339.709
7,0-15,female,331.447
7,16-24,male,146.616
7,16-24,female,157.515
7,25-44,male,330.374
7,25-44,female,303.781
7,45-64,male,443.933
7,45-64,female,416.14
7,65+,male,160.581
7,65+,female,141.243
8,0-15,male,90.878
8,0-15,female,110.511
8,16-24,male,64.047
8,16-24,female,60.394
8,25-44,male,120.356
8,25-44,female,96.191
8,45-64,male,146.557
8,45-64,female,157.571
8,65+,male,64.691
8,65+,female,93.858
9,0-15,male,182.116
9,0-15,female,195.25
9,16-24,male,97.892
9,16-24,female,95.723
9,25-44,male,166.285
9,25-44,female,185.756
9,45-64,male,217.597
9,45-64,female,225.228
9,65+,male,71.521
9,65+,female,88.818
10,0-15,male,375.189
10,0-15,female,428.184
10,16-24,male,196.034
10,16-24,female,229.423
10,25-44,male,370.123
10,25-44,female,414.374
10,45-64,male,404.237
10,45-64,female,393.549
10,65+,male,99.613
10,65+,female,110.444
11,0-15,male,365.583
11,0-15,female,308.939
11,16-24,male,154.764
11,16-24,female,180.159
11,25-44,male,328.438
11,25-44,female,324.893
11,45-64,male,395.769
11,45-64,female,398.287
11,65+,male,119.09
11,65+,female,117.943
12,0-15,male,188.59
12,0-15,female,170.477
12,16-24,male,103.283
12,16-24,female,93.573
12,25-44,male,169.526
12,25-44,female,174.99
12,45-64,male,261.783
12,45-64,female,259.717
12,65+,male,84.454
12,65+,female,84.511
13,0-15,male,372.989
13,0-15,female,340.865
13,16-24,male,143.218
13,16-24,female,161.522
13,25-44,male,358.228
13,25-44,female,322.747
13,45-64,male,377.249
13,45-64,female,396.73
13,65+,male,110.371
13,65+,female,112.582
14,0-15,male,121.181
14,0-15,female,99.587
14,16-24,male,51.916
14,16-24,female,61.602
14,25-44,male,103.369
14,25-44,female,96.181
14,45-64,male,150.182
14,45-64,female,153.92
14,65+,male,52.561
14,65+,female,38.076
15,0-15,male,186.761
15,0-15,female,228.22
15,16-24,male,82.277
15,16-24,female,94.388
15,25-44,male,173.795
15,25-44,female,213.897
15,45-64,male,263.069
15,45-64,female,234.067
15,65+,male,85.339
15,65+,female,74.491
16,0-15,male,136.962
16,0-15,female,125.069
16,16-24,male,60.413
16,16-24,female,54.335
16,25-44,male,137.338
16,25-44,female,118.024
16,45-64,male,163.541
16,45-64,female,153.941
16,65+,male,63.481
16,65+,female,40.508
17,0-15,male,387.394
17,0-15,female,347.688
17,16-24,male,178.978
17,16-24,female,170.493
17,25-44,male,361.138
17,25-44,female,367.272
17,45-64,male,420.004
17,45-64,female,408.002
17,65+,male,145.721
17,65+,female,128.845
