county,age_band,sex,count
0,0-15,male,949.595
0,0-15,female,838.79
0,16-24,male,405.375
0,16-24,female,387.016
0,25-44,male,865.404
0,25-44,female,890.922
0,45-64,male,961.878
0,45-64,female,953.807
0,65+,male,281.655
0,65+,female,290.876
1,0-15,male,745.777
1,0-15,female,744.956
1,16-24,male,343.189
1,16-24,female,355.379
1,25-44,male,737.969
1,25-44,female,698.315
1,45-64,male,788.589
1,45-64,female,767.281
1,65+,male,282.618
1,65+,female,266.381
2,0-15,male,768.224
2,0-15,female,763.329
2,16-24,male,302.475
2,16-24,female,338.087
2,25-44,male,758.378
2,25-44,female,729.925
2,45-64,male,906.767
2,45-64,female,899.715
2,65+,male,293.836
2,65+,female,291.856
3,0-15,male,174.894
3,0-15,female,144.561
3,16-24,male,64.907
3,16-24,female,67.93
3,25-44,male,151.843
3,25-44,female,155.982
3,45-64,male,209.471
3,45-64,female,176.969
3,65+,male,64.466
3,65+,female,67.583
4,0-15,male,1210.634
4,0-15,female,1135.46
4,16-24,male,587.813
4,16-24,female,523.629
4,25-44,male,1145.775
4,25-44,female,1130.556
4,45-64,male,1383.865
4,45-64,female,1394.12
4,65+,male,422.314
4,65+,female,394.871
5,0-15,male,309.498
5,0-15,female,349.424
5,16-24,male,154.603
5,16-24,female,139.296
5,25-44,male,307.822
5,25-44,female,307.887
5,45-64,male,373.634
5,45-64,female,350.294
5,65+,male,149.056
5,65+,female,166.428
6,0-15,male,327.853
6,0-15,female,357.594
6,16-24,male,128.138
6,16-24,female,124.032
6,25-44,male,311.919
6,25-44,female,290.598
6,45-64,male,452.073
6,45-64,female,494.925
6,65+,male,157.211
6,65+,female,140.978
7,0-15,male,301.326
7,0-15,female,298.482
7,16-24,male,127.096
7,16-24,female,137.248
7,25-44,male,283.357
7,25-44,female,260.001
7,45-64,male,390.915
7,45-64,female,360.448
7,65+,male,139.881
7,65+,female,120.593
8,0-15,male,81.154
8,0-15,female,99.701
8,16-24,male,54.699
8,16-24,female,51.611
8,25-44,male,103.928
8,25-44,female,82.611
8,45-64,male,125.905
8,45-64,female,136.173
8,65+,male,56.298
8,65+,female,85.89
9,0-15,male,176.958
9,0-15,female,187.356
9,16-24,male,95.469
9,16-24,female,92.381
9,25-44,male,158.997
9,25-44,female,177.392
9,45-64,male,209.502
9,45-64,female,220.788
9,65+,male,69.567
9,65+,female,83.886
10,0-15,male,368.608
10,0-15,female,417.697
10,16-24,male,188.229
10,16-24,female,224.857
10,25-44,male,363.874
10,25-44,female,406.709
10,45-64,male,393.035
10,45-64,female,378.86
10,65+,male,96.12
10,65+,female,105.345
11,0-15,male,316.59
11,0-15,female,269.959
11,16-24,male,133.202
11,16-24,female,156.591
11,25-44,male,285.384
11,25-44,female,290.541
11,45-64,male,341.005
11,45-64,female,347.198
11,65+,male,102.199
11,65+,female,101.241
12,0-15,male,186.134
12,0-15,female,170.056
12,16-24,male,99.547
12,16-24,female,91.368
12,25-44,male,162.062
12,25-44,female,169.256
12,45-64,male,254.32
12,45-64,female,252.368
12,65+,male,81.791
12,65+,female,81.853
13,0-15,male,363.47
13,0-15,female,324.984
13,16-24,male,136.273
13,16-24,female,158.645
13,25-44,male,350.592
13,25-44,female,308.906
13,45-64,male,365.487
13,45-64,female,388.991
13,65+,male,107.304
13,65+,female,106.347
14,0-15,male,108.64
14,0-15,female,87.474
14,16-24,male,47.567
14,16-24,female,55.68
14,25-44,male,96.793
14,25-44,female,83.622
14,45-64,male,132.006
14,45-64,female,133.109
14,65+,male,46.112
14,65+,female,32.937
15,0-15,male,168.808
15,0-15,female,206.701
15,16-24,male,73.064
15,16-24,female,84.233
15,25-44,male,151.865
15,25-44,female,190.627
15,45-64,male,229.864
15,45-64,female,202.454
15,65+,male,73.639
15,65+,female,65.555
16,0-15,male,117.817
16,0-15,female,104.796
16,16-24,male,53.682
16,16-24,female,47.54
16,25-44,male,119.207
16,25-44,female,98.908
16,45-64,male,142.202
16,45-64,female,133.123
16,65+,male,56.299
16,65+,female,33.96
17,0-15,male,339.022
17,0-15,female,308.683
17,16-24,male,158.673
17,16-24,female,149.476
17,25-44,male,308.833
17,25-44,female,328.246
17,45-64,male,365.478
17,45-64,female,355.377
17,65+,male,125.631
17,65+,female,110.417
