county,age_band,sex,count
0,0-15,male,2331.085
0,0-15,female,2416.709
0,16-24,male,1049.225
0,16-24,female,1100.538
0,25-44,male,2277.534
0,25-44,female,2272.951
0,45-64,male,2655.651
0,45-64,female,2743.536
0,65+,male,990.743
0,65+,female,999.959
1,0-15,male,242.862
1,0-15,female,253.94
1,16-24,male,113.733
1,16-24,female,139.767
1,25-44,male,278.09
1,25-44,female,246.856
1,45-64,male,299.706
1,45-64,female,298.259
1,65+,male,119.69
1,65+,female,114.805
2,0-15,male,582.616
2,0-15,female,611.987
2,16-24,male,242.304
2,16-24,female,262.499
2,25-44,male,545.189
2,25-44,female,567.551
2,45-64,male,626.964
2,45-64,female,692.919
2,65+,male,246.152
2,65+,female,246.236
3,0-15,male,290.031
3,0-15,female,313.015
3,16-24,male,140.3
3,16-24,female,118.245
3,25-44,male,295.445
3,25-44,female,288.999
3,45-64,male,432.172
3,45-64,female,419.109
3,65+,male,174.728
3,65+,female,155.551
4,0-15,male,434.032
4,0-15,female,409.094
4,16-24,male,193.791
4,16-24,female,207.783
4,25-44,male,397.679
4,25-44,female,431.9
4,45-64,male,527.956
4,45-64,female,480.552
4,65+,male,241.929
4,65+,female,208.976
5,0-15,male,241.262
5,0-15,female,272.653
5,16-24,male,120.436
5,16-24,female,107.411
5,25-44,male,284.729
5,25-44,female,262.519
5,45-64,male,383.229
5,45-64,female,399.399
5,65+,male,147.037
5,65+,female,150.644
6,0-15,male,335.68
6,0-15,female,317.108
6,16-24,male,136.413
6,16-24,female,145.483
6,25-44,male,331.795
6,25-44,female,280.549
6,45-64,male,387.474
6,45-64,female,413.956
6,65+,male,136.183
6,65+,female,151.641
7,0-15,male,159.359
7,0-15,female,182.914
7,16-24,male,78.302
7,16-24,female,78.121
7,25-44,male,188.062
7,25-44,female,172.636
7,45-64,male,228.716
7,45-64,female,210.745
7,65+,male,83.955
7,65+,female,84.06
8,0-15,male,291.901
8,0-15,female,282.507
8,16-24,male,141.134
8,16-24,female,131.713
8,25-44,male,227.415
8,25-44,female,244.738
8,45-64,male,343.375
8,45-64,female,394.052
8,65+,male,165.144
8,65+,female,131.725
9,0-15,male,135.568
9,0-15,female,137.765
9,16-24,male,47.037
9,16-24,female,59.779
9,25-44,male,112.324
9,25-44,female,111.134
9,45-64,male,193.722
9,45-64,female,167.687
9,65+,male,74.959
9,65+,female,71.54
10,0-15,male,549.008
10,0-15,female,505.202
10,16-24,male,248.444
10,16-24,female,278.154
10,25-44,male,510.172
10,25-44,female,535.438
10,45-64,male,681.829
10,45-64,female,659.821
10,65+,male,267.726
10,65+,female,231.052
11,0-15,male,106.384
11,0-15,female,108.515
11,16-24,male,47.884
11,16-24,female,39.734
11,25-44,male,112.326
11,25-44,female,102.058
11,45-64,male,149.104
11,45-64,female,146.641
11,65+,male,63.568
11,65+,female,53.417
12,0-15,male,186.493
12,0-15,female,177.275
12,16-24,male,97.597
12,16-24,female,103.095
12,25-44,male,183.332
12,25-44,female,183.317
12,45-64,male,257.384
12,45-64,female,244.729
12,65+,male,87.13
12,65+,female,103.106
13,0-15,male,472.976
13,0-15,female,457.369
13,16-24,male,234.495
13,16-24,female,225.996
13,25-44,male,436.353
13,25-44,female,472.015
13,45-64,male,627.07
13,45-64,female,616.185
13,65+,male,249.692
13,65+,female,220.062
14,0-15,male,244.268
14,0-15,female,276.104
14,16-24,male,81.323
14,16-24,female,109.439
14,25-44,male,246.989
14,25-44,female,233.437
14,45-64,male,332.282
14,45-64,female,338.24
14,65+,male,174.561
14,65+,female,191.897
15,0-15,male,52.699
15,0-15,female,36.264
15,16-24,male,
15,16-24,female,24.243
15,25-44,male,27.366
15,25-44,female,30.839
15,45-64,male,45.118
15,45-64,female,51.907
15,65+,male,21.824
15,65+,female,
16,0-15,male,305.619
16,0-15,female,313.936
16,16-24,male,122.353
16,16-24,female,154.845
16,25-44,male,267.148
16,25-44,female,298.596
16,45-64,male,361.933
16,45-64,female,384.736
16,65+,male,141.44
16,65+,female,150.017
17,0-15,male,212.282
17,0-15,female,248.213
17,16-24,male,107.146
17,16-24,female,100.95
17,25-44,male,224.566
17,25-44,female,228.158
17,45-64,male,299.513
17,45-64,female,333.002
17,65+,male,102.059
17,65+,female,102.165
