estimand,level,unit,estimate,lower,upper
children_under_16,county,0,2316.912958524645,2224.2364401836594,2409.589476865631
children_under_16,county,1,154.57109948689208,148.3882555074164,160.75394346636776
children_under_16,county,2,918.8468919484267,882.0930162704896,955.6007676263638
children_under_16,county,3,465.1514707818779,446.5454119506028,483.757529613153
children_under_16,county,4,305.8699805675963,293.6351813448925,318.10477979030014
children_under_16,county,5,283.4171017950197,272.0804177232189,294.75378586682046
children_under_16,county,6,307.9245616449152,295.60757917911855,320.2415441107118
children_under_16,county,7,303.9136004285746,291.7570564114316,316.07014444571763
children_under_16,county,8,420.53160989535337,403.71034549953924,437.3528742911675
children_under_16,county,9,163.2652132534901,156.7346047233505,169.7958217836297
children_under_16,county,10,1416.1805049858506,1359.5332847864165,1472.8277251852846
children_under_16,county,11,186.58881514684586,179.12526254097202,194.0523677527197
children_under_16,county,12,185.88203933189564,178.4467577586198,193.31732090517147
children_under_16,county,13,721.3317976054963,692.4785257012765,750.1850695097161
children_under_16,county,14,357.9770723415391,343.6579894478775,372.2961552352007
children_under_16,county,15,22.616826078405555,21.712153035269335,23.521499121541776
children_under_16,county,16,525.5295032918162,504.5083231601436,546.5506834234889
children_under_16,county,17,167.68783429440734,160.98032092263105,174.39534766618362
children_under_16,nation,0,9224.198881403048,8855.230926146927,9593.16683665917
children_under_16,state,0,3733.093463510496,3583.769724970076,3882.417202050916
children_under_16,state,1,875.9028970923883,840.8667812086928,910.9390129760839
children_under_16,state,2,1226.771453593342,1177.7005954496083,1275.8423117370755
children_under_16,state,3,990.8163774178244,951.1837223211114,1030.4490325145373
children_under_16,state,4,831.3994838594126,798.1435045050362,864.6554632137891
children_under_16,state,5,1566.215205929585,1503.5665976924015,1628.8638141667684
elders_65_plus,county,0,2139.3843244799473,2053.8089515007496,2224.959697459145
elders_65_plus,county,1,173.85319850110295,166.89907056105883,180.80732644114707
elders_65_plus,county,2,831.1547013369678,797.9085132834891,864.4008893904465
elders_65_plus,county,3,547.0017140566395,525.1216454943739,568.881782618905
elders_65_plus,county,4,324.2572767619153,311.2869856914387,337.2275678323919
elders_65_plus,county,5,308.52865665260634,296.1875103865021,320.8698029187106
elders_65_plus,county,6,278.53709830327404,267.3956143711431,289.678582235405
elders_65_plus,county,7,330.8412028943157,317.6075547785431,344.0748510100883
elders_65_plus,county,8,457.79189702818104,439.4802211470538,476.1035729093083
elders_65_plus,county,9,177.7309717874116,170.62173291591512,184.84021065890806
elders_65_plus,county,10,1307.668620805721,1255.3618759734923,1359.9753656379498
elders_65_plus,county,11,203.1211106141848,194.99626618961742,211.2459550387522
elders_65_plus,county,12,202.3517124679185,194.25764396920175,210.44578096663525
elders_65_plus,county,13,811.3149263384801,778.8623292849409,843.7675233920193
elders_65_plus,county,14,420.9684037645921,404.12966761400844,437.80713991517575
elders_65_plus,county,15,24.62074068050723,23.63591105328694,25.60557030772752
elders_65_plus,county,16,557.121575903676,534.836712867529,579.406438939823
elders_65_plus,county,17,197.19497528687597,189.30717627540093,205.082774298351
elders_65_plus,nation,0,9293.44310766432,8921.705383357747,9665.180831970893
elders_65_plus,state,0,3447.052945285668,3309.1708274742414,3584.935063097095
elders_65_plus,state,1,985.168124839583,945.7613998459997,1024.5748498331664
elders_65_plus,state,2,1109.691799640242,1065.3041276546323,1154.0794716258515
elders_65_plus,state,3,1165.1650931081074,1118.5584893837831,1211.7716968324316
elders_65_plus,state,4,881.3788526655912,846.1236985589676,916.6340067722149
elders_65_plus,state,5,1704.9862921251251,1636.7868404401202,1773.1857438101301
households,county,0,0.0,0.0,0.0
households,county,1,0.0,0.0,0.0
households,county,2,0.0,0.0,0.0
households,county,3,0.0,0.0,0.0
households,county,4,0.0,0.0,0.0
households,county,5,0.0,0.0,0.0
households,county,6,0.0,0.0,0.0
households,county,7,0.0,0.0,0.0
households,county,8,0.0,0.0,0.0
households,county,9,0.0,0.0,0.0
households,county,10,0.0,0.0,0.0
households,county,11,0.0,0.0,0.0
households,county,12,0.0,0.0,0.0
households,county,13,0.0,0.0,0.0
households,county,14,0.0,0.0,0.0
households,county,15,0.0,0.0,0.0
households,county,16,0.0,0.0,0.0
households,county,17,0.0,0.0,0.0
households,nation,0,0.0,0.0,0.0
households,state,0,0.0,0.0,0.0
households,state,1,0.0,0.0,0.0
households,state,2,0.0,0.0,0.0
households,state,3,0.0,0.0,0.0
households,state,4,0.0,0.0,0.0
households,state,5,0.0,0.0,0.0
low_income_household_share,county,0,0.0,0.0,0.04
low_income_household_share,county,1,0.0,0.0,0.04
low_income_household_share,county,2,0.0,0.0,0.04
low_income_household_share,county,3,0.0,0.0,0.04
low_income_household_share,county,4,0.0,0.0,0.04
low_income_household_share,county,5,0.0,0.0,0.04
low_income_household_share,county,6,0.0,0.0,0.04
low_income_household_share,county,7,0.0,0.0,0.04
low_income_household_share,county,8,0.0,0.0,0.04
low_income_household_share,county,9,0.0,0.0,0.04
low_income_household_share,county,10,0.0,0.0,0.04
low_income_household_share,county,11,0.0,0.0,0.04
low_income_household_share,county,12,0.0,0.0,0.04
low_income_household_share,county,13,0.0,0.0,0.04
low_income_household_share,county,14,0.0,0.0,0.04
low_income_household_share,county,15,0.0,0.0,0.04
low_income_household_share,county,16,0.0,0.0,0.04
low_income_household_share,county,17,0.0,0.0,0.04
low_income_household_share,nation,0,0.0,0.0,0.04
low_income_household_share,state,0,0.0,0.0,0.04
low_income_household_share,state,1,0.0,0.0,0.04
low_income_household_share,state,2,0.0,0.0,0.04
low_income_household_share,state,3,0.0,0.0,0.04
low_income_household_share,state,4,0.0,0.0,0.04
low_income_household_share,state,5,0.0,0.0,0.04
mean_income_adults,county,0,0.0,0.0,0.0
mean_income_adults,county,1,0.0,0.0,0.0
mean_income_adults,county,2,0.0,0.0,0.0
mean_income_adults,county,3,0.0,0.0,0.0
mean_income_adults,county,4,0.0,0.0,0.0
mean_income_adults,county,5,0.0,0.0,0.0
mean_income_adults,county,6,0.0,0.0,0.0
mean_income_adults,county,7,0.0,0.0,0.0
mean_income_adults,county,8,0.0,0.0,0.0
mean_income_adults,county,9,0.0,0.0,0.0
mean_income_adults,county,10,0.0,0.0,0.0
mean_income_adults,county,11,0.0,0.0,0.0
mean_income_adults,county,12,0.0,0.0,0.0
mean_income_adults,county,13,0.0,0.0,0.0
mean_income_adults,county,14,0.0,0.0,0.0
mean_income_adults,county,15,0.0,0.0,0.0
mean_income_adults,county,16,0.0,0.0,0.0
mean_income_adults,county,17,0.0,0.0,0.0
mean_income_adults,nation,0,0.0,0.0,0.0
mean_income_adults,state,0,0.0,0.0,0.0
mean_income_adults,state,1,0.0,0.0,0.0
mean_income_adults,state,2,0.0,0.0,0.0
mean_income_adults,state,3,0.0,0.0,0.0
mean_income_adults,state,4,0.0,0.0,0.0
mean_income_adults,state,5,0.0,0.0,0.0
median_household_income,county,0,0.0,0.0,0.0
median_household_income,county,1,0.0,0.0,0.0
median_household_income,county,2,0.0,0.0,0.0
median_household_income,county,3,0.0,0.0,0.0
median_household_income,county,4,0.0,0.0,0.0
median_household_income,county,5,0.0,0.0,0.0
median_household_income,county,6,0.0,0.0,0.0
median_household_income,county,7,0.0,0.0,0.0
median_household_income,county,8,0.0,0.0,0.0
median_household_income,county,9,0.0,0.0,0.0
