county,age_band,sex,count
0,0-15,male,2076.791
0,0-15,female,2153.074
0,16-24,male,934.767
0,16-24,female,980.483
0,25-44,male,2029.082
0,25-44,female,2024.999
0,45-64,male,2365.951
0,45-64,female,2444.248
0,65+,male,882.665
0,65+,female,890.876
1,0-15,male,198.053
1,0-15,female,207.088
1,16-24,male,92.749
1,16-24,female,113.979
1,25-44,male,226.782
1,25-44,female,201.31
1,45-64,male,244.409
1,45-64,female,243.23
1,65+,male,97.607
1,65+,female,93.623
2,0-15,male,583.36
2,0-15,female,612.769
2,16-24,male,242.613
2,16-24,female,262.834
2,25-44,male,545.885
2,25-44,female,568.276
2,45-64,male,627.764
2,45-64,female,693.804
2,65+,male,246.466
2,65+,female,246.55
3,0-15,male,229.668
3,0-15,female,247.869
3,16-24,male,111.1
3,16-24,female,93.635
3,25-44,male,233.956
3,25-44,female,228.851
3,45-64,male,342.226
3,45-64,female,331.883
3,65+,male,138.363
3,65+,female,123.177
4,0-15,male,374.397
4,0-15,female,352.885
4,16-24,male,167.164
4,16-24,female,179.234
4,25-44,male,343.039
4,25-44,female,372.557
4,45-64,male,455.415
4,45-64,female,414.525
4,65+,male,208.688
4,65+,female,180.263
5,0-15,male,210.318
5,0-15,female,237.684
5,16-24,male,104.989
5,16-24,female,93.634
5,25-44,male,248.211
5,25-44,female,228.849
5,45-64,male,334.077
5,45-64,female,348.173
5,65+,male,128.179
5,65+,female,131.323
6,0-15,male,333.608
6,0-15,female,315.15
6,16-24,male,135.571
6,16-24,female,144.585
6,25-44,male,329.747
6,25-44,female,278.817
6,45-64,male,385.082
6,45-64,female,411.4
6,65+,male,135.342
6,65+,female,150.705
7,0-15,male,136.894
7,0-15,female,157.129
7,16-24,male,67.264
7,16-24,female,67.108
7,25-44,male,161.551
7,25-44,female,148.299
7,45-64,male,196.474
7,45-64,female,181.037
7,65+,male,72.12
7,65+,female,72.21
8,0-15,male,257.162
8,0-15,female,248.886
8,16-24,male,124.338
8,16-24,female,116.038
8,25-44,male,200.351
8,25-44,female,215.612
8,45-64,male,302.511
8,45-64,female,347.156
8,65+,male,145.491
8,65+,female,116.048
9,0-15,male,117.507
9,0-15,female,119.411
9,16-24,male,40.771
9,16-24,female,51.815
9,25-44,male,97.36
9,25-44,female,96.328
9,45-64,male,167.913
9,45-64,female,145.347
9,65+,male,64.973
9,65+,female,62.009
10,0-15,male,486.531
10,0-15,female,447.71
10,16-24,male,220.171
10,16-24,female,246.5
10,25-44,male,452.114
10,25-44,female,474.505
10,45-64,male,604.236
10,45-64,female,584.733
10,65+,male,237.259
10,65+,female,204.758
11,0-15,male,95.087
11,0-15,female,96.991
11,16-24,male,42.799
11,16-24,female,35.514
11,25-44,male,100.398
11,25-44,female,91.219
11,45-64,male,133.269
11,45-64,female,131.068
11,65+,male,56.818
11,65+,female,47.744
12,0-15,male,167.469
12,0-15,female,159.192
12,16-24,male,87.642
12,16-24,female,92.578
12,25-44,male,164.631
12,25-44,female,164.618
12,45-64,male,231.129
12,45-64,female,219.765
12,65+,male,78.242
12,65+,female,92.589
13,0-15,male,404.997
13,0-15,female,391.632
13,16-24,male,200.792
13,16-24,female,193.514
13,25-44,male,373.637
13,25-44,female,404.174
13,45-64,male,536.943
13,45-64,female,527.622
13,65+,male,213.804
13,65+,female,188.433
14,0-15,male,202.143
14,0-15,female,228.489
14,16-24,male,67.298
14,16-24,female,90.566
14,25-44,male,204.395
14,25-44,female,193.18
14,45-64,male,274.979
14,45-64,female,279.909
14,65+,male,144.458
14,65+,female,158.803
15,0-15,male,46.134
15,0-15,female,31.746
15,16-24,male,
15,16-24,female,21.223
15,25-44,male,23.957
15,25-44,female,26.997
15,45-64,male,39.498
15,45-64,female,45.441
15,65+,male,
15,65+,female,
16,0-15,male,257.166
16,0-15,female,264.165
16,16-24,male,102.955
16,16-24,female,130.296
16,25-44,male,224.794
16,25-44,female,251.257
16,45-64,male,304.552
16,45-64,female,323.74
16,65+,male,119.016
16,65+,female,126.233
17,0-15,male,179.715
17,0-15,female,210.134
17,16-24,male,90.709
17,16-24,female,85.463
17,25-44,male,190.115
17,25-44,female,193.156
17,45-64,male,253.564
17,45-64,female,281.915
17,65+,male,86.402
17,65+,female,86.491
