estimand,level,unit,estimate,lower,upper
children_under_16,county,0,4758.0212531349625,4662.860828072263,4853.181678197662
children_under_16,county,1,467.1303416147807,457.78773478248513,476.4729484470763
children_under_16,county,2,1362.2805598820132,1335.034948684373,1389.5261710796535
children_under_16,county,3,525.5090100003843,514.9988298003766,536.0191902003919
children_under_16,county,4,834.8615514549593,818.1643204258602,851.5587824840585
children_under_16,county,5,512.6088644182793,502.35668712991367,522.8610417066449
children_under_16,county,6,707.0040601188955,692.8639789165176,721.1441413212734
children_under_16,county,7,340.3767291689894,333.56919458560964,347.1842637523692
children_under_16,county,8,565.8411088603874,554.5242866831796,577.1579310375952
children_under_16,county,9,255.66831528120832,250.55494897558415,260.78168158683246
children_under_16,county,10,1087.4799906924154,1065.730390878567,1109.2295905062638
children_under_16,county,11,206.32265747218847,202.1962043227447,210.44911062163223
children_under_16,county,12,375.75644014714413,368.2413113442012,383.27156895008704
children_under_16,county,13,915.4848602366593,897.1751630319261,933.7945574413925
children_under_16,county,14,479.2523940026148,469.6673461225625,488.83744188266706
children_under_16,county,15,78.36016843921973,76.79296507043534,79.92737180800412
children_under_16,county,16,604.1340320107835,592.0513513705678,616.2167126509992
children_under_16,county,17,450.8482759621339,441.83131044289127,459.8652414813766
children_under_16,nation,0,14526.940612898019,14236.401800640058,14817.47942515598
children_under_16,state,0,5845.501243827378,5728.591218950831,5962.411268703925
children_under_16,state,1,1382.61520185144,1354.962897814411,1410.2675058884688
children_under_16,state,2,2069.284620000909,2027.8989276008908,2110.6703124009273
children_under_16,state,3,1455.609679965133,1426.4974863658304,1484.7218735644356
children_under_16,state,4,1438.9955834657428,1410.215671796428,1467.7754951350576
children_under_16,state,5,2334.934283787417,2288.2355981116684,2381.6329694631654
elders_65_plus,county,0,2160.7718424959166,2117.5564056459984,2203.987279345835
elders_65_plus,county,1,219.3384154782985,214.9516471687325,223.72518378786447
elders_65_plus,county,2,582.2826045804059,570.6369524887978,593.928256672014
elders_65_plus,county,3,308.427993048232,302.25943318726735,314.59655290919665
elders_65_plus,county,4,439.69909133051704,430.9051095039067,448.49307315712736
elders_65_plus,county,5,329.29426013782376,322.7083749350673,335.8801453405802
elders_65_plus,county,6,348.5481848214555,341.57722112502637,355.5191485178846
elders_65_plus,county,7,171.68915371326028,168.2553706389951,175.12293678752548
elders_65_plus,county,8,302.83307662171046,296.77641508927627,308.88973815414465
elders_65_plus,county,9,166.86789937574324,163.53054138822836,170.2052573632581
elders_65_plus,county,10,541.1218187572748,530.2993823821294,551.9442551324203
elders_65_plus,county,11,123.14293521462338,120.6800765103309,125.60579391891585
elders_65_plus,county,12,212.59657107318395,208.34463965172029,216.84850249464762
elders_65_plus,county,13,495.24687938698463,485.3419417992449,505.15181697472434
elders_65_plus,county,14,314.34612858659455,308.05920601486264,320.63305115832645
elders_65_plus,county,15,45.62259219203721,44.71014034819647,46.53504403587795
elders_65_plus,county,16,288.2711340075406,282.50571132738975,294.0365566876914
elders_65_plus,county,17,212.69434145915912,208.44045462997593,216.9482282883423
elders_65_plus,nation,0,7262.794922280761,7117.539023835146,7408.0508207263765
elders_65_plus,state,0,2701.8936612531916,2647.855788028128,2755.9315344782553
elders_65_plus,state,1,714.5852948652831,700.2935889679775,728.8770007625888
elders_65_plus,state,2,930.8307894018614,912.2141736138241,949.4474051898986
elders_65_plus,state,3,835.4684630939856,818.7590938321059,852.1778323558653
elders_65_plus,state,4,727.9702253380576,713.4108208312965,742.5296298448187
elders_65_plus,state,5,1352.0464883283823,1325.0055585618147,1379.08741809495
households,county,0,8313.092719991697,8146.830865591863,8479.354574391531
households,county,1,879.5143873845828,861.9240996368912,897.1046751322745
households,county,2,2482.60390932361,2432.9518311371376,2532.2559875100824
households,county,3,1212.1428566258694,1187.899999493352,1236.3857137583868
households,county,4,1588.2881317850863,1556.5223691493845,1620.053894420788
households,county,5,1250.307337045599,1225.301190304687,1275.3134837865111
households,county,6,1358.050787452776,1330.8897717037205,1385.2118032018313
households,county,7,745.2858390086931,730.3801222285192,760.1915557888669
households,county,8,1277.4218206908185,1251.8733842770023,1302.9702571046348
households,county,9,623.5333297248476,611.0626631303506,636.0039963193445
households,county,10,2394.2623544389867,2346.377107350207,2442.1476015277663
households,county,11,554.148074882302,543.065113384656,565.231036379948
households,county,12,867.9045023374226,850.5464122906742,885.2625923841711
households,county,13,1961.3172710871215,1922.090925665379,2000.543616508864
households,county,14,1104.6775438300656,1082.5839929534643,1126.7710947066669
households,county,15,233.85506127552344,229.17796005001298,238.5321625010339
households,county,16,1288.4219525273104,1262.6535134767641,1314.1903915778566
households,county,17,982.772217793107,963.1167734372448,1002.4276621489691
households,nation,0,29117.600097205417,28535.248095261308,29699.952099149526
households,state,0,10707.355074430683,10493.20797294207,10921.502175919297
households,state,1,2840.8316584717045,2784.0150253022703,2897.6482916411387
households,state,2,3840.654696776386,3763.8416028408583,3917.467790711914
households,state,3,3299.5926182490416,3233.600765884061,3365.5844706140224
households,state,4,2876.7100843123967,2819.175882626149,2934.2442859986445
households,state,5,5552.4559649652065,5441.406845665902,5663.5050842645105
low_income_household_share,county,0,0.24151390781794535,0.22151390781794536,0.26151390781794537
low_income_household_share,county,1,0.2276752677908918,0.20767526779089182,0.2476752677908918
low_income_household_share,county,2,0.3332520193315306,0.3132520193315306,0.3532520193315306
low_income_household_share,county,3,0.24504486650856097,0.22504486650856098,0.26504486650856096
low_income_household_share,county,4,0.302820842558501,0.282820842558501,0.322820842558501
low_income_household_share,county,5,0.32597372657003487,0.30597372657003485,0.3459737265700349
low_income_household_share,county,6,0.32918380439047845,0.30918380439047843,0.34918380439047847
low_income_household_share,county,7,0.39990585551878566,0.37990585551878564,0.4199058555187857
low_income_household_share,county,8,0.34961821554080036,0.32961821554080034,0.3696182155408004
low_income_household_share,county,9,0.37585970612307645,0.35585970612307644,0.39585970612307647
low_income_household_share,county,10,0.3154406591732365,0.2954406591732365,0.3354406591732365
low_income_household_share,county,11,0.36114573365461217,0.34114573365461215,0.3811457336546122
low_income_household_share,county,12,0.38837684748452167,0.36837684748452165,0.4083768474845217
low_income_household_share,county,13,0.2200031985764648,0.2000031985764648,0.2400031985764648
low_income_household_share,county,14,0.24365498752263293,0.22365498752263294,0.26365498752263294
low_income_household_share,county,15,0.41141876702500746,0.39141876702500744,0.4314187670250075
low_income_household_share,county,16,0.3581041585390974,0.33810415853909737,0.3781041585390974
low_income_household_share,county,17,0.23423214778436607,0.21423214778436608,0.2542321477843661
low_income_household_share,nation,0,0.2863577972085945,0.2663577972085945,0.3063577972085945
low_income_household_share,state,0,0.25559925345082074,0.23559925345082075,0.27559925345082076
low_income_household_share,state,1,0.22256994950358633,0.20256994950358634,0.24256994950358632
low_income_household_share,state,2,0.3317947059915836,0.3117947059915836,0.35179470599158363
low_income_household_share,state,3,0.241344818862118,0.22134481886211801,0.261344818862118
low_income_household_share,state,4,0.3254686067350794,0.30546860673507936,0.3454686067350794
low_income_household_share,state,5,0.36365121886663826,0.34365121886663824,0.3836512188666383
mean_income_adults,county,0,26925.309367952454,26386.803180593404,27463.815555311503
mean_income_adults,county,1,23195.568559839736,22731.65718864294,23659.47993103653
mean_income_adults,county,2,24290.074364323835,23804.272877037358,24775.87585161031
mean_income_adults,county,3,23263.920364993963,22798.641957694083,23729.198772293843
mean_income_adults,county,4,25386.440576658933,24878.711765125754,25894.169388192113
mean_income_adults,county,5,21990.403138550366,21550.595075779358,22430.211201321374
mean_income_adults,county,6,25921.438770691406,25403.009995277578,26439.867546105233
mean_income_adults,county,7,17238.436552463394,16893.667821414125,17583.205283512663
mean_income_adults,county,8,21384.025564118172,20956.345052835808,21811.706075400536
mean_income_adults,county,9,19850.045924046408,19453.04500556548,20247.046842527336
mean_income_adults,county,10,24056.204550493192,23575.080459483328,24537.328641503056
mean_income_adults,county,11,19878.48591032932,19480.916192122735,20276.055628535905
mean_income_adults,county,12,16950.565630610952,16611.554317998733,17289.576943223172
mean_income_adults,county,13,25424.67235414639,24916.178907063462,25933.16580122932
mean_income_adults,county,14,24634.9548218158,24142.255725379484,25127.65391825212
mean_income_adults,county,15,21976.75628585137,21537.221160134344,22416.291411568396
mean_income_adults,county,16,21221.62121874123,20797.188794366408,21646.053643116054
mean_income_adults,county,17,24881.98484304607,24384.345146185147,25379.624539906992
mean_income_adults,nation,0,24428.748057544395,23940.173096393508,24917.323018695282
mean_income_adults,state,0,26378.655656407085,25851.082543278942,26906.228769535228
mean_income_adults,state,1,24678.908197075507,24185.330033133996,25172.486361017018
mean_income_adults,state,2,24874.46067285534,24376.971459398235,25371.949886312446
mean_income_adults,state,3,24196.843173630667,23712.906310158054,24680.78003710328
mean_income_adults,state,4,23680.250472409854,23206.645462961656,24153.855481858052
mean_income_adults,state,5,19918.957498297452,19520.578348331503,20317.3366482634
median_household_income,county,0,31690.657462258278,31056.844313013113,32324.470611503442
median_household_income,county,1,34592.299547697694,33900.45355674374,35284.145538651646
median_household_income,county,2,27918.845515231955,27360.468604927315,28477.222425536595
median_household_income,county,3,29082.075381657527,28500.433874024377,29663.716889290677
median_household_income,county,4,30262.570748055194,29657.31933309409,30867.8221630163
median_household_income,county,5,28327.876834833867,27761.31929813719,28894.434371530544
median_household_income,county,6,29519.525239861297,28929.13473506407,30109.915744658523
median_household_income,county,7,20610.22244955956,20198.01800056837,21022.426898550748
median_household_income,county,8,24855.3651441572,24358.257841274055,25352.472447040345
median_household_income,county,9,22336.72644794761,21889.991918988657,22783.460976906565
median_household_income,county,10,25156.78011859199,24653.64451622015,25659.91572096383
median_household_income,county,11,24167.05558474212,23683.71447304728,24650.39669643696
median_household_income,county,12,23019.571651273513,22559.180218248042,23479.963084298983
median_household_income,county,13,38285.861731957404,37520.14449731826,39051.57896659655
median_household_income,county,14,29622.028627263917,29029.58805471864,30214.469199809195
median_household_income,county,15,13496.587024452429,13226.65528396338,13766.518764941477
median_household_income,county,16,24952.944207231863,24453.885323087226,25452.0030913765
median_household_income,county,17,30771.70268306636,30156.268629405033,31387.136736727687
median_household_income,nation,0,28828.11,28251.5478,29404.6722
median_household_income,state,0,30394.225000000002,29786.340500000002,31002.109500000002
median_household_income,state,1,37200.12,36456.117600000005,37944.1224
median_household_income,state,2,28177.57,27614.0186,28741.1214
median_household_income,state,3,29662.67,29069.416599999997,30255.9234
median_household_income,state,4,26918.33,26379.9634,27456.696600000003
median_household_income,state,5,23922.13,23443.687400000003,24400.5726
persons,county,0,17509.841758174898,17159.6449230114,17860.038593338395
persons,county,1,1788.9188592458481,1753.1404820609312,1824.697236430765
persons,county,2,4834.5639469810885,4737.872668041467,4931.2552259207105
persons,county,3,2136.6793382459177,2093.945751480999,2179.4129250108363
persons,county,4,3164.7847818709215,3101.4890862335033,3228.0804775083398
persons,county,5,2111.2226033321344,2068.9981512654917,2153.447055398777
persons,county,6,2698.483362904275,2644.5136956461897,2752.4530301623604
persons,county,7,1311.6566121473961,1285.4234799044482,1337.889744390344
persons,county,8,2133.5232549879765,2090.852789888217,2176.193720087736
persons,county,9,981.8227861608381,962.1863304376213,1001.4592418840548
persons,county,10,4121.43013960755,4039.0015368153986,4203.8587423997005
persons,county,11,849.2691362546719,832.2837535295785,866.2545189797654
persons,county,12,1518.3515768057146,1487.9845452696002,1548.718608341829
persons,county,13,3558.1949421387026,3487.0310432959286,3629.3588409814765
persons,county,14,1864.568224976706,1827.2768604771718,1901.8595894762402
persons,county,15,304.19693014197765,298.1129915391381,310.2808687448172
persons,county,16,2196.233722042106,2152.309047601264,2240.158396482948
persons,county,17,1717.1161581780098,1682.7738350144496,1751.45848134157
persons,nation,0,54800.85813419673,53704.84097151279,55896.875296880666
persons,state,0,21631.271897782448,21198.6464598268,22063.897335738096
