estimand,level,unit,estimate,lower,upper
children_under_16,county,0,5006.680527979829,3503.4032290092846,6509.957826950374
children_under_16,county,1,509.55547476390666,356.1344089871666,662.9765405406467
children_under_16,county,2,1296.3309724812218,885.9122903300724,1706.7496546323712
children_under_16,county,3,657.4337335683313,453.8404028691079,861.0270642675546
children_under_16,county,4,876.5101648424276,593.7839105810566,1159.2364191037987
children_under_16,county,5,569.8104116093061,402.77253489089134,736.8482883277209
children_under_16,county,6,673.9260665278637,460.6498086336778,887.2023244220495
children_under_16,county,7,377.3790279258395,266.68336546765624,488.0746903840228
children_under_16,county,8,629.9321515596379,445.5666911422421,814.2976119770336
children_under_16,county,9,285.3048293653191,201.95199661575307,368.65766211488517
children_under_16,county,10,1141.541325549013,797.3034979954961,1485.77915310253
children_under_16,county,11,229.62215460697408,162.29539524213874,296.9489139718094
children_under_16,county,12,414.91188957998094,293.0753105781708,536.748468581791
children_under_16,county,13,1000.0947746638988,699.2768165243094,1300.912732803488
children_under_16,county,14,601.769790886033,415.67791468109135,787.8616670909746
children_under_16,county,15,86.96262125387882,61.4536514387423,112.47159106901535
children_under_16,county,16,636.1451997209042,430.63666602163113,841.6537334201773
children_under_16,county,17,565.0351588900097,390.15746717403727,739.9128506059822
children_under_16,nation,0,15562.56649623879,13189.476791303623,17935.656201173955
children_under_16,state,0,6148.221853528842,5063.929515108006,7232.514191949678
children_under_16,state,1,1509.6502494278056,1242.3928802196242,1776.907618635987
children_under_16,state,2,1970.2570390090855,1571.2479681876857,2369.266109830485
children_under_16,state,3,1824.238683344374,1475.2513782109063,2173.225988477842
children_under_16,state,4,1512.6553645633317,1191.7474220668637,1833.5633070597996
children_under_16,state,5,2593.923085900936,2170.1265244393353,3017.7196473625363
elders_65_plus,county,0,2853.4304537692506,1999.5245521971897,3707.3363553413114
elders_65_plus,county,1,297.6548436499224,210.33822178667882,384.971465513166
elders_65_plus,county,2,732.7419047338059,500.98265770738703,964.5011517602247
elders_65_plus,county,3,423.4244816052826,297.3016939070458,549.5472693035194
elders_65_plus,county,4,557.2422396635951,388.3419443559263,726.142534971264
elders_65_plus,county,5,455.24670266856776,325.7223914731636,584.7710138639719
elders_65_plus,county,6,439.3767177395029,300.3042004061881,578.4492350728177
elders_65_plus,county,7,238.29103860176482,170.49722892161353,306.08484828191615
elders_65_plus,county,8,425.10010843104516,304.02260307224753,546.1776137898428
elders_65_plus,county,9,231.51394698694088,165.64544769443373,297.382446279448
elders_65_plus,county,10,716.121122646289,501.71391210987906,930.5283331826989
elders_65_plus,county,11,172.50222775442535,123.37067693447534,221.63377857437536
elders_65_plus,county,12,293.274089385397,209.8879690667531,376.66020970404094
elders_65_plus,county,13,659.8521753606456,466.81849132772265,852.8858593935685
elders_65_plus,county,14,440.06033848479916,308.73795558355397,571.3827213860443
elders_65_plus,county,15,64.40735169644081,46.055872542569944,82.75883085031168
elders_65_plus,county,16,360.0422394830195,251.21783319433877,468.86664577170023
elders_65_plus,county,17,291.9893193817169,205.0229095477599,378.95572921567384
elders_65_plus,nation,0,9647.982212918716,8242.74553501732,11053.218890820111
elders_65_plus,state,0,3569.5515764155393,2947.4126571321754,4191.690495698904
elders_65_plus,state,1,957.507019010568,801.5420780476927,1113.4719599734433
elders_65_plus,state,2,1172.1186224733087,935.0714715424269,1409.1657734041905
elders_65_plus,state,3,1155.4741394717987,956.4328814654166,1354.5153974781808
elders_65_plus,state,4,917.2844791466146,751.9855892139667,1082.5833690792624
elders_65_plus,state,5,1880.3354655245819,1602.71070882838,2157.960222220784
households,county,0,8317.581673509781,5987.18855280649,10647.974794213073
households,county,1,890.2649825628064,627.2237207946229,1153.30624433099
households,county,2,2362.7832894457106,1687.3881397611217,3038.1784391302995
households,county,3,1188.063242824567,818.6955695154272,1557.4309161337067
households,county,4,1452.9936994951684,1017.6020317421885,1888.3853672481482
households,county,5,1223.7559994392009,870.4675849970487,1577.0444138813532
households,county,6,1297.6573055312178,926.8397709810006,1668.474840081435
households,county,7,725.0174590136694,515.6941294281974,934.3407885991414
households,county,8,1248.5760354453012,888.0311986558102,1609.1208722347922
households,county,9,611.7327158768909,435.0967937493658,788.368638004416
households,county,10,2400.222593002451,1727.5225356199735,3072.9226503849286
households,county,11,542.40412834832,385.83923049997554,698.9690261966645
households,county,12,844.7616425182613,600.8189542796282,1088.7043307568943
households,county,13,1988.635388595501,1401.019504826255,2576.251272364747
households,county,14,1091.8849480466413,752.3242824723718,1431.4456136209108
households,county,15,228.8707761963501,162.7599654903692,294.981586902331
households,county,16,1174.952502512937,822.8950762511809,1527.009928774693
households,county,17,959.4524492390937,661.146805506791,1257.7580929713963
households,nation,0,28550.576018748143,24802.436699006783,32298.715338489503
households,state,0,10717.804266512234,9228.227476163906,12207.381056860562
households,state,1,2878.9003711583073,2396.187977080045,3361.6127652365694
households,state,2,3660.4405949769284,3111.4171586138937,4209.464031339963
households,state,3,3239.400640110302,2612.173188554925,3866.6280916656788
households,state,4,2627.946202008105,2168.3003963396877,3087.5920076765224
households,state,5,5425.118756837995,4581.649010616407,6268.588503059582
low_income_household_share,county,0,0.25085918366313203,0.07983542389395895,0.42188294343230515
low_income_household_share,county,1,0.2689054055616719,0.0680807290267105,0.46973008209663336
low_income_household_share,county,2,0.3637086737833907,0.07717109355694535,0.6502462540098362
low_income_household_share,county,3,0.25446196719851594,0.003624674159836805,0.5052992602371951
low_income_household_share,county,4,0.26159002986074,0.0,0.5385212477054886
low_income_household_share,county,5,0.35167331263894747,0.17893665083819338,0.5244099744397015
low_income_household_share,county,6,0.32314007166940945,0.05396439590886132,0.5923157474299576
low_income_household_share,county,7,0.4316561658906954,0.24560928655681996,0.6177030452245709
low_income_household_share,county,8,0.3731518102041659,0.1970165896337644,0.5492870307745674
low_income_household_share,county,9,0.42813978911162703,0.2427137833338015,0.6135657948894526
low_income_household_share,county,10,0.33250138475900975,0.15083245113112598,0.5141703183868935
low_income_household_share,county,11,0.3686476455634497,0.19323645647394325,0.5440588346529561
low_income_household_share,county,12,0.41986793135515177,0.23589034476912144,0.6038455179411821
low_income_household_share,county,13,0.2777745555736607,0.07562094137399514,0.4799281697733263
low_income_household_share,county,14,0.28819353935694225,0.024295683245812216,0.5520913954680723
low_income_household_share,county,15,0.3855603681964421,0.2074003647633231,0.5637203716295611
low_income_household_share,county,16,0.34720031984997035,0.03943940875024882,0.6549612309496919
low_income_household_share,county,17,0.2549484779396631,0.0039287793103237045,0.5059681765690025
low_income_household_share,nation,0,0.3011247969661184,0.17504838374094595,0.4272012101912908
low_income_household_share,state,0,0.26643908614224043,0.11690231162243467,0.41597586066204617
low_income_household_share,state,1,0.27481063431172953,0.09560339072255736,0.4540178779009017
low_income_household_share,state,2,0.34913909452823444,0.08400372587890559,0.6142744631775633
low_income_household_share,state,3,0.265681551713482,0.028464314075418745,0.5028987893515453
low_income_household_share,state,4,0.2965963622229668,0.025172863873014095,0.5680198605729195
low_income_household_share,state,5,0.39006976939373195,0.23164399978239633,0.5484955390050675
mean_income_adults,county,0,34055.34632932523,19001.999490716706,49108.69316793375
mean_income_adults,county,1,25248.723296394914,13615.615810595666,36881.83078219416
mean_income_adults,county,2,27421.379308046373,15774.730262990677,39068.02835310207
mean_income_adults,county,3,27344.47374656636,13896.652193523967,40792.295299608755
mean_income_adults,county,4,31744.76523022249,15124.810334548009,48364.72012589697
mean_income_adults,county,5,25280.172622700444,15371.655430046594,35188.68981535429
mean_income_adults,county,6,29504.54104100895,17126.20266241179,41882.879419606106
mean_income_adults,county,7,19109.524687835063,11442.245457585455,26776.803918084668
mean_income_adults,county,8,25384.085410721094,15437.826106096272,35330.34471534591
mean_income_adults,county,9,21687.446360840804,13083.841483976397,30291.05123770521
mean_income_adults,county,10,30546.554163010787,16985.561539081566,44107.54678694001
mean_income_adults,county,11,22817.433517368212,13803.40656830472,31831.460466431705
mean_income_adults,county,12,18575.509019465084,11102.189354094717,26048.82868483545
mean_income_adults,county,13,27405.455536036592,14966.760138537533,39844.15093353565
mean_income_adults,county,14,27854.24658450631,14209.30319980388,41499.18996920874
mean_income_adults,county,15,22742.360262216494,13755.600632757576,31729.119891675415
mean_income_adults,county,16,25803.126549383258,12174.997155994588,39431.255942771924
mean_income_adults,county,17,28200.244168908543,14421.508489852155,41978.97984796493
mean_income_adults,nation,0,29207.518245597053,19058.962509623623,39356.07398157049
mean_income_adults,state,0,33385.75830944272,19722.311353613666,47049.20526527177
mean_income_adults,state,1,26684.711774489482,15533.859802810608,37835.56374616836
mean_income_adults,state,2,28169.514279136423,17412.518030192572,38926.510528080275
mean_income_adults,state,3,27767.39241791537,15176.102693270244,40358.682142560494
mean_income_adults,state,4,29315.209408557985,14728.431825386822,43901.98699172915
mean_income_adults,state,5,22631.866736006286,14577.498282081026,30686.235189931547
median_household_income,county,0,36723.36035119188,21393.54092494703,52053.17977743673
median_household_income,county,1,35985.549296275305,14176.637066030067,57794.46152652054
median_household_income,county,2,31375.73179597472,12362.901109550625,50388.56248239882
median_household_income,county,3,33873.484288956875,9159.726450914022,58587.24212699973
median_household_income,county,4,33645.61600913739,21297.584370026696,45993.64764824808
median_household_income,county,5,30838.36375364619,18403.213374700263,43273.514132592114
median_household_income,county,6,35343.57715205412,15490.594552376497,55196.55975173174
median_household_income,county,7,22821.56093808667,13619.077161241277,32024.04471493206
median_household_income,county,8,28460.44429786104,16984.157568683608,39936.73102703847
median_household_income,county,9,23444.952105437816,13991.094326623801,32898.80988425183
median_household_income,county,10,29705.949486828977,17208.399352014505,42203.49962164345
median_household_income,county,11,27405.049646744978,16354.336443471999,38455.762850017956
median_household_income,county,12,23713.71206991194,14151.480494071138,33275.94364575274
median_household_income,county,13,38028.50281744244,15383.60290988037,60673.402725004504
median_household_income,county,14,33682.41237037074,9057.90683901024,58306.917901731234
median_household_income,county,15,26488.741402199543,15807.517024773986,37169.9657796251
median_household_income,county,16,26136.496844972815,16544.332151373692,35728.661538571934
median_household_income,county,17,35739.43209662568,9672.425673106438,61806.43852014492
median_household_income,nation,0,32543.55406405633,20699.02715424427,44388.08097386839
median_household_income,state,0,35103.66949749721,21657.75876435206,48549.580230642365
median_household_income,state,1,36914.89525286382,16000.008414432465,57829.78209129517
median_household_income,state,2,32543.55406405633,14214.950599970307,50872.15752814236
median_household_income,state,3,34206.40398748962,10360.72240079764,58052.0855741816
median_household_income,state,4,31103.418031421374,20899.281716535545,41307.5543463072
median_household_income,state,5,26488.741402199543,16736.73457215014,36240.748232248945
persons,county,0,20600.1116272567,14611.557818853069,26588.665435660332
persons,county,1,2013.5745627719032,1430.668669146905,2596.4804563969014
persons,county,2,4936.283319895469,3410.262226721585,6462.304413069352
persons,county,3,2613.498527835392,1828.3543367582565,3398.6427189125275
persons,county,4,3789.1837687954235,2605.5597316475323,4972.807805943315
persons,county,5,2504.561138486782,1795.8402361450023,3213.2820408285615
persons,county,6,2766.241310131052,1911.1070956722592,3621.375524589845
persons,county,7,1546.554770312027,1108.8413840429735,1984.2681565810803
persons,county,8,2527.537466961039,1812.1478419961768,3242.9270919259015
persons,county,9,1167.4941099544258,837.0845811724906,1497.9036387363608
persons,county,10,4858.25859728618,3445.8348060302587,6270.682388542101
persons,county,11,1007.5394399032239,722.4479103355682,1292.6309694708796
persons,county,12,1791.241514014778,1284.183214388349,2298.299813641207
persons,county,13,4011.786193914556,2850.7801664249364,5172.7922214041755
persons,county,14,2299.941494884839,1609.837199280078,2990.0457904895998
persons,county,15,360.8427237076911,258.6840928360589,463.00135457932333
persons,county,16,2621.2460963967173,1802.2588229542262,3440.2333698392085
persons,county,17,2092.027631032604,1463.0172936067456,2721.0379684584623
persons,nation,0,63506.48411412467,54603.36738075706,72409.60084749229
persons,state,0,25458.370224542883,21407.57381912391,29509.166629961856
persons,state,1,6025.360756686459,5080.807399934592,6969.914113438327
persons,state,2,7702.524630026521,6233.530226727693,9171.519033325349
persons,state,3,7005.467653752834,5771.434016949508,8239.50129055616
persons,state,4,6410.429865192141,5154.235875034594,7666.623855349688
persons,state,5,10905.771163339967,9329.091382005969,12482.450944673965
tertiary_share_25_plus,county,0,0.47344353920079774,0.4364053146027204,0.5104817637988751
tertiary_share_25_plus,county,1,0.444818058389019,0.40053088011153104,0.48910523666650696
tertiary_share_25_plus,county,2,0.42834490640820455,0.3888796860209142,0.4678101267954949
tertiary_share_25_plus,county,3,0.3693604653207007,0.32679077272959545,0.411930157911806
tertiary_share_25_plus,county,4,0.4456099130505558,0.40457970180600483,0.4866401242951068
tertiary_share_25_plus,county,5,0.3887290237265234,0.34614124324500173,0.4313168042080451
tertiary_share_25_plus,county,6,0.4443182647387472,0.4024608687046658,0.4861756607728286
tertiary_share_25_plus,county,7,0.38686581571615714,0.3403127302264306,0.43341890120588367
tertiary_share_25_plus,county,8,0.3963174939980418,0.35326514103491397,0.4393698469611696
tertiary_share_25_plus,county,9,0.36743133538959377,0.3185044842147453,0.41635818656444223
tertiary_share_25_plus,county,10,0.4019991820137574,0.36215755537268335,0.44184080865483144
tertiary_share_25_plus,county,11,0.36647357132980385,0.31617765498429673,0.41676948767531097
