estimand,level,unit,estimate,lower,upper
children_under_16,county,0,8326.0,8159.48,8492.52
children_under_16,county,1,822.0000000000001,805.5600000000001,838.4400000000002
children_under_16,county,2,2374.0,2326.52,2421.48
children_under_16,county,3,964.0,944.72,983.28
children_under_16,county,4,1454.0,1424.92,1483.08
children_under_16,county,5,906.0000000000001,887.8800000000001,924.1200000000001
children_under_16,county,6,1300.0,1274.0,1326.0
children_under_16,county,7,604.0,591.92,616.08
children_under_16,county,8,1020.0000000000001,999.6000000000001,1040.4
children_under_16,county,9,492.00000000000006,482.1600000000001,501.84000000000003
children_under_16,county,10,1860.0000000000002,1822.8000000000002,1897.2000000000003
children_under_16,county,11,404.0,395.92,412.08
children_under_16,county,12,668.0,654.64,681.36
children_under_16,county,13,1590.0,1558.2,1621.8
children_under_16,county,14,872.0,854.56,889.44
children_under_16,county,15,180.0,176.4,183.6
children_under_16,county,16,1050.0,1029.0,1071.0
children_under_16,county,17,792.0,776.16,807.84
children_under_16,nation,0,25678.0,25164.44,26191.56
children_under_16,state,0,10186.0,9982.28,10389.72
children_under_16,state,1,2412.0,2363.76,2460.24
children_under_16,state,2,3674.0,3600.52,3747.48
children_under_16,state,3,2628.0,2575.44,2680.56
children_under_16,state,4,2504.0,2453.92,2554.08
children_under_16,state,5,4274.0,4188.52,4359.48
elders_65_plus,county,0,3492.0,3422.16,3561.84
elders_65_plus,county,1,388.0,380.24,395.76
elders_65_plus,county,2,980.0,960.4,999.6
elders_65_plus,county,3,526.0,515.48,536.52
elders_65_plus,county,4,776.0,760.48,791.52
elders_65_plus,county,5,522.0,511.56,532.44
elders_65_plus,county,6,574.0,562.52,585.48
elders_65_plus,county,7,296.0,290.08,301.92
elders_65_plus,county,8,526.0,515.48,536.52
elders_65_plus,county,9,262.0,256.76,267.24
elders_65_plus,county,10,880.0,862.4,897.6
elders_65_plus,county,11,218.0,213.64,222.36
elders_65_plus,county,12,348.0,341.04,354.96
elders_65_plus,county,13,802.0,785.96,818.04
elders_65_plus,county,14,608.0,595.84,620.16
elders_65_plus,county,15,84.0,82.32,85.68
elders_65_plus,county,16,494.0,484.12,503.88
elders_65_plus,county,17,352.0,344.96,359.04
elders_65_plus,nation,0,12128.0,11885.44,12370.56
elders_65_plus,state,0,4372.0,4284.56,4459.44
elders_65_plus,state,1,1190.0,1166.2,1213.8
elders_65_plus,state,2,1554.0,1522.92,1585.08
elders_65_plus,state,3,1486.0,1456.28,1515.72
elders_65_plus,state,4,1270.0,1244.6,1295.4
elders_65_plus,state,5,2256.0,2210.88,2301.12
households,county,0,15726.000000000002,15411.480000000001,16040.520000000002
households,county,1,1768.0,1732.64,1803.36
households,county,2,4772.0,4676.56,4867.44
households,county,3,2426.0,2377.48,2474.52
households,county,4,3110.0,3047.8,3172.2
households,county,5,2510.0,2459.8,2560.2
households,county,6,2696.0,2642.08,2749.92
households,county,7,1516.0,1485.68,1546.32
households,county,8,2546.0,2495.08,2596.92
households,county,9,1312.0,1285.76,1338.24
households,county,10,4620.0,4527.6,4712.4
households,county,11,1176.0,1152.48,1199.52
households,county,12,1746.0,1711.08,1780.92
households,county,13,3824.0,3747.52,3900.48
households,county,14,2254.0,2208.92,2299.08
households,county,15,558.0,546.84,569.16
households,county,16,2532.0,2481.36,2582.64
households,county,17,1972.0,1932.56,2011.44
households,nation,0,57064.0,55922.72,58205.28
households,state,0,20346.0,19939.08,20752.92
households,state,1,5592.0,5480.16,5703.84
households,state,2,7468.0,7318.64,7617.36
households,state,3,6652.0,6518.96,6785.04
households,state,4,5642.0,5529.16,5754.84
households,state,5,11364.0,11136.72,11591.28
low_income_household_share,county,0,0.0008360243526829201,0.0,0.02083602435268292
low_income_household_share,county,1,0.0007202387174679325,0.0,0.020720238717467934
low_income_household_share,county,2,0.001074405013918436,0.0,0.021074405013918437
low_income_household_share,county,3,0.0007813397093287405,0.0,0.02078133970932874
