county,age_band,sex,count
0,0-15,male,297.973
0,0-15,female,302.688
0,16-24,male,168.494
0,16-24,female,176.649
0,25-44,male,349.073
0,25-44,female,305.324
0,45-64,male,372.629
0,45-64,female,394.556
0,65+,male,152.098
0,65+,female,154.373
1,0-15,male,1124.783
1,0-15,female,1131.957
1,16-24,male,448.639
1,16-24,female,514.622
1,25-44,male,1049.958
1,25-44,female,1089.609
1,45-64,male,1313.267
1,45-64,female,1362.958
1,65+,male,559.014
1,65+,female,545.803
2,0-15,male,665.743
2,0-15,female,631.97
2,16-24,male,292.81
2,16-24,female,273.529
2,25-44,male,639.433
2,25-44,female,596.009
2,45-64,male,752.493
2,45-64,female,748.855
2,65+,male,290.155
2,65+,female,290.121
3,0-15,male,580.831
3,0-15,female,568.762
3,16-24,male,228.822
3,16-24,female,208.21
3,25-44,male,590.873
3,25-44,female,564.227
3,45-64,male,780.043
3,45-64,female,680.249
3,65+,male,307.682
3,65+,female,324.684
4,0-15,male,328.737
4,0-15,female,339.636
4,16-24,male,149.122
4,16-24,female,152.433
4,25-44,male,329.016
4,25-44,female,311.837
4,45-64,male,457.008
4,45-64,female,472.132
4,65+,male,155.39
4,65+,female,151.035
5,0-15,male,727.237
5,0-15,female,671.946
5,16-24,male,315.445
5,16-24,female,269.173
5,25-44,male,664.224
5,25-44,female,631.561
5,45-64,male,766.491
5,45-64,female,834.297
5,65+,male,350.265
5,65+,female,357.015
6,0-15,male,226.479
6,0-15,female,248.985
6,16-24,male,116.852
6,16-24,female,118.177
6,25-44,male,277.83
6,25-44,female,228.187
6,45-64,male,270.837
6,45-64,female,262.116
6,65+,male,74.287
6,65+,female,120.293
7,0-15,male,120.692
7,0-15,female,119.555
7,16-24,male,54.627
7,16-24,female,49.726
7,25-44,male,118.535
7,25-44,female,106.216
7,45-64,male,162.576
7,45-64,female,166.302
7,65+,male,74.297
7,65+,female,77.996
8,0-15,male,373.547
8,0-15,female,342.139
8,16-24,male,183.15
8,16-24,female,159.887
8,25-44,male,370.349
8,25-44,female,329.632
8,45-64,male,495.684
8,45-64,female,453.667
8,65+,male,128.073
8,65+,female,154.877
9,0-15,male,293.844
9,0-15,female,312.702
9,16-24,male,161.173
9,16-24,female,167.504
9,25-44,male,277.92
9,25-44,female,283.055
9,45-64,male,327.168
9,45-64,female,372.163
9,65+,male,140.917
9,65+,female,138.38
10,0-15,male,247.195
10,0-15,female,286.847
10,16-24,male,134.598
10,16-24,female,113.668
10,25-44,male,222.804
10,25-44,female,250.125
10,45-64,male,359.225
10,45-64,female,322.14
10,65+,male,119.516
10,65+,female,120.715
11,0-15,male,424.552
11,0-15,female,390.609
11,16-24,male,204.21
11,16-24,female,187.263
11,25-44,male,410.093
11,25-44,female,454.46
11,45-64,male,499.075
11,45-64,female,503.604
11,65+,male,227.811
11,65+,female,217.567
12,0-15,male,379.395
12,0-15,female,336.446
12,16-24,male,127.916
12,16-24,female,126.826
12,25-44,male,302.912
12,25-44,female,320.487
12,45-64,male,473.244
12,45-64,female,403.429
12,65+,male,152.113
12,65+,female,169.53
13,0-15,male,241.638
13,0-15,female,242.99
13,16-24,male,93.294
13,16-24,female,87.146
13,25-44,male,241.967
13,25-44,female,234.628
13,45-64,male,232.473
13,45-64,female,244.92
13,65+,male,114.215
13,65+,female,101.721
14,0-15,male,573.106
14,0-15,female,519.909
14,16-24,male,236.739
14,16-24,female,248.073
14,25-44,male,488.319
14,25-44,female,492.523
14,45-64,male,603.548
14,45-64,female,620.958
14,65+,male,229.367
14,65+,female,203.722
15,0-15,male,301.589
15,0-15,female,347.6
15,16-24,male,153.769
15,16-24,female,153.849
15,25-44,male,329.208
15,25-44,female,290.879
15,45-64,male,414.073
15,45-64,female,385.527
15,65+,male,172.129
15,65+,female,157.204
16,0-15,male,477.265
16,0-15,female,491.414
16,16-24,male,182.808
16,16-24,female,165.57
16,25-44,male,446.173
16,25-44,female,502.528
16,45-64,male,559.138
16,45-64,female,607.801
16,65+,male,230.185
16,65+,female,249.623
17,0-15,male,216.756
17,0-15,female,233.91
17,16-24,male,127.745
17,16-24,female,124.17
17,25-44,male,228.039
17,25-44,female,207.467
17,45-64,male,251.639
17,45-64,female,241.887
17,65+,male,110.446
17,65+,female,92.143
