estimand,level,unit,sex,age_band,estimate,lower,upper
children_under_16,county,0,,,2529.2976792333848,1766.35515644394,3292.2402020228296
children_under_16,county,1,,,1845.8046845837287,1378.4404478252773,2313.16892134218
children_under_16,county,2,,,2543.0185432020617,1888.920625432237,3197.116460971886
children_under_16,county,3,,,1635.3117752604173,1247.2171938875204,2023.4063566333143
children_under_16,county,4,,,1495.0771909729772,995.2491157887137,1994.9052661572407
children_under_16,county,5,,,840.1219400649819,540.9350474551295,1139.3088326748343
children_under_16,county,6,,,234.10956464916518,179.546080853214,288.67304844511636
children_under_16,county,7,,,343.67505230851253,256.74364157833605,430.606463038689
children_under_16,county,8,,,391.6468917013248,292.4665742704087,490.8272091322409
children_under_16,county,9,,,710.4775030434394,530.774274842835,890.1807312440437
children_under_16,county,10,,,273.33653948289395,204.26869338866229,342.4043855771256
children_under_16,county,11,,,553.5600698699376,415.03943683593445,692.0807029039407
children_under_16,county,12,,,335.23664044178065,257.1093662509263,413.363914632635
children_under_16,county,13,,,704.3258471460709,526.1140993189655,882.5375949731764
children_under_16,county,14,,,246.67710950777067,177.27389122265876,316.0803277928826
children_under_16,county,15,,,1020.7961942022978,778.30698035208,1263.2854080525155
children_under_16,county,16,,,631.7604879068331,469.3027341495229,794.2182416641433
children_under_16,nation,0,,,16334.23371357758,14428.755300452995,18239.712126702165
children_under_16,state,0,,,2529.2976792333848,1881.387883556806,3177.207474909964
children_under_16,state,1,,,4822.826588135908,3874.192414701124,5771.460761570693
children_under_16,state,2,,,2543.0185432020617,2029.4191835662787,3056.6179028378447
children_under_16,state,3,,,4103.891771968265,3408.440309151376,4799.343234785154
children_under_16,state,4,,,1495.0771909729772,1055.620782325526,1934.5335996204283
children_under_16,state,5,,,840.1219400649819,572.5266413680412,1107.7172387619225
elders_65_plus,county,0,,,1311.9955559550476,916.2425342497203,1707.7485776603748
elders_65_plus,county,1,,,823.3742981520603,614.8930305312947,1031.855565772826
elders_65_plus,county,2,,,1143.1186558060485,849.0934570809577,1437.1438545311394
elders_65_plus,county,3,,,858.3916062628014,654.6768552737921,1062.1063572518106
elders_65_plus,county,4,,,752.4274252938178,500.878974169559,1003.9758764180766
elders_65_plus,county,5,,,376.32525905447375,242.3071130001082,510.3434051088393
elders_65_plus,county,6,,,131.34259403148755,100.73081825079726,161.95436981217784
elders_65_plus,county,7,,,160.7125025113433,120.06083323409082,201.3641717885958
elders_65_plus,county,8,,,248.81986902803945,185.80894230749826,311.8307957485806
elders_65_plus,county,9,,,365.20095079878456,272.82956744133133,457.5723341562378
elders_65_plus,county,10,,,133.1432892444963,99.50007334875198,166.7865051402406
elders_65_plus,county,11,,,238.18877917458346,178.58538241836177,297.7921759308051
elders_65_plus,county,12,,,224.90907505918108,172.49376343929364,277.3243866790685
elders_65_plus,county,13,,,337.901393176902,252.404036924433,423.398749429371
elders_65_plus,county,14,,,189.7876111834431,136.3903947450872,243.18482762179897
elders_65_plus,county,15,,,594.5576181917013,453.3209930526075,735.7942433307951
elders_65_plus,county,16,,,358.2406251426752,266.11873974569494,450.36251053965543
elders_65_plus,nation,0,,,8248.437108066888,7296.21843905517,9200.655777078606
elders_65_plus,state,0,,,1311.9955559550476,975.9122314943775,1648.0788804157178
elders_65_plus,state,1,,,2307.3410820862096,1853.443418078678,2761.238746093741
elders_65_plus,state,2,,,1143.1186558060485,912.249317012142,1373.987994599955
elders_65_plus,state,3,,,2357.2291298712894,1946.1529915118372,2768.3052682307416
elders_65_plus,state,4,,,752.4274252938178,531.2622198556419,973.5926307319937
elders_65_plus,state,5,,,376.32525905447375,256.45829058071115,496.19222752823634
households,county,0,,,4200.93643194339,2933.757378334952,5468.115485551827
households,county,1,,,2965.4958084963555,2214.6218418605777,3716.3697751321333
households,county,2,,,3946.3935143125263,2931.3290401219983,4961.457988503054
households,county,3,,,2692.7628439259393,2053.7124289165386,3331.81325893534
households,county,4,,,2784.8919697865117,1853.8583072713138,3715.92563230171
households,county,5,,,1860.7829942097492,1198.1150464880047,2523.4509419314936
households,county,6,,,415.66955685336274,318.79022104396375,512.5488926627617
households,county,7,,,519.4948007305886,388.09039534488124,650.899206116296
households,county,8,,,766.7103255948165,572.5492711313842,960.8713800582487
households,county,9,,,1229.033530070692,918.1703542848371,1539.8967058565468
households,county,10,,,492.49214665756347,368.04712422363036,616.9371690914966
households,county,11,,,989.5917815569317,741.9603365021599,1237.2232266117035
households,county,12,,,735.3723327348747,563.9929876959981,906.7516777737513
households,county,13,,,1225.9981425392527,915.790484109542,1536.2058009689636
households,county,14,,,566.718290248622,407.27068976888836,726.1658907283556
households,county,15,,,1944.4031755833314,1482.5119575978251,2406.2943935688377
households,county,16,,,1164.3779393669176,864.9571490910764,1463.7987296427589
households,nation,0,,,28501.125584611425,25153.203420645106,31849.047748577745
households,state,0,,,4200.93643194339,3124.8164134820963,5277.056450404683
households,state,1,,,8188.8165356462005,6577.964529182298,9799.668542110103
households,state,2,,,3946.3935143125263,3149.3622904388785,4743.424738186174
households,state,3,,,7519.304138713047,6209.536793600389,8829.071483825704
households,state,4,,,2784.8919697865117,1966.3130824201355,3603.470857152888
households,state,5,,,1860.7829942097492,1268.087151619052,2453.4788368004465
low_income_household_share,county,0,,,0.23902044106307754,0.15504484393302767,0.3229960381931274
low_income_household_share,county,1,,,0.3453474031712909,0.2616183666024103,0.42907643974017157
low_income_household_share,county,2,,,0.3629932967080341,0.2722376972806787,0.4537488961353895
low_income_household_share,county,3,,,0.26452174176498483,0.180491872169305,0.34855161136066465
low_income_household_share,county,4,,,0.234400504558831,0.14959981092599223,0.31920119819166975
low_income_household_share,county,5,,,0.4508514422179627,0.36026289827485114,0.5414399861610742
low_income_household_share,county,6,,,0.3404835163816054,0.2560797208605171,0.4248873119026937
low_income_household_share,county,7,,,0.3250298609644402,0.24115794001346896,0.40890178191541143
low_income_household_share,county,8,,,0.31627090570339517,0.23226888220667402,0.4002729292001163
low_income_household_share,county,9,,,0.34720228647532136,0.26366165794546503,0.4307429150051777
low_income_household_share,county,10,,,0.4124528586283449,0.32851000724472185,0.49639571001196797
low_income_household_share,county,11,,,0.3165931252781712,0.23248218297079126,0.4007040675855511
low_income_household_share,county,12,,,0.3509361762251711,0.2661928860152094,0.4356794664351328
low_income_household_share,county,13,,,0.3283984845950805,0.24377032523875758,0.41302664395140337
low_income_household_share,county,14,,,0.30231576171719454,0.21715251117532874,0.38747901225906034
low_income_household_share,county,15,,,0.41432297360555476,0.3290025185359738,0.4996434286751357
low_income_household_share,county,16,,,0.36898026301893483,0.2841147485631508,0.4538457774747189
low_income_household_share,nation,0,,,0.32068699966853087,0.3078353292573571,0.3335386700797046
low_income_household_share,state,0,,,0.23902044106307754,0.22208413646766947,0.2559567456584856
low_income_household_share,state,1,,,0.3397042295967011,0.32530973404691044,0.35409872514649177
low_income_household_share,state,2,,,0.3629932967080341,0.32463294833346124,0.40135364508260696
