estimand,level,unit,estimate,lower,upper
children_under_16,county,0,2107.544191916188,1533.831231891022,2681.257151941354
children_under_16,county,1,1816.108830676517,1415.3080582450825,2216.9096031079516
children_under_16,county,2,1936.8786004881838,1277.0251928604166,2596.732008115951
children_under_16,county,3,1275.068561917779,968.5810658510852,1581.556057984473
children_under_16,county,4,346.16492577883963,200.24616915544675,492.0836824022325
children_under_16,county,5,244.7451046504878,120.9881457594041,368.5020635415715
children_under_16,county,6,527.236817387003,338.8202530196878,715.6533817543183
children_under_16,county,7,821.3742549129761,484.12158171535737,1158.6269281105947
children_under_16,county,8,438.41631129366573,264.432075421216,612.4005471661155
children_under_16,county,9,60.81394947701146,33.721433895940734,87.90646505808219
children_under_16,county,10,352.411513300438,145.4922598779627,559.3307667229133
children_under_16,county,11,95.71353336514531,68.1683089008749,123.25875782941571
children_under_16,county,12,398.79456800212535,240.62503539174355,556.9641006125071
children_under_16,county,13,699.4980579392796,396.475045960552,1002.5210699180072
children_under_16,county,14,470.1797691821891,341.4720714073271,598.8874669570511
children_under_16,county,15,204.6809312516117,139.13531984418017,270.2265426590432
children_under_16,county,16,188.5480069558661,132.21036231280533,244.88565159892687
children_under_16,county,17,543.4169945630231,393.6810297154177,693.1529594106285
children_under_16,nation,0,12527.59492305833,10530.519597601502,14524.670248515158
children_under_16,state,0,3121.1409556614,2406.2433543992006,3836.038556923599
children_under_16,state,1,1816.108830676517,1538.6778052464715,2093.5398561065626
children_under_16,state,2,3617.6563634989557,2622.9737321403713,4612.3389948575405
children_under_16,state,3,1275.068561917779,1045.5262029325447,1504.6109209030135
children_under_16,state,4,2100.4635933527525,1436.7063249558996,2764.2208617496053
children_under_16,state,5,597.1566179509258,342.1008851851141,852.2123507167375
elders_65_plus,county,0,1316.8449065068671,953.2959258284868,1680.3938871852474
elders_65_plus,county,1,1321.1319561365976,1032.9838860380053,1609.28002623519
elders_65_plus,county,2,1275.2550275169526,864.0141922060764,1686.495862827829
elders_65_plus,county,3,1234.017205019528,918.2273913668855,1549.8070186721707
elders_65_plus,county,4,320.2567934228735,175.2905411537089,465.2230456920381
elders_65_plus,county,5,288.44208622798396,139.2894989348283,437.5946735211396
elders_65_plus,county,6,393.5884759779192,271.9211795430982,515.2557724127402
elders_65_plus,county,7,811.4787987383648,483.7058778806408,1139.2517195960888
elders_65_plus,county,8,373.37990974916295,223.26415450253188,523.495664995794
elders_65_plus,county,9,51.21635408913466,29.64584004701662,72.7868681312527
elders_65_plus,county,10,301.924604612637,124.56097275672752,479.2882364685464
elders_65_plus,county,11,91.76661861449172,65.13373053218771,118.39950669679573
elders_65_plus,county,12,397.0443181580554,241.80726148834177,552.281374827769
elders_65_plus,county,13,444.0265528929563,268.24708252344146,619.8060232624712
elders_65_plus,county,14,352.7360655970801,255.38152930144187,450.09060189271827
elders_65_plus,county,15,98.20500802065953,68.70762909852989,127.70238694278918
elders_65_plus,county,16,111.64540884033603,76.91575876797577,146.3750589126963
elders_65_plus,county,17,322.39745864151797,228.34192597741844,416.4529913056175
elders_65_plus,nation,0,9505.357548763119,7949.955404678548,11060.759692847689
elders_65_plus,state,0,1991.9784307454652,1532.5387484382636,2451.4181130526667
elders_65_plus,state,1,1321.1319561365976,1124.280368243777,1517.9835440294182
elders_65_plus,state,2,2373.9368273379587,1725.6001051135154,3022.273549562402
elders_65_plus,state,3,1234.017205019528,986.8505486703988,1481.1838613686575
elders_65_plus,state,4,1993.9264386829484,1363.2893752483765,2624.5635021175203
elders_65_plus,state,5,590.366690840621,337.04032788688414,843.6930537943579
households,county,0,4457.81741032017,3201.4042186710303,5714.23060196931
households,county,1,4093.2893716128465,3200.958714439941,4985.620028785752
households,county,2,4184.000680090672,2847.49306754722,5520.508292634124
households,county,3,3333.7185145798226,2506.0155765548725,4161.421452604773
households,county,4,908.6629766525832,496.6570686013477,1320.6688847038188
households,county,5,892.3484400584708,436.2247940948132,1348.4720860221285
households,county,6,1181.5406376937576,805.3810153884244,1557.7002599990908
households,county,7,2282.159203611721,1358.5274356954624,3205.7909715279793
households,county,8,1202.767133302354,724.693253976337,1680.8410126283711
households,county,9,165.46383577951033,93.60446184726338,237.32320971175727
households,county,10,1220.6538306370517,488.4112178870197,1952.8964433870838
households,county,11,293.1795271304361,208.40011866384754,377.95893559702466
households,county,12,1150.5450006019369,710.4508346316834,1590.6391665721903
households,county,13,1563.6408598900223,922.6214658176743,2204.66025396237
households,county,14,1175.5720547907147,846.1700803943531,1504.9740291870762
households,county,15,381.84405528131333,266.7947996454229,496.89331091720373
households,county,16,450.55305114256754,309.701471297239,591.4046309878961
households,county,17,1132.8141984877,810.3134029695451,1455.3149940058547
households,nation,0,30070.57078166365,25320.154331465703,34820.987231861596
households,state,0,6766.203663598585,5174.969393869275,8357.437933327896
households,state,1,4093.2893716128465,3484.030629421825,4702.548113803868
households,state,2,7927.043119877843,5716.623975140278,10137.46226461541
households,state,3,3333.7185145798226,2698.778043902098,3968.658985257547
households,state,4,5837.31384129903,3979.9740949934494,7694.653587604611
households,state,5,2113.0022706955224,1211.0636670375927,3014.9408743534523
low_income_household_share,county,0,0.2590658839813522,0.13477126466640005,0.3833605032963044
low_income_household_share,county,1,0.295876105095864,0.16991785153118907,0.42183435866053887
low_income_household_share,county,2,0.2894163222177281,0.16561297392640784,0.4132196705090484
low_income_household_share,county,3,0.3004364591953021,0.1760405449312431,0.4248323734593611
low_income_household_share,county,4,0.2923258224358483,0.16788419453593872,0.4167674503357579
low_income_household_share,county,5,0.19881542437681066,0.07491890430330439,0.3227119444503169
low_income_household_share,county,6,0.2614208272921969,0.13685262976029813,0.3859890248240957
low_income_household_share,county,7,0.32106394780436937,0.19495152192303286,0.44717637368570584
low_income_household_share,county,8,0.3425911609513642,0.21650323200218333,0.4686790899005451
low_income_household_share,county,9,0.30668056762338003,0.18261581415397818,0.43074532109278185
low_income_household_share,county,10,0.19528400129620074,0.07149188490852766,0.31907611768387384
low_income_household_share,county,11,0.3124455674356613,0.18762569469810883,0.4372654401732138
low_income_household_share,county,12,0.27155004315734693,0.14541271238845438,0.3976873739262395
low_income_household_share,county,13,0.2974724311988737,0.1736827034755384,0.421262158922209
low_income_household_share,county,14,0.31679331403621264,0.19052510817164647,0.4430615199007788
low_income_household_share,county,15,0.27726595756118,0.1532698682019784,0.4012620469203816
low_income_household_share,county,16,0.3230409977245824,0.19917960862308692,0.44690238682607786
low_income_household_share,county,17,0.35102070356387777,0.22248258833815196,0.4795588187896036
low_income_household_share,nation,0,0.288488577165162,0.19593512884067932,0.3810420254896447
low_income_household_share,state,0,0.2833814980907908,0.18983468980037943,0.3769283063812021
low_income_household_share,state,1,0.295876105095864,0.20047998808336215,0.3912722221083658
low_income_household_share,state,2,0.2882867904953267,0.19587413711977059,0.3806994438708828
low_income_household_share,state,3,0.3004364591953021,0.2071129306208257,0.3937599877697785
low_income_household_share,state,4,0.3107211677701249,0.21700411189154895,0.4044382236487008
low_income_household_share,state,5,0.19695038194551148,0.10448974847515348,0.2894110154158695
mean_income_adults,county,0,18170.78604815715,13563.88576251746,22777.686333796843
mean_income_adults,county,1,17267.932675677923,12756.967762968325,21778.89758838752
mean_income_adults,county,2,17612.026721955815,13221.379747035582,22002.67369687605
mean_income_adults,county,3,19612.26208512895,14662.817590269264,24561.706579988637
mean_income_adults,county,4,18085.491253297674,13510.942585076837,22660.03992151851
mean_income_adults,county,5,15845.144243926332,11831.971740358922,19858.316747493744
mean_income_adults,county,6,18475.61071219316,13757.468986681986,23193.752437704334
mean_income_adults,county,7,16978.973037400152,12567.350317714503,21390.5957570858
mean_income_adults,county,8,16754.29143152473,12428.834525431888,21079.74833761757
mean_income_adults,county,9,18051.428741313764,13531.349396641814,22571.508085985715
mean_income_adults,county,10,16602.750451160166,12416.058559273992,20789.44234304634
mean_income_adults,county,11,17443.294463158498,13011.221122480423,21875.367803836572
mean_income_adults,county,12,18947.282292110867,13925.985444723234,23968.5791394985
mean_income_adults,county,13,17751.855799707442,13330.112748034779,22173.598851380106
mean_income_adults,county,14,17073.90040153821,12618.872213247241,21528.92858982918
mean_income_adults,county,15,18222.78414914568,13653.111207595164,22792.457090696193
mean_income_adults,county,16,17432.03264243731,13090.164940274186,21773.90034460043
mean_income_adults,county,17,16769.87570522947,12287.53205575096,21252.21935470798
mean_income_adults,nation,0,17802.683228151593,14472.57233445482,21132.794121848365
mean_income_adults,state,0,17763.561399628587,14327.945214015912,21199.17758524126
mean_income_adults,state,1,17267.932675677923,13763.658351611419,20772.206999744427
mean_income_adults,state,2,17797.30314562483,14471.16523816352,21123.441053086142
mean_income_adults,state,3,19612.262085128947,15858.79382930756,23365.730340950333
mean_income_adults,state,4,17519.972671187774,14148.19245775716,20891.752884618385
mean_income_adults,state,5,16259.218997171978,13160.703291820075,19357.73470252388
median_household_income,county,0,23142.217737197658,17274.893713829697,29009.54176056562
median_household_income,county,1,26111.409999999985,19290.231313261203,32932.58868673877
median_household_income,county,2,23686.995516994615,17781.8696133421,29592.12142064713
median_household_income,county,3,24829.389999999996,18563.32608994206,31095.45391005793
median_household_income,county,4,28600.635075153255,21366.38330610295,35834.88684420356
median_household_income,county,5,23120.66811212564,17264.790241701263,28976.54598255002
median_household_income,county,6,23256.884336622337,17317.742291288585,29196.02638195609
median_household_income,county,7,21311.995555334055,15774.529679945172,26849.46143072294
median_household_income,county,8,19518.82486874263,14479.648119765898,24558.001617719365
median_household_income,county,9,20252.278198417804,15181.105956095003,25323.450440740606
median_household_income,county,10,25291.055516317683,18913.446132927158,31668.66489970821
median_household_income,county,11,23676.9935259192,17661.03295062358,29692.95410121482
median_household_income,county,12,28034.009869838294,20604.602147461963,35463.417592214624
median_household_income,county,13,23117.22920251332,17359.04545240522,28875.412952621424
median_household_income,county,14,16840.32167280727,12446.240297851804,21234.403047762735
median_household_income,county,15,25255.42753923017,18922.1997015553,31588.655376905044
median_household_income,county,16,19511.786395438005,14651.905915658623,24371.666875217386
median_household_income,county,17,16807.062987699836,12314.779718968784,21299.346256430887
median_household_income,nation,0,23522.340407615982,19116.885307734985,27927.79550749698
median_household_income,state,0,21099.10897097492,17014.145386710392,25184.07255523945
median_household_income,state,1,26111.409999999985,20812.48132412819,31410.33867587178
median_household_income,state,2,23302.61242814064,18948.65923775696,27656.56561852432
median_household_income,state,3,24829.389999999996,20077.448241732585,29581.331758267406
median_household_income,state,4,23540.831070632055,19012.222560059363,28069.439581204748
median_household_income,state,5,24318.998081060094,19685.53889840985,28952.457263710337
persons,county,0,8714.476719149994,6258.345724885474,11170.607713414514
persons,county,1,9447.256630872393,7387.769516091203,11506.743745653583
persons,county,2,7854.2606672450065,5345.351138949692,10363.170195540322
persons,county,3,7621.29911506136,5729.066270112147,9513.531960010572
persons,county,4,1931.9390586907812,1055.9593757638795,2807.918741617683
persons,county,5,1296.1253259354935,633.6112420280973,1958.6394098428896
persons,county,6,2185.443341033487,1489.6775624332122,2881.2091196337615
persons,county,7,4815.122038407273,2866.353664128984,6763.890412685562
persons,county,8,2461.465851691015,1483.0864996418059,3439.845203740224
persons,county,9,297.912094321626,168.53169839436381,427.29249024888816
persons,county,10,1671.839697796739,668.9408925105506,2674.7385030829273
persons,county,11,540.7484131106256,384.37893178470375,697.1178944365474
persons,county,12,2331.1143785538425,1439.4414429675,3222.787314140185
persons,county,13,2859.6736275062217,1687.341602313658,4032.0056526987855
persons,county,14,2043.7841808060073,1471.104231793947,2616.4641298180677
persons,county,15,713.6416168286987,498.6220671687015,928.6611664886959
persons,county,16,744.8609729630472,512.0030563627315,977.7188895633628
persons,county,17,2106.1742977553217,1506.5676831553567,2705.780912355287
persons,nation,0,59637.138027728935,50276.65526908293,68997.62078637494
persons,state,0,12864.435197711324,9838.36611843006,15890.504276992588
persons,state,1,9447.256630872393,8041.0956758228895,10853.417585921896
persons,state,2,14655.792319898086,10576.882373802833,18734.70226599334
persons,state,3,7621.29911506136,6169.7454742457385,9072.85275587698
persons,state,4,12080.389740453536,8251.713004945725,15909.066475961348
persons,state,5,2967.9650237322326,1714.4884951342003,4221.441552330265
tertiary_share_25_plus,county,0,0.40887903615423726,0.37106859103737533,0.4466894812710992
tertiary_share_25_plus,county,1,0.37888345656913364,0.341093614694276,0.41667329844399126
tertiary_share_25_plus,county,2,0.36806080276493197,0.33016341897599266,0.4059581865538713
tertiary_share_25_plus,county,3,0.3897464289699561,0.35171060802303,0.4277822499168822
tertiary_share_25_plus,county,4,0.36209532943081596,0.31756244648727094,0.406628212374361
tertiary_share_25_plus,county,5,0.3502696368065569,0.30462111578792467,0.3959181578251892
tertiary_share_25_plus,county,6,0.358985692576345,0.31662888190031047,0.4013425032523795
tertiary_share_25_plus,county,7,0.3556818848603781,0.3158504836414279,0.3955132860793283
tertiary_share_25_plus,county,8,0.35001938090910684,0.3070009516097424,0.3930378102084713
tertiary_share_25_plus,county,9,0.29164996824261474,0.22258815349757477,0.3607117829876547
tertiary_share_25_plus,county,10,0.358673297862532,0.31410464370240354,0.40324195202266044
tertiary_share_25_plus,county,11,0.35136854741661544,0.2904844651700646,0.4122526296631663
tertiary_share_25_plus,county,12,0.37550619738917185,0.33231465574941743,0.41869773902892626
tertiary_share_25_plus,county,13,0.34031623852982973,0.29926356117002556,0.3813689158896339
tertiary_share_25_plus,county,14,0.3672390738396157,0.324526786440678,0.40995136123855336
tertiary_share_25_plus,county,15,0.2966108127335292,0.24424218308686596,0.3489794423801924
tertiary_share_25_plus,county,16,0.30182597668785194,0.25041003868554756,0.3532419146901563
tertiary_share_25_plus,county,17,0.3688522393782359,0.3262791818153164,0.4114252969411554
tertiary_share_25_plus,nation,0,0.3720688265740154,0.3356998866703387,0.40843776647769214
tertiary_share_25_plus,state,0,0.3956997062868456,0.3584598894716563,0.4329395231020349
tertiary_share_25_plus,state,1,0.37888345656913375,0.3410936146942761,0.41667329844399137
tertiary_share_25_plus,state,2,0.35282427774531216,0.3157046821200364,0.38994387337058795
tertiary_share_25_plus,state,3,0.3897464289699562,0.3517106080230301,0.4277822499168823
tertiary_share_25_plus,state,4,0.3592168745451868,0.3216223736571236,0.39681137543325
tertiary_share_25_plus,state,5,0.35496139423464135,0.3141263672245489,0.3957964212447338
