estimand,level,unit,estimate,lower,upper
children_under_16,county,0,247.73557544752353,237.8261524296226,257.64499846542446
children_under_16,county,1,994.2494287911585,954.4794516395121,1034.0194059428047
children_under_16,county,2,611.2599804599092,586.8095812415129,635.7103796783056
children_under_16,county,3,421.0202015557176,404.17939349348893,437.8610096179463
children_under_16,county,4,477.09679673426473,458.01292486489416,496.1806686036353
children_under_16,county,5,452.1379304431218,434.0524132253969,470.22344766084666
children_under_16,county,6,1039.0103985187181,997.4499825779694,1080.5708144594669
children_under_16,county,7,559.5579595316018,537.1756411503377,581.9402779128659
children_under_16,county,8,401.7999880392671,385.7279885176964,417.87198756083774
children_under_16,county,9,862.3387504191164,827.8452004023518,896.832300435881
children_under_16,county,10,428.62742532249734,411.48232830959745,445.77252233539724
children_under_16,county,11,495.7169353729751,475.8882579580561,515.5456127878941
children_under_16,county,12,202.13250932036746,194.04720894755278,210.21780969318215
children_under_16,county,13,330.0704546215445,316.86763643668274,343.2732728064063
children_under_16,county,14,138.6686525333116,133.1219064319791,144.21539863464406
children_under_16,county,15,366.2024274647314,351.55433036614215,380.8505245633206
children_under_16,county,16,139.69438599185037,134.10661055217636,145.28216143152437
children_under_16,nation,0,8167.319800567676,7840.627008544969,8494.012592590383
children_under_16,state,0,1890.6784713258764,1815.0513324728413,1966.3056101789116
children_under_16,state,1,1693.5017743146107,1625.7617033420263,1761.241845287195
children_under_16,state,2,1535.6043411553817,1474.1801675091665,1597.0285148015969
children_under_16,state,3,421.0202015557176,404.17939349348893,437.8610096179463
children_under_16,state,4,1339.435547153381,1285.858125267246,1393.0129690395163
children_under_16,state,5,1287.0794650627095,1235.596286460201,1338.5626436652178
elders_65_plus,county,0,225.26146144297715,216.25100298525805,234.27191990069625
elders_65_plus,county,1,1012.9567886208057,972.4385170759734,1053.4750601656378
elders_65_plus,county,2,558.2805332422502,535.9493119125601,580.6117545719402
elders_65_plus,county,3,326.22768007212915,313.17857286924396,339.2767872750143
elders_65_plus,county,4,380.89696668363047,365.66108801628525,396.1328453509757
elders_65_plus,county,5,459.3554668735104,440.98124819857,477.72968554845085
elders_65_plus,county,6,944.753293514575,906.963161773992,982.543425255158
elders_65_plus,county,7,570.0863559192446,547.2829016824749,592.8898101560144
elders_65_plus,county,8,365.34943497716694,350.7354575780803,379.9634123762536
elders_65_plus,county,9,688.4603219655271,660.921909086906,715.9987348441482
elders_65_plus,county,10,391.4772031881632,375.81811506063667,407.1362913156897
elders_65_plus,county,11,452.7518958610936,434.64182002664984,470.86197169553736
elders_65_plus,county,12,183.7954212768571,176.4436044257828,191.1472381279314
elders_65_plus,county,13,335.3394121020442,321.92583561796243,348.752988586126
elders_65_plus,county,14,140.8822382203856,135.24694869157017,146.51752774920104
elders_65_plus,county,15,372.04816431439804,357.1662377418221,386.93009088697397
elders_65_plus,county,16,142.3228140997837,136.62990153579236,148.01572666377504
elders_65_plus,nation,0,7550.245452374542,7248.23563427956,7852.255270469524
elders_65_plus,state,0,1719.1596112115762,1650.3932267631133,1787.9259956600392
elders_65_plus,state,1,1725.3659586398342,1656.3513202942408,1794.3805969854275
elders_65_plus,state,2,1402.509632291507,1346.4092469998466,1458.6100175831673
elders_65_plus,state,3,326.22768007212915,313.17857286924396,339.2767872750143
elders_65_plus,state,4,1069.3572886491575,1026.5829971031912,1112.1315801951237
elders_65_plus,state,5,1307.6252815103383,1255.3202702499248,1359.9302927707517
households,county,0,0.0,0.0,0.0
households,county,1,0.0,0.0,0.0
households,county,2,0.0,0.0,0.0
households,county,3,0.0,0.0,0.0
households,county,4,0.0,0.0,0.0
households,county,5,0.0,0.0,0.0
households,county,6,0.0,0.0,0.0
households,county,7,0.0,0.0,0.0
households,county,8,0.0,0.0,0.0
households,county,9,0.0,0.0,0.0
households,county,10,0.0,0.0,0.0
households,county,11,0.0,0.0,0.0
households,county,12,0.0,0.0,0.0
households,county,13,0.0,0.0,0.0
households,county,14,0.0,0.0,0.0
households,county,15,0.0,0.0,0.0
households,county,16,0.0,0.0,0.0
households,nation,0,0.0,0.0,0.0
households,state,0,0.0,0.0,0.0
households,state,1,0.0,0.0,0.0
households,state,2,0.0,0.0,0.0
households,state,3,0.0,0.0,0.0
households,state,4,0.0,0.0,0.0
households,state,5,0.0,0.0,0.0
low_income_household_share,county,0,0.0,0.0,0.04
low_income_household_share,county,1,0.0,0.0,0.04
low_income_household_share,county,2,0.0,0.0,0.04
low_income_household_share,county,3,0.0,0.0,0.04
low_income_household_share,county,4,0.0,0.0,0.04
low_income_household_share,county,5,0.0,0.0,0.04
low_income_household_share,county,6,0.0,0.0,0.04
low_income_household_share,county,7,0.0,0.0,0.04
low_income_household_share,county,8,0.0,0.0,0.04
low_income_household_share,county,9,0.0,0.0,0.04
low_income_household_share,county,10,0.0,0.0,0.04
low_income_household_share,county,11,0.0,0.0,0.04
low_income_household_share,county,12,0.0,0.0,0.04
low_income_household_share,county,13,0.0,0.0,0.04
low_income_household_share,county,14,0.0,0.0,0.04
low_income_household_share,county,15,0.0,0.0,0.04
low_income_household_share,county,16,0.0,0.0,0.04
low_income_household_share,nation,0,0.0,0.0,0.04
low_income_household_share,state,0,0.0,0.0,0.04
low_income_household_share,state,1,0.0,0.0,0.04
low_income_household_share,state,2,0.0,0.0,0.04
low_income_household_share,state,3,0.0,0.0,0.04
low_income_household_share,state,4,0.0,0.0,0.04
low_income_household_share,state,5,0.0,0.0,0.04
mean_income_adults,county,0,0.0,0.0,0.0
mean_income_adults,county,1,0.0,0.0,0.0
mean_income_adults,county,2,0.0,0.0,0.0
mean_income_adults,county,3,0.0,0.0,0.0
mean_income_adults,county,4,0.0,0.0,0.0
mean_income_adults,county,5,0.0,0.0,0.0
mean_income_adults,county,6,0.0,0.0,0.0
mean_income_adults,county,7,0.0,0.0,0.0
mean_income_adults,county,8,0.0,0.0,0.0
mean_income_adults,county,9,0.0,0.0,0.0
mean_income_adults,county,10,0.0,0.0,0.0
mean_income_adults,county,11,0.0,0.0,0.0
mean_income_adults,county,12,0.0,0.0,0.0
mean_income_adults,county,13,0.0,0.0,0.0
mean_income_adults,county,14,0.0,0.0,0.0
mean_income_adults,county,15,0.0,0.0,0.0
mean_income_adults,county,16,0.0,0.0,0.0
mean_income_adults,nation,0,0.0,0.0,0.0
mean_income_adults,state,0,0.0,0.0,0.0
mean_income_adults,state,1,0.0,0.0,0.0
mean_income_adults,state,2,0.0,0.0,0.0
mean_income_adults,state,3,0.0,0.0,0.0
mean_income_adults,state,4,0.0,0.0,0.0
mean_income_adults,state,5,0.0,0.0,0.0
median_household_income,county,0,0.0,0.0,0.0
median_household_income,county,1,0.0,0.0,0.0
median_household_income,county,2,0.0,0.0,0.0
median_household_income,county,3,0.0,0.0,0.0
median_household_income,county,4,0.0,0.0,0.0
median_household_income,county,5,0.0,0.0,0.0
median_household_income,county,6,0.0,0.0,0.0
median_household_income,county,7,0.0,0.0,0.0
median_household_income,county,8,0.0,0.0,0.0
