estimand,level,unit,sex,age_band,estimate,lower,upper
children_under_16,county,0,,,367.3865085852879,360.0387784135822,374.73423875699365
children_under_16,county,1,,,1389.3442192607943,1361.5573348755784,1417.1311036460102
children_under_16,county,2,,,822.1932756402706,805.7494101274652,838.637141153076
children_under_16,county,3,,,595.4273486744428,583.5188017009539,607.3358956479317
children_under_16,county,4,,,656.4287555391348,643.3001804283522,669.5573306499175
children_under_16,county,5,,,626.0082642350164,613.4880989503162,638.5284295197167
children_under_16,county,6,,,1540.8299837681484,1510.0133840927854,1571.6465834435114
children_under_16,county,7,,,781.9150747331157,766.2767732384534,797.553376227778
children_under_16,county,8,,,595.8607054666863,583.9434913573526,607.77791957602
children_under_16,county,9,,,1186.4761127417123,1162.7465904868782,1210.2056349965465
children_under_16,county,10,,,576.5379676745798,565.0072083210882,588.0687270280714
children_under_16,county,11,,,666.7786930497315,653.4431191887369,680.1142669107261
children_under_16,county,12,,,299.75814630839426,293.76298338222637,305.75330923456215
children_under_16,county,13,,,456.99955358841385,447.85956251664555,466.13954466018214
children_under_16,county,14,,,191.99389529454064,188.15401738864983,195.83377320043144
children_under_16,county,15,,,507.02613193980795,496.8856093010118,517.1666545786042
children_under_16,county,16,,,195.20613441733298,191.30201172898632,199.11025710567964
children_under_16,nation,0,,,11456.17077091741,11227.047355499062,11685.294186335757
children_under_16,state,0,,,2803.835344128517,2747.758637245947,2859.9120510110874
children_under_16,state,1,,,2366.465428411243,2319.136119843018,2413.794736979468
children_under_16,state,2,,,2065.509936364582,2024.1997376372901,2106.8201350918735
children_under_16,state,3,,,595.4273486744428,583.5188017009539,607.3358956479317
children_under_16,state,4,,,1842.904868280847,1806.0467709152301,1879.762965646464
children_under_16,state,5,,,1782.027845057779,1746.3872881566233,1817.6684019589345
elders_65_plus,county,0,,,190.2045170138423,186.40042667356545,194.00860735411914
elders_65_plus,county,1,,,798.6293663182568,782.6567789918917,814.6019536446219
elders_65_plus,county,2,,,470.30650700644713,460.9003768663182,479.71263714657607
elders_65_plus,county,3,,,270.9238966798732,265.5054187462758,276.34237461347067
elders_65_plus,county,4,,,329.79499788524873,323.19909792754373,336.39089784295373
elders_65_plus,county,5,,,353.98615595068145,346.9064328316678,361.0658790696951
elders_65_plus,county,6,,,797.7234221028306,781.768953660774,813.6778905448872
elders_65_plus,county,7,,,449.4640939169461,440.4748120386072,458.45337579528507
elders_65_plus,county,8,,,308.4909081916044,302.3210900277723,314.66072635543645
elders_65_plus,county,9,,,596.0949818098314,584.1730821736348,608.016881446028
elders_65_plus,county,10,,,329.78809942525317,323.1923374367481,336.3838614137582
elders_65_plus,county,11,,,381.4071062918141,373.7789641659778,389.0352484176504
elders_65_plus,county,12,,,155.19174522522422,152.08791032071974,158.2955801297287
elders_65_plus,county,13,,,258.4175393333267,253.24918854666018,263.5858901199932
elders_65_plus,county,14,,,108.56594847731476,106.39462950776847,110.73726744686105
elders_65_plus,county,15,,,286.7058498520639,280.97173285502265,292.4399668491052
elders_65_plus,county,16,,,112.20930657061847,109.9651204392061,114.45349270203083
elders_65_plus,nation,0,,,6197.904442051177,6073.946353210154,6321.862530892201
elders_65_plus,state,0,,,1451.6105925335014,1422.5783806828313,1480.6428043841715
elders_65_plus,state,1,,,1360.3027668058214,1333.096711469705,1387.5088221419378
elders_65_plus,state,2,,,1181.5017127235144,1157.8716784690441,1205.1317469779847
elders_65_plus,state,3,,,270.9238966798732,265.5054187462758,276.34237461347067
elders_65_plus,state,4,,,925.8899796950802,907.3721801011786,944.4077792889818
elders_65_plus,state,5,,,1007.6754936133868,987.5219837411191,1027.8290034856545
households,county,0,,,0.0,0.0,0.0
households,county,1,,,0.0,0.0,0.0
households,county,2,,,0.0,0.0,0.0
households,county,3,,,0.0,0.0,0.0
households,county,4,,,0.0,0.0,0.0
households,county,5,,,0.0,0.0,0.0
households,county,6,,,0.0,0.0,0.0
households,county,7,,,0.0,0.0,0.0
households,county,8,,,0.0,0.0,0.0
households,county,9,,,0.0,0.0,0.0
households,county,10,,,0.0,0.0,0.0
households,county,11,,,0.0,0.0,0.0
households,county,12,,,0.0,0.0,0.0
households,county,13,,,0.0,0.0,0.0
households,county,14,,,0.0,0.0,0.0
households,county,15,,,0.0,0.0,0.0
households,county,16,,,0.0,0.0,0.0
households,nation,0,,,0.0,0.0,0.0
households,state,0,,,0.0,0.0,0.0
households,state,1,,,0.0,0.0,0.0
households,state,2,,,0.0,0.0,0.0
households,state,3,,,0.0,0.0,0.0
households,state,4,,,0.0,0.0,0.0
households,state,5,,,0.0,0.0,0.0
low_income_household_share,county,0,,,0.0,0.0,0.02
low_income_household_share,county,1,,,0.0,0.0,0.02
low_income_household_share,county,2,,,0.0,0.0,0.02
low_income_household_share,county,3,,,0.0,0.0,0.02
low_income_household_share,county,4,,,0.0,0.0,0.02
low_income_household_share,county,5,,,0.0,0.0,0.02
low_income_household_share,county,6,,,0.0,0.0,0.02
low_income_household_share,county,7,,,0.0,0.0,0.02
low_income_household_share,county,8,,,0.0,0.0,0.02
low_income_household_share,county,9,,,0.0,0.0,0.02
low_income_household_share,county,10,,,0.0,0.0,0.02
low_income_household_share,county,11,,,0.0,0.0,0.02
low_income_household_share,county,12,,,0.0,0.0,0.02
low_income_household_share,county,13,,,0.0,0.0,0.02
low_income_household_share,county,14,,,0.0,0.0,0.02
low_income_household_share,county,15,,,0.0,0.0,0.02
low_income_household_share,county,16,,,0.0,0.0,0.02
low_income_household_share,nation,0,,,0.0,0.0,0.02
low_income_household_share,state,0,,,0.0,0.0,0.02
low_income_household_share,state,1,,,0.0,0.0,0.02
low_income_household_share,state,2,,,0.0,0.0,0.02
low_income_household_share,state,3,,,0.0,0.0,0.02
low_income_household_share,state,4,,,0.0,0.0,0.02
low_income_household_share,state,5,,,0.0,0.0,0.02
mean_income_adults,county,0,,,0.0,0.0,0.0
mean_income_adults,county,1,,,0.0,0.0,0.0
mean_income_adults,county,2,,,0.0,0.0,0.0
mean_income_adults,county,3,,,0.0,0.0,0.0
mean_income_adults,county,4,,,0.0,0.0,0.0
mean_income_adults,county,5,,,0.0,0.0,0.0
mean_income_adults,county,6,,,0.0,0.0,0.0
mean_income_adults,county,7,,,0.0,0.0,0.0
mean_income_adults,county,8,,,0.0,0.0,0.0
mean_income_adults,county,9,,,0.0,0.0,0.0
mean_income_adults,county,10,,,0.0,0.0,0.0
mean_income_adults,county,11,,,0.0,0.0,0.0
mean_income_adults,county,12,,,0.0,0.0,0.0
