estimand,level,unit,estimate,lower,upper
children_under_16,county,0,973.5746120933479,954.103119851481,993.0461043352149
children_under_16,county,1,1731.5740080852565,1696.9425279235513,1766.2054882469617
children_under_16,county,2,1338.8367900185358,1312.060054218165,1365.6135258189065
children_under_16,county,3,670.2982739811723,656.8923085015489,683.7042394607957
children_under_16,county,4,1002.0402112193381,981.9994069949513,1022.0810154437248
children_under_16,county,5,765.2631382524316,749.957875487383,780.5684010174803
children_under_16,county,6,1058.917856138906,1037.7394990161279,1080.0962132616842
children_under_16,county,7,818.5453192300677,802.1744128454663,834.916225614669
children_under_16,county,8,807.0620370833409,790.9207963416741,823.2032778250077
children_under_16,county,9,955.6742912375726,936.5608054128211,974.787777062324
children_under_16,county,10,297.8354309524516,291.87872233340255,303.7921395715006
children_under_16,county,11,566.906870835315,555.5687334186086,578.2450082520213
children_under_16,county,12,154.27839369650096,151.19282582257094,157.36396157043097
children_under_16,county,13,344.77589344420676,337.8803755753226,351.6714113130909
children_under_16,county,14,99.13785464097836,97.15509754815879,101.12061173379793
children_under_16,county,15,698.4539308124586,684.4848521962094,712.4230094287077
children_under_16,county,16,221.33762130796447,216.9108688818052,225.76437373412375
children_under_16,nation,0,12504.512533029843,12254.422282369247,12754.60278369044
children_under_16,state,0,2993.832899012096,2933.956241031854,3053.7095569923376
children_under_16,state,1,2771.4569486232886,2716.0278096508227,2826.8860875957544
children_under_16,state,2,2203.579091806302,2159.507509970176,2247.650673642428
children_under_16,state,3,670.2982739811723,656.8923085015489,683.7042394607957
children_under_16,state,4,1957.7145024569106,1918.5602124077725,1996.8687925060487
children_under_16,state,5,1907.6308171500752,1869.4782008070738,1945.7834334930767
elders_65_plus,county,0,373.7971581755228,366.3212150120123,381.27310133903325
elders_65_plus,county,1,815.5105098696365,799.2002996722438,831.8207200670292
elders_65_plus,county,2,655.8959957809094,642.7780758652912,669.0139156965276
elders_65_plus,county,3,327.84849511430195,321.2915252120159,334.405465016588
elders_65_plus,county,4,480.53987797632504,470.92908041679857,490.1506755358515
elders_65_plus,county,5,415.3658388375297,407.05852206077907,423.6731556142803
elders_65_plus,county,6,532.7833143742218,522.1276480867374,543.4389806617063
elders_65_plus,county,7,473.79916733867833,464.3231839919048,483.2751506854519
elders_65_plus,county,8,449.89092448965835,440.89310599986516,458.88874297945154
elders_65_plus,county,9,478.0287867624887,468.46821102723897,487.5893624977385
elders_65_plus,county,10,174.21930690047571,170.7349207624662,177.70369303848523
elders_65_plus,county,11,320.309285933419,313.9031002147506,326.7154716520874
elders_65_plus,county,12,83.11850618478869,81.4561360610929,84.78087630848447
elders_65_plus,county,13,207.161705206118,203.01847110199563,211.30493931024037
elders_65_plus,county,14,81.89570374058825,80.25778966577649,83.5336178154
elders_65_plus,county,15,311.7175174663513,305.48316711702427,317.9518678156783
elders_65_plus,county,16,137.34890430840113,134.60192622223312,140.09588239456914
elders_65_plus,nation,0,6319.230998459416,6192.846378490228,6445.615618428604
elders_65_plus,state,0,1439.5899032241916,1410.7981051597078,1468.3817012886755
elders_65_plus,state,1,1426.6585815167161,1398.125409886382,1455.1917531470503
elders_65_plus,state,2,1150.4245886148042,1127.416096842508,1173.4330803871003
elders_65_plus,state,3,327.84849511430195,321.2915252120159,334.405465016588
elders_65_plus,state,4,958.5686647388138,939.3972914440376,977.74003803359
elders_65_plus,state,5,1016.1407652505873,995.8179499455755,1036.463580555599
households,county,0,1949.1706517355888,1910.187238700877,1988.1540647703005
households,county,1,3642.794504211679,3569.9386141274454,3715.6503942959125
households,county,2,2813.231218320396,2756.9665939539877,2869.495842686804
households,county,3,1394.6298387311904,1366.7372419565665,1422.5224355058142
households,county,4,2120.7570183183825,2078.341877952015,2163.1721586847502
households,county,5,1696.5303468138613,1662.5997398775842,1730.4609537501385
households,county,6,2309.9485408715705,2263.749570054139,2356.147511689002
households,county,7,1924.2436735049403,1885.7588000348414,1962.728546975039
households,county,8,2036.390833225437,1995.6630165609283,2077.118649889946
households,county,9,2339.7518372721647,2292.9568005267215,2386.546874017608
households,county,10,766.4367398382949,751.108005041529,781.7654746350607
households,county,11,1449.5223105858963,1420.5318643741784,1478.5127567976142
households,county,12,391.55333152894616,383.72226489836726,399.38439815952506
households,county,13,906.5260254447755,888.39550493588,924.6565459536711
households,county,14,301.7508722929324,295.71585484707373,307.78588973879107
households,county,15,1599.7564315504837,1567.761302919474,1631.7515601814935
households,county,16,561.4461434341991,550.2172205655152,572.6750663028831
households,nation,0,28204.44031768074,27640.351511327124,28768.529124034354
households,state,0,6687.063357361541,6553.32209021431,6820.804624508773
households,state,1,6128.484321150819,6005.914634727802,6251.054007573835
households,state,2,5029.190268744587,4928.606463369695,5129.774074119479
households,state,3,1394.6298387311904,1366.7372419565665,1422.5224355058142
households,state,4,4460.508855590548,4371.298678478736,4549.719032702359
households,state,5,4504.563676102052,4414.4724025800115,4594.654949624093
low_income_household_share,county,0,0.30782256316427425,0.28782256316427424,0.32782256316427427
low_income_household_share,county,1,0.37080920901918585,0.35080920901918583,0.39080920901918587
low_income_household_share,county,2,0.40394231297874106,0.38394231297874104,0.4239423129787411
low_income_household_share,county,3,0.30478789795273276,0.28478789795273274,0.3247878979527328
low_income_household_share,county,4,0.30139750713767466,0.28139750713767464,0.3213975071376747
low_income_household_share,county,5,0.2041385300937608,0.1841385300937608,0.22413853009376078
low_income_household_share,county,6,0.3354462206523196,0.3154462206523196,0.3554462206523196
low_income_household_share,county,7,0.37608036036797177,0.35608036036797175,0.3960803603679718
low_income_household_share,county,8,0.3238035254385159,0.3038035254385159,0.34380352543851594
low_income_household_share,county,9,0.33586648140984937,0.31586648140984935,0.3558664814098494
low_income_household_share,county,10,0.390641362115264,0.370641362115264,0.41064136211526403
low_income_household_share,county,11,0.4065249074319921,0.3865249074319921,0.4265249074319921
low_income_household_share,county,12,0.35193467323899497,0.33193467323899495,0.371934673238995
low_income_household_share,county,13,0.2430037766713122,0.22300377667131221,0.2630037766713122
low_income_household_share,county,14,0.25896656051068356,0.23896656051068357,0.2789665605106836
low_income_household_share,county,15,0.24117344480674147,0.22117344480674148,0.2611734448067415
low_income_household_share,county,16,0.4202094695991626,0.4002094695991626,0.44020946959916263
low_income_household_share,nation,0,0.3327161990665299,0.31271619906652987,0.3527161990665299
low_income_household_share,state,0,0.3245249262174889,0.3045249262174889,0.3445249262174889
low_income_household_share,state,1,0.37657928806507013,0.3565792880650701,0.39657928806507015
low_income_household_share,state,2,0.4028028416366162,0.3828028416366162,0.42280284163661624
low_income_household_share,state,3,0.30478789795273276,0.28478789795273274,0.3247878979527328
low_income_household_share,state,4,0.3184637257300965,0.2984637257300965,0.33846372573009653
low_income_household_share,state,5,0.2275758545442348,0.2075758545442348,0.24757585454423478
mean_income_adults,county,0,28121.755859632147,27559.320742439504,28684.19097682479
mean_income_adults,county,1,21369.23282250802,20941.848166057858,21796.617478958182
mean_income_adults,county,2,21343.776748271954,20916.901213306515,21770.652283237392
mean_income_adults,county,3,27578.314377515206,27026.7480899649,28129.88066506551
mean_income_adults,county,4,23898.821684269536,23420.845250584145,24376.798117954928
mean_income_adults,county,5,27678.47792574216,27124.90836722732,28232.047484257004
mean_income_adults,county,6,24413.591793718628,23925.319957844255,24901.863629593
mean_income_adults,county,7,21417.75158323632,20989.396551571594,21846.106614901048
mean_income_adults,county,8,26596.179014945643,26064.25543464673,27128.102595244556
mean_income_adults,county,9,24694.32580667119,24200.439290537764,25188.212322804615
mean_income_adults,county,10,28649.20972258359,28076.22552813192,29222.19391703526
mean_income_adults,county,11,23788.469538377056,23312.700147609514,24264.238929144598
mean_income_adults,county,12,27701.578453389106,27147.546884321324,28255.610022456887
mean_income_adults,county,13,22126.174303227534,21683.650817162983,22568.697789292084
mean_income_adults,county,14,26672.37077203807,26138.923356597308,27205.81818747883
mean_income_adults,county,15,22187.576668667014,21743.825135293675,22631.328202040353
mean_income_adults,county,16,22006.14909353482,21566.026111664123,22446.272075405515
mean_income_adults,nation,0,24150.949655293804,23667.930662187926,24633.96864839968
mean_income_adults,state,0,26335.75571950512,25809.040605115017,26862.470833895222
mean_income_adults,state,1,21437.65190219346,21008.89886414959,21866.404940237328
mean_income_adults,state,2,23006.958668089894,22546.819494728097,23467.09784145169
mean_income_adults,state,3,27578.314377515202,27026.748089964898,28129.880665065506
mean_income_adults,state,4,24292.690301794333,23806.836495758445,24778.54410783022
mean_income_adults,state,5,24675.676707127986,24182.163172985427,25169.190241270546
median_household_income,county,0,35119.18156614384,34416.79793482096,35821.56519746671
median_household_income,county,1,23954.413043920395,23475.324783041986,24433.501304798803
median_household_income,county,2,21018.5458788431,20598.174961266235,21438.916796419962
median_household_income,county,3,30154.18,29551.0964,30757.263600000002
median_household_income,county,4,33287.702640227755,32621.9485874232,33953.45669303231
median_household_income,county,5,39652.490205731985,38859.44040161734,40445.54000984663
median_household_income,county,6,29750.40208472881,29155.394043034234,30345.410126423383
median_household_income,county,7,26574.36043952093,26042.87323073051,27105.847648311348
median_household_income,county,8,29471.758320359953,28882.323153952755,30061.19348676715
median_household_income,county,9,21167.430811537513,20744.082195306764,21590.779427768262
median_household_income,county,10,21098.829917827752,20676.853319471196,21520.806516184308
median_household_income,county,11,18968.71834590158,18589.343978983547,19348.092712819613
median_household_income,county,12,30092.605000000003,29490.752900000003,30694.457100000003
median_household_income,county,13,24404.766227336353,23916.670902789625,24892.86155188308
median_household_income,county,14,26026.17,25505.6466,26546.693399999996
median_household_income,county,15,21757.98704338358,21322.827302515907,22193.14678425125
median_household_income,county,16,13532.468387027346,13261.819019286799,13803.117754767893
median_household_income,nation,0,24757.79,24262.6342,25252.9458
median_household_income,state,0,30092.605000000003,29490.752900000003,30694.457100000003
median_household_income,state,1,23148.34,22685.3732,23611.3068
median_household_income,state,2,20372.93,19965.4714,20780.388600000002
median_household_income,state,3,30154.18,29551.0964,30757.263600000002
median_household_income,state,4,25611.059999999998,25098.838799999998,26123.281199999998
median_household_income,state,5,26026.17,25505.6466,26546.693399999996
persons,county,0,3706.1154952082607,3631.9931853040953,3780.237805112426
persons,county,1,6846.524861156939,6709.5943639338,6983.455358380077
persons,county,2,5341.487895090765,5234.65813718895,5448.31765299258
persons,county,3,2653.085203830232,2600.023499753627,2706.1469079068365
persons,county,4,4059.0326331111537,3977.8519804489306,4140.213285773377
persons,county,5,3225.223216871873,3160.718752534435,3289.7276812093105
