county,age_band,sex,count
0,0-15,male,475.999
0,0-15,female,483.306
0,16-24,male,302.105
0,16-24,female,342.935
0,25-44,male,561.88
0,25-44,female,550.751
0,45-64,male,537.91
0,45-64,female,494.759
0,65+,male,191.386
0,65+,female,155.445
1,0-15,male,838.168
1,0-15,female,842.758
1,16-24,male,365.425
1,16-24,female,395.934
1,25-44,male,905.582
1,25-44,female,902.07
1,45-64,male,1103.683
1,45-64,female,1083.879
1,65+,male,323.772
1,65+,female,360.134
2,0-15,male,636.242
2,0-15,female,712.333
2,16-24,male,375.322
2,16-24,female,360.063
2,25-44,male,746.908
2,25-44,female,723.473
2,45-64,male,840.327
2,45-64,female,804.145
2,65+,male,299.754
2,65+,female,268.063
3,0-15,male,310.248
3,0-15,female,258.006
3,16-24,male,147.384
3,16-24,female,119.29
3,25-44,male,337.686
3,25-44,female,322.655
3,45-64,male,328.268
3,45-64,female,351.476
3,65+,male,105.842
3,65+,female,109.819
4,0-15,male,526.298
4,0-15,female,526.179
4,16-24,male,319.908
4,16-24,female,270.303
4,25-44,male,573.877
4,25-44,female,583.806
4,45-64,male,670.131
4,45-64,female,652.951
4,65+,male,215.228
4,65+,female,206.51
5,0-15,male,376.176
5,0-15,female,367.463
5,16-24,male,198.869
5,16-24,female,252.856
5,25-44,male,442.913
5,25-44,female,431.878
5,45-64,male,546.785
5,45-64,female,591.149
5,65+,male,182.378
5,65+,female,184.792
6,0-15,male,541.697
6,0-15,female,572.526
6,16-24,male,313.294
6,16-24,female,274.899
6,25-44,male,604.069
6,25-44,female,576.846
6,45-64,male,743.525
6,45-64,female,689.23
6,65+,male,237.228
6,65+,female,242.139
7,0-15,male,392.738
7,0-15,female,403.19
7,16-24,male,174.982
7,16-24,female,197.27
7,25-44,male,403.744
7,25-44,female,453.068
7,45-64,male,615.825
7,45-64,female,640.649
7,65+,male,197.95
7,65+,female,202.607
8,0-15,male,433.878
8,0-15,female,437.471
8,16-24,male,261.236
8,16-24,female,222.841
8,25-44,male,452.909
8,25-44,female,456.634
8,45-64,male,597.286
8,45-64,female,566.514
8,65+,male,204.989
8,65+,female,211.137
9,0-15,male,500.261
9,0-15,female,502.621
9,16-24,male,261.643
9,16-24,female,244.268
9,25-44,male,594.945
9,25-44,female,563.966
9,45-64,male,718.469
9,45-64,female,672.778
9,65+,male,220.185
9,65+,female,226.342
10,0-15,male,117.508
10,0-15,female,150.212
10,16-24,male,63.179
10,16-24,female,83.087
10,25-44,male,135.496
10,25-44,female,153.092
10,45-64,male,213.53
10,45-64,female,214.878
10,65+,male,77.935
10,65+,female,76.722
11,0-15,male,265.383
11,0-15,female,285.195
11,16-24,male,165.258
11,16-24,female,153.515
11,25-44,male,327.937
11,25-44,female,308.019
11,45-64,male,410.703
11,45-64,female,393.289
11,65+,male,123.728
11,65+,female,135.411
12,0-15,male,86.854
12,0-15,female,61.971
12,16-24,male,28.291
12,16-24,female,49.312
12,25-44,male,82.32
12,25-44,female,77.381
12,45-64,male,108.993
12,45-64,female,106.705
12,65+,male,24.077
12,65+,female,33.935
13,0-15,male,156.209
13,0-15,female,159.766
13,16-24,male,88.262
13,16-24,female,107.879
13,25-44,male,189.776
13,25-44,female,195.925
13,45-64,male,283.763
13,45-64,female,245.896
13,65+,male,82.843
13,65+,female,87.71
14,0-15,male,64.011
14,0-15,female,54.065
14,16-24,male,25.588
14,16-24,female,25.566
14,25-44,male,55.831
14,25-44,female,52.162
14,45-64,male,84.729
14,45-64,female,84.915
14,65+,male,37.366
14,65+,female,41.004
15,0-15,male,339.286
15,0-15,female,356.349
15,16-24,male,189.014
15,16-24,female,202.495
15,25-44,male,374.103
15,25-44,female,407.256
15,45-64,male,437.452
15,45-64,female,492.865
15,65+,male,125.887
15,65+,female,136.892
16,0-15,male,110.605
16,0-15,female,115.181
16,16-24,male,56.21
16,16-24,female,56.19
16,25-44,male,86.351
16,25-44,female,107.495
16,45-64,male,180.931
16,45-64,female,168.193
16,65+,male,51.035
16,65+,female,59.211
