estimand,level,unit,estimate,lower,upper
children_under_16,county,0,957.9250259928428,938.766525472986,977.0835265126997
children_under_16,county,1,1638.5018865107177,1605.7318487805032,1671.271924240932
children_under_16,county,2,1324.882466305989,1298.3848169798694,1351.3801156321088
children_under_16,county,3,644.9272379670097,632.0286932076694,657.8257827263499
children_under_16,county,4,971.4692258044339,952.0398412883452,990.8986103205226
children_under_16,county,5,740.7874500747187,725.9717010732243,755.6031990762131
children_under_16,county,6,1010.9258683317263,990.7073509650918,1031.1443856983608
children_under_16,county,7,786.61946011535,770.887070913043,802.351849317657
children_under_16,county,8,774.3473672952914,758.8604199493856,789.8343146411972
children_under_16,county,9,929.6318966777221,911.0392587441677,948.2245346112766
children_under_16,county,10,281.39274013619547,275.76488533347157,287.0205949389194
children_under_16,county,11,542.5702004744902,531.7187964650004,553.42160448398
children_under_16,county,12,142.25145102304762,139.40642200258668,145.09648004350856
children_under_16,county,13,322.3511919880609,315.9041681482997,328.79821582782216
children_under_16,county,14,91.37831272704217,89.55074647250133,93.20587898158301
children_under_16,county,15,681.3367903747655,667.7100545672703,694.9635261822608
children_under_16,county,16,207.84183792255197,203.68500116410092,211.99867468100302
children_under_16,nation,0,12049.140409721957,11808.157601527517,12290.123217916396
children_under_16,state,0,2885.4497126429083,2827.74071839005,2943.1587068957665
children_under_16,state,1,2632.9631845486197,2580.3039208576474,2685.622448239592
children_under_16,state,2,2148.8454069166746,2105.8684987783413,2191.822315055008
children_under_16,state,3,644.9272379670097,632.0286932076694,657.8257827263499
children_under_16,state,4,1901.101122482156,1863.0791000325128,1939.123144931799
children_under_16,state,5,1835.8537451645873,1799.1366702612954,1872.5708200678791
elders_65_plus,county,0,363.3410496475781,356.0742286546265,370.60787064052965
elders_65_plus,county,1,775.8773381307526,760.3597913681375,791.3948848933677
elders_65_plus,county,2,644.6982932665146,631.8043274011843,657.5922591318449
elders_65_plus,county,3,314.39345351067374,308.10558444046023,320.68132258088724
elders_65_plus,county,4,468.66402313439505,459.29074267170716,478.03730359708294
elders_65_plus,county,5,400.5097781939966,392.4995826301167,408.5199737578765
elders_65_plus,county,6,504.11918255418294,494.0367989030993,514.2015662052665
elders_65_plus,county,7,455.4409169910345,446.3320986512138,464.5497353308552
elders_65_plus,county,8,429.56055970679057,420.96934851265473,438.1517709009264
elders_65_plus,county,9,466.5404176666093,457.2096093132771,475.8712260199415
elders_65_plus,county,10,159.2489003841721,156.06392237648865,162.43387839185553
elders_65_plus,county,11,310.8441370027879,304.6272542627321,317.06101974284365
elders_65_plus,county,12,73.7946226592018,72.31873020601778,75.27051511238584
elders_65_plus,county,13,195.37325678752424,191.46579165177377,199.2807219232747
elders_65_plus,county,14,78.52618881721139,76.95566504086716,80.09671259355562
elders_65_plus,county,15,299.99566427203297,293.9957509865923,305.9955775574736
elders_65_plus,county,16,129.97204456775643,127.3726036764013,132.57148545911156
elders_65_plus,nation,0,6070.899827293215,5949.481830747351,6192.317823839079
elders_65_plus,state,0,1370.8154145677536,1343.3991062763985,1398.2317228591087
elders_65_plus,state,1,1361.2902996895436,1334.0644936957528,1388.5161056833344
elders_65_plus,state,2,1114.7913306534747,1092.4955040404052,1137.0871572665442
elders_65_plus,state,3,314.39345351067374,308.10558444046023,320.68132258088724
elders_65_plus,state,4,935.2044408010044,916.5003519849843,953.9085296170244
elders_65_plus,state,5,974.4048880707652,954.9167903093498,993.8929858321806
households,county,0,1950.6713986564025,1911.6579706832745,1989.6848266295306
households,county,1,3548.186572832078,3477.2228413754365,3619.15030428872
households,county,2,2584.6007748214734,2532.908759325044,2636.292790317903
households,county,3,883.2438327507234,865.5789560957089,900.9087094057379
households,county,4,1998.4957752468174,1958.525859741881,2038.4656907517538
households,county,5,1740.4889766096705,1705.679197077477,1775.298756141864
households,county,6,1631.8002069578854,1599.1642028187277,1664.436211097043
households,county,7,1867.5566457084317,1830.205512794263,1904.9077786226003
households,county,8,1342.500511049459,1315.6505008284698,1369.350521270448
households,county,9,2169.904638839015,2126.506546062235,2213.3027316157954
households,county,10,671.1069552694267,657.6848161640382,684.5290943748153
households,county,11,1563.889701487168,1532.6119074574246,1595.1674955169112
households,county,12,328.2007042339095,321.6366901492313,334.7647183185877
households,county,13,430.286467892722,421.68073853486754,438.89219725057643
households,county,14,175.6349196459653,172.122221253046,179.14761803888462
households,county,15,1727.4233827863072,1692.874915130581,1761.9718504420334
households,county,16,437.2165676801179,428.47223632651554,445.9608990337203
households,nation,0,25051.20803246757,24550.18387181822,25552.23219311692
households,state,0,5253.172820897656,5148.109364479703,5358.236277315608
households,state,1,5852.959786220627,5735.900590496215,5970.01898194504
households,state,2,4819.597431578068,4723.205482946506,4915.989380209629
households,state,3,883.2438327507234,865.5789560957089,900.9087094057379
households,state,4,4168.400414085832,4085.0324058041156,4251.768422367549
households,state,5,4073.833746934665,3992.357071995972,4155.310421873359
low_income_household_share,county,0,0.30782256316427425,0.28782256316427424,0.32782256316427427
low_income_household_share,county,1,0.37080920901918585,0.35080920901918583,0.39080920901918587
low_income_household_share,county,2,0.40394231297874106,0.38394231297874104,0.4239423129787411
low_income_household_share,county,3,0.30478789795273276,0.28478789795273274,0.3247878979527328
low_income_household_share,county,4,0.30139750713767466,0.28139750713767464,0.3213975071376747
low_income_household_share,county,5,0.2041385300937608,0.1841385300937608,0.22413853009376078
low_income_household_share,county,6,0.3354462206523196,0.3154462206523196,0.3554462206523196
low_income_household_share,county,7,0.37608036036797177,0.35608036036797175,0.3960803603679718
low_income_household_share,county,8,0.3238035254385159,0.3038035254385159,0.34380352543851594
low_income_household_share,county,9,0.33586648140984937,0.31586648140984935,0.3558664814098494
low_income_household_share,county,10,0.390641362115264,0.370641362115264,0.41064136211526403
low_income_household_share,county,11,0.4065249074319921,0.3865249074319921,0.4265249074319921
low_income_household_share,county,12,0.35193467323899497,0.33193467323899495,0.371934673238995
low_income_household_share,county,13,0.2430037766713122,0.22300377667131221,0.2630037766713122
low_income_household_share,county,14,0.25896656051068356,0.23896656051068357,0.2789665605106836
low_income_household_share,county,15,0.24117344480674147,0.22117344480674148,0.2611734448067415
low_income_household_share,county,16,0.4202094695991626,0.4002094695991626,0.44020946959916263
low_income_household_share,nation,0,0.33267482130865783,0.3126748213086578,0.35267482130865785
low_income_household_share,state,0,0.32434237265073945,0.30434237265073943,0.34434237265073947
low_income_household_share,state,1,0.3765638375739813,0.3565638375739813,0.39656383757398134
low_income_household_share,state,2,0.4028676678579048,0.38286766785790477,0.4228676678579048
low_income_household_share,state,3,0.30478789795273276,0.28478789795273274,0.3247878979527328
low_income_household_share,state,4,0.3184835141792967,0.2984835141792967,0.33848351417929673
low_income_household_share,state,5,0.22746017016610953,0.20746017016610954,0.24746017016610952
mean_income_adults,county,0,28121.755859632147,27559.320742439504,28684.19097682479
mean_income_adults,county,1,21369.23282250802,20941.848166057858,21796.617478958182
mean_income_adults,county,2,21343.776748271954,20916.901213306515,21770.652283237392
mean_income_adults,county,3,27578.314377515206,27026.7480899649,28129.88066506551
mean_income_adults,county,4,23898.821684269536,23420.845250584145,24376.798117954928
mean_income_adults,county,5,27678.47792574216,27124.90836722732,28232.047484257004
mean_income_adults,county,6,24413.591793718628,23925.319957844255,24901.863629593
mean_income_adults,county,7,21417.75158323632,20989.396551571594,21846.106614901048
mean_income_adults,county,8,26596.179014945643,26064.25543464673,27128.102595244556
mean_income_adults,county,9,24694.32580667119,24200.439290537764,25188.212322804615
mean_income_adults,county,10,28649.20972258359,28076.22552813192,29222.19391703526
mean_income_adults,county,11,23788.469538377056,23312.700147609514,24264.238929144598
mean_income_adults,county,12,27701.578453389106,27147.546884321324,28255.610022456887
mean_income_adults,county,13,22126.174303227534,21683.650817162983,22568.697789292084
mean_income_adults,county,14,26672.37077203807,26138.923356597308,27205.81818747883
mean_income_adults,county,15,22187.576668667014,21743.825135293675,22631.328202040353
mean_income_adults,county,16,22006.14909353482,21566.026111664123,22446.272075405515
mean_income_adults,nation,0,24152.167383016284,23669.12403535596,24635.21073067661
mean_income_adults,state,0,26353.02952306886,25825.968932607484,26880.090113530237
mean_income_adults,state,1,21437.392988621865,21008.645128849428,21866.1408483943
mean_income_adults,state,2,22963.9934261989,22504.71355767492,23423.27329472288
mean_income_adults,state,3,27578.31437751521,27026.748089964905,28129.880665065513
mean_income_adults,state,4,24293.146996350733,23807.28405642372,24779.009936277747
mean_income_adults,state,5,24672.671259172374,24179.217833988925,25166.124684355822
median_household_income,county,0,35119.18156614384,34416.79793482096,35821.56519746671
median_household_income,county,1,23954.413043920395,23475.324783041986,24433.501304798803
median_household_income,county,2,21018.5458788431,20598.174961266235,21438.916796419962
median_household_income,county,3,30154.18,29551.0964,30757.263600000002
median_household_income,county,4,33287.702640227755,32621.9485874232,33953.45669303231
median_household_income,county,5,39652.490205731985,38859.44040161734,40445.54000984663
median_household_income,county,6,29750.40208472881,29155.394043034234,30345.410126423383
median_household_income,county,7,26574.36043952093,26042.87323073051,27105.847648311348
median_household_income,county,8,29471.758320359953,28882.323153952755,30061.19348676715
median_household_income,county,9,21167.430811537513,20744.082195306764,21590.779427768262
median_household_income,county,10,21098.829917827752,20676.853319471196,21520.806516184308
median_household_income,county,11,18968.71834590158,18589.343978983547,19348.092712819613
median_household_income,county,12,30092.605000000003,29490.752900000003,30694.457100000003
median_household_income,county,13,24404.766227336353,23916.670902789625,24892.86155188308
median_household_income,county,14,26026.17,25505.6466,26546.693399999996
median_household_income,county,15,21757.98704338358,21322.827302515907,22193.14678425125
median_household_income,county,16,13532.468387027346,13261.819019286799,13803.117754767893
median_household_income,nation,0,24757.79,24262.6342,25252.9458
median_household_income,state,0,30092.605000000003,29490.752900000003,30694.457100000003
median_household_income,state,1,23148.34,22685.3732,23611.3068
median_household_income,state,2,20372.93,19965.4714,20780.388600000002
median_household_income,state,3,30154.18,29551.0964,30757.263600000002
median_household_income,state,4,25611.059999999998,25098.838799999998,26123.281199999998
median_household_income,state,5,26026.17,25505.6466,26546.693399999996
persons,county,0,3632.062453240199,3559.421204175395,3704.703702305003
persons,county,1,6482.832207069403,6353.175562928015,6612.488851210791
persons,county,2,5271.575414291343,5166.143906005516,5377.0069225771695
persons,county,3,2555.805895958423,2504.6897780392546,2606.922013877592
persons,county,4,3941.615899610768,3862.7835816185525,4020.4482176029833
persons,county,5,3119.2836487325385,3056.8979757578877,3181.6693217071893
persons,county,6,4127.659381707839,4045.106194073682,4210.212569341996
persons,county,7,3318.750855869843,3252.375838752446,3385.1258729872397
persons,county,8,3297.998799327508,3232.038823340958,3363.958775314058
persons,county,9,3874.27969706746,3796.7941031261107,3951.765291008809
persons,county,10,1163.0917941900466,1139.8299583062455,1186.3536300738476
persons,county,11,2339.262416674046,2292.477168340565,2386.047665007527
persons,county,12,577.8856605893894,566.3279473776016,589.4433738011772
persons,county,13,1392.7800701731446,1364.9244687696817,1420.6356715766076
persons,county,14,445.0029608275467,436.1029016109958,453.9030200440976
persons,county,15,2703.7705554339072,2649.695144325229,2757.8459665425853
persons,county,16,891.5172016191079,873.6868575867258,909.3475456514901
persons,nation,0,49135.174912382514,48152.47141413487,50117.87841063016
persons,state,0,11635.606294864934,11402.894168967636,11868.318420762233
persons,state,1,10693.100264558354,10479.238259267187,10906.96226984952
persons,state,2,8773.929625155435,8598.451032652327,8949.408217658543
persons,state,3,2555.805895958423,2504.6897780392546,2606.922013877592
persons,state,4,7815.895596678228,7659.577684744663,7972.213508611792
persons,state,5,7660.837235167137,7507.620490463794,7814.053979870479
tertiary_share_25_plus,county,0,0.5067640253133175,0.4867640253133175,0.5267640253133176
tertiary_share_25_plus,county,1,0.46205188876788233,0.4420518887678823,0.48205188876788235
tertiary_share_25_plus,county,2,0.3449899392628401,0.3249899392628401,0.3649899392628401
tertiary_share_25_plus,county,3,0.4987948729555288,0.4787948729555288,0.5187948729555288
tertiary_share_25_plus,county,4,0.5177936039704369,0.4977936039704369,0.537793603970437
tertiary_share_25_plus,county,5,0.3801190904354224,0.3601190904354224,0.40011909043542243
tertiary_share_25_plus,county,6,0.5267192443334033,0.5067192443334033,0.5467192443334034
tertiary_share_25_plus,county,7,0.42118778540214097,0.40118778540214095,0.441187785402141
tertiary_share_25_plus,county,8,0.5011656392173149,0.4811656392173149,0.521165639217315
tertiary_share_25_plus,county,9,0.3642061685310267,0.3442061685310267,0.38420616853102674
tertiary_share_25_plus,county,10,0.28126768649739436,0.26126768649739435,0.3012676864973944
tertiary_share_25_plus,county,11,0.3770297372791628,0.35702973727916276,0.3970297372791628
tertiary_share_25_plus,county,12,0.6380065723695818,0.6180065723695818,0.6580065723695818
tertiary_share_25_plus,county,13,0.45348837128808445,0.43348837128808443,0.47348837128808446
tertiary_share_25_plus,county,14,0.7647058852239865,0.7447058852239865,0.7847058852239865
tertiary_share_25_plus,county,15,0.4033828468194141,0.3833828468194141,0.4233828468194141
tertiary_share_25_plus,county,16,0.38822955214611105,0.368229552146111,0.40822955214611106
tertiary_share_25_plus,nation,0,0.4432345103308693,0.4232345103308693,0.4632345103308693
tertiary_share_25_plus,state,0,0.5187744061083622,0.4987744061083622,0.5387744061083622
tertiary_share_25_plus,state,1,0.44321435278694077,0.42321435278694075,0.4632143527869408
tertiary_share_25_plus,state,2,0.3450850695037101,0.3250850695037101,0.3650850695037101
tertiary_share_25_plus,state,3,0.4987948729555288,0.4787948729555288,0.5187948729555288
tertiary_share_25_plus,state,4,0.4416614863535563,0.42166148635355627,0.4616614863535563
tertiary_share_25_plus,state,5,0.42400847010883086,0.40400847010883084,0.4440084701088309
