estimand,level,unit,sex,age_band,estimate,lower,upper
children_under_16,county,0,,,1747.0609918255236,1286.5215467414569,2207.6004369095904
children_under_16,county,1,,,1345.7866595077062,979.030071291667,1712.5432477237455
children_under_16,county,2,,,484.02354526713793,346.24202593155377,621.805064602722
children_under_16,county,3,,,1326.680426682292,986.6165268788382,1666.7443264857457
children_under_16,county,4,,,1648.7339208272597,1237.3147066437434,2060.153135010776
children_under_16,county,5,,,694.6019850971053,517.5389670096752,871.6650031845354
children_under_16,county,6,,,1795.6976600641021,1337.9511317137167,2253.4441884144876
children_under_16,county,7,,,1351.6532011162249,1014.3664559191297,1688.93994631332
children_under_16,county,8,,,446.6728043338691,335.2116571864988,558.1339514812394
children_under_16,county,9,,,972.9193240800911,716.4499004481094,1229.388747712073
children_under_16,county,10,,,575.1823281002995,431.65337024363396,718.7112859569651
children_under_16,county,11,,,644.2778744787976,483.5070590758526,805.0486898817426
children_under_16,county,12,,,973.1940161634095,696.1658602680409,1250.2221720587781
children_under_16,county,13,,,749.5648344733103,551.9734655754443,947.1562033711763
children_under_16,county,14,,,687.0779843372227,515.6269813415544,858.528987332891
children_under_16,county,15,,,471.1558467220819,337.0372298903658,605.274463553798
children_under_16,county,16,,,1283.6995459985603,956.4679503385033,1610.9311416586174
children_under_16,county,17,,,481.2752466970051,361.17952882476686,601.3709645692434
children_under_16,nation,0,,,17679.258195771996,16816.658262644953,18541.85812889904
children_under_16,state,0,,,3469.5451503789245,3117.51130369802,3821.578997059829
children_under_16,state,1,,,1345.7866595077062,1180.5561127575447,1511.0172062578677
children_under_16,state,2,,,1928.3734081526293,1643.4156275444298,2213.331188760829
children_under_16,state,3,,,1326.680426682292,1219.6444448708173,1433.7164084937665
children_under_16,state,4,,,5834.873359890678,5511.358997630791,6158.387722150565
children_under_16,state,5,,,3773.9991911597676,3486.919670259377,4061.078712060158
elders_65_plus,county,0,,,641.401889107409,472.32314974597375,810.4806284688443
elders_65_plus,county,1,,,493.9937045416937,359.36950954173113,628.6178995416562
elders_65_plus,county,2,,,174.04831804807628,124.50394787651418,223.59268821963838
elders_65_plus,county,3,,,663.1405979044613,493.15981481163186,833.1213809972908
elders_65_plus,county,4,,,727.0033463028493,545.5895101062672,908.4171824994314
elders_65_plus,county,5,,,240.24329366905783,179.00217492051104,301.48441241760463
elders_65_plus,county,6,,,629.5213968050214,469.0482613109888,789.994532299054
elders_65_plus,county,7,,,671.4762624860773,503.91845781842505,839.0340671537296
elders_65_plus,county,8,,,192.7062310166848,144.61900169991853,240.79346033345107
elders_65_plus,county,9,,,327.80567500518146,241.39344076226212,414.2179092481008
elders_65_plus,county,10,,,288.1329450252478,216.23327199420464,360.03261805629097
elders_65_plus,county,11,,,312.78140364230336,234.73104168143234,390.8317656031744
elders_65_plus,county,12,,,213.60574796574542,152.8010107141908,274.41048521730005
elders_65_plus,county,13,,,257.9770101339061,189.9721782205272,325.981842047285
elders_65_plus,county,14,,,286.64336226921205,215.11539443523432,358.1713301031898
elders_65_plus,county,15,,,186.36258745287174,133.31285320410547,239.412321701638
elders_65_plus,county,16,,,617.7006861739701,460.24080250641987,775.1605698415203
elders_65_plus,county,17,,,234.27611119374768,175.8156814350515,292.7365409524439
elders_65_plus,nation,0,,,7158.820568743516,6813.140206742781,7504.500930744251
elders_65_plus,state,0,,,1227.1845742464964,1102.6695477703945,1351.6996007225982
elders_65_plus,state,1,,,493.9937045416937,433.3430439663989,554.6443651169885
elders_65_plus,state,2,,,574.0166534666935,489.19360471872585,658.8397022146611
elders_65_plus,state,3,,,663.1405979044613,609.6387118826287,716.6424839262938
elders_65_plus,state,4,,,2713.0196619361222,2562.5963756719893,2863.442948200255
elders_65_plus,state,5,,,1487.4653766480492,1374.3172740505986,1600.6134792454998
households,county,0,,,2820.3104820821786,2071.4514629941314,3569.169501170226
households,county,1,,,1967.597823867444,1432.0043848811777,2503.19126285371
households,county,2,,,762.7387318267141,554.1754399493112,971.302023704117
households,county,3,,,2338.5132969487663,1723.20300355529,2953.823590342243
households,county,4,,,3040.5401780253815,2262.237856286338,3818.842499764425
households,county,5,,,918.046263161096,672.003998791188,1164.088527531004
households,county,6,,,2486.771788024535,1820.3010596431752,3153.242516405895
households,county,7,,,2364.910722719908,1759.5526618394838,2970.268783600332
households,county,8,,,848.5780297863779,631.3632547497929,1065.7928048229628
households,county,9,,,1799.3033905679492,1321.545859734771,2277.0609214011274
households,county,10,,,1017.9959989711682,757.4144565049651,1278.5775414373713
households,county,11,,,1147.9438555432732,854.0989083682516,1441.7888027182948
households,county,12,,,1191.4440079576962,865.655538042,1517.2324778733923
households,county,13,,,1370.5535764160907,1006.6392438051528,1734.4679090270286
households,county,14,,,1369.2719115948703,1018.7725116565182,1719.7713115332224
households,county,15,,,736.4375480001562,535.0660522781711,937.8090437221413
households,county,16,,,2190.7378612354078,1603.6061167378386,2777.869605732977
