estimand,level,unit,estimate,lower,upper
children_under_16,county,0,1983.417810984999,1146.8496221765872,2819.985999793411
children_under_16,county,1,1450.98903414014,849.644768925777,2052.3332993545027
children_under_16,county,2,585.6738468902074,250.85637306046755,920.4913207199472
children_under_16,county,3,1500.3855893820416,791.426837597769,2209.3443411663143
children_under_16,county,4,1888.140455673808,880.0910335193792,2896.1898778282366
children_under_16,county,5,770.7401084024258,357.71750795140673,1183.7627088534448
children_under_16,county,6,1996.6569884478408,879.59044319095,3113.7235337047314
children_under_16,county,7,1559.8636132556526,838.3233941831679,2281.4038323281375
children_under_16,county,8,510.95286003818666,285.86674395898604,736.0389761173873
children_under_16,county,9,1099.4470249736387,625.657879381495,1573.2361705657822
children_under_16,county,10,637.8250986770809,356.13955560876826,919.5106417453935
children_under_16,county,11,728.3056953678704,368.4579731832345,1088.1534175525062
children_under_16,county,12,1152.665129762308,524.8674231569022,1780.4628363677139
children_under_16,county,13,902.4423994310979,517.2800368876578,1287.604761974538
children_under_16,county,14,796.877615337244,417.4922857135201,1176.262944960968
children_under_16,county,15,578.4110936707604,280.35532863685404,876.4668587046667
children_under_16,county,16,1525.2175311155183,601.6664177130914,2448.768644517945
children_under_16,county,17,566.6111719701121,298.61464621292396,834.6076977273002
children_under_16,nation,0,20234.623067520934,16261.621158616312,24207.624976425555
children_under_16,state,0,3985.3072353897355,2460.7839220317032,5509.830548747768
children_under_16,state,1,1450.98903414014,895.8279336059463,2006.1501346743335
children_under_16,state,2,2316.750070323276,1284.6609412034759,3348.839199443076
children_under_16,state,3,1500.3855893820416,832.9180268122192,2167.853151951864
children_under_16,state,4,6688.576510319955,4821.4740107519665,8555.679009887943
children_under_16,state,5,4292.614627965785,2578.4995550919075,6006.729700839663
elders_65_plus,county,0,907.1226025418371,522.557961654589,1291.6872434290851
elders_65_plus,county,1,728.3056822873615,421.3250138776435,1035.2863506970793
elders_65_plus,county,2,248.88751214929414,108.96814787034614,388.80687642824216
elders_65_plus,county,3,974.7445778572805,531.2499664601228,1418.2391892544383
elders_65_plus,county,4,1182.6155860262822,562.6285202158597,1802.6026518367048
elders_65_plus,county,5,307.3224986651712,142.06152817211455,472.5834691582279
elders_65_plus,county,6,859.2381588514891,366.5770262500228,1351.8992914529554
elders_65_plus,county,7,971.1421124196333,514.8353607210383,1427.4488641182284
elders_65_plus,county,8,273.91862770515894,154.39307820103284,393.44417720928504
elders_65_plus,county,9,515.8941983649673,297.9021201766041,733.8862765533306
elders_65_plus,county,10,402.49717706767046,224.417691825818,580.5766623095229
elders_65_plus,county,11,453.06216222741796,218.59443900778,687.5298854470559
elders_65_plus,county,12,339.6795193378971,158.17747134068563,521.1815673351085
elders_65_plus,county,13,377.3720075247036,215.77460719215904,538.9694078572481
elders_65_plus,county,14,415.894834496968,221.10034951592192,610.689319478014
elders_65_plus,county,15,256.1390725913135,125.5183994333702,386.7597457492568
elders_65_plus,county,16,859.5789232021215,333.52016706280665,1385.6376793414363
elders_65_plus,county,17,317.3310252376663,161.72770425924236,472.93434621609026
elders_65_plus,nation,0,10390.746278554234,8285.52235876395,12495.970198344517
elders_65_plus,state,0,1800.3888084315079,1100.5606212167804,2500.2169956462353
elders_65_plus,state,1,728.3056822873615,444.0862573154517,1012.5251072592713
elders_65_plus,state,2,844.7061040785047,476.3257758707634,1213.086432286246
elders_65_plus,state,3,974.7445778572805,559.312617697226,1390.1765380173351
elders_65_plus,state,4,4016.4615251807977,2892.73810801129,5140.184942350305
elders_65_plus,state,5,2026.1395807187819,1188.9619933125618,2863.317168125002
households,county,0,3173.64069681615,1851.3325217440793,4495.94887188822
households,county,1,2084.802264346232,1212.7255261042342,2956.8790025882295
households,county,2,862.497899976187,372.9315303348427,1352.0642696175314
households,county,3,2497.450772181566,1362.2650024183783,3632.636541944754
households,county,4,3355.0590334005033,1609.7933005699774,5100.32476623103
households,county,5,941.6394354293143,446.95835412973196,1436.3205167288966
households,county,6,2655.4697066738363,1152.3588919168756,4158.580521430797
households,county,7,2566.0470358648595,1385.1821810209378,3746.9118907087814
households,county,8,907.0930292822551,518.7590264818162,1295.427032082694
households,county,9,2033.0153274494025,1185.4034531827583,2880.627201716047
households,county,10,1085.3187369454388,610.4687149063379,1560.1687589845396
households,county,11,1249.58979817998,606.218490223283,1892.9611061366772
households,county,12,1313.2668776968458,618.3069888634473,2008.2267665302443
households,county,13,1549.4128713830855,902.1642414130814,2196.6615013530895
households,county,14,1497.5200294029503,798.0789753146643,2196.9610834912364
households,county,15,797.6731492686159,377.3238444233843,1218.0224541138475
households,county,16,2352.9775675272017,951.0795255819107,3754.8756094724927
households,county,17,1056.1636408837692,546.4670548372169,1565.8602269303215
households,nation,0,31978.637872708194,25708.534020743682,38248.741724672705
households,state,0,6756.068895648637,4176.768194819356,9335.369596477918
households,state,1,2084.802264346232,1278.41893646669,2891.1855922257737
households,state,2,2973.4379269416486,1677.2372083293792,4269.638645553918
households,state,3,2497.450772181566,1434.2415870864447,3560.6599572766877
households,state,4,11716.791303959757,8516.538373118532,14917.044234800982
households,state,5,5950.086709630352,3465.5658230965623,8434.607596164142
low_income_household_share,county,0,0.27416325353355814,0.1323054661484291,0.4160210409186872
low_income_household_share,county,1,0.3199929235167068,0.17451217772309932,0.4654736693103142
low_income_household_share,county,2,0.2541228558035497,0.11358775289848752,0.39465795870861187
low_income_household_share,county,3,0.2954663048694189,0.1394240920194192,0.4515085177194186
low_income_household_share,county,4,0.3069132126057991,0.1660303172715363,0.44779610794006197
low_income_household_share,county,5,0.31652597812906325,0.17469046040161618,0.4583614958565103
low_income_household_share,county,6,0.29834749372055863,0.15674812603946336,0.4399468614016539
low_income_household_share,county,7,0.2933696382360654,0.1528839519188326,0.4338553245532981
low_income_household_share,county,8,0.33158950572979856,0.1906654260811526,0.4725135853784445
low_income_household_share,county,9,0.2734894577959542,0.13085705686849375,0.4161218587234146
low_income_household_share,county,10,0.3204269213612593,0.1785493894900597,0.46230445323245883
low_income_household_share,county,11,0.32129952874605167,0.18043273809054095,0.4621663194015624
low_income_household_share,county,12,0.2722257592855666,0.13174117802961452,0.41271034054151867
low_income_household_share,county,13,0.27726537515701166,0.13505248107933765,0.4194782692346857
low_income_household_share,county,14,0.35261494127131165,0.2095724880974711,0.4956573944451522
low_income_household_share,county,15,0.3060716784114501,0.16450055360753063,0.4476428032153696
low_income_household_share,county,16,0.3378300195202838,0.19446789183113153,0.48119214720943604
low_income_household_share,county,17,0.30322002511983487,0.16281914968142455,0.4436209005582452
low_income_household_share,nation,0,0.3027272946708855,0.18945635831507351,0.4159982310266975
low_income_household_share,state,0,0.27464107463096077,0.15910907793447443,0.3901730713274471
low_income_household_share,state,1,0.3199929235167068,0.1999946531264039,0.43999119390700964
low_income_household_share,state,2,0.2759838110149205,0.1621596150591975,0.38980800697064344
low_income_household_share,state,3,0.2954663048694189,0.16286121563403316,0.4280713941048046
low_income_household_share,state,4,0.313459084012507,0.19965830912016563,0.42725985890484836
low_income_household_share,state,5,0.31583534017164233,0.19982897186976933,0.43184170847351533
mean_income_adults,county,0,21735.12655453209,15106.426086256117,28363.827022808062
mean_income_adults,county,1,19569.922262341825,13343.16878920814,25796.67573547551
mean_income_adults,county,2,16479.281372049965,11579.49602780594,21379.06671629399
mean_income_adults,county,3,18855.84053941259,11765.455336247967,25946.225742577215
mean_income_adults,county,4,18740.723072739198,13169.28669710843,24312.159448369966
mean_income_adults,county,5,18808.15413058965,13136.87344204995,24479.43481912935
mean_income_adults,county,6,19122.63163633336,13357.00174396407,24888.26152870265
mean_income_adults,county,7,17401.503015521925,12257.676872757762,22545.329158286087
mean_income_adults,county,8,17120.357913564825,12041.697118394957,22199.018708734693
mean_income_adults,county,9,19293.34383994738,13313.331136397634,25273.35654349713
