estimand,level,unit,estimate,lower,upper
children_under_16,county,0,1769.5186300295063,1734.1282574289162,1804.9090026300964
children_under_16,county,1,1280.1943585036602,1254.590471333587,1305.7982456737334
children_under_16,county,2,375.35600944643375,367.84888925750505,382.86312963536244
children_under_16,county,3,1122.8983816326586,1100.4404140000054,1145.3563492653118
children_under_16,county,4,1336.1208250716245,1309.398408570192,1362.843241573057
children_under_16,county,5,557.8467486322082,546.689813659564,569.0036836048524
children_under_16,county,6,1382.2334563589009,1354.5887872317228,1409.878125486079
children_under_16,county,7,1121.6470362074044,1099.2140954832564,1144.0799769315524
children_under_16,county,8,373.7406650730996,366.2658517716376,381.2154783745616
children_under_16,county,9,979.6565932518827,960.063461386845,999.2497251169203
children_under_16,county,10,463.99126190639413,454.71143666826623,473.271087144522
children_under_16,county,11,521.3763423264289,510.94881547990036,531.8038691729575
children_under_16,county,12,771.193967883967,755.7700885262877,786.6178472416464
children_under_16,county,13,806.5350579797989,790.4043568202029,822.6657591393949
children_under_16,county,14,569.5772912401144,558.1857454153121,580.9688370649167
children_under_16,county,15,387.13871091324563,379.3959366949807,394.88148513151054
children_under_16,county,16,1044.83674484317,1023.9400099463065,1065.7334797400333
children_under_16,county,17,411.69935948613056,403.46537229640796,419.93334667585316
children_under_16,nation,0,15275.561440786627,14970.050211970894,15581.07266960236
children_under_16,state,0,3555.7102812611874,3484.5960756359636,3626.8244868864113
children_under_16,state,1,1280.1943585036602,1254.590471333587,1305.7982456737334
children_under_16,state,2,1533.6886882436465,1503.0149144787736,1564.3624620085195
children_under_16,state,3,1122.8983816326586,1100.4404140000054,1145.3563492653118
children_under_16,state,4,4798.152781311196,4702.1897256849725,4894.11583693742
children_under_16,state,5,2984.916949834279,2925.2186108375936,3044.6152888309643
elders_65_plus,county,0,690.3440920943366,676.5372102524499,704.1509739362233
elders_65_plus,county,1,546.6317737411923,535.6991382663684,557.5644092160162
elders_65_plus,county,2,163.17140540021768,159.90797729221333,166.43483350822203
elders_65_plus,county,3,562.9610754092666,551.7018539010813,574.220296917452
elders_65_plus,county,4,638.6602605956207,625.8870553837082,651.4334658075331
elders_65_plus,county,5,208.92612663338966,204.74760410072187,213.10464916605744
elders_65_plus,county,6,563.2365750907716,551.9718435889562,574.501306592587
elders_65_plus,county,7,523.5634473931323,513.0921784452696,534.0347163409949
elders_65_plus,county,8,150.8615810379522,147.84434941719314,153.87881265871124
elders_65_plus,county,9,402.8209254385863,394.76450692981456,410.87734394735804
elders_65_plus,county,10,218.1123654185829,213.75011811021125,222.47461272695455
elders_65_plus,county,11,243.11896421807913,238.25658493371753,247.98134350244072
elders_65_plus,county,12,241.34545532406588,236.51854621758457,246.1723644305472
elders_65_plus,county,13,289.82315978035393,284.02669658474684,295.619622975961
elders_65_plus,county,14,219.73407092143788,215.33938950300913,224.12875233986662
elders_65_plus,county,15,177.97059210985663,174.4111802676595,181.53000395205376
elders_65_plus,county,16,561.2815359800466,550.0559052604456,572.5071666996475
elders_65_plus,county,17,169.39215803648443,166.00431487575474,172.78000119721412
elders_65_plus,nation,0,6571.955564623372,6440.516453330904,6703.39467591584
elders_65_plus,state,0,1382.9881773132768,1355.3284137670112,1410.6479408595424
elders_65_plus,state,1,546.6317737411923,535.6991382663684,557.5644092160162
elders_65_plus,state,2,582.4874528341402,570.8377037774574,594.137201890823
elders_65_plus,state,3,562.9610754092666,551.7018539010813,574.220296917452
elders_65_plus,state,4,2163.4428476212893,2120.1739906688636,2206.711704573715
elders_65_plus,state,5,1333.4442377042078,1306.7753529501238,1360.1131224582919
households,county,0,2761.9035232106453,2706.6654527464325,2817.141593674858
households,county,1,2179.475292072121,2135.8857862306786,2223.064797913564
households,county,2,794.2191488380194,778.3347658612589,810.1035318147798
households,county,3,2078.3973298518517,2036.8293832548147,2119.9652764488887
households,county,4,2698.8992376440065,2644.921252891126,2752.8772223968867
households,county,5,893.2587114809595,875.3935372513403,911.1238857105787
households,county,6,2414.696416524568,2366.402488194077,2462.9903448550594
households,county,7,2089.668652240077,2047.8752791952754,2131.4620252848786
households,county,8,752.4522129897132,737.4031687299189,767.5012572495075
households,county,9,1772.7825734758233,1737.3269220063069,1808.2382249453397
households,county,10,892.5381345030241,874.6873718129636,910.3888971930846
households,county,11,1014.6348001493885,994.3421041464007,1034.9274961523763
households,county,12,1273.341443010544,1247.8746141503332,1298.8082718707549
households,county,13,1353.2411904725889,1326.176366663137,1380.3060142820407
households,county,14,1213.779434631952,1189.503845939313,1238.055023324591
households,county,15,765.4078142888031,750.0996580030271,780.7159705745792
households,county,16,2107.595166253234,2065.443262928169,2149.7470695782986
households,county,17,870.1237786177236,852.7213030453692,887.526254190078
households,nation,0,27926.41486025505,27367.886563049946,28484.94315746015
households,state,0,5887.927287159057,5770.168741415876,6005.685832902239
households,state,1,2179.475292072121,2135.8857862306786,2223.064797913564
households,state,2,2832.9684061373664,2776.309038014619,2889.6277742601137
