county,age_band,sex,count
0,0-15,male,804.934
0,0-15,female,837.604
0,16-24,male,274.467
0,16-24,female,263.269
0,25-44,male,649.393
0,25-44,female,660.626
0,45-64,male,770.337
0,45-64,female,781.325
0,65+,male,297.772
0,65+,female,311.006
1,0-15,male,628.537
1,0-15,female,576.687
1,16-24,male,226.521
1,16-24,female,206.158
1,25-44,male,486.278
1,25-44,female,446.595
1,45-64,male,546.08
1,45-64,female,593.72
1,65+,male,209.088
1,65+,female,228.432
2,0-15,male,183.097
2,0-15,female,161.803
2,16-24,male,98.048
2,16-24,female,72.595
2,25-44,male,146.826
2,25-44,female,139.733
2,45-64,male,180.071
2,45-64,female,164.562
2,65+,male,74.499
2,65+,female,69.402
3,0-15,male,519.534
3,0-15,female,501.29
3,16-24,male,208.175
3,16-24,female,199.014
3,25-44,male,439.401
3,25-44,female,389.535
3,45-64,male,552.149
3,45-64,female,590.623
3,65+,male,245.732
3,65+,female,227.397
4,0-15,male,643.873
4,0-15,female,572.674
4,16-24,male,259.13
4,16-24,female,256.079
4,25-44,male,532.152
4,25-44,female,498.579
4,45-64,male,630.662
4,45-64,female,680.341
4,65+,male,230.497
4,65+,female,250.859
5,0-15,male,234.073
5,0-15,female,263.693
5,16-24,male,78.723
5,16-24,female,78.727
5,25-44,male,180.479
5,25-44,female,210.045
5,45-64,male,212.717
5,45-64,female,236.923
5,65+,male,99.981
5,65+,female,88.774
6,0-15,male,659.159
6,0-15,female,627.675
6,16-24,male,233.676
6,16-24,female,235.717
6,25-44,male,554.564
6,25-44,female,522.009
6,45-64,male,637.801
6,45-64,female,661.004
6,65+,male,240.685
6,65+,female,253.918
7,0-15,male,485.898
7,0-15,female,511.443
7,16-24,male,159.283
7,16-24,female,196.966
7,25-44,male,406.789
7,25-44,female,415.987
7,45-64,male,500.183
7,45-64,female,545.784
7,65+,male,207.023
7,65+,female,237.568
8,0-15,male,158.638
8,0-15,female,170.948
8,16-24,male,72.583
8,16-24,female,66.477
8,25-44,male,127.462
8,25-44,female,122.406
8,45-64,male,163.759
8,45-64,female,151.303
8,65+,male,61.253
8,65+,female,66.34
9,0-15,male,472.587
9,0-15,female,442.124
9,16-24,male,156.201
9,16-24,female,153.15
9,25-44,male,350.722
9,25-44,female,378.25
9,45-64,male,445.121
9,45-64,female,473.408
9,65+,male,172.371
9,65+,female,138.761
10,0-15,male,208.595
10,0-15,female,215.813
10,16-24,male,88.899
10,16-24,female,77.702
10,25-44,male,163.152
10,25-44,female,159.113
10,45-64,male,218.808
10,45-64,female,232.83
10,65+,male,92.845
10,65+,female,97.931
11,0-15,male,235.105
11,0-15,female,240.286
11,16-24,male,94.003
11,16-24,female,95.026
11,25-44,male,190.674
11,25-44,female,199.873
11,45-64,male,271.794
11,45-64,female,245.085
11,65+,male,93.877
11,65+,female,113.219
12,0-15,male,329.887
12,0-15,female,363.58
12,16-24,male,137.82
12,16-24,female,148.008
12,25-44,male,243.689
12,25-44,female,275.291
12,45-64,male,304.457
12,45-64,female,310.337
12,65+,male,100.017
12,65+,female,76.59
13,0-15,male,359.444
13,0-15,female,345.276
13,16-24,male,97.097
13,16-24,female,135.798
13,25-44,male,297.681
13,25-44,female,295.679
13,45-64,male,357.436
13,45-64,female,328.693
13,65+,male,135.669
13,65+,female,109.187
14,0-15,male,261.588
14,0-15,female,245.384
14,16-24,male,114.372
14,16-24,female,106.23
14,25-44,male,182.533
14,25-44,female,196.823
14,45-64,male,270.782
14,45-64,female,254.256
14,65+,male,88.787
14,65+,female,101.002
15,0-15,male,154.582
15,0-15,female,181.148
15,16-24,male,52.224
15,16-24,female,68.521
15,25-44,male,116.275
15,25-44,female,142.786
15,45-64,male,196.362
15,45-64,female,210.383
15,65+,male,67.37
15,65+,female,86.713
16,0-15,male,464.502
16,0-15,female,455.423
16,16-24,male,209.178
16,16-24,female,197.98
16,25-44,male,394.56
16,25-44,female,387.465
16,45-64,male,505.263
16,45-64,female,492.819
16,65+,male,255.899
16,65+,female,229.417
17,0-15,male,174.968
17,0-15,female,180.149
17,16-24,male,72.597
17,16-24,female,71.583
17,25-44,male,176.371
17,25-44,female,165.204
17,45-64,male,187.217
17,45-64,female,221.605
17,65+,male,81.634
17,65+,female,73.482
