estimand,level,unit,sex,age_band,estimate,lower,upper
children_under_16,county,0,,,1626.0,1609.74,1642.26
children_under_16,county,1,,,1197.0,1185.03,1208.97
children_under_16,county,2,,,353.0,349.47,356.53
children_under_16,county,3,,,1016.0,1005.84,1026.16
children_under_16,county,4,,,1208.0,1195.92,1220.08
children_under_16,county,5,,,503.0,497.97,508.03
children_under_16,county,6,,,1277.0,1264.23,1289.77
children_under_16,county,7,,,993.0,983.07,1002.93
children_under_16,county,8,,,338.0,334.62,341.38
children_under_16,county,9,,,911.9999999999999,902.8799999999999,921.1199999999999
children_under_16,county,10,,,431.0,426.69,435.31
children_under_16,county,11,,,481.0,476.19,485.81
children_under_16,county,12,,,695.0,688.05,701.95
children_under_16,county,13,,,706.0,698.94,713.06
children_under_16,county,14,,,512.0,506.88,517.12
children_under_16,county,15,,,344.0,340.56,347.44
children_under_16,county,16,,,917.0000000000001,907.8300000000002,926.1700000000001
children_under_16,county,17,,,363.0,359.37,366.63
children_under_16,nation,0,,,13872.0,13733.28,14010.72
children_under_16,state,0,,,3244.0,3211.56,3276.44
children_under_16,state,1,,,1197.0,1185.03,1208.97
children_under_16,state,2,,,1392.0,1378.08,1405.92
children_under_16,state,3,,,1016.0,1005.84,1026.16
children_under_16,state,4,,,4326.0,4282.74,4369.26
children_under_16,state,5,,,2697.0,2670.03,2723.97
elders_65_plus,county,0,,,603.0,596.97,609.03
elders_65_plus,county,1,,,435.0,430.65,439.35
elders_65_plus,county,2,,,147.0,145.53,148.47
elders_65_plus,county,3,,,470.00000000000006,465.30000000000007,474.70000000000005
elders_65_plus,county,4,,,478.0,473.22,482.78
elders_65_plus,county,5,,,191.0,189.09,192.91
elders_65_plus,county,6,,,491.00000000000006,486.09000000000003,495.9100000000001
elders_65_plus,county,7,,,442.0,437.58,446.42
elders_65_plus,county,8,,,131.0,129.69,132.31
elders_65_plus,county,9,,,311.0,307.89,314.11
elders_65_plus,county,10,,,193.0,191.07,194.93
elders_65_plus,county,11,,,209.0,206.91,211.09
elders_65_plus,county,12,,,179.0,177.21,180.79
elders_65_plus,county,13,,,246.00000000000003,243.54000000000002,248.46000000000004
elders_65_plus,county,14,,,192.0,190.08,193.92
elders_65_plus,county,15,,,157.0,155.43,158.57
elders_65_plus,county,16,,,482.0,477.18,486.82
elders_65_plus,county,17,,,158.0,156.42,159.58
elders_65_plus,nation,0,,,5515.0,5459.85,5570.15
elders_65_plus,state,0,,,1160.0,1148.4,1171.6
elders_65_plus,state,1,,,435.0,430.65,439.35
elders_65_plus,state,2,,,483.0,478.17,487.83
elders_65_plus,state,3,,,470.00000000000006,465.30000000000007,474.70000000000005
elders_65_plus,state,4,,,1803.0,1784.97,1821.03
elders_65_plus,state,5,,,1164.0,1152.36,1175.64
households,county,0,,,2670.0,2643.3,2696.7
households,county,1,,,2122.0,2100.78,2143.22
households,county,2,,,806.0,797.94,814.06
households,county,3,,,2052.0,2031.48,2072.52
households,county,4,,,2604.0,2577.96,2630.04
households,county,5,,,898.0,889.02,906.98
households,county,6,,,2342.0,2318.58,2365.42
households,county,7,,,2037.0000000000002,2016.6300000000003,2057.3700000000003
households,county,8,,,765.0,757.35,772.65
households,county,9,,,1723.0,1705.77,1740.23
households,county,10,,,907.0,897.93,916.07
households,county,11,,,1016.0,1005.84,1026.16
households,county,12,,,1229.0,1216.71,1241.29
households,county,13,,,1325.0,1311.75,1338.25
households,county,14,,,1202.0,1189.98,1214.02
households,county,15,,,780.0,772.2,787.8
households,county,16,,,2070.0,2049.3,2090.7
households,county,17,,,878.9999999999999,870.2099999999999,887.7899999999998
households,nation,0,,,27427.0,27152.73,27701.27
households,state,0,,,5718.0,5660.82,5775.18
households,state,1,,,2122.0,2100.78,2143.22
households,state,2,,,2815.0,2786.85,2843.15
households,state,3,,,2052.0,2031.48,2072.52
households,state,4,,,9410.0,9315.9,9504.1
households,state,5,,,5310.0,5256.9,5363.1
low_income_household_share,county,0,,,0.0021453791841039285,0.0,0.012145379184103928
low_income_household_share,county,1,,,0.0023448586810920235,0.0,0.012344858681092023
low_income_household_share,county,2,,,0.0020475018184106047,0.0,0.012047501818410605
low_income_household_share,county,3,,,0.002110011242173985,0.0,0.012110011242173986
low_income_household_share,county,4,,,0.0021603859317541065,0.0,0.012160385931754107
low_income_household_share,county,5,,,0.0019963608672244142,0.0,0.011996360867224415
low_income_household_share,county,6,,,0.0019963608672244142,0.0,0.011996360867224415
low_income_household_share,county,7,,,0.0021603859317541065,0.0,0.012160385931754107
low_income_household_share,county,8,,,0.0021603859317541065,0.0,0.012160385931754107
low_income_household_share,county,9,,,0.0021453791841039285,0.0,0.012145379184103928
low_income_household_share,county,10,,,0.0021603859317541065,0.0,0.012160385931754107
low_income_household_share,county,11,,,0.0021603859317541065,0.0,0.012160385931754107
low_income_household_share,county,12,,,0.0020475018184106047,0.0,0.012047501818410605
low_income_household_share,county,13,,,0.0021453791841039285,0.0,0.012145379184103928
low_income_household_share,county,14,,,0.0021603859317541065,0.0,0.012160385931754107
low_income_household_share,county,15,,,0.0020475018184106047,0.0,0.012047501818410605
low_income_household_share,county,16,,,0.0019963608672244142,0.0,0.011996360867224415
low_income_household_share,county,17,,,0.0021603859317541065,0.0,0.012160385931754107
low_income_household_share,nation,0,,,0.0021248510373034104,0.0,0.012124851037303411
low_income_household_share,state,0,,,0.0021453791841039285,0.0,0.012145379184103928
low_income_household_share,state,1,,,0.0023448586810920235,0.0,0.012344858681092023
low_income_household_share,state,2,,,0.0020475018184106047,0.0,0.012047501818410605
low_income_household_share,state,3,,,0.002110011242173985,0.0,0.012110011242173986
low_income_household_share,state,4,,,0.0021603859317541065,0.0,0.012160385931754107
low_income_household_share,state,5,,,0.001996360867224414,0.0,0.011996360867224415
mean_income_adults,county,0,,,115.68449722575986,114.52765225350225,116.84134219801746
mean_income_adults,county,1,,,110.3291995921015,109.22590759618049,111.43249158802251
mean_income_adults,county,2,,,116.36983079410386,115.20613248616283,117.5335291020449
mean_income_adults,county,3,,,110.94574029969549,109.83628289669853,112.05519770269244
mean_income_adults,county,4,,,114.26491779621283,113.1222686182507,115.40756697417496
mean_income_adults,county,5,,,113.75381113463396,112.61627302328762,114.89134924598031
mean_income_adults,county,6,,,113.75381113463396,112.61627302328762,114.89134924598031
mean_income_adults,county,7,,,114.26491779621283,113.1222686182507,115.40756697417496
mean_income_adults,county,8,,,114.26491779621283,113.1222686182507,115.40756697417496
mean_income_adults,county,9,,,115.68449722575986,114.52765225350225,116.84134219801746
mean_income_adults,county,10,,,114.26491779621283,113.1222686182507,115.40756697417496
mean_income_adults,county,11,,,114.26491779621283,113.1222686182507,115.40756697417496
mean_income_adults,county,12,,,116.36983079410386,115.20613248616283,117.5335291020449
mean_income_adults,county,13,,,115.68449722575986,114.52765225350225,116.84134219801746
mean_income_adults,county,14,,,114.26491779621283,113.1222686182507,115.40756697417496
mean_income_adults,county,15,,,116.36983079410386,115.20613248616283,117.5335291020449
mean_income_adults,county,16,,,113.75381113463396,112.61627302328762,114.89134924598031
mean_income_adults,county,17,,,114.26491779621283,113.1222686182507,115.40756697417496
mean_income_adults,nation,0,,,114.11022930508122,112.96912701203041,115.25133159813203
mean_income_adults,state,0,,,115.68449722575984,114.52765225350224,116.84134219801744
mean_income_adults,state,1,,,110.3291995921015,109.22590759618049,111.43249158802251
mean_income_adults,state,2,,,116.36983079410388,115.20613248616284,117.53352910204491
mean_income_adults,state,3,,,110.94574029969547,109.83628289669852,112.05519770269242
mean_income_adults,state,4,,,114.26491779621283,113.1222686182507,115.40756697417496
mean_income_adults,state,5,,,113.75381113463395,112.6162730232876,114.8913492459803
median_household_income,county,0,,,144.87403578018166,143.42529542237983,146.32277613798348
median_household_income,county,1,,,132.11506647789176,130.79391581311285,133.43621714267067
median_household_income,county,2,,,141.83825110594543,140.41986859488597,143.2566336170049
median_household_income,county,3,,,147.56761430461526,146.09193816156912,149.0432904476614
median_household_income,county,4,,,148.7943943808957,147.30645043708677,150.28233832470465
median_household_income,county,5,,,166.7096325396514,165.04253621425488,168.37672886504794
median_household_income,county,6,,,166.7096325396514,165.04253621425488,168.37672886504794
median_household_income,county,7,,,148.7943943808957,147.30645043708677,150.28233832470465
median_household_income,county,8,,,148.7943943808957,147.30645043708677,150.28233832470465
median_household_income,county,9,,,144.87403578018166,143.42529542237983,146.32277613798348
median_household_income,county,10,,,148.7943943808957,147.30645043708677,150.28233832470465
median_household_income,county,11,,,148.7943943808957,147.30645043708677,150.28233832470465
median_household_income,county,12,,,141.83825110594543,140.41986859488597,143.2566336170049
median_household_income,county,13,,,144.87403578018166,143.42529542237983,146.32277613798348
median_household_income,county,14,,,148.7943943808957,147.30645043708677,150.28233832470465
median_household_income,county,15,,,141.83825110594543,140.41986859488597,143.2566336170049
median_household_income,county,16,,,166.7096325396514,165.04253621425488,168.37672886504794
median_household_income,county,17,,,148.7943943808957,147.30645043708677,150.28233832470465
median_household_income,nation,0,,,21435.2,21220.848,21649.552
median_household_income,state,0,,,20627.88,20421.6012,20834.1588
median_household_income,state,1,,,18811.195,18623.08305,18999.30695
median_household_income,state,2,,,20195.63,19993.6737,20397.586300000003
median_household_income,state,3,,,21011.405,20801.29095,21221.51905
median_household_income,state,4,,,21186.08,20974.219200000003,21397.9408
median_household_income,state,5,,,23736.94,23499.5706,23974.3094
persons,county,0,,,5596.0,5540.04,5651.96
persons,county,1,,,4122.0,4080.78,4163.22
persons,county,2,,,1319.0,1305.81,1332.19
persons,county,3,,,3852.0,3813.48,3890.52
persons,county,4,,,4521.0,4475.79,4566.21
persons,county,5,,,1704.9999999999998,1687.9499999999998,1722.0499999999997
persons,county,6,,,4591.0,4545.09,4636.91
persons,county,7,,,3650.0,3613.5,3686.5
persons,county,8,,,1192.0,1180.08,1203.92
persons,county,9,,,3175.0,3143.25,3206.75
persons,county,10,,,1579.0,1563.21,1594.79
persons,county,11,,,1798.0,1780.02,1815.98
persons,county,12,,,2299.0,2276.01,2321.99
persons,county,13,,,2468.0,2443.32,2492.68
persons,county,14,,,1840.0000000000002,1821.6000000000001,1858.4000000000003
persons,county,15,,,1305.0,1291.95,1318.05
persons,county,16,,,3576.9999999999995,3541.2299999999996,3612.7699999999995
persons,county,17,,,1431.0,1416.69,1445.31
persons,nation,0,,,50020.0,49519.8,50520.2
persons,state,0,,,11239.0,11126.61,11351.39
persons,state,1,,,4122.0,4080.78,4163.22
persons,state,2,,,4923.0,4873.77,4972.23
persons,state,3,,,3852.0,3813.48,3890.52
persons,state,4,,,16011.0,15850.89,16171.11
persons,state,5,,,9873.0,9774.27,9971.73
tertiary_share_25_plus,county,0,,,0.5389240506329114,0.5289240506329114,0.5489240506329114
tertiary_share_25_plus,county,1,,,0.45490716180371354,0.44490716180371354,0.46490716180371355
tertiary_share_25_plus,county,2,,,0.43654114365411434,0.42654114365411433,0.44654114365411435
tertiary_share_25_plus,county,3,,,0.3796423658872077,0.36964236588720767,0.3896423658872077
tertiary_share_25_plus,county,4,,,0.3847990449661759,0.3747990449661759,0.3947990449661759
tertiary_share_25_plus,county,5,,,0.407244785949506,0.397244785949506,0.41724478594950604
tertiary_share_25_plus,county,6,,,0.4230619400077912,0.4130619400077912,0.4330619400077912
tertiary_share_25_plus,county,7,,,0.3829068083051666,0.3729068083051666,0.3929068083051666
tertiary_share_25_plus,county,8,,,0.4144,0.4044,0.4244
tertiary_share_25_plus,county,9,,,0.44879686625629545,0.43879686625629544,0.45879686625629545
tertiary_share_25_plus,county,10,,,0.4095127610208817,0.3995127610208817,0.4195127610208817
tertiary_share_25_plus,county,11,,,0.41906653426017876,0.40906653426017875,0.42906653426017877
tertiary_share_25_plus,county,12,,,0.4232758620689655,0.4132758620689655,0.4332758620689655
tertiary_share_25_plus,county,13,,,0.45930232558139533,0.4493023255813953,0.46930232558139534
tertiary_share_25_plus,county,14,,,0.40159045725646125,0.39159045725646124,0.41159045725646126
tertiary_share_25_plus,county,15,,,0.37467018469656993,0.3646701846965699,0.38467018469656994
tertiary_share_25_plus,county,16,,,0.4013124684502776,0.3913124684502776,0.41131246845027764
tertiary_share_25_plus,county,17,,,0.37203791469194314,0.36203791469194313,0.38203791469194315
tertiary_share_25_plus,nation,0,,,0.42631869237101694,0.41631869237101693,0.43631869237101695
tertiary_share_25_plus,state,0,,,0.49597892848477565,0.48597892848477564,0.5059789284847757
tertiary_share_25_plus,state,1,,,0.45490716180371354,0.44490716180371354,0.46490716180371355
tertiary_share_25_plus,state,2,,,0.41394547357411177,0.40394547357411176,0.4239454735741118
tertiary_share_25_plus,state,3,,,0.37964236588720773,0.3696423658872077,0.38964236588720774
