estimand,level,unit,sex,age_band,estimate,lower,upper
children_under_16,county,0,,,1470.4935867252482,843.1873437757365,2097.79982967476
children_under_16,county,1,,,1429.2126715288234,845.9697845042119,2012.455558553435
children_under_16,county,2,,,509.24889663421027,314.6483573804056,703.8494358880149
children_under_16,county,3,,,362.1871725095473,189.8878994348856,534.4864455842089
children_under_16,county,4,,,555.0380765390861,298.6072757166965,811.4688773614757
children_under_16,county,5,,,295.7106917395015,207.52011504148055,383.90126843752245
children_under_16,county,6,,,734.0103528055386,346.657375519913,1121.3633300911642
children_under_16,county,7,,,385.13498962705967,191.84171995090452,578.4282593032149
children_under_16,county,8,,,422.33331245615017,243.30346802762557,601.3631568846747
children_under_16,county,9,,,586.4547348320193,319.39351840213294,853.5159512619057
children_under_16,county,10,,,420.917365278193,240.65663914708156,601.1780914093044
children_under_16,county,11,,,1116.4546637442647,707.8001902034906,1525.1091372850387
children_under_16,county,12,,,665.3392431549205,378.1963199099005,952.4821663999405
children_under_16,county,13,,,423.4483004864118,272.1810218825734,574.7155790902502
children_under_16,county,14,,,375.5617005253586,179.42000319224135,571.7033978584759
children_under_16,county,15,,,1092.342393143835,604.7943111601259,1579.890475127544
children_under_16,county,16,,,1125.4703592183746,693.0078824330644,1557.9328360036848
children_under_16,nation,0,,,11969.358510948543,10095.175440821464,13843.541581075622
children_under_16,state,0,,,3649.0925883021964,2479.1398089191603,4819.045367685232
children_under_16,state,1,,,2968.000647729238,2096.3282221045124,3839.673073353964
children_under_16,state,2,,,2279.84862210506,1590.321107962999,2969.3761362471205
children_under_16,state,3,,,1487.6575317279219,993.3269794439803,1981.9880840118635
children_under_16,state,4,,,1289.0484293446248,783.4615156633722,1794.6353430258773
children_under_16,state,5,,,295.7106917395015,221.15070435783534,370.27067912116763
elders_65_plus,county,0,,,592.0143611351709,339.4635795415561,844.5651427287858
elders_65_plus,county,1,,,587.6046087812588,347.81089908237493,827.3983184801426
elders_65_plus,county,2,,,325.43034248828303,201.0728415563588,449.78784342020725
elders_65_plus,county,3,,,205.96143138392677,107.98169161848286,303.9411711493707
elders_65_plus,county,4,,,399.6399965060431,215.0040072353414,584.2759857767447
elders_65_plus,county,5,,,198.84526759182125,139.5431208908047,258.1474142928378
elders_65_plus,county,6,,,390.76094801318044,184.54803011451497,596.9738659118459
elders_65_plus,county,7,,,175.10863902982024,87.22433275219238,262.9929453074481
elders_65_plus,county,8,,,238.99960368319444,137.68611359395618,340.3130937724327
elders_65_plus,county,9,,,236.3006842818306,128.6934906838522,343.907877879809
elders_65_plus,county,10,,,246.5267167200611,140.94997260710124,352.10346083302096
elders_65_plus,county,11,,,639.9404079982853,405.7038384174268,874.1769775791438
