estimand,level,unit,estimate,lower,upper
children_under_16,county,0,1390.1434085183973,970.3320051261753,1809.9548119106194
children_under_16,county,1,1382.254866881992,952.2643052486026,1812.2454285153815
children_under_16,county,2,498.4697271342651,345.60058319245775,651.3388710760725
children_under_16,county,3,367.26216017449184,257.45191534884685,477.0724050001368
children_under_16,county,4,564.609725605053,389.28098327749046,739.9384679326155
children_under_16,county,5,283.3081631889563,199.34468797478672,367.2716384031259
children_under_16,county,6,677.5693840953962,467.1374037082678,888.0013644825247
children_under_16,county,7,372.3137147151064,258.7743688701732,485.85306056003964
children_under_16,county,8,389.6846569118046,268.49207539951703,510.8772384240922
children_under_16,county,9,544.8313126023719,378.0327195781584,711.6299056265855
children_under_16,county,10,403.81221790424934,282.3323784857887,525.29205732271
children_under_16,county,11,1061.9663143323507,732.1123440181614,1391.8202846465401
children_under_16,county,12,637.2251478323584,445.8071993022577,828.6430963624591
children_under_16,county,13,409.4414599677312,284.10251098823574,534.7804089472266
children_under_16,county,14,367.0147822817242,254.34291188192162,479.68665268152677
children_under_16,county,15,1038.7862626476751,726.5815210791307,1350.9910042162196
children_under_16,county,16,1053.5427934129405,739.6512190984788,1367.434367727402
children_under_16,nation,0,11441.17728584689,9674.663822710154,13207.690748983627
children_under_16,state,0,3469.9670369026803,2854.253980309768,4085.6800934955927
children_under_16,state,1,2833.9058381261475,2285.4220629906367,3382.3896132616583
children_under_16,state,2,2192.0709967011985,1784.5329233872596,2599.6090700151376
children_under_16,state,3,1420.8049535874325,1175.801859631414,1665.808047543451
children_under_16,state,4,1242.179109700449,1002.4417447579797,1481.9164746429185
children_under_16,state,5,283.3081631889563,235.36316537484726,331.2531610030654
elders_65_plus,county,0,864.1595763882482,601.2767912513477,1127.0423615251486
elders_65_plus,county,1,844.7172020068259,589.2047106734246,1100.2296933402272
elders_65_plus,county,2,446.6130466792966,312.94527677221384,580.2808165863794
elders_65_plus,county,3,305.288865279854,216.81080077047392,393.7669297892341
elders_65_plus,county,4,587.2965283280025,403.567059071893,771.025997584112
elders_65_plus,county,5,286.01370836189767,202.8243069681217,369.2031097556736
elders_65_plus,county,6,569.1478895643904,390.872858761314,747.4229203674669
elders_65_plus,county,7,271.6128820908267,190.36843727586233,352.85732690579107
elders_65_plus,county,8,329.269954423632,229.5694913367139,428.9704175105501
elders_65_plus,county,9,346.1204856520296,242.54342025871875,449.6975510453404
elders_65_plus,county,10,346.9235086727235,241.3436707253542,452.50334662009277
elders_65_plus,county,11,969.5399653052377,676.5569440817103,1262.5229865287652
elders_65_plus,county,12,494.52834393381556,343.998055524801,645.0586323428302
elders_65_plus,county,13,320.65014820746677,224.6424983867332,416.6577980282003
elders_65_plus,county,14,323.3462713588342,226.5705891709468,420.1219535467216
elders_65_plus,county,15,702.3619790983024,488.81931036754327,915.9046478290616
elders_65_plus,county,16,865.2378834262673,614.5890071566093,1115.8867596959253
elders_65_plus,nation,0,8867.31043329553,7616.4049468868525,10118.215919704207
elders_65_plus,state,0,2407.97340809309,1968.223968378742,2847.7228478074376
elders_65_plus,state,1,2143.5271217356953,1758.5662464802826,2528.487996991108
elders_65_plus,state,2,1708.3428339884538,1410.7439517892724,2005.9417161876352
elders_65_plus,state,3,1170.5267487061215,986.524938607471,1354.5285588047718
elders_65_plus,state,4,1156.4444178923927,928.6664469643895,1384.222388820396
elders_65_plus,state,5,286.01370836189767,240.42691605723059,331.60050066656476
households,county,0,3175.2363379263725,2220.7949711451756,4129.677704707569
households,county,1,3232.8088283851616,2210.8675712064855,4254.750085563838
households,county,2,1565.8517359887944,1077.3052393500157,2054.398232627573
households,county,3,989.3546106507653,694.0885130809243,1284.6207082206063
households,county,4,1901.3993967275733,1314.269123318489,2488.529670136658
households,county,5,1058.0381308124788,743.4160071353791,1372.6602544895786
households,county,6,1929.6119013391178,1333.073196898537,2526.1506057796987
households,county,7,1047.0116298558853,720.538312610734,1373.4849471010366
households,county,8,1197.013722397912,818.4175922124532,1575.6098525833709
households,county,9,1518.9002587968757,1045.2179215337405,1992.582596060011
households,county,10,1268.3879272510774,886.9782466074407,1649.797607894714
households,county,11,2949.64111144534,2016.669782515178,3882.612440375502
households,county,12,1836.7402550671015,1284.5927954155259,2388.887714718677
households,county,13,1220.6195919990807,839.7988752498477,1601.4403087483138
households,county,14,1161.8116437365118,799.2206880721408,1524.4025994008828
households,county,15,2428.6303625344517,1698.3779037355814,3158.8828213333218
households,county,16,2546.7298344293786,1786.8005647617667,3306.6591040969906
households,nation,0,31030.3302367661,26517.496634294435,35543.16383923777
households,state,0,8708.994882779003,7170.959863258135,10247.029902299872
households,state,1,7379.463662228413,5888.787070428839,8870.140254027987
households,state,2,6514.194860377148,5242.349305908218,7786.0404148460775
households,state,3,3536.0844450801437,2925.1195777871253,4147.049312373162
households,state,4,3831.011298066692,3101.424527562548,4560.5980685708355
households,state,5,1058.0381308124788,877.1449589848025,1238.931302640155
low_income_household_share,county,0,0.3725730413256305,0.13753654471565696,0.6076095379356041
low_income_household_share,county,1,0.34280601188049936,0.11570400128922345,0.5699080224717753
low_income_household_share,county,2,0.3512523412607802,0.15575033597999696,0.5467543465415634
low_income_household_share,county,3,0.4353780057827947,0.15821075153418374,0.7125452600314056
low_income_household_share,county,4,0.35809658811146017,0.14159721851870158,0.5745959577042188
low_income_household_share,county,5,0.4547752751406082,0.11405065318096341,0.795499897100253
low_income_household_share,county,6,0.34608742418815247,0.13208915168793925,0.5600856966883657
low_income_household_share,county,7,0.34530215316010465,0.15074221396996626,0.5398620923502431
low_income_household_share,county,8,0.3569584461333769,0.12794015461801622,0.5859767376487376
low_income_household_share,county,9,0.3309755907135425,0.13863738038006157,0.5233138010470234
low_income_household_share,county,10,0.4487612739721147,0.20545270804469046,0.6920698398995389
low_income_household_share,county,11,0.31749521459165797,0.09367518201556904,0.5413152471677469
low_income_household_share,county,12,0.42607194928580905,0.18534498072624103,0.666798917845377
low_income_household_share,county,13,0.33697359721234166,0.1437133381715223,0.530233856253161
low_income_household_share,county,14,0.3348080290563754,0.14188203390194185,0.527734024210809
low_income_household_share,county,15,0.3852545559068366,0.14892169586488962,0.6215874159487835
low_income_household_share,county,16,0.3796386061111584,0.11714690871088485,0.642130303511432
low_income_household_share,nation,0,0.36662465932367944,0.23630338623344604,0.4969459324139128
low_income_household_share,state,0,0.39598830996936407,0.1809480387168636,0.6110285812218645
low_income_household_share,state,1,0.33515798388824386,0.13131739101626733,0.5389985767602203
low_income_household_share,state,2,0.3399007207467672,0.16765318201806384,0.5121482594754705
low_income_household_share,state,3,0.3941248684171144,0.14571447931067938,0.6425352575235495
low_income_household_share,state,4,0.3517859213652427,0.15644060768849452,0.5471312350419909
low_income_household_share,state,5,0.4547752751406082,0.12642824659347862,0.7831223036877378
mean_income_adults,county,0,37001.18392298756,18415.71075664583,55586.657089329296
mean_income_adults,county,1,35068.39812298417,22098.530018366728,48038.266227601605
mean_income_adults,county,2,29517.036274091446,17873.27402106019,41160.7985271227
mean_income_adults,county,3,27640.867894321058,7369.616869389287,47912.118919252825
mean_income_adults,county,4,32396.853856896512,17766.065030068297,47027.64268372473
mean_income_adults,county,5,32614.273463792986,6592.371477579363,58636.17545000661
mean_income_adults,county,6,34155.16286362467,18791.134419379778,49519.19130786956
mean_income_adults,county,7,30075.10395164611,18237.887288076716,41912.3206152155
mean_income_adults,county,8,34931.2485436566,22009.55014123927,47852.94694607393
mean_income_adults,county,9,36412.58166708923,22377.25842874978,50447.90490542868
mean_income_adults,county,10,33436.77782134514,16116.84474007125,50756.71090261903
