county,age_band,sex,count
0,0-15,male,398.512
0,0-15,female,392.292
0,16-24,male,251.306
0,16-24,female,245.621
0,25-44,male,549.782
0,25-44,female,534.15
0,45-64,male,575.796
0,45-64,female,590.781
0,65+,male,235.794
0,65+,female,230.556
1,0-15,male,430.913
1,0-15,female,451.896
1,16-24,male,280.342
1,16-24,female,281.708
1,25-44,male,628.897
1,25-44,female,610.378
1,45-64,male,659.169
1,45-64,female,639.293
1,65+,male,246.729
1,65+,female,245.286
2,0-15,male,488.989
2,0-15,female,500.742
2,16-24,male,313.02
2,16-24,female,309.798
2,25-44,male,693.234
2,25-44,female,666.916
2,45-64,male,748.798
2,45-64,female,766.395
2,65+,male,303.585
2,65+,female,334.397
3,0-15,male,182.513
3,0-15,female,170.446
3,16-24,male,106.481
3,16-24,female,106.36
3,25-44,male,217.34
3,25-44,female,230.643
3,45-64,male,245.074
3,45-64,female,259.019
3,65+,male,95.2
3,65+,female,100.313
4,0-15,male,411.437
4,0-15,female,397.327
4,16-24,male,261.164
4,16-24,female,251.314
4,25-44,male,574.441
4,25-44,female,551.166
4,45-64,male,677.306
4,45-64,female,670.459
4,65+,male,291.627
4,65+,female,292.619
5,0-15,male,119.629
5,0-15,female,135.398
5,16-24,male,80.374
5,16-24,female,80.864
5,25-44,male,184.777
5,25-44,female,168.714
5,45-64,male,331.8
5,45-64,female,323.371
5,65+,male,133.555
5,65+,female,128.01
6,0-15,male,205.719
6,0-15,female,198.664
6,16-24,male,130.582
6,16-24,female,125.657
6,25-44,male,287.22
6,25-44,female,275.583
6,45-64,male,338.653
6,45-64,female,335.229
6,65+,male,145.814
6,65+,female,146.309
7,0-15,male,67.116
7,0-15,female,68.729
7,16-24,male,42.963
7,16-24,female,42.521
7,25-44,male,95.15
7,25-44,female,91.537
7,45-64,male,102.776
7,45-64,female,105.191
7,65+,male,41.669
7,65+,female,45.898
8,0-15,male,201.592
8,0-15,female,211.409
8,16-24,male,131.151
8,16-24,female,131.79
8,25-44,male,294.214
8,25-44,female,285.551
8,45-64,male,308.376
8,45-64,female,299.078
8,65+,male,115.426
8,65+,female,114.751
9,0-15,male,128.839
9,0-15,female,131.936
9,16-24,male,82.475
9,16-24,female,81.626
9,25-44,male,182.653
9,25-44,female,175.719
9,45-64,male,197.294
9,45-64,female,201.93
9,65+,male,79.989
9,65+,female,88.107
10,0-15,male,331.49
10,0-15,female,326.315
10,16-24,male,209.041
10,16-24,female,204.312
10,25-44,male,457.319
10,25-44,female,444.316
10,45-64,male,478.957
10,45-64,female,491.423
10,65+,male,196.138
10,65+,female,191.781
11,0-15,male,670.726
11,0-15,female,703.385
11,16-24,male,436.359
11,16-24,female,438.484
11,25-44,male,978.892
11,25-44,female,950.067
11,45-64,male,1026.01
11,45-64,female,995.073
11,65+,male,384.039
11,65+,female,381.793
12,0-15,male,503.574
12,0-15,female,495.714
12,16-24,male,317.56
12,16-24,female,310.375
12,25-44,male,694.725
12,25-44,female,674.971
12,45-64,male,727.596
12,45-64,female,746.533
12,65+,male,297.958
12,65+,female,291.339
13,0-15,male,94.082
13,0-15,female,96.344
13,16-24,male,60.226
13,16-24,female,59.606
13,25-44,male,133.38
13,25-44,female,128.316
13,45-64,male,144.07
13,45-64,female,147.456
13,65+,male,58.41
13,65+,female,64.339
14,0-15,male,263.671
14,0-15,female,270.008
14,16-24,male,168.785
14,16-24,female,167.048
14,25-44,male,373.802
14,25-44,female,359.612
14,45-64,male,403.764
14,45-64,female,413.252
14,65+,male,163.698
14,65+,female,180.312
15,0-15,male,321.527
15,0-15,female,316.508
15,16-24,male,202.758
15,16-24,female,198.171
15,25-44,male,443.575
15,25-44,female,430.962
15,45-64,male,464.562
15,45-64,female,476.653
15,65+,male,190.243
15,65+,female,186.017
16,0-15,male,545.749
16,0-15,female,509.668
16,16-24,male,318.4
16,16-24,female,318.037
16,25-44,male,649.888
16,25-44,female,689.669
16,45-64,male,732.82
16,45-64,female,774.519
16,65+,male,284.668
16,65+,female,299.957
