county,age_band,sex,count
0,0-15,male,690.477
0,0-15,female,660.41
0,16-24,male,334.064
0,16-24,female,404.868
0,25-44,male,858.471
0,25-44,female,810.724
0,45-64,male,870.268
0,45-64,female,897.816
0,65+,male,304.28
0,65+,female,257.508
1,0-15,male,686.512
1,0-15,female,695.497
1,16-24,male,426.352
1,16-24,female,413.889
1,25-44,male,857.743
1,25-44,female,849.002
1,45-64,male,884.612
1,45-64,female,770.661
1,65+,male,267.603
1,65+,female,250.759
2,0-15,male,256.321
2,0-15,female,246.49
2,16-24,male,156.651
2,16-24,female,160.942
2,25-44,male,326.832
2,25-44,female,284.675
2,45-64,male,404.918
2,45-64,female,390.694
2,65+,male,172.124
2,65+,female,163.489
3,0-15,male,184.778
3,0-15,female,176.626
3,16-24,male,100.703
3,16-24,female,130.77
3,25-44,male,201.894
3,25-44,female,214.956
3,45-64,male,302.415
3,45-64,female,298.856
3,65+,male,92.845
3,65+,female,105.672
4,0-15,male,289.051
4,0-15,female,282.459
4,16-24,male,163.843
4,16-24,female,138.651
4,25-44,male,370.772
4,25-44,female,364.504
4,45-64,male,479.765
4,45-64,female,520.114
4,65+,male,216.521
4,65+,female,188.185
5,0-15,male,125.095
5,0-15,female,148.221
5,16-24,male,50.604
5,16-24,female,75.908
5,25-44,male,205.355
5,25-44,female,171.459
5,45-64,male,316.455
5,45-64,female,325.201
5,65+,male,115.925
5,65+,female,111.587
6,0-15,male,345.9
6,0-15,female,366.623
6,16-24,male,193.362
6,16-24,female,204.226
6,25-44,male,404.686
6,25-44,female,401.694
6,45-64,male,530.075
6,45-64,female,496.131
6,65+,male,173.93
6,65+,female,199.129
7,0-15,male,185.472
7,0-15,female,188.7
7,16-24,male,110.881
7,16-24,female,93.404
7,25-44,male,201.542
7,25-44,female,213.807
7,45-64,male,254.572
7,45-64,female,256.672
7,65+,male,92.62
7,65+,female,85.074
8,0-15,male,189.914
8,0-15,female,216.935
8,16-24,male,130.668
8,16-24,female,100.161
8,25-44,male,274.216
8,25-44,female,251.97
8,45-64,male,287.443
8,45-64,female,296.383
8,65+,male,101.602
8,65+,female,108.441
9,0-15,male,278.087
9,0-15,female,294.376
9,16-24,male,183.86
9,16-24,female,151.146
9,25-44,male,352.951
9,25-44,female,328.208
9,45-64,male,384.239
9,45-64,female,343.895
9,65+,male,122.06
9,65+,female,118.866
10,0-15,male,185.492
10,0-15,female,196.262
10,16-24,male,128.388
10,16-24,female,129.518
10,25-44,male,264.49
10,25-44,female,208.36
10,45-64,male,307.405
10,45-64,female,321.734
10,65+,male,97.423
10,65+,female,133.537
11,0-15,male,540.943
11,0-15,female,560.075
11,16-24,male,249.267
11,16-24,female,278.52
11,25-44,male,628.713
11,25-44,female,606.448
11,45-64,male,838.21
11,45-64,female,818.968
11,65+,male,281.07
11,65+,female,294.67
12,0-15,male,316.537
12,0-15,female,305.687
12,16-24,male,186.11
12,16-24,female,186.041
12,25-44,male,373.94
12,25-44,female,340.626
12,45-64,male,455.319
12,45-64,female,458.839
12,65+,male,176.761
12,65+,female,154.017
13,0-15,male,204.011
13,0-15,female,219.211
13,16-24,male,113.079
13,16-24,female,107.573
13,25-44,male,273.418
13,25-44,female,247.59
13,45-64,male,286.188
13,45-64,female,310.055
13,65+,male,119.848
13,65+,female,106.859
14,0-15,male,192.021
14,0-15,female,165.865
14,16-24,male,102.185
14,16-24,female,103.21
14,25-44,male,198.301
14,25-44,female,223.626
14,45-64,male,297.046
14,45-64,female,328.531
14,65+,male,102.425
14,65+,female,130.794
15,0-15,male,474.08
15,0-15,female,507.674
15,16-24,male,270.298
15,16-24,female,279.84
15,25-44,male,583.175
15,25-44,female,581.082
15,45-64,male,654.989
15,45-64,female,725.776
15,65+,male,244.125
15,65+,female,214.172
16,0-15,male,595.498
16,0-15,female,540.984
16,16-24,male,303.768
16,16-24,female,312.977
16,25-44,male,631.247
16,25-44,female,629.222
16,45-64,male,749.248
16,45-64,female,823.353
16,65+,male,291.258
16,65+,female,278.58
