county,age_band,sex,count
0,0-15,male,599.376
0,0-15,female,575.932
0,16-24,male,293.262
0,16-24,female,356.341
0,25-44,male,761.135
0,25-44,female,706.405
0,45-64,male,760.882
0,45-64,female,791.355
0,65+,male,263.957
0,65+,female,225.333
1,0-15,male,644.226
1,0-15,female,646.24
1,16-24,male,403.266
1,16-24,female,387.934
1,25-44,male,791.737
1,25-44,female,799.124
1,45-64,male,814.916
1,45-64,female,723.188
1,65+,male,247.685
1,65+,female,230.447
2,0-15,male,255.861
2,0-15,female,248.709
2,16-24,male,157.636
2,16-24,female,159.611
2,25-44,male,320.806
2,25-44,female,284.422
2,45-64,male,399.906
2,45-64,female,395.751
2,65+,male,170.096
2,65+,female,161.009
3,0-15,male,164.103
3,0-15,female,160.005
3,16-24,male,92.402
3,16-24,female,120.853
3,25-44,male,186.255
3,25-44,female,203.847
3,45-64,male,274.494
3,45-64,female,273.393
3,65+,male,85.519
3,65+,female,97.818
4,0-15,male,290.533
4,0-15,female,276.252
4,16-24,male,156.644
4,16-24,female,136.217
4,25-44,male,362.616
4,25-44,female,351.688
4,45-64,male,470.24
4,45-64,female,506.819
4,65+,male,217.982
4,65+,female,182.419
5,0-15,male,122.344
5,0-15,female,144.723
5,16-24,male,49.628
5,16-24,female,70.951
5,25-44,male,200.501
5,25-44,female,166.161
5,45-64,male,314.196
5,45-64,female,310.04
5,65+,male,108.936
5,65+,female,105.961
6,0-15,male,340.465
6,0-15,female,361.827
6,16-24,male,185.177
6,16-24,female,200.392
6,25-44,male,387.098
6,25-44,female,394.498
6,45-64,male,521.207
6,45-64,female,486.503
6,65+,male,168.102
6,65+,female,189.564
7,0-15,male,177.337
7,0-15,female,187.495
7,16-24,male,107.674
7,16-24,female,90.301
7,25-44,male,193.378
7,25-44,female,207.916
7,45-64,male,244.957
7,45-64,female,245.892
7,65+,male,88.571
7,65+,female,81.523
8,0-15,male,181.439
8,0-15,female,203.818
8,16-24,male,126.02
8,16-24,female,98.464
8,25-44,male,261.64
8,25-44,female,237.481
8,45-64,male,273.512
8,45-64,female,283.612
8,65+,male,94.696
8,65+,female,100.886
9,0-15,male,269.09
9,0-15,female,284.341
9,16-24,male,183.088
9,16-24,female,146.368
9,25-44,male,337.087
9,25-44,female,311.906
9,45-64,male,370.361
9,45-64,female,331.583
9,65+,male,124.266
9,65+,female,117.216
10,0-15,male,164.116
10,0-15,female,176.311
10,16-24,male,113.794
10,16-24,female,114.75
10,25-44,male,235.15
10,25-44,female,186.551
10,45-64,male,275.531
10,45-64,female,289.705
10,65+,male,90.617
10,65+,female,118.191
11,0-15,male,523.966
11,0-15,female,535.145
11,16-24,male,238.242
11,16-24,female,264.661
11,25-44,male,613.411
11,25-44,female,582.106
11,45-64,male,799.502
11,45-64,female,786.186
11,65+,male,268.003
11,65+,female,283.352
12,0-15,male,277.253
12,0-15,female,275.192
12,16-24,male,162.731
12,16-24,female,166.744
12,25-44,male,325.906
12,25-44,female,293.595
12,45-64,male,400.934
12,45-64,female,404.926
12,65+,male,163.99
12,65+,female,139.628
13,0-15,male,196.721
13,0-15,female,215.027
13,16-24,male,107.695
13,16-24,female,104.578
13,25-44,male,262.668
13,25-44,female,239.526
13,45-64,male,279.632
13,45-64,female,300.934
13,65+,male,113.03
13,65+,female,101.908
14,0-15,male,196.713
14,0-15,female,166.139
14,16-24,male,106.672
14,16-24,female,102.537
14,25-44,male,198.503
14,25-44,female,224.242
14,45-64,male,306.096
14,45-64,female,325.362
14,65+,male,98.769
14,65+,female,128.38
15,0-15,male,413.874
15,0-15,female,446.438
15,16-24,male,238.18
15,16-24,female,246.267
15,25-44,male,511.442
15,25-44,female,509.674
15,45-64,male,577.344
15,45-64,female,633.273
15,65+,male,210.918
15,65+,female,183.499
16,0-15,male,559.585
16,0-15,female,495.407
16,16-24,male,274.889
16,16-24,female,286.033
16,25-44,male,573.668
16,25-44,female,569.859
16,45-64,male,678.287
16,45-64,female,748.474
16,65+,male,260.862
16,65+,female,256.864
