estimand,level,unit,estimate,lower,upper
children_under_16,county,0,1145.2687464549479,1133.8160589903985,1156.7214339194973
children_under_16,county,1,1248.2053177798591,1235.7232646020605,1260.6873709576578
children_under_16,county,2,470.4629217864818,465.758292568617,475.1675510043466
children_under_16,county,3,317.51731793343595,314.3421447541016,320.6924911127703
children_under_16,county,4,532.6806686960263,527.353862009066,538.0074753829865
children_under_16,county,5,252.328126723896,249.80484545665703,254.85140799113495
children_under_16,county,6,664.1135420069015,657.4724065868326,670.7546774269705
children_under_16,county,7,350.0995314192934,346.59853610510044,353.60052673348633
children_under_16,county,8,367.4585625629347,363.78397693730534,371.133148188564
children_under_16,county,9,535.6345213841275,530.2781761702863,540.9908665979688
children_under_16,county,10,323.64748638424487,320.41101152040244,326.8839612480873
children_under_16,county,11,994.4199222584672,984.4757230358825,1004.3641214810518
children_under_16,county,12,527.5149935156635,522.2398435805069,532.7901434508201
children_under_16,county,13,395.9939594222787,392.03401982805593,399.95389901650145
children_under_16,county,14,334.86195233332234,331.5133328099891,338.2105718566556
children_under_16,county,15,832.3212394660668,823.9980270714061,840.6444518607275
children_under_16,county,16,998.4755742664537,988.4908185237891,1008.4603300091183
children_under_16,nation,0,10291.004384394402,10188.094340550459,10393.914428238346
children_under_16,state,0,2828.752465820923,2800.464941162714,2857.0399904791325
children_under_16,state,1,2610.083802601261,2583.9829645752484,2636.184640627274
children_under_16,state,2,2087.052886345504,2066.1823574820487,2107.923415208959
children_under_16,state,3,1315.9928921998896,1302.8329632778907,1329.1528211218886
children_under_16,state,4,1196.7942107029278,1184.8262685958985,1208.7621528099571
children_under_16,state,5,252.328126723896,249.80484545665703,254.85140799113495
elders_65_plus,county,0,476.27877896420205,471.51599117456004,481.04156675384405
elders_65_plus,county,1,468.17502730855665,463.49327703547107,472.85677758164223
elders_65_plus,county,2,314.02158601382905,310.88137015369074,317.16180187396736
elders_65_plus,county,3,174.41014860945072,172.6660471233562,176.15425009554522
elders_65_plus,county,4,377.2092776653023,373.43718488864926,380.98137044195533
elders_65_plus,county,5,210.04212061972197,207.94169941352476,212.14254182591918
elders_65_plus,county,6,347.7127099944832,344.23558289453837,351.189837094428
elders_65_plus,county,7,166.2617244767465,164.59910723197905,167.92434172151397
elders_65_plus,county,8,189.70732249346776,187.81024926853308,191.60439571840243
elders_65_plus,county,9,225.42661845093113,223.17235226642183,227.68088463544044
elders_65_plus,county,10,195.80514621328788,193.847094751155,197.76319767542077
elders_65_plus,county,11,519.9985571902696,514.7985716183669,525.1985427621723
elders_65_plus,county,12,280.4300671884791,277.6257665165943,283.2343678603639
elders_65_plus,county,13,212.12182899984697,210.0006107098485,214.24304728984544
elders_65_plus,county,14,218.2147675568173,216.03261988124913,220.39691523238545
elders_65_plus,county,15,388.53944108025826,384.6540466694557,392.42483549106083
elders_65_plus,county,16,500.6410733430445,495.63466260961405,505.647484076475
elders_65_plus,nation,0,5264.996196168694,5212.346234207007,5317.646158130381
elders_65_plus,state,0,1341.0534334462272,1327.642899111765,1354.4639677806895
elders_65_plus,state,1,1177.880906992294,1166.102097922371,1189.659716062217
elders_65_plus,state,2,1136.046525498171,1124.686060243189,1147.4069907531527
elders_65_plus,state,3,675.0512219524952,668.3007097329703,681.8017341720201
elders_65_plus,state,4,724.9219876597855,717.6727677831876,732.1712075363833
elders_65_plus,state,5,210.04212061972197,207.94169941352476,212.14254182591918
households,county,0,2780.1742617107943,2752.3725190936866,2807.976004327902
households,county,1,2932.2983706720975,2902.9753869653764,2961.6213543788185
households,county,2,1459.3495417515276,1444.7560463340124,1473.9430371690428
households,county,3,983.8993126272912,974.0603195010183,993.7383057535642
households,county,4,1780.5851578411405,1762.779306262729,1798.391009419552
households,county,5,1005.2051934826884,995.1531415478615,1015.2572454175153
households,county,6,1795.157968431772,1777.2063887474542,1813.1095481160896
households,county,7,970.6438391038696,960.9374007128309,980.3502774949083
households,county,8,1099.1710794297353,1088.1793686354379,1110.1627902240327
households,county,9,1405.3723268839103,1391.3186036150712,1419.4260501527494
households,county,10,1123.5033095723015,1112.2682764765784,1134.7383426680246
households,county,11,2711.3183553971485,2684.205171843177,2738.43153895112
households,county,12,1622.4014765784113,1606.1774618126271,1638.6254913441956
households,county,13,1134.915733197556,1123.5665758655805,1146.2648905295314
households,county,14,1080.7930244399183,1069.9850941955192,1091.6009546843175
households,county,15,2137.1462576374743,2115.7747950610997,2158.517720213849
households,county,16,2534.0464613034624,2508.7059966904276,2559.386925916497
households,nation,0,28555.9816700611,28270.42185336049,28841.54148676171
households,state,0,7663.2253054989815,7586.593052443992,7739.857558553971
households,state,1,6742.7878054989815,6675.359927443992,6810.215683553971
households,state,2,6051.0744653767815,5990.563720723014,6111.585210030549
households,state,3,3517.9457739307536,3482.766316191446,3553.125231670061
households,state,4,3575.7431262729124,3539.9856950101835,3611.5005575356413
households,state,5,1005.2051934826884,995.1531415478615,1015.2572454175153
low_income_household_share,county,0,0.39638031146147085,0.38638031146147084,0.40638031146147086
low_income_household_share,county,1,0.31004231306199104,0.30004231306199103,0.32004231306199105
low_income_household_share,county,2,0.3382115157828709,0.3282115157828709,0.3482115157828709
low_income_household_share,county,3,0.4152358896763879,0.4052358896763879,0.4252358896763879
low_income_household_share,county,4,0.33286843528980103,0.322868435289801,0.34286843528980104
low_income_household_share,county,5,0.4515356673058492,0.4415356673058492,0.4615356673058492
low_income_household_share,county,6,0.3324819117065637,0.3224819117065637,0.3424819117065637
low_income_household_share,county,7,0.3284653078773533,0.3184653078773533,0.3384653078773533
low_income_household_share,county,8,0.329960410156946,0.319960410156946,0.339960410156946
low_income_household_share,county,9,0.31685928503863714,0.30685928503863713,0.32685928503863715
low_income_household_share,county,10,0.46660953085840584,0.45660953085840583,0.47660953085840585
low_income_household_share,county,11,0.294768849435114,0.284768849435114,0.304768849435114
low_income_household_share,county,12,0.44963892429754415,0.43963892429754414,0.45963892429754416
low_income_household_share,county,13,0.3236876777537085,0.3136876777537085,0.3336876777537085
low_income_household_share,county,14,0.3054780821923769,0.29547808219237687,0.3154780821923769
low_income_household_share,county,15,0.40677807616375516,0.39677807616375516,0.4167780761637552
low_income_household_share,county,16,0.3560348296718152,0.3460348296718152,0.3660348296718152
low_income_household_share,nation,0,0.3563462465925582,0.3463462465925582,0.3663462465925582
low_income_household_share,state,0,0.4184380137031678,0.4084380137031678,0.4284380137031678
low_income_household_share,state,1,0.30708936016226474,0.2970893601622647,0.31708936016226474
low_income_household_share,state,2,0.3231444588595619,0.3131444588595619,0.3331444588595619
low_income_household_share,state,3,0.3714138820602752,0.3614138820602752,0.3814138820602752
low_income_household_share,state,4,0.33266595583983455,0.32266595583983454,0.34266595583983456
low_income_household_share,state,5,0.4515356673058492,0.4415356673058492,0.4615356673058492
mean_income_adults,county,0,28370.48510236482,28086.78025134117,28654.189953388468
mean_income_adults,county,1,30135.921625125637,29834.56240887438,30437.280841376894
mean_income_adults,county,2,24522.98124075195,24277.75142834443,24768.21105315947
mean_income_adults,county,3,27894.077563431347,27615.136787797033,28173.01833906566
mean_income_adults,county,4,28083.33800968994,27802.50462959304,28364.171389786836
mean_income_adults,county,5,24609.96827830316,24363.86859552013,24856.06796108619
mean_income_adults,county,6,29790.69354124059,29492.786605828183,30088.600476653
mean_income_adults,county,7,24774.537643937874,24526.792267498495,25022.283020377254
mean_income_adults,county,8,30373.251023387973,30069.518513154093,30676.983533621853
mean_income_adults,county,9,29755.03362110658,29457.483284895516,30052.583957317645
mean_income_adults,county,10,25757.184681973053,25499.612835153323,26014.756528792783
mean_income_adults,county,11,30881.53939023208,30572.723996329758,31190.3547841344
mean_income_adults,county,12,27351.409557029787,27077.895461459488,27624.923652600086
mean_income_adults,county,13,26016.18445945827,25756.022614863687,26276.34630405285
mean_income_adults,county,14,26752.51731651426,26484.992143349114,27020.042489679403
mean_income_adults,county,15,27969.159629017573,27689.468032727396,28248.85122530775
mean_income_adults,county,16,33990.948948925026,33651.03945943578,34330.858438414274
mean_income_adults,nation,0,28786.324403517952,28498.461159482773,29074.18764755313
mean_income_adults,state,0,27728.3654065963,27451.081752530336,28005.64906066226
mean_income_adults,state,1,30460.074117843673,30155.473376665235,30764.67485902211
mean_income_adults,state,2,26486.684403595787,26221.81755955983,26751.551247631745
mean_income_adults,state,3,32407.124192476957,32083.052950552188,32731.195434401725
mean_income_adults,state,4,28977.73210080886,28687.95477980077,29267.509421816947
mean_income_adults,state,5,24609.96827830316,24363.86859552013,24856.06796108619
median_household_income,county,0,26780.96215257613,26513.152531050368,27048.77177410189
median_household_income,county,1,33768.81708915221,33431.128918260685,34106.505260043734
median_household_income,county,2,20130.853400657885,19929.544866651308,20332.161934664462
median_household_income,county,3,20280.314811131506,20077.511663020192,20483.11795924282
median_household_income,county,4,32598.488554537667,32272.50366899229,32924.47344008304
median_household_income,county,5,16886.27,16717.4073,17055.132700000002
median_household_income,county,6,32933.34607066163,32604.012609955014,33262.679531368245
median_household_income,county,7,21354.06637962952,21140.525715833224,21567.607043425814
median_household_income,county,8,27637.37886063228,27361.005072025957,27913.752649238606
median_household_income,county,9,25272.692926566055,25019.965997300395,25525.419855831715
median_household_income,county,10,18070.500925147822,17889.795915896346,18251.2059343993
median_household_income,county,11,36390.687665855294,36026.78078919674,36754.59454251385
median_household_income,county,12,20501.4333453488,20296.419011895312,20706.447678802288
median_household_income,county,13,23060.31687710085,22829.71370832984,23290.92004587186
median_household_income,county,14,25601.8712044271,25345.85249238283,25857.889916471373
median_household_income,county,15,25658.61492374372,25402.02877450628,25915.20107298116
median_household_income,county,16,33100.9858994206,32769.976040426394,33431.99575841481
median_household_income,nation,0,28101.69,27820.6731,28382.706899999997
median_household_income,state,0,23985.47,23745.6153,24225.3247
median_household_income,state,1,34389.04,34045.149600000004,34732.9304
median_household_income,state,2,22890.5,22661.595,23119.405
median_household_income,state,3,29316.79,29023.6221,29609.9579
median_household_income,state,4,32771.86,32444.1414,33099.5786
median_household_income,state,5,16886.27,16717.4073,17055.132700000002
persons,county,0,5162.098508984325,5110.477523894482,5213.719494074168
persons,county,1,5511.786287753282,5456.668424875749,5566.904150630814
persons,county,2,2398.2397094430994,2374.2573123486686,2422.22210653753
persons,county,3,1589.7778768956289,1573.8800981266727,1605.675655664585
persons,county,4,2809.097362049191,2781.006388428699,2837.1883356696826
persons,county,5,1519.4325219829234,1504.2381967630943,1534.6268472027525
persons,county,6,3090.478781700013,3059.573993883013,3121.383569517013
persons,county,7,1574.485408436345,1558.7405543519817,1590.2302625207085
persons,county,8,1768.1900089206065,1750.5081088314005,1785.8719090098125
persons,county,9,2393.1422199566714,2369.2107977571045,2417.0736421562383
persons,county,10,1672.3572065757614,1655.6336345100037,1689.0807786415191
persons,county,11,4603.413661271824,4557.379524659105,4649.4477978845425
persons,county,12,2504.2674907608007,2479.2248158531925,2529.310165668409
persons,county,13,1859.9448196763094,1841.3453714795462,1878.5442678730726
persons,county,14,1725.3710972346119,1708.1173862622657,1742.624808206958
