estimand,level,unit,estimate,lower,upper
children_under_16,county,0,2720.3914038129933,1880.3246021911714,3560.458205434815
children_under_16,county,1,1668.4341734544553,1158.888800602761,2177.9795463061496
children_under_16,county,2,410.50392848862685,247.15519915172027,573.8526578255335
children_under_16,county,3,469.04338631314386,318.1351423092365,619.9516303170512
children_under_16,county,4,844.1574023310516,551.2199488949832,1137.09485576712
children_under_16,county,5,2096.0734326139686,1459.4708906781786,2732.6759745497584
children_under_16,county,6,612.7983192228053,424.1728398216153,801.4237986239953
children_under_16,county,7,536.1115981382326,372.53613969153184,699.6870565849333
children_under_16,county,8,1106.0663565820314,750.5348220133924,1461.5978911506704
children_under_16,county,9,157.0004527314071,94.55158388401412,219.4493215788001
children_under_16,county,10,1325.8332720179355,919.4891630682392,1732.177380967632
children_under_16,county,11,448.1754548457079,269.73185875260106,626.6190509388148
children_under_16,county,12,717.4259050746308,499.2192935521232,935.6325165971384
children_under_16,county,13,1006.0449573494728,693.3069888042796,1318.782925894666
children_under_16,county,14,451.86915424189806,312.73585748628057,591.0024509975156
children_under_16,county,15,959.7641282906802,666.76950866931,1252.7587479120505
children_under_16,county,16,482.4633937184627,334.45884155003137,630.4679458868941
children_under_16,nation,0,16013.346167310281,13572.128223536842,18454.56411108372
children_under_16,state,0,3726.4363611624663,3014.699572867503,4438.17314945743
children_under_16,state,1,2656.4149258345856,2164.6053393702937,3148.2245122988775
children_under_16,state,2,1015.6798360657419,695.7645974731795,1335.5950746583044
children_under_16,state,3,1575.1097428951753,1243.8857935862059,1906.3336922041447
children_under_16,state,4,844.1574023310516,635.2785047286314,1053.0362999334716
children_under_16,state,5,6194.358450938484,5056.597359355318,7332.119542521649
elders_65_plus,county,0,1499.8733699546635,1041.8266714927481,1957.920068416579
elders_65_plus,county,1,949.1627510182722,664.8783328065638,1233.4471692299805
elders_65_plus,county,2,186.71760385543794,117.42275559809013,256.01245211278575
elders_65_plus,county,3,324.3887618829956,225.05715197703728,423.7203717889539
elders_65_plus,county,4,525.3192768553959,356.5972259064949,694.0413278042968
elders_65_plus,county,5,1158.7343328872478,812.1268912170976,1505.341774557398
