county,age_band,sex,count
0,0-15,male,976.946
0,0-15,female,972.892
0,16-24,male,365.07
0,16-24,female,365.172
0,25-44,male,887.709
0,25-44,female,850.093
0,45-64,male,1102.331
0,45-64,female,1116.675
0,65+,male,388.822
0,65+,female,383.652
1,0-15,male,703.736
1,0-15,female,682.371
1,16-24,male,337.444
1,16-24,female,271.359
1,25-44,male,672.564
1,25-44,female,661.427
1,45-64,male,772.048
1,45-64,female,725.295
1,65+,male,254.287
1,65+,female,301.048
2,0-15,male,135.905
2,0-15,female,153.239
2,16-24,male,68.329
2,16-24,female,60.301
2,25-44,male,127.177
2,25-44,female,135.395
2,45-64,male,175.608
2,45-64,female,169.599
2,65+,male,52.418
2,65+,female,73.712
3,0-15,male,172.62
3,0-15,female,159.404
3,16-24,male,76.5
3,16-24,female,71.526
3,25-44,male,184.254
3,25-44,female,174.142
3,45-64,male,264.265
3,45-64,female,245.017
3,65+,male,81.97
3,65+,female,94.1
4,0-15,male,319.408
4,0-15,female,282.769
4,16-24,male,114.244
4,16-24,female,108.249
4,25-44,male,340.198
4,25-44,female,311.754
4,45-64,male,411.077
4,45-64,female,405.064
4,65+,male,115.633
4,65+,female,126.747
5,0-15,male,840.272
5,0-15,female,772.063
5,16-24,male,308.965
5,16-24,female,302.961
5,25-44,male,678.747
5,25-44,female,684.921
5,45-64,male,876.009
5,45-64,female,878.135
5,65+,male,283.849
5,65+,female,290.896
6,0-15,male,209.31
6,0-15,female,225.625
6,16-24,male,110.118
6,16-24,female,103.107
6,25-44,male,195.485
6,25-44,female,223.05
6,45-64,male,264.301
6,45-64,female,232.832
6,65+,male,93.184
6,65+,female,74.765
7,0-15,male,228.661
7,0-15,female,221.555
7,16-24,male,120.303
7,16-24,female,90.888
7,25-44,male,204.653
7,25-44,female,206.76
7,45-64,male,234.774
7,45-64,female,283.752
7,65+,male,76.892
7,65+,female,84.949
8,0-15,male,396.892
8,0-15,female,417.28
8,16-24,male,184.549
8,16-24,female,192.809
8,25-44,male,366.76
8,25-44,female,363.773
8,45-64,male,457.007
8,45-64,female,454.049
8,65+,male,159.456
8,65+,female,166.498
9,0-15,male,44.148
9,0-15,female,70.644
9,16-24,male,23.474
9,16-24,female,28.686
9,25-44,male,42.555
9,25-44,female,43.646
9,45-64,male,49.211
9,45-64,female,67.641
9,65+,male,23.862
9,65+,female,
10,0-15,male,472.327
10,0-15,female,475.403
10,16-24,male,250.776
10,16-24,female,228.484
10,25-44,male,428.951
10,25-44,female,468.734
10,45-64,male,512.088
10,45-64,female,489.779
10,65+,male,173.743
10,65+,female,194.024
11,0-15,male,170.549
11,0-15,female,158.352
11,16-24,male,52.046
11,16-24,female,69.475
11,25-44,male,155.71
11,25-44,female,152.726
11,45-64,male,208.219
11,45-64,female,198.136
11,65+,male,64.646
11,65+,female,65.574
12,0-15,male,271.492
12,0-15,female,275.587
12,16-24,male,114.22
12,16-24,female,99.061
12,25-44,male,258.68
12,25-44,female,259.769
12,45-64,male,324.456
12,45-64,female,347.976
12,65+,male,115.612
12,65+,female,97.193
13,0-15,male,327.587
13,0-15,female,338.81
13,16-24,male,171.285
13,16-24,female,171.399
13,25-44,male,328.008
13,25-44,female,326.04
13,45-64,male,409.078
13,45-64,female,368.441
13,65+,male,163.507
13,65+,female,151.199
14,0-15,male,168.539
14,0-15,female,202.166
14,16-24,male,91.772
14,16-24,female,92.907
14,25-44,male,182.211
14,25-44,female,188.392
14,45-64,male,207.231
14,45-64,female,227.697
14,65+,male,56.51
14,65+,female,57.438
15,0-15,male,359.164
15,0-15,female,351.039
15,16-24,male,170.271
15,16-24,female,183.623
15,25-44,male,357.549
15,25-44,female,304.664
15,45-64,male,433.529
15,45-64,female,401.039
15,65+,male,120.741
15,65+,female,140.002
16,0-15,male,164.447
16,0-15,female,182.799
16,16-24,male,84.635
16,16-24,female,97.991
16,25-44,male,159.79
16,25-44,female,151.715
16,45-64,male,182.77
16,45-64,female,182.87
16,65+,male,76.869
16,65+,female,63.541
