estimand,level,unit,estimate,lower,upper
children_under_16,county,0,1491.1244289999997,1476.2131847099997,1506.0356732899997
children_under_16,county,1,1378.4035290000006,1364.6194937100006,1392.1875642900006
children_under_16,county,2,140.21851999999998,138.8163348,141.62070519999997
children_under_16,county,3,425.0426510000001,420.7922244900001,429.2930775100001
children_under_16,county,4,547.7860770000002,542.3082162300002,553.2639377700002
children_under_16,county,5,2247.1476579999994,2224.6761814199995,2269.6191345799994
children_under_16,county,6,591.4361170000002,585.5217558300002,597.3504781700002
children_under_16,county,7,319.14295900000025,315.95152941000026,322.33438859000023
children_under_16,county,8,550.7483279999999,545.2408447199999,556.2558112799999
children_under_16,county,9,0.0,0.0,0.0
children_under_16,county,10,1072.481853,1061.75703447,1083.20667153
children_under_16,county,11,418.612177,414.42605523,422.79829877
children_under_16,county,12,298.12054599999993,295.1393405399999,301.10175145999995
children_under_16,county,13,1100.9318120000005,1089.9224938800005,1111.9411301200005
children_under_16,county,14,570.390478,564.68657322,576.09438278
children_under_16,county,15,822.2182990000001,813.9961160100002,830.4404819900001
children_under_16,county,16,246.04486999999997,243.58442129999997,248.50531869999998
children_under_16,nation,0,12219.850303000003,12097.651799970003,12342.048806030003
children_under_16,state,0,2592.056241,2566.13567859,2617.9768034100002
children_under_16,state,1,2267.936966000001,2245.2575963400013,2290.616335660001
children_under_16,state,2,558.830697,553.24239003,564.41900397
children_under_16,state,3,975.790979,966.03306921,985.54888879
children_under_16,state,4,547.7860770000002,542.3082162300002,553.2639377700002
children_under_16,state,5,5277.449342999999,5224.674849569999,5330.223836429999
elders_65_plus,county,0,690.4099789999999,683.5058792099999,697.3140787899999
elders_65_plus,county,1,350.35902699999997,346.85543672999995,353.86261727
elders_65_plus,county,2,19.407408,19.21333392,19.60148208
elders_65_plus,county,3,34.618143,34.27196157,34.964324430000005
elders_65_plus,county,4,326.49375000000003,323.22881250000006,329.7586875
elders_65_plus,county,5,396.55209299999996,392.58657206999993,400.51761393
elders_65_plus,county,6,293.17006299999997,290.23836236999995,296.10176363
elders_65_plus,county,7,126.223106,124.96087494,127.48533706
elders_65_plus,county,8,517.953286,512.77375314,523.13281886
elders_65_plus,county,9,0.0,0.0,0.0
elders_65_plus,county,10,524.3465410000001,519.1030755900001,529.5900064100001
elders_65_plus,county,11,19.104167,18.91312533,19.29520867
elders_65_plus,county,12,199.33870900000002,197.34532191000002,201.33209609000002
elders_65_plus,county,13,547.123275,541.65204225,552.59450775
elders_65_plus,county,14,0.0,0.0,0.0
elders_65_plus,county,15,244.698622,242.25163578,247.14560822
elders_65_plus,county,16,123.022435,121.79221065,124.25265935
elders_65_plus,nation,0,4412.8206040000005,4368.692397960001,4456.94881004
elders_65_plus,state,0,1237.533254,1225.15792146,1249.90858654
elders_65_plus,state,1,476.582133,471.81631167,481.34795433
elders_65_plus,state,2,38.511575,38.12645925,38.89669075
elders_65_plus,state,3,552.5714290000001,547.0457147100001,558.0971432900001
elders_65_plus,state,4,326.49375000000003,323.22881250000006,329.7586875
elders_65_plus,state,5,1781.1284630000002,1763.3171783700002,1798.9397476300003
households,county,0,2841.0010469999997,2812.5910365299997,2869.41105747
households,county,1,1889.2403050000014,1870.3479019500014,1908.1327080500014
households,county,2,133.183336,131.85150264,134.51516936
households,county,3,483.3645729999998,478.5309272699998,488.1982187299998
households,county,4,1470.4473500000001,1455.7428765000002,1485.1518235
households,county,5,3047.2435789999986,3016.7711432099986,3077.7160147899986
households,county,6,1155.578456,1144.02267144,1167.1342405599999
households,county,7,511.3696120000003,506.2559158800003,516.4833081200003
households,county,8,1359.103459999999,1345.5124253999988,1372.694494599999
households,county,9,0.0,0.0,0.0
households,county,10,1781.4020770000004,1763.5880562300003,1799.2160977700005
households,county,11,783.396793,775.56282507,791.23076093
households,county,12,1227.967119,1215.6874478099999,1240.24679019
households,county,13,1888.144055000001,1869.262614450001,1907.0254955500009
households,county,14,566.51905,560.8538595,572.1842405
households,county,15,1366.0660959999998,1352.4054350399997,1379.7267569599999
households,county,16,390.9006380000001,386.9916316200001,394.80964438000007
households,nation,0,20894.927546,20685.97827054,21103.87682146
households,state,0,4729.145102,4681.853650980001,4776.43655302
households,state,1,2967.1289670000015,2937.4576773300014,2996.8002566700015
households,state,2,916.5801289999999,907.41432771,925.7459302899999
households,state,3,1842.4680329999987,1824.0433526699987,1860.8927133299987
households,state,4,1470.4473500000001,1455.7428765000002,1485.1518235
households,state,5,8969.157964999999,8879.466385349999,9058.849544649998
low_income_household_share,county,0,0.3026054234376377,0.2926054234376377,0.3126054234376377
low_income_household_share,county,1,0.400866661448539,0.390866661448539,0.410866661448539
low_income_household_share,county,2,0.49366620216127416,0.48366620216127415,0.5036662021612741
low_income_household_share,county,3,0.28792032759215397,0.27792032759215396,0.297920327592154
low_income_household_share,county,4,0.31073392801177135,0.30073392801177135,0.32073392801177136
low_income_household_share,county,5,0.3458659916687581,0.3358659916687581,0.3558659916687581
low_income_household_share,county,6,0.38223918608908547,0.37223918608908546,0.3922391860890855
low_income_household_share,county,7,0.43449807846789185,0.42449807846789184,0.44449807846789186
low_income_household_share,county,8,0.27270836077095273,0.2627083607709527,0.28270836077095274
low_income_household_share,county,9,0.5534908762899348,0.5434908762899348,0.5634908762899348
low_income_household_share,county,10,0.3487562079718366,0.3387562079718366,0.3587562079718366
low_income_household_share,county,11,0.49880735815291705,0.48880735815291704,0.508807358152917
low_income_household_share,county,12,0.36835537717107414,0.35835537717107413,0.37835537717107415
low_income_household_share,county,13,0.3218491971806638,0.3118491971806638,0.3318491971806638
low_income_household_share,county,14,0.4357706792228982,0.4257706792228982,0.4457706792228982
low_income_household_share,county,15,0.341766494504564,0.33176649450456397,0.351766494504564
low_income_household_share,county,16,0.3874890990059445,0.3774890990059445,0.39748909900594454
low_income_household_share,nation,0,0.3508834347133866,0.3408834347133866,0.36088343471338663
low_income_household_share,state,0,0.31045797896012944,0.30045797896012943,0.32045797896012945
low_income_household_share,state,1,0.4130068078766525,0.4030068078766525,0.4230068078766525
low_income_household_share,state,2,0.4979494669533591,0.4879494669533591,0.5079494669533591
low_income_household_share,state,3,0.2775828698717654,0.2675828698717654,0.2875828698717654
low_income_household_share,state,4,0.31073392801177135,0.30073392801177135,0.32073392801177136
low_income_household_share,state,5,0.3546271968904314,0.34462719689043136,0.3646271968904314
mean_income_adults,county,0,34010.55168002276,33670.446163222536,34350.65719682299
mean_income_adults,county,1,24672.1866368182,24425.46477045002,24918.908503186383
mean_income_adults,county,2,29317.91243833548,29024.733313952125,29611.091562718833
mean_income_adults,county,3,48625.72591522503,48139.468656072786,49111.98317437728
mean_income_adults,county,4,28908.848117957885,28619.759636778304,29197.936599137465
mean_income_adults,county,5,31123.581293002782,30812.345480072756,31434.81710593281
mean_income_adults,county,6,26976.53896924519,26706.773579552737,27246.304358937643
mean_income_adults,county,7,27402.23220406562,27128.209882024967,27676.254526106277
mean_income_adults,county,8,44556.65216517965,44111.085643527855,45002.218686831446
mean_income_adults,county,9,24536.344205216134,24290.98076316397,24781.707647268297
mean_income_adults,county,10,35566.45211730946,35210.78759613637,35922.116638482556
mean_income_adults,county,11,25670.473450658646,25413.76871615206,25927.178185165234
mean_income_adults,county,12,29293.44579492266,29000.51133697343,29586.380252871888
mean_income_adults,county,13,36979.73113957845,36609.933828182664,37349.528450974234
mean_income_adults,county,14,34166.36744727004,33824.70377279734,34508.03112174274
mean_income_adults,county,15,38499.94351004082,38114.94407494042,38884.94294514123
mean_income_adults,county,16,34010.140044733176,33670.03864428584,34350.24144518051
mean_income_adults,nation,0,33005.86529022087,32675.806637318663,33335.92394312308
mean_income_adults,state,0,35222.14597923617,34869.92451944381,35574.36743902853
mean_income_adults,state,1,26942.19302165882,26672.77109144223,27211.614951875406
mean_income_adults,state,2,26279.11201629232,26016.320896129397,26541.903136455247
mean_income_adults,state,3,45860.54253383534,45401.93710849698,46319.14795917369
mean_income_adults,state,4,28908.848117957885,28619.759636778304,29197.936599137465
mean_income_adults,state,5,32709.309018787724,32382.215928599846,33036.4021089756
median_household_income,county,0,37837.219556510216,37458.84736094511,38215.59175207532
median_household_income,county,1,29069.1313649892,28778.44005133931,29359.82267863909
median_household_income,county,2,20739.47289530062,20532.078166347612,20946.867624253628
median_household_income,county,3,49737.52769641279,49240.15241944866,50234.90297337692
median_household_income,county,4,32209.28,31887.1872,32531.372799999997
median_household_income,county,5,34579.21447496349,34233.422330213856,34925.006619713124
median_household_income,county,6,28513.59400429222,28228.4580642493,28798.72994433514
median_household_income,county,7,27045.012113719542,26774.561992582345,27315.46223485674
median_household_income,county,8,51275.4217485904,50762.6675311045,51788.175966076305
median_household_income,county,9,10728.648605860164,10621.362119801563,10835.935091918765
median_household_income,county,10,36860.380796979094,36491.776989009304,37228.984604948884
median_household_income,county,11,19832.715717107905,19634.388559936826,20031.042874278985
median_household_income,county,12,31549.770207741978,31234.272505664558,31865.2679098194
median_household_income,county,13,36086.05629052657,35725.1957276213,36446.91685343184
median_household_income,county,14,28185.00429268733,27903.154249760457,28466.8543356142
median_household_income,county,15,41509.986677018904,41094.88681024872,41925.08654378909
median_household_income,county,16,23811.53816132864,23573.422779715354,24049.653542941927
median_household_income,nation,0,33474.07,33139.3293,33808.8107
median_household_income,state,0,37566.9,37191.231,37942.569
median_household_income,state,1,28425.88,28141.6212,28710.1388
median_household_income,state,2,19177.55,18985.7745,19369.3255
median_household_income,state,3,50666.59,50159.9241,51173.2559
median_household_income,state,4,32209.28,31887.1872,32531.372799999997
median_household_income,state,5,33633.46,33297.1254,33969.7946
persons,county,0,6200.427458000003,6138.423183420003,6262.431732580003
persons,county,1,4541.230652000006,4495.8183454800055,4586.642958520006
persons,county,2,341.32778399999995,337.91450616,344.74106183999993
persons,county,3,1221.303794999999,1209.090757049999,1233.5168329499988
persons,county,4,2552.6773410000033,2527.1505675900034,2578.204114410003
persons,county,5,6458.726364999995,6394.139101349995,6523.313628649995
persons,county,6,2091.3417229999986,2070.4283057699986,2112.2551402299987
persons,county,7,1130.0476240000005,1118.7471477600004,1141.3481002400006
persons,county,8,2590.0405729999998,2564.14016727,2615.9409787299996
persons,county,9,0.0,0.0,0.0
persons,county,10,3574.364957000001,3538.6213074300013,3610.108606570001
persons,county,11,1704.1756350000003,1687.1338786500003,1721.2173913500003
persons,county,12,2025.986757,2005.7268894299998,2046.24662457
persons,county,13,4274.275142000005,4231.532390580005,4317.017893420005
persons,county,14,1355.0000059999993,1341.4500059399993,1368.5500060599993
persons,county,15,3056.513144000001,3025.9480125600007,3087.078275440001
persons,county,16,953.1089669999996,943.5778773299995,962.6400566699996
persons,nation,0,44070.54792300001,43629.842443770016,44511.25340223001
persons,state,0,10474.702600000008,10369.955574000007,10579.449626000009
persons,state,1,7026.278282000006,6956.0154991800055,7096.541064820006
persons,state,2,2045.5034190000001,2025.04838481,2065.95845319
persons,state,3,3811.3443679999987,3773.230924319999,3849.4578116799985
persons,state,4,2552.6773410000033,2527.1505675900034,2578.204114410003
persons,state,5,18160.041912999997,17978.441493869996,18341.64233213
tertiary_share_25_plus,county,0,0.44531105119906683,0.4353110511990668,0.45531105119906684
tertiary_share_25_plus,county,1,0.36637458206615237,0.35637458206615236,0.3763745820661524
tertiary_share_25_plus,county,2,0.29143898302712584,0.28143898302712583,0.30143898302712585
tertiary_share_25_plus,county,3,0.35995252724774235,0.34995252724774234,0.36995252724774236
tertiary_share_25_plus,county,4,0.39836582267485343,0.3883658226748534,0.40836582267485344
tertiary_share_25_plus,county,5,0.4261981929587945,0.4161981929587945,0.43619819295879453
tertiary_share_25_plus,county,6,0.268963039640088,0.258963039640088,0.278963039640088
tertiary_share_25_plus,county,7,0.36729502426265204,0.35729502426265203,0.37729502426265205
tertiary_share_25_plus,county,8,0.5195941791626338,0.5095941791626338,0.5295941791626338
tertiary_share_25_plus,county,9,0.0,0.0,0.01
tertiary_share_25_plus,county,10,0.29788854125925945,0.28788854125925945,0.30788854125925946
tertiary_share_25_plus,county,11,0.2203632883064244,0.2103632883064244,0.2303632883064244
tertiary_share_25_plus,county,12,0.1604176305199034,0.1504176305199034,0.1704176305199034
tertiary_share_25_plus,county,13,0.30587142857284844,0.2958714285728484,0.31587142857284844
tertiary_share_25_plus,county,14,0.18207282928973628,0.17207282928973627,0.1920728292897363
tertiary_share_25_plus,county,15,0.30874028324181724,0.29874028324181723,0.31874028324181725
tertiary_share_25_plus,county,16,0.4168053237025985,0.4068053237025985,0.4268053237025985
tertiary_share_25_plus,nation,0,0.35663818983196993,0.3466381898319699,0.36663818983196994
tertiary_share_25_plus,state,0,0.38841174478810425,0.37841174478810424,0.39841174478810426
tertiary_share_25_plus,state,1,0.33098049110938454,0.32098049110938454,0.34098049110938455
tertiary_share_25_plus,state,2,0.23222350283842347,0.22222350283842346,0.24222350283842348
tertiary_share_25_plus,state,3,0.4684387503956351,0.4584387503956351,0.4784387503956351
tertiary_share_25_plus,state,4,0.39836582267485343,0.3883658226748534,0.40836582267485344
tertiary_share_25_plus,state,5,0.3329225309392771,0.3229225309392771,0.3429225309392771
