estimand,level,unit,estimate,lower,upper
children_under_16,county,0,3852.0,3774.96,3929.04
children_under_16,county,1,2746.0,2691.08,2800.92
children_under_16,county,2,594.0,582.12,605.88
children_under_16,county,3,678.0,664.44,691.56
children_under_16,county,4,1208.0,1183.84,1232.16
children_under_16,county,5,3190.0000000000005,3126.2000000000003,3253.8000000000006
children_under_16,county,6,880.0,862.4,897.6
children_under_16,county,7,910.0,891.8,928.2
children_under_16,county,8,1623.9999999999998,1591.5199999999998,1656.4799999999998
children_under_16,county,9,251.99999999999997,246.95999999999998,257.03999999999996
children_under_16,county,10,1886.0000000000002,1848.2800000000002,1923.7200000000003
children_under_16,county,11,672.0,658.56,685.44
children_under_16,county,12,1100.0,1078.0,1122.0
children_under_16,county,13,1334.0,1307.32,1360.68
children_under_16,county,14,754.0,738.92,769.08
children_under_16,county,15,1420.0,1391.6,1448.4
children_under_16,county,16,708.0,693.84,722.16
children_under_16,nation,0,23808.0,23331.84,24284.16
children_under_16,state,0,5186.0,5082.28,5289.72
children_under_16,state,1,4410.0,4321.8,4498.2
children_under_16,state,2,1518.0,1487.64,1548.36
children_under_16,state,3,2302.0,2255.96,2348.04
children_under_16,state,4,1208.0,1183.84,1232.16
children_under_16,state,5,9184.0,9000.32,9367.68
elders_65_plus,county,0,1526.0,1495.48,1556.52
elders_65_plus,county,1,1100.0,1078.0,1122.0
elders_65_plus,county,2,258.0,252.84,263.16
elders_65_plus,county,3,356.0,348.88,363.12
elders_65_plus,county,4,486.0,476.28,495.72
elders_65_plus,county,5,1138.0,1115.24,1160.76
elders_65_plus,county,6,340.0,333.2,346.8
elders_65_plus,county,7,328.0,321.44,334.56
elders_65_plus,county,8,650.0,637.0,663.0
elders_65_plus,county,9,92.0,90.16,93.84
elders_65_plus,county,10,731.9999999999999,717.3599999999999,746.6399999999999
elders_65_plus,county,11,266.0,260.68,271.32
elders_65_plus,county,12,428.0,419.44,436.56
elders_65_plus,county,13,628.0,615.44,640.56
elders_65_plus,county,14,234.0,229.32,238.68
elders_65_plus,county,15,522.0,511.56,532.44
elders_65_plus,county,16,286.0,280.28,291.72
elders_65_plus,nation,0,9370.0,9182.6,9557.4
elders_65_plus,state,0,2154.0,2110.92,2197.08
elders_65_plus,state,1,1662.0,1628.76,1695.24
elders_65_plus,state,2,616.0,603.68,628.32
elders_65_plus,state,3,1006.0,985.88,1026.12
elders_65_plus,state,4,486.0,476.28,495.72
elders_65_plus,state,5,3446.0,3377.08,3514.92
households,county,0,7704.0,7549.92,7858.08
households,county,1,5524.0,5413.52,5634.48
households,county,2,1410.0,1381.8,1438.2
households,county,3,2018.0000000000002,1977.6400000000003,2058.36
households,county,4,2986.0,2926.28,3045.72
households,county,5,6108.0,5985.84,6230.16
households,county,6,2076.0,2034.48,2117.52
households,county,7,2029.9999999999998,1989.3999999999999,2070.6
households,county,8,3510.0000000000005,3439.8000000000006,3580.2000000000003
households,county,9,628.0,615.44,640.56
households,county,10,4190.0,4106.2,4273.8
households,county,11,1738.0,1703.24,1772.76
households,county,12,2780.0,2724.4,2835.6
households,county,13,3363.9999999999995,3296.7199999999993,3431.2799999999997
households,county,14,2003.9999999999998,1963.9199999999998,2044.0799999999997
households,county,15,3146.0,3083.08,3208.92
households,county,16,1758.0,1722.84,1793.16
households,nation,0,52974.0,51914.52,54033.48
households,state,0,11068.0,10846.64,11289.36
households,state,1,9558.0,9366.84,9749.16
households,state,2,3776.0,3700.48,3851.52
households,state,3,5528.000000000001,5417.4400000000005,5638.560000000001
households,state,4,2986.0,2926.28,3045.72
households,state,5,20058.0,19656.84,20459.16
low_income_household_share,county,0,0.0015774027289677801,0.0,0.02157740272896778
low_income_household_share,county,1,0.0021227631665990373,0.0,0.022122763166599037
low_income_household_share,county,2,0.002584368515511065,0.0,0.022584368515511065
low_income_household_share,county,3,0.0014229187007116068,0.0,0.021422918700711606
low_income_household_share,county,4,0.0015888603938759812,0.0,0.021588860393875982
low_income_household_share,county,5,0.0018216068776347562,0.0,0.021821606877634757
low_income_household_share,county,6,0.0018216068776347562,0.0,0.021821606877634757
low_income_household_share,county,7,0.0021227631665990373,0.0,0.022122763166599037
low_income_household_share,county,8,0.0014229187007116068,0.0,0.021422918700711606
low_income_household_share,county,9,0.002584368515511065,0.0,0.022584368515511065
low_income_household_share,county,10,0.0018216068776347562,0.0,0.021821606877634757
low_income_household_share,county,11,0.002584368515511065,0.0,0.022584368515511065
low_income_household_share,county,12,0.0018216068776347562,0.0,0.021821606877634757
low_income_household_share,county,13,0.0015774027289677801,0.0,0.02157740272896778
low_income_household_share,county,14,0.0021227631665990373,0.0,0.022122763166599037
low_income_household_share,county,15,0.0018216068776347562,0.0,0.021821606877634757
low_income_household_share,county,16,0.0018216068776347562,0.0,0.021821606877634757
low_income_household_share,nation,0,0.0018199894604824407,0.0,0.021819989460482442
low_income_household_share,state,0,0.0015774027289677801,0.0,0.02157740272896778
low_income_household_share,state,1,0.0021227631665990373,0.0,0.022122763166599037
low_income_household_share,state,2,0.002584368515511065,0.0,0.022584368515511065
low_income_household_share,state,3,0.001422918700711607,0.0,0.021422918700711606
low_income_household_share,state,4,0.001588860393875981,0.0,0.021588860393875982
low_income_household_share,state,5,0.0018216068776347562,0.0,0.021821606877634757
mean_income_adults,county,0,178.16090153563334,174.59768350492067,181.72411956634602
mean_income_adults,county,1,137.2335926620272,134.48892080878667,139.97826451526774
mean_income_adults,county,2,137.5964731951311,134.84454373122847,140.34840265903372
mean_income_adults,county,3,234.75365772502792,230.05858457052736,239.44873087952848
mean_income_adults,county,4,147.81818033549095,144.86181672878112,150.77454394220078
mean_income_adults,county,5,167.59687982957576,164.24494223298424,170.94881742616727
mean_income_adults,county,6,167.59687982957576,164.24494223298424,170.94881742616727
mean_income_adults,county,7,137.2335926620272,134.48892080878667,139.97826451526774
mean_income_adults,county,8,234.75365772502792,230.05858457052736,239.44873087952848
mean_income_adults,county,9,137.5964731951311,134.84454373122847,140.34840265903372
mean_income_adults,county,10,167.59687982957576,164.24494223298424,170.94881742616727
mean_income_adults,county,11,137.5964731951311,134.84454373122847,140.34840265903372
mean_income_adults,county,12,167.59687982957576,164.24494223298424,170.94881742616727
mean_income_adults,county,13,178.16090153563334,174.59768350492067,181.72411956634602
mean_income_adults,county,14,137.2335926620272,134.48892080878667,139.97826451526774
mean_income_adults,county,15,167.59687982957576,164.24494223298424,170.94881742616727
mean_income_adults,county,16,167.59687982957576,164.24494223298424,170.94881742616727
mean_income_adults,nation,0,168.06329165423756,164.7020258211528,171.42455748732232
mean_income_adults,state,0,178.16090153563334,174.59768350492067,181.72411956634602
mean_income_adults,state,1,137.23359266202718,134.48892080878665,139.9782645152677
mean_income_adults,state,2,137.5964731951311,134.84454373122847,140.34840265903372
mean_income_adults,state,3,234.75365772502792,230.05858457052736,239.44873087952848
mean_income_adults,state,4,147.81818033549095,144.86181672878112,150.77454394220078
mean_income_adults,state,5,167.59687982957576,164.24494223298424,170.94881742616727
median_household_income,county,0,192.08896792383243,188.24718856535577,195.93074728230908
median_household_income,county,1,145.3486433942303,142.4416705263457,148.2556162621149
median_household_income,county,2,98.05961595999916,96.09842364079918,100.02080827919914
median_household_income,county,3,259.07096356952445,253.88954429813396,264.25238284091495
median_household_income,county,4,164.69411510584416,161.40023280372728,167.98799740796105
median_household_income,county,5,171.97630411632318,168.5367780339967,175.41583019864964
median_household_income,county,6,171.97630411632318,168.5367780339967,175.41583019864964
median_household_income,county,7,145.3486433942303,142.4416705263457,148.2556162621149
median_household_income,county,8,259.07096356952445,253.88954429813396,264.25238284091495
median_household_income,county,9,98.05961595999916,96.09842364079918,100.02080827919914
median_household_income,county,10,171.97630411632318,168.5367780339967,175.41583019864964
median_household_income,county,11,98.05961595999916,96.09842364079918,100.02080827919914
median_household_income,county,12,171.97630411632318,168.5367780339967,175.41583019864964
median_household_income,county,13,192.08896792383243,188.24718856535577,195.93074728230908
median_household_income,county,14,145.3486433942303,142.4416705263457,148.2556162621149
median_household_income,county,15,171.97630411632318,168.5367780339967,175.41583019864964
median_household_income,county,16,171.97630411632318,168.5367780339967,175.41583019864964
median_household_income,nation,0,33474.07,32804.5886,34143.5514
median_household_income,state,0,37566.9,36815.562,38318.238000000005
median_household_income,state,1,28425.88,27857.3624,28994.3976
median_household_income,state,2,19177.55,18793.999,19561.101
median_household_income,state,3,50666.59,49653.2582,51679.9218
median_household_income,state,4,32209.28,31565.094399999998,32853.465599999996
median_household_income,state,5,33633.46,32960.7908,34306.129199999996
persons,county,0,14640.0,14347.2,14932.8
persons,county,1,10662.0,10448.76,10875.24
persons,county,2,2364.0,2316.72,2411.28
persons,county,3,3094.0,3032.12,3155.88
persons,county,4,5078.0,4976.44,5179.56
persons,county,5,11712.0,11477.76,11946.24
persons,county,6,3502.0,3431.96,3572.04
persons,county,7,3544.0,3473.12,3614.88
persons,county,8,6302.0,6175.96,6428.04
