estimand,level,unit,estimate,lower,upper
children_under_16,county,0,2167.009176225337,1416.9311250023225,2917.0872274483513
children_under_16,county,1,1762.8469456902296,1181.851420679473,2343.8424707009863
children_under_16,county,2,1743.4059800677978,1217.8138882497642,2268.9980718858315
children_under_16,county,3,380.34962249626443,268.6688363157177,492.03040867681113
children_under_16,county,4,2801.5675047142927,1891.8397511658818,3711.2952582627036
children_under_16,county,5,784.6621351250161,541.0737336322943,1028.250536617738
children_under_16,county,6,840.8322760230891,596.9358854862405,1084.7286665599377
children_under_16,county,7,658.3891147020651,460.2526660747063,856.5255633294238
children_under_16,county,8,207.21711884478634,144.43602818723633,269.99820950233635
children_under_16,county,9,439.6955301372913,294.2796852582028,585.1113750163798
children_under_16,county,10,954.0667632404111,634.998922918999,1273.134603561823
children_under_16,county,11,730.8218248812398,502.98416436076013,958.6594854017194
children_under_16,county,12,424.9921823422788,284.01945014255773,565.9649145419999
children_under_16,county,13,798.726673811785,536.0532483596428,1061.4000992639271
children_under_16,county,14,213.12045763270748,148.55844164135425,277.6824736240607
children_under_16,county,15,422.3701326164265,294.9274487025572,549.8128165302958
children_under_16,county,16,266.44129833109514,186.73761397648343,346.14498268570685
children_under_16,county,17,814.9345295551755,562.4840787426608,1067.38498036769
children_under_16,nation,0,16413.063606123324,13897.27808155082,18928.849130695828
children_under_16,state,0,2167.009176225337,1633.4879665059225,2700.5303859447513
children_under_16,state,1,4380.328095221995,3398.4794519244824,5362.176738519507
children_under_16,state,2,3510.9441021948783,2886.2087568058923,4135.679447583864
children_under_16,state,3,1221.1818985193536,1027.0168166278536,1415.3469804108536
children_under_16,state,4,2801.5675047142927,2199.0714105104,3404.0635989181856
children_under_16,state,5,2330.418489561431,1880.4066302571864,2780.430348865676
elders_65_plus,county,0,967.5895992310684,644.7612699137264,1290.4179285484104
elders_65_plus,county,1,835.7289686055617,574.8306033054043,1096.627333905719
elders_65_plus,county,2,1099.7384227209757,777.7379253416885,1421.738920100263
elders_65_plus,county,3,234.002352071477,167.66208780743744,300.34261633551654
elders_65_plus,county,4,1333.0760289144305,911.2927727634319,1754.859285065429
elders_65_plus,county,5,485.14440216786784,336.8270915208062,633.4617128149295
elders_65_plus,county,6,542.391376851655,388.6643785281716,696.1183751751383
elders_65_plus,county,7,463.5806478271662,327.51054631925456,599.6507493350779
elders_65_plus,county,8,209.6529666085853,148.10048040339527,271.20545281377537
elders_65_plus,county,9,229.97866978740373,158.19199829625848,301.765341278549
elders_65_plus,county,10,336.8396233866601,231.75825896074753,441.92098781257266
elders_65_plus,county,11,357.5405758424041,248.69517755152725,466.38597413328097
elders_65_plus,county,12,277.1045474634059,190.56314877425774,363.645946152554
elders_65_plus,county,13,362.9666625224385,249.67494604550532,476.25837899937176
elders_65_plus,county,14,153.7679584060216,108.63489168391655,198.90102512812663
elders_65_plus,county,15,295.510308915754,208.9913325533974,382.02928527811065
elders_65_plus,county,16,163.0025461345495,115.25867121386665,210.74642105523236
elders_65_plus,county,17,420.76669570282905,292.7475200867397,548.7858713189185
elders_65_plus,nation,0,8774.626636290448,7629.5951332191935,9919.658139361702
elders_65_plus,state,0,967.5895992310684,746.6853770032599,1188.493821458877
elders_65_plus,state,1,2042.6184717654698,1643.2437066732832,2441.9932368576565
elders_65_plus,state,2,2385.252850613053,1996.0119718957053,2774.4937293304006
elders_65_plus,state,3,776.393728923132,663.4865700730171,889.3008877732469
elders_65_plus,state,4,1333.0760289144305,1063.432891466894,1602.719166361967
elders_65_plus,state,5,1263.451673713101,1031.4470077140413,1495.4563397121606
households,county,0,3502.8574886659244,2407.9659511281598,4597.749026203689
households,county,1,3020.189610972369,2094.3054393259954,3946.0737826187424
households,county,2,3144.7500565119603,2201.9129687884315,4087.587144235489
households,county,3,818.1686615780922,579.5183207551195,1056.8190024010648
households,county,4,4878.404182382628,3351.4619185972683,6405.346446167989
households,county,5,1426.4347558920306,981.0695091698792,1871.800002614182
