county,age_band,sex,count
0,0-15,male,959.594
0,0-15,female,858.228
0,16-24,male,413.853
0,16-24,female,393.531
0,25-44,male,886.133
0,25-44,female,911.856
0,45-64,male,986.356
0,45-64,female,981.09
0,65+,male,291.432
0,65+,female,295.759
1,0-15,male,780.277
1,0-15,female,773.96
1,16-24,male,353.612
1,16-24,female,360.106
1,25-44,male,761.065
1,25-44,female,718.846
1,45-64,male,820.414
1,45-64,female,807.484
1,65+,male,296.666
1,65+,female,281.538
2,0-15,male,892.218
2,0-15,female,894.875
2,16-24,male,353.555
2,16-24,female,386.558
2,25-44,male,876.664
2,25-44,female,854.732
2,45-64,male,1054.884
2,45-64,female,1047.639
2,65+,male,345.582
2,65+,female,343.197
3,0-15,male,191.077
3,0-15,female,160.634
3,16-24,male,72.944
3,16-24,female,76.467
3,25-44,male,174.927
3,25-44,female,172.652
3,45-64,male,238.17
3,45-64,female,200.523
3,65+,male,73.565
3,65+,female,77.167
4,0-15,male,1260.956
4,0-15,female,1178.521
4,16-24,male,603.621
4,16-24,female,539.477
4,25-44,male,1194.935
4,25-44,female,1178.696
4,45-64,male,1444.752
4,45-64,female,1448.089
4,65+,male,441.06
4,65+,female,416.109
5,0-15,male,374.005
5,0-15,female,429.286
5,16-24,male,186.792
5,16-24,female,172.695
5,25-44,male,374.39
5,25-44,female,382.159
5,45-64,male,466.111
5,45-64,female,430.372
5,65+,male,184.889
5,65+,female,201.597
6,0-15,male,353.43
6,0-15,female,382.218
6,16-24,male,140.518
6,16-24,female,134.789
6,25-44,male,344.628
6,25-44,female,313.844
6,45-64,male,490.549
6,45-64,female,534.078
6,65+,male,168.538
6,65+,female,152.595
7,0-15,male,340.472
7,0-15,female,332.191
7,16-24,male,146.946
7,16-24,female,157.869
7,25-44,male,331.116
7,25-44,female,304.463
7,45-64,male,444.929
7,45-64,female,417.075
7,65+,male,160.942
7,65+,female,141.56
8,0-15,male,91.75
8,0-15,female,111.572
8,16-24,male,64.662
8,16-24,female,60.974
8,25-44,male,121.511
8,25-44,female,97.114
8,45-64,male,147.963
8,45-64,female,159.083
8,65+,male,65.312
8,65+,female,94.759
9,0-15,male,185.75
9,0-15,female,199.146
9,16-24,male,99.845
9,16-24,female,97.633
9,25-44,male,169.603
9,25-44,female,189.462
9,45-64,male,221.939
9,45-64,female,229.722
9,65+,male,72.948
9,65+,female,90.59
10,0-15,male,369.057
10,0-15,female,421.185
10,16-24,male,192.83
10,16-24,female,225.673
10,25-44,male,364.074
10,25-44,female,407.601
10,45-64,male,397.63
10,45-64,female,387.116
10,65+,male,97.985
10,65+,female,108.638
11,0-15,male,372.643
11,0-15,female,314.905
11,16-24,male,157.753
11,16-24,female,183.639
11,25-44,male,334.781
11,25-44,female,331.167
11,45-64,male,403.412
11,45-64,female,405.979
11,65+,male,121.389
11,65+,female,120.221
12,0-15,male,189.684
12,0-15,female,171.467
12,16-24,male,103.882
12,16-24,female,94.116
12,25-44,male,170.51
12,25-44,female,176.005
12,45-64,male,263.302
12,45-64,female,261.224
12,65+,male,84.944
12,65+,female,85.002
13,0-15,male,374.936
13,0-15,female,342.644
13,16-24,male,143.966
13,16-24,female,162.365
13,25-44,male,360.098
13,25-44,female,324.431
13,45-64,male,379.217
13,45-64,female,398.8
13,65+,male,110.947
13,65+,female,113.17
14,0-15,male,122.302
14,0-15,female,100.509
14,16-24,male,52.397
14,16-24,female,62.172
14,25-44,male,104.325
14,25-44,female,97.071
14,45-64,male,151.571
14,45-64,female,155.345
14,65+,male,53.047
14,65+,female,38.428
15,0-15,male,185.701
15,0-15,female,226.924
15,16-24,male,81.809
15,16-24,female,93.852
15,25-44,male,172.809
15,25-44,female,212.683
15,45-64,male,261.576
15,45-64,female,232.738
15,65+,male,84.855
15,65+,female,74.068
16,0-15,male,141.818
16,0-15,female,129.503
16,16-24,male,62.554
16,16-24,female,56.261
16,25-44,male,142.207
16,25-44,female,122.208
16,45-64,male,169.339
16,45-64,female,159.399
16,65+,male,65.732
16,65+,female,41.944
17,0-15,male,404.106
17,0-15,female,362.688
17,16-24,male,186.699
17,16-24,female,177.848
17,25-44,male,376.717
17,25-44,female,383.116
17,45-64,male,438.123
17,45-64,female,425.603
17,65+,male,152.007
17,65+,female,134.403
