estimand,level,unit,estimate,lower,upper
children_under_16,county,0,1788.3847571497515,1770.500909578254,1806.268604721249
children_under_16,county,1,1490.7329513214934,1475.8256218082784,1505.6402808347084
children_under_16,county,2,1531.5537751260413,1516.238237374781,1546.8693128773016
children_under_16,county,3,319.4551666542301,316.2606149876878,322.64971832077237
children_under_16,county,4,2346.0944382303737,2322.63349384807,2369.5553826126775
children_under_16,county,5,658.9221472511385,652.3329257786271,665.51136872365
children_under_16,county,6,685.4472242257074,678.5927519834503,692.3016964679645
children_under_16,county,7,599.8075409903341,593.8094655804308,605.8056164002375
children_under_16,county,8,180.85479320303014,179.04624527099983,182.66334113506045
children_under_16,county,9,364.31467166366014,360.67152494702356,367.9578183802967
children_under_16,county,10,786.30500225138,778.4419522288662,794.1680522738937
children_under_16,county,11,586.5486146108519,580.6831284647434,592.4141007569605
children_under_16,county,12,356.18944604549756,352.62755158504257,359.75134050595256
children_under_16,county,13,688.4544560726017,681.5699115118757,695.3390006333277
children_under_16,county,14,196.11357920452588,194.1524434124806,198.07471499657115
children_under_16,county,15,375.5089465695353,371.75385710383995,379.2640360352306
children_under_16,county,16,222.61265507498837,220.38652852423849,224.83878162573825
children_under_16,county,17,647.704627888099,641.2275816092181,654.18167416698
children_under_16,nation,0,13825.00479353324,13686.754745597907,13963.254841468573
children_under_16,state,0,1788.3847571497515,1770.500909578254,1806.268604721249
children_under_16,state,1,3685.996527354633,3649.1365620810866,3722.8564926281797
children_under_16,state,2,3106.451290168455,3075.386777266771,3137.5158030701396
children_under_16,state,3,1004.9023908799375,994.853366971138,1014.9514147887369
children_under_16,state,4,2346.0944382303737,2322.63349384807,2369.5553826126775
children_under_16,state,5,1893.1753897500894,1874.2436358525886,1912.1071436475902
elders_65_plus,county,0,572.5312570704315,566.8059444997272,578.2565696411358
elders_65_plus,county,1,548.9990594477051,543.5090688532281,554.4890500421822
elders_65_plus,county,2,585.6918147398561,579.8348965924575,591.5487328872547
elders_65_plus,county,3,132.04831764995737,130.7278344734578,133.36880082645695
elders_65_plus,county,4,817.1853735206939,809.013519785487,825.3572272559009
elders_65_plus,county,5,315.48318182268065,312.32835000445385,318.63801364090745
elders_65_plus,county,6,298.1898052631533,295.20790721052174,301.17170331578484
elders_65_plus,county,7,260.4742219119175,257.8694796927983,263.0789641310367
elders_65_plus,county,8,142.18814533697162,140.7662638836019,143.61002679034132
elders_65_plus,county,9,153.45297777206844,151.91844799434776,154.98750754978911
elders_65_plus,county,10,201.46466426620313,199.4500176235411,203.47931090886516
elders_65_plus,county,11,203.44033634638168,201.40593298291788,205.4747397098455
elders_65_plus,county,12,163.6440357022475,162.007595345225,165.28047605926997
