estimand,level,unit,estimate,lower,upper,sex,age_band
children_under_16,county,0,1983.591091600267,1436.2717341757434,2530.9104490247905,,
children_under_16,county,1,1625.2096576705846,1184.625618915414,2065.793696425755,,
children_under_16,county,2,1603.1724582132165,1189.9676603358043,2016.3772560906286,,
children_under_16,county,3,348.5591420259928,260.6874731899082,436.4308108620774,,
children_under_16,county,4,2594.6386605832367,1895.041209971404,3294.2361111950695,,
children_under_16,county,5,746.8714758217857,552.7934890346537,940.9494626089177,,
children_under_16,county,6,752.2999984083099,562.6453649326734,941.9546318839464,,
children_under_16,county,7,607.1557577474996,450.66624791661377,763.6452675783854,,
children_under_16,county,8,182.1846492493794,135.22802222912833,229.14127626963045,,
children_under_16,county,9,397.11561557044473,289.46008882963844,504.771142311251,,
children_under_16,county,10,845.4182311973981,616.2307063877836,1074.6057560070126,,
children_under_16,county,11,663.469779235824,491.06410675179836,835.8754517198497,,
children_under_16,county,12,377.85923146221927,275.4239884196917,480.29447450474686,,
children_under_16,county,13,751.2147916388814,547.5652222982297,954.864360979533,,
children_under_16,county,14,199.7160887601595,148.2408743088184,251.19130321150058,,
children_under_16,county,15,375.4093927467971,278.65064327070564,472.16814222288855,,
children_under_16,county,16,237.04429892201625,175.94803873973348,298.14055910429903,,
children_under_16,county,17,723.038049095794,535.153287819289,910.9228103722991,,
children_under_16,nation,0,15013.968369949804,14211.381280359472,15816.555459540135,,
children_under_16,state,0,1983.591091600267,1725.42330024485,2241.758882955684,,
children_under_16,state,1,3996.817527539527,3518.9098298638955,4474.725225215158,,
children_under_16,state,2,3204.682645639068,2932.0657222296504,3477.299569048486,,
children_under_16,state,3,1100.8591404343026,1028.1692381589442,1173.549042709661,,
children_under_16,state,4,2594.6386605832367,2293.0897917777174,2896.187529388756,,
children_under_16,state,5,2133.3793041534036,1938.6669191964897,2328.0916891103175,,
elders_65_plus,county,0,608.8836550582538,440.87835787579604,776.8889522407115,,
elders_65_plus,county,1,571.7789087412738,416.7732701153459,726.7845473672016,,
elders_65_plus,county,2,731.9506517997515,543.296262445882,920.6050411536211,,
elders_65_plus,county,3,155.91597685455534,116.60959973650391,195.22235397260675,,
elders_65_plus,county,4,824.7067512065964,602.3394715497022,1047.0740308634906,,
elders_65_plus,county,5,345.05598340972386,255.39159970123063,434.7203671182171,,
elders_65_plus,county,6,342.76786718629177,256.35617722752204,429.1795571450615,,
elders_65_plus,county,7,323.4445258126738,240.07930254659,406.80974907875765,,
elders_65_plus,county,8,169.90657282499987,126.11452118231836,213.69862446768138,,
elders_65_plus,county,9,159.56894472574206,116.31081504668626,202.82707440479786,,
elders_65_plus,county,10,209.04750648527224,152.37605227364128,265.7189606969032,,
elders_65_plus,county,11,223.88041782847404,165.70406194956772,282.05677370738033,,
elders_65_plus,county,12,168.15389089100785,122.56843671191812,213.73934507009756,,
elders_65_plus,county,13,221.8819659050001,161.7311710804861,282.0327607295141,,
elders_65_plus,county,14,97.1296707749334,72.09527988651521,122.16406166335159,,
elders_65_plus,county,15,171.2787969668453,127.13306559602918,215.42452833766143,,
elders_65_plus,county,16,111.4378236259487,82.71562150018414,140.16002575171325,,
elders_65_plus,county,17,259.33059263088734,191.94234584486867,326.718839416906,,
elders_65_plus,nation,0,5696.12050272823,5391.913302171786,6000.3277032846745,,
elders_65_plus,state,0,608.8836550582538,529.6364003773577,688.1309097391498,,
elders_65_plus,state,1,1330.431216748296,1171.3488179820495,1489.5136155145426,,
elders_65_plus,state,2,1605.1480418051526,1468.600817271377,1741.6952663389281,,
elders_65_plus,state,3,498.6838440408471,465.75567134535714,531.612016736337,,
elders_65_plus,state,4,824.7067512065964,728.8593441280623,920.5541582851306,,
elders_65_plus,state,5,828.2669938690854,752.6715095389595,903.8624781992112,,
households,county,0,3259.2623044724933,2398.463510456462,4120.061098488524,,
households,county,1,2814.737701107515,2068.822964212478,3560.652438002552,,
households,county,2,2942.3065215122892,2169.5289898658493,3715.084053158729,,
households,county,3,767.3599948791621,569.5073530078448,965.2126367504793,,
households,county,4,4559.107804190662,3341.369580691594,5776.84602768973,,
households,county,5,1340.8270133109136,986.9699000506314,1694.6841265711957,,
households,county,6,1598.7043703139304,1186.5016423262125,2010.9070983016484,,
households,county,7,1242.1455748859275,915.9041774354255,1568.3869723364296,,
households,county,8,564.7415683481781,416.41589526978896,713.0672414265673,,
households,county,9,852.6381185719027,626.68621632858,1078.5900208152254,,
households,county,10,1583.2304172969214,1163.6691559766987,2002.791678617144,,
households,county,11,1330.168619696401,979.1243587720141,1681.212880620788,,
