county,age_band,sex,count
0,0-15,male,904.0
0,0-15,female,809.0
0,16-24,male,390.0
0,16-24,female,371.0
0,25-44,male,835.0
0,25-44,female,859.0
0,45-64,male,930.0
0,45-64,female,925.0
0,65+,male,275.0
0,65+,female,279.0
1,0-15,male,726.0
1,0-15,female,720.0
1,16-24,male,329.0
1,16-24,female,335.0
1,25-44,male,708.0
1,25-44,female,669.0
1,45-64,male,764.0
1,45-64,female,752.0
1,65+,male,276.0
1,65+,female,262.0
2,0-15,male,736.0
2,0-15,female,738.0
2,16-24,male,292.0
2,16-24,female,319.0
2,25-44,male,723.0
2,25-44,female,705.0
2,45-64,male,870.0
2,45-64,female,864.0
2,65+,male,285.0
2,65+,female,283.0
3,0-15,male,169.0
3,0-15,female,143.0
3,16-24,male,65.0
3,16-24,female,68.0
3,25-44,male,155.0
3,25-44,female,153.0
3,45-64,male,210.0
3,45-64,female,178.0
3,65+,male,65.0
3,65+,female,68.0
4,0-15,male,1166.0
4,0-15,female,1090.0
4,16-24,male,558.0
4,16-24,female,499.0
4,25-44,male,1105.0
4,25-44,female,1090.0
4,45-64,male,1336.0
4,45-64,female,1339.0
4,65+,male,408.0
4,65+,female,385.0
5,0-15,male,299.0
5,0-15,female,342.0
5,16-24,male,149.0
5,16-24,female,138.0
5,25-44,male,299.0
5,25-44,female,305.0
5,45-64,male,372.0
5,45-64,female,344.0
5,65+,male,147.0
5,65+,female,160.0
6,0-15,male,316.0
6,0-15,female,341.0
6,16-24,male,126.0
6,16-24,female,121.0
6,25-44,male,308.0
6,25-44,female,281.0
6,45-64,male,437.0
6,45-64,female,475.0
6,65+,male,150.0
6,65+,female,136.0
7,0-15,male,287.0
7,0-15,female,280.0
7,16-24,male,124.0
7,16-24,female,133.0
7,25-44,male,279.0
7,25-44,female,257.0
7,45-64,male,374.0
7,45-64,female,351.0
7,65+,male,135.0
7,65+,female,119.0
8,0-15,male,82.0
8,0-15,female,98.0
8,16-24,male,56.0
8,16-24,female,53.0
8,25-44,male,106.0
8,25-44,female,86.0
8,45-64,male,129.0
8,45-64,female,138.0
8,65+,male,56.0
8,65+,female,80.0
9,0-15,male,176.0
9,0-15,female,188.0
9,16-24,male,94.0
9,16-24,female,92.0
9,25-44,male,161.0
9,25-44,female,179.0
9,45-64,male,210.0
9,45-64,female,217.0
9,65+,male,69.0
9,65+,female,85.0
10,0-15,male,355.0
10,0-15,female,404.0
10,16-24,male,185.0
10,16-24,female,216.0
10,25-44,male,350.0
10,25-44,female,391.0
10,45-64,male,383.0
10,45-64,female,373.0
10,65+,male,95.0
10,65+,female,105.0
11,0-15,male,309.0
11,0-15,female,262.0
11,16-24,male,131.0
11,16-24,female,152.0
11,25-44,male,278.0
11,25-44,female,275.0
11,45-64,male,335.0
11,45-64,female,337.0
11,65+,male,101.0
11,65+,female,100.0
12,0-15,male,182.0
12,0-15,female,165.0
12,16-24,male,99.0
12,16-24,female,90.0
12,25-44,male,164.0
12,25-44,female,169.0
12,45-64,male,251.0
12,45-64,female,249.0
12,65+,male,81.0
12,65+,female,81.0
13,0-15,male,353.0
13,0-15,female,323.0
13,16-24,male,136.0
13,16-24,female,153.0
13,25-44,male,339.0
13,25-44,female,306.0
13,45-64,male,358.0
13,45-64,female,376.0
13,65+,male,105.0
13,65+,female,107.0
14,0-15,male,107.0
14,0-15,female,89.0
14,16-24,male,46.0
14,16-24,female,54.0
14,25-44,male,92.0
14,25-44,female,86.0
14,45-64,male,132.0
14,45-64,female,135.0
14,65+,male,46.0
14,65+,female,34.0
15,0-15,male,161.0
15,0-15,female,195.0
15,16-24,male,71.0
15,16-24,female,81.0
15,25-44,male,150.0
15,25-44,female,183.0
15,45-64,male,225.0
15,45-64,female,201.0
15,65+,male,73.0
15,65+,female,64.0
16,0-15,male,120.0
16,0-15,female,110.0
16,16-24,male,53.0
16,16-24,female,48.0
16,25-44,male,120.0
16,25-44,female,104.0
16,45-64,male,143.0
16,45-64,female,135.0
16,65+,male,55.0
16,65+,female,36.0
17,0-15,male,327.0
17,0-15,female,294.0
17,16-24,male,151.0
17,16-24,female,144.0
17,25-44,male,305.0
17,25-44,female,310.0
17,45-64,male,355.0
17,45-64,female,345.0
17,65+,male,123.0
17,65+,female,109.0
