county,age_band,sex,count
0,0-15,male,2333.039
0,0-15,female,2418.735
0,16-24,male,1050.104
0,16-24,female,1101.461
0,25-44,male,2279.444
0,25-44,female,2274.857
0,45-64,male,2657.877
0,45-64,female,2745.836
0,65+,male,991.574
0,65+,female,1000.798
1,0-15,male,232.978
1,0-15,female,243.606
1,16-24,male,109.104
1,16-24,female,134.078
1,25-44,male,266.773
1,25-44,female,236.809
1,45-64,male,287.509
1,45-64,female,286.121
1,65+,male,114.819
1,65+,female,110.133
2,0-15,male,555.581
2,0-15,female,583.589
2,16-24,male,231.06
2,16-24,female,250.318
2,25-44,male,519.891
2,25-44,female,541.215
2,45-64,male,597.871
2,45-64,female,660.766
2,65+,male,234.729
2,65+,female,234.81
3,0-15,male,272.022
3,0-15,female,293.579
3,16-24,male,131.588
3,16-24,female,110.903
3,25-44,male,277.1
3,25-44,female,271.054
3,45-64,male,405.337
3,45-64,female,393.086
3,65+,male,163.878
3,65+,female,145.892
4,0-15,male,424.305
4,0-15,female,399.925
4,16-24,male,189.448
4,16-24,female,203.126
4,25-44,male,388.767
4,25-44,female,422.22
4,45-64,male,516.123
4,45-64,female,469.782
4,65+,male,236.507
4,65+,female,204.292
5,0-15,male,238.504
5,0-15,female,269.536
5,16-24,male,119.059
5,16-24,female,106.183
5,25-44,male,281.474
5,25-44,female,259.518
5,45-64,male,378.848
5,45-64,female,394.833
5,65+,male,145.356
5,65+,female,148.922
6,0-15,male,317.722
6,0-15,female,300.143
6,16-24,male,129.116
6,16-24,female,137.7
6,25-44,male,314.044
6,25-44,female,265.54
6,45-64,male,366.745
6,45-64,female,391.81
6,65+,male,128.897
6,65+,female,143.528
7,0-15,male,155.24
7,0-15,female,178.186
7,16-24,male,76.278
7,16-24,female,76.102
7,25-44,male,183.201
7,25-44,female,168.174
7,45-64,male,222.805
7,45-64,female,205.298
7,65+,male,81.785
7,65+,female,81.888
8,0-15,male,291.626
8,0-15,female,282.24
8,16-24,male,141.001
8,16-24,female,131.589
8,25-44,male,227.2
8,25-44,female,244.507
8,45-64,male,343.051
8,45-64,female,393.68
8,65+,male,164.988
8,65+,female,131.6
9,0-15,male,133.254
9,0-15,female,135.414
9,16-24,male,46.235
9,16-24,female,58.759
9,25-44,male,110.408
9,25-44,female,109.237
9,45-64,male,190.416
9,45-64,female,164.825
9,65+,male,73.68
9,65+,female,70.319
10,0-15,male,546.563
10,0-15,female,502.951
10,16-24,male,247.337
10,16-24,female,276.914
10,25-44,male,507.899
10,25-44,female,533.052
10,45-64,male,678.791
10,45-64,female,656.882
10,65+,male,266.533
10,65+,female,230.022
11,0-15,male,107.83
11,0-15,female,109.989
11,16-24,male,48.535
11,16-24,female,40.274
11,25-44,male,113.852
11,25-44,female,103.444
11,45-64,male,151.129
11,45-64,female,148.634
11,65+,male,64.432
11,65+,female,54.143
12,0-15,male,189.913
12,0-15,female,180.526
12,16-24,male,99.387
12,16-24,female,104.985
12,25-44,male,186.694
12,25-44,female,186.679
12,45-64,male,262.104
12,45-64,female,249.217
12,65+,male,88.728
12,65+,female,104.997
13,0-15,male,476.414
13,0-15,female,460.693
13,16-24,male,236.2
13,16-24,female,227.639
13,25-44,male,439.524
13,25-44,female,475.446
13,45-64,male,631.628
13,45-64,female,620.663
13,65+,male,251.507
13,65+,female,221.661
14,0-15,male,239.42
14,0-15,female,270.625
14,16-24,male,79.709
14,16-24,female,107.267
14,25-44,male,242.088
14,25-44,female,228.804
14,45-64,male,325.689
14,45-64,female,331.528
14,65+,male,171.097
14,65+,female,188.089
15,0-15,male,52.317
15,0-15,female,36.001
15,16-24,male,
15,16-24,female,24.067
15,25-44,male,27.167
15,25-44,female,30.615
15,45-64,male,44.791
15,45-64,female,51.53
15,65+,male,21.666
15,65+,female,
16,0-15,male,291.447
16,0-15,female,299.379
16,16-24,male,116.679
16,16-24,female,147.665
16,25-44,male,254.76
16,25-44,female,284.75
16,45-64,male,345.15
16,45-64,female,366.895
16,65+,male,134.881
16,65+,female,143.061
17,0-15,male,212.857
17,0-15,female,248.886
17,16-24,male,107.437
17,16-24,female,101.223
17,25-44,male,225.174
17,25-44,female,228.776
17,45-64,male,300.325
17,45-64,female,333.904
17,65+,male,102.335
17,65+,female,102.442
