estimand,level,unit,estimate,lower,upper
children_under_16,county,0,4710.729926371946,2826.4379558231676,6595.021896920724
children_under_16,county,1,468.9190393437969,281.3514236062781,656.4866550813157
children_under_16,county,2,1202.346578941945,721.4079473651669,1683.285210518723
children_under_16,county,3,632.1989951806811,379.3193971084087,885.0785932529535
children_under_16,county,4,810.2492324197499,486.14953945184993,1134.3489253876498
children_under_16,county,5,526.2342266209855,315.74053597259126,736.7279172693798
children_under_16,county,6,652.1303620119054,391.2782172071432,912.9825068166676
children_under_16,county,7,345.36659164074234,207.2199549844454,483.5132282970393
children_under_16,county,8,594.417059572391,356.6502357434346,832.1838834013474
children_under_16,county,9,278.2900033257874,166.9740019954724,389.60600465610236
children_under_16,county,10,1040.4482411605272,624.2689446963163,1456.6275376247381
children_under_16,county,11,225.61908155241633,135.37144893144978,315.8667141733829
children_under_16,county,12,383.70474996481613,230.22284997888968,537.1866499507425
children_under_16,county,13,922.0363387004971,553.2218032202983,1290.8508741806959
children_under_16,county,14,570.1024451215904,342.06146707295426,798.1434231702267
children_under_16,county,15,91.48033661554737,54.88820196932842,128.07247126176634
children_under_16,county,16,580.8044148630374,348.4826489178224,813.1261808082525
children_under_16,county,17,516.1120907343523,309.6672544406114,722.5569270280931
children_under_16,nation,0,14551.189714142713,8730.713828485626,20371.6655997998
children_under_16,state,0,5751.178167532473,3450.7069005194835,8051.649434545462
children_under_16,state,1,1390.955378044294,834.5732268265764,1947.3375292620117
children_under_16,state,2,1854.47694095385,1112.68616457231,2596.2677173353904
children_under_16,state,3,1718.4135310366237,1031.048118621974,2405.7789434512733
children_under_16,state,4,1391.0536472827873,834.6321883696723,1947.4751061959023
children_under_16,state,5,2445.112049292686,1467.0672295756117,3423.1568690097606
elders_65_plus,county,0,1956.6356556648504,1173.9813933989103,2739.2899179307906
elders_65_plus,county,1,213.9767882104931,128.38607292629587,299.56750349469036
elders_65_plus,county,2,517.0665101817983,310.239906109079,723.8931142545176
elders_65_plus,county,3,301.0215814843898,180.61294889063387,421.4302140781457
elders_65_plus,county,4,409.5616888739046,245.73701332434274,573.3863644234664
elders_65_plus,county,5,303.6157397640004,182.16944385840026,425.06203566960056
elders_65_plus,county,6,300.0006056494828,180.00036338968965,420.00084790927593
elders_65_plus,county,7,168.86622944880173,101.31973766928104,236.41272122832243
elders_65_plus,county,8,305.99979982497655,183.59987989498592,428.3997197549672
elders_65_plus,county,9,148.5679109908935,89.1407465945361,207.9950753872509
elders_65_plus,county,10,487.6492185182173,292.58953111093035,682.7089059255043
elders_65_plus,county,11,122.33720883659805,73.40232530195883,171.27209237123728
elders_65_plus,county,12,199.87230678156814,119.92338406894088,279.8212294941954
elders_65_plus,county,13,450.08217915853385,270.0493074951203,630.1150508219474
elders_65_plus,county,14,349.0411314599219,209.42467887595316,488.65758404389067
elders_65_plus,county,15,42.43181856280214,25.459091137681284,59.404545987923
elders_65_plus,county,16,258.2454387643743,154.94726325862456,361.543614270124
elders_65_plus,county,17,198.99295297962982,119.39577178777789,278.59013417148174
elders_65_plus,nation,0,6733.964765155237,4040.3788590931417,9427.550671217332
elders_65_plus,state,0,2444.284874183068,1466.5709245098408,3421.9988238562955
elders_65_plus,state,1,664.058967369027,398.43538042141614,929.6825543166378
elders_65_plus,state,2,817.0671158312812,490.24026949876867,1143.8939621637937
elders_65_plus,state,3,849.0556659239415,509.4333995543649,1188.677932293518
elders_65_plus,state,4,667.8071276382788,400.68427658296724,934.9299786935903
elders_65_plus,state,5,1291.6910142096403,775.0146085257842,1808.3674198934964
households,county,0,7843.949616430073,4706.369769858044,10981.529463002102
households,county,1,840.3262666519556,504.19575999117336,1176.4567733127378
households,county,2,2227.276476858619,1336.3658861151712,3118.1870676020667
