county,age_band,sex,count
0,0-15,male,
0,0-15,female,
0,16-24,male,
0,16-24,female,
0,25-44,male,
0,25-44,female,
0,45-64,male,
0,45-64,female,
0,65+,male,
0,65+,female,
1,0-15,male,
1,0-15,female,
1,16-24,male,
1,16-24,female,
1,25-44,male,
1,25-44,female,
1,45-64,male,
1,45-64,female,
1,65+,male,
1,65+,female,
2,0-15,male,
2,0-15,female,
2,16-24,male,
2,16-24,female,
2,25-44,male,
2,25-44,female,
2,45-64,male,
2,45-64,female,
2,65+,male,
2,65+,female,
3,0-15,male,
3,0-15,female,
3,16-24,male,
3,16-24,female,
3,25-44,male,
3,25-44,female,
3,45-64,male,
3,45-64,female,
3,65+,male,
3,65+,female,
4,0-15,male,
4,0-15,female,
4,16-24,male,
4,16-24,female,
4,25-44,male,
4,25-44,female,
4,45-64,male,
4,45-64,female,
4,65+,male,
4,65+,female,
5,0-15,male,
5,0-15,female,
5,16-24,male,
5,16-24,female,
5,25-44,male,
5,25-44,female,
5,45-64,male,
5,45-64,female,
5,65+,male,
5,65+,female,
6,0-15,male,
6,0-15,female,
6,16-24,male,
6,16-24,female,
6,25-44,male,
6,25-44,female,
6,45-64,male,
6,45-64,female,
6,65+,male,
6,65+,female,
7,0-15,male,
7,0-15,female,
7,16-24,male,
7,16-24,female,
7,25-44,male,
7,25-44,female,
7,45-64,male,
7,45-64,female,
7,65+,male,
7,65+,female,
8,0-15,male,
8,0-15,female,
8,16-24,male,
8,16-24,female,
8,25-44,male,
8,25-44,female,
8,45-64,male,
8,45-64,female,
8,65+,male,
8,65+,female,
9,0-15,male,
9,0-15,female,
9,16-24,male,
9,16-24,female,
9,25-44,male,
9,25-44,female,
9,45-64,male,
9,45-64,female,
9,65+,male,
9,65+,female,
10,0-15,male,
10,0-15,female,
10,16-24,male,
10,16-24,female,
10,25-44,male,
10,25-44,female,
10,45-64,male,
10,45-64,female,
10,65+,male,
10,65+,female,
11,0-15,male,
11,0-15,female,
11,16-24,male,
11,16-24,female,
11,25-44,male,
11,25-44,female,
11,45-64,male,
11,45-64,female,
11,65+,male,
11,65+,female,
12,0-15,male,
12,0-15,female,
12,16-24,male,
12,16-24,female,
12,25-44,male,
12,25-44,female,
12,45-64,male,
12,45-64,female,
12,65+,male,
12,65+,female,
13,0-15,male,
13,0-15,female,
13,16-24,male,
13,16-24,female,
13,25-44,male,
13,25-44,female,
13,45-64,male,
13,45-64,female,
13,65+,male,
13,65+,female,
14,0-15,male,
14,0-15,female,
14,16-24,male,
14,16-24,female,
14,25-44,male,
14,25-44,female,
14,45-64,male,
14,45-64,female,
14,65+,male,
14,65+,female,
15,0-15,male,
15,0-15,female,
15,16-24,male,
15,16-24,female,
15,25-44,male,
15,25-44,female,
15,45-64,male,
15,45-64,female,
15,65+,male,
15,65+,female,
16,0-15,male,
16,0-15,female,
16,16-24,male,
16,16-24,female,
16,25-44,male,
16,25-44,female,
16,45-64,male,
16,45-64,female,
16,65+,male,
16,65+,female,
17,0-15,male,
17,0-15,female,
17,16-24,male,
17,16-24,female,
17,25-44,male,
17,25-44,female,
17,45-64,male,
17,45-64,female,
17,65+,male,
17,65+,female,
